wavelength,Back_IncLaef,Belly_IncLaef,Breast_IncLaef,Crissum_IncLaef,Crown_IncLaef,DorTail_IncLaef,Patch10_IncLaef,Patch11_IncLaef,Rump_IncLaef,Throat_IncLaef,WingTip_IncLaef
185.25,-39.36175,-64.8936666666,-25.8864166668,-48.4042499999,-28.3686666667,-57.8012499999,-5.49641666666,35.10625,-11.70225,-32.4467500001,-71.9858333335
185.63,-237.745083333,-285.784333333,-195.097916667,-243.627416667,-201.960833333,-282.352916667,-135.78425,-26.4705,-143.13725,-216.1765,-328.431416667
186.01,-475.0,-600.0,-413.333333333,-484.166666667,-467.5,-608.333333333,-298.333333333,-125.833333333,-295.833333333,-410.833333333,-637.5
186.39,-1080.0,-1421.66666666,-943.333333334,-1085.0,-1093.33333333,-1363.33333334,-708.333333333,-339.999999999,-779.999999999,-901.666666666,-1380.0
186.77,685.833333333,889.166666666,618.333333333,708.333333333,684.166666667,778.333333332,467.5,266.666666667,545.0,560.833333334,822.500000002
187.15,369.565083333,470.652083334,342.028916667,382.246333333,362.318916667,402.173916667,265.579666667,167.028916667,291.666583334,301.086916667,429.34775
187.53,239.791666667,309.583333333,228.125,257.291666667,233.541666666,262.5,182.916666667,132.708333333,200.833333333,205.833333333,289.166666667
187.91,205.303083333,255.757666667,187.575833333,216.363583333,195.303,217.27275,150.909166667,131.212166667,176.666666666,180.303083333,238.333166667
188.29,175.757583333,224.36875,159.596,186.616083333,162.87875,182.702166667,127.904,112.373583333,158.8385,151.388916666,201.01
188.67,153.52575,198.07675,147.008583333,173.290416667,149.252166667,163.888833333,112.500166667,103.846083334,149.465833333,138.782083333,176.495666667
189.05,152.325416667,190.407,149.32175,168.12025,151.356583333,159.593,109.69,109.399333333,151.647333334,137.306166667,169.767416667
189.43,149.810583334,184.1855,142.519,164.678083333,150.000083334,152.367333333,106.34475,105.113666667,149.905333333,134.09075,159.564416667
189.81,159.857666666,198.983666667,152.642333333,175.914583333,161.7885,166.056833333,110.873916667,111.788583333,160.061,146.138166667,168.69925
190.19,151.053583333,188.984666667,144.73175,164.559333333,152.298833333,151.1495,101.9155,106.896583333,152.202833333,141.954083333,156.13025
190.57,133.556583333,160.416583333,130.878,144.122,135.267833333,130.431416667,94.4941666665,100.744083333,134.895833333,129.91075,134.747083333
190.95,126.836166667,151.836083333,125.353083333,134.533916667,129.307916667,126.4125,90.1130833334,99.78825,128.672333334,125.0705,130.43775
191.33,111.716833333,130.639,108.270833333,116.165583333,115.100333334,110.651666667,77.75675,87.0301666666,111.967416667,107.330833333,110.463666666
191.71,111.513916667,132.44275,109.223916667,115.648833333,117.938833333,112.786333333,75.509,84.7965000001,113.804166667,106.234083333,110.877833333
192.09,108.029333334,126.216666667,108.515916667,112.408916667,116.727333333,109.42825,73.9050833334,81.9341666666,112.652,100.60825,104.866083333
192.47,108.273333333,125.35975,109.2325,112.290166667,118.525166666,110.132,74.7603333333,81.7745833332,110.791416667,101.318916667,104.73625
192.85,108.624666667,121.503416667,106.468666667,109.790166667,115.5595,108.391666667,74.5919166666,81.1189166666,106.526833333,98.6596666668,101.398583333
193.23,105.773833333,117.619,104.107166667,106.547583333,110.178666667,104.880916666,72.6785833334,74.46425,101.0715,96.3690833332,98.8095833333
193.61,109.64275,122.500083334,109.34525,110.53575,113.988166667,111.428583333,74.5833333333,77.2025,105.238166667,101.190416667,103.869083333
193.99,97.7744166667,108.3335,97.826,99.2755000003,102.846833333,98.1367499999,68.1160833333,70.3417499998,95.7556666666,90.8385833334,91.6150000002
194.37,92.4382500001,103.703833333,94.3415833333,96.8621666666,96.8622500001,93.8785833334,67.2839166666,66.5123333334,92.2839166666,85.5967500001,85.4423333333
194.75,90.1468333334,104.716916667,91.6142499999,96.2788333334,92.9768333334,93.9201666668,65.46125,65.9329166668,90.8805000001,81.1844166666,84.1719166668
195.13,85.4166666666,99.1279166667,85.2228333334,89.6801666667,86.7733333333,86.7249166666,60.9010833334,59.78675,84.7868333333,73.7889166667,76.2596666666
195.51,90.0914166667,106.504,92.3780833334,95.6809166666,90.5488333333,90.5488333333,63.51625,63.8719166668,90.8028333334,78.252,80.437
195.89,89.6569166667,104.656916667,92.4510000001,94.7548333332,89.21575,87.8430000001,64.31375,64.4607500001,89.0684999999,78.6765,76.56875
196.27,85.5405833334,98.1082500001,86.982,89.9100833334,82.883,82.74775,60.9910833333,61.2612500001,82.9729166667,75.0899999999,71.4865
196.65,82.85825,94.3004166668,84.9741666667,87.5646666667,80.2676666667,80.1814166666,58.2038333334,58.6789166666,80.7425833333,73.40225,68.6095833333
197.03,84.8403333334,101.108083333,87.5886666666,90.7358333333,81.6933333333,84.4415833333,63.2978333334,61.8351666666,84.7075833334,77.2606666667,72.0744166666
197.40,85.8464166666,104.761916667,88.3155833333,92.98925,84.9205833333,87.03725,66.2256666666,66.2698333334,87.4336666667,78.5714166667,74.60325
197.78,87.2522499999,104.279166667,88.3334166667,91.982,83.018,84.2793333333,65.5405833332,64.9549166667,86.66675,77.7476666668,73.3333333333
198.16,96.5656666667,113.636333333,95.2021666666,100.303166667,88.5354166666,90.6566666666,71.6665833333,69.1918333333,94.0909166666,82.3736666667,78.889
198.54,99.3095000001,111.418,95.4422499999,99.6778333334,90.5155833333,92.9558333334,74.3553333333,71.4550000001,97.1915833333,85.0827500001,81.9520833333
198.92,95.7475833332,102.663333333,93.2990833333,95.0601666666,89.0034166667,89.2609999999,72.9810833334,67.9552500001,93.6426666666,83.5050833332,79.16675
199.30,99.0437499999,105.4645,97.4498333333,97.2675833334,91.3023333333,90.5737499998,76.6848333334,70.2640833333,96.6758333334,87.2495833334,80.1456666667
199.68,94.0902500001,100.467666667,92.4744999999,91.9216666667,85.7993333333,86.9897499999,75.5953333333,68.9201666667,92.7296666666,84.43875,75.3826666667
200.06,89.2795833333,93.5330000001,88.06425,85.2431666667,80.4253333333,81.4669166666,70.1823333334,64.67025,86.8055833333,77.8213333334,70.5729166667
200.44,94.0346666666,98.7249166667,93.2149166667,86.9763333332,84.5174166667,84.7449166666,75.1821666666,69.4444166666,89.572,81.1930833334,74.7724166667
200.82,102.006166667,105.401083333,103.137833333,91.0494166667,91.5638333333,89.5574166666,80.2984166668,78.0350833333,95.1645833334,85.854,79.6295833334
201.19,98.4662499999,97.59725,101.738166667,87.1676666666,88.0367499999,84.7136666667,74.8979166667,75.8179166667,91.2065833332,80.7770833333,76.0735833334
201.57,100.720083333,98.8169166666,106.687166667,88.0658333334,88.6831666666,85.4423333332,74.8970833333,76.9548333334,91.4093333333,81.6359166666,75.4629166667
201.95,95.3544999999,97.6053333333,107.040166667,85.3448333333,88.5537500001,84.6743333334,74.7125833332,79.1667499998,90.4693333333,79.2624166666,74.6169166668
202.33,94.4771666667,98.2248333334,110.503,82.8403333333,87.4754166667,84.51675,73.1756666666,79.9801666667,90.3845833333,78.1065000001,72.7317500001
202.71,93.4829166667,98.878,112.499833333,80.3952499999,85.7905833333,81.4635000001,69.8184166668,78.2585833331,86.0041666667,73.9316666667,69.3909166666
203.09,106.21975,111.714916667,126.449333333,89.3116666666,96.4975833332,90.4590000001,76.6305,88.8284999999,93.4179166668,81.1595,78.0795833333
203.47,99.3406666667,103.47725,120.443666667,85.0120833333,91.7865000001,85.5514166666,69.2445833334,83.8129166665,85.0120833333,75.2998333333,73.0815
203.85,103.263916667,107.013916667,129.3055,88.5416666666,97.7083333333,87.2223333334,67.1528333333,86.3889166665,85.97225,74.7918333334,76.1805
204.22,104.7815,109.97275,128.620333333,91.735,99.2486666667,89.3441666667,69.8086666666,88.9343333333,85.1093333333,75.0,73.7705833334
204.60,94.0202500001,99.1095000001,117.620833333,85.6234999999,88.9313333333,81.5520833333,61.2595833334,78.6259166669,77.67175,64.7583333334,65.0127500001
204.98,85.78775,93.0365833332,104.28075,79.7945833332,80.5935833332,76.2555833333,56.678,70.0914166666,69.0639166667,57.5340833333,57.99075
205.36,88.0513333334,95.098,103.492666667,79.8407499999,83.1495833332,75.5515,54.10525,69.2401666667,66.6053333334,53.7989166667,53.4926666667
205.74,89.3817500001,93.6826666668,100.8065,78.2930833333,83.6693333333,72.17725,52.285,66.8684166667,66.3978333333,51.2096666667,49.8655
206.12,91.8821666667,91.2355833333,95.6176666666,77.73,80.6034166666,72.9165833333,53.2326666667,65.0143333332,65.0861666667,49.4970833333,45.5459166667
206.50,84.5703333334,80.6641666666,81.8358333334,71.289,73.56775,67.1224166667,49.349,57.35675,59.3750833333,42.7735,41.73175
206.87,78.4925833333,77.0219166668,72.9166666667,66.66675,67.6470833333,64.522,46.93625,55.6985833334,56.6788333333,41.1765833334,36.4584166666
207.25,74.1611666668,73.2103333333,65.8838333333,59.4519166667,60.7941666667,60.1788333333,44.9105,53.07625,56.5995833333,39.0938333333,30.481
207.63,79.7944999999,80.5934999999,69.23525,62.8425,64.8973333333,64.0981666667,50.0570833333,58.5615,65.9245833334,42.6369166667,32.19175
208.01,82.4193333333,81.39775,70.5913333333,64.4624166667,67.5269166667,66.6129166666,54.0323333333,62.3656666667,69.30125,44.8925833334,35.3225833333
208.39,82.6755833332,82.7303333333,72.6973333333,66.0088333333,68.3661666667,66.4473333333,53.9474166667,62.28075,73.739,46.2719166667,37.6644166666
208.77,85.8093333332,84.4203333334,75.6038333333,67.4516666666,70.8936666667,68.5385833333,53.6835833333,65.7005833333,79.10625,48.2488333333,37.1376666667
209.14,95.5841666666,90.5983333332,82.1224166666,71.0113333333,75.2138333332,73.4329166666,57.54975,71.8660833334,89.0313333334,51.9230833333,37.7494166667
209.52,91.2179166667,86.0254999998,80.5770000001,66.9230833334,69.6154166667,71.28225,54.359,70.0000833334,84.61525,55.3846666667,40.2563333333
209.90,87.0773333332,82.9104999999,77.0530833333,63.94925,63.5869166667,68.71975,54.0459166667,65.8816666667,79.4080833333,49.6376666667,37.62075
210.28,89.7529999999,86.358,82.4074166666,67.22225,65.74075,69.93825,53.9505833333,68.642,81.605,50.6171666667,42.34575
210.66,94.6615000001,93.0339166666,92.3175833333,71.09375,70.4426666667,74.9999166666,58.2031666667,74.1538333333,87.1093333333,55.0129166667,47.3956666667
211.03,108.172916667,101.282083333,105.2885,74.1985833333,73.9582500001,79.7274999999,56.2499166666,78.4454999998,100.000166667,54.48725,51.1219166666
211.41,110.26425,102.845666666,110.26425,75.8130833333,65.752,71.2399166668,47.4593333334,78.0488333332,100.609583333,44.6138333333,43.9025833332
211.79,135.384666667,122.435833333,135.384666667,90.7693333333,70.1282499999,81.5384999999,55.3846666667,94.9999166667,110.8975,48.0769166667,51.4102499999
212.17,197.22225,178.935166667,202.083166667,119.213083333,77.5464166668,99.0742500001,52.5463333334,128.703916667,140.50925,38.8889166665,54.1666666668
212.55,322.618916667,283.730166667,317.857083333,166.666583333,93.2538333332,152.381,66.2699166668,208.333416666,198.41275,50.0,73.8095833335
212.92,368.859583333,340.789416667,351.754333333,182.017583333,120.614083333,178.07025,96.4911666665,241.66675,208.333333333,57.4561666665,92.5439166667
213.30,261.41975,246.296333333,256.481416667,137.037,99.6913333334,124.382666667,79.6297500001,186.111083333,149.691333333,51.2344999998,72.5308333333
213.68,334.920583333,338.095083333,336.507833334,199.206333333,163.888833333,176.984083333,137.698333333,252.381,212.30175,70.6349166668,115.47625
214.06,260.677083333,255.46875,268.75,174.21875,162.239583333,161.979166667,124.739583333,213.020833333,183.854166667,101.822916667,131.25
214.44,215.873083334,213.690583333,220.238333334,153.174583334,147.22225,144.8415,115.476166667,182.9365,154.960333333,105.357166667,124.8015
214.81,212.87875,206.060666667,208.9015,149.81075,144.12875,139.772666666,112.31075,173.67425,154.1665,112.878833333,120.833416666
215.19,189.583416666,186.97925,193.229166667,137.152666667,137.6735,123.611166667,106.423583333,163.541666667,135.590166667,107.638916667,107.118083333
215.57,155.845833333,156.218833333,158.208916667,117.6615,128.73125,114.67675,96.6418333334,130.72125,118.9055,100.37325,100.373166667
215.95,139.801166667,134.452833333,146.64175,102.238916667,124.875666667,105.223833333,81.8406666667,112.064583333,106.7165,88.0596666667,86.5670000003
216.32,124.887333333,120.608083333,127.252166667,92.0044166668,114.4145,95.7206666667,73.7612499999,95.1575833333,99.0990833331,81.4189166665,74.09925
216.70,110.654,105.063333333,114.13475,82.5949166667,104.430333333,83.9662500001,60.6540833335,78.6920833332,87.8692500001,69.0928333334,62.9747500001
217.08,105.59075,98.6286666667,112.55275,78.1645833333,97.0464166668,77.1098333334,55.5906666667,68.8819166668,83.2278333333,66.5612500001,58.4388333333
217.46,102.083416667,95.9238333334,106.52175,79.9816666667,90.7609166668,81.3404999999,57.3368333334,70.8332500001,83.24275,69.1124166667,61.5942499999
217.83,112.195166667,103.76,119.613833333,86.6870000001,90.3455000001,91.0567500001,58.1299999999,73.3739166667,89.2276666667,72.3576666666,66.1585833335
218.21,120.138916667,109.1435,128.93525,90.6249166667,90.9720833332,100.000083333,57.8704166667,76.7361666666,98.1481666667,77.0834166666,66.5509166667
218.59,110.049,95.9559166667,122.671666667,78.5538333334,80.0244166667,89.3381666667,45.3430833335,65.80875,91.544,57.7205833333,49.7548333334
218.97,112.865416667,103.3625,128.3625,81.7250833334,81.8713333332,87.28075,40.6432499999,71.6373333334,85.0876666668,49.1226666667,46.7835833336
219.34,113.756583333,104.1005,127.248666667,89.2855833334,84.2593333333,89.1535,49.7354166667,71.56075,85.9788333332,60.3175833332,61.3755833334
219.72,130.0,112.166666667,140.166666667,92.3333333332,81.1666666667,92.1666666668,40.3333333333,71.5000000001,87.0000000001,55.5,58.3333333335
220.10,118.643833333,112.288166667,125.8475,92.2316666667,72.5988333334,83.8983333335,42.3728333334,76.9775000001,83.8982500001,58.0509166667,62.9943333335
220.47,121.14425,115.422916667,127.73625,95.7710000001,73.0099166668,89.3034166667,53.2338333334,86.9402500001,88.4329166668,66.2935000001,73.8806666668
220.85,117.405166667,112.34175,123.10125,95.6751666668,81.01275,92.4050833334,65.5063333332,89.6625833332,87.9745833332,70.3588333333,80.0633333335
221.23,134.25925,124.074083334,133.102,103.356333334,88.4258333332,102.662,69.5602499999,100.925916667,97.8008333332,73.4953333336,91.66675
221.61,142.42425,135.101083333,146.21225,111.237416667,95.2019166667,107.828333333,77.5251666666,107.323333334,108.08075,74.6212499998,103.66175
221.98,136.849166667,122.7865,131.901,99.9999166666,91.6668333333,94.9220000001,70.5729166667,103.775916667,105.468916667,67.7083333332,93.4894166667
222.36,124.327916667,123.118333333,121.774166667,90.8601666665,87.0967499999,77.8225833333,60.4839166667,93.2795833332,90.457,55.9139999999,86.8279999998
222.74,126.52775,129.166666667,116.25,91.6666666668,91.25,75.4167500001,60.0,90.4166666665,89.7224166666,61.3889166667,88.3332499999
223.11,127.777666667,129.475166667,115.586416667,94.1358333332,91.5123333333,79.9381666668,51.0803333333,88.2715833333,100.15425,65.2777500002,91.0495000001
223.49,143.40275,144.270833333,122.569333334,104.861083333,106.0765,90.2778333333,56.9445,103.64575,112.152833333,67.881916667,98.4375000001
223.87,136.163583333,135.534583333,122.327,104.402416667,103.14475,85.53475,62.89325,103.459,105.660416667,67.9244999997,99.6855833333
224.24,141.185833333,138.461583333,130.288416667,114.262833333,111.378083333,92.3076666665,72.1152500001,107.37175,113.140916667,74.5191666665,109.775666667
224.62,128.889,134.259333333,123.333583333,109.25925,105.925916667,75.7406666668,57.7777499999,93.7037499999,104.81475,62.2221666665,97.4072500003
225.00,109.72225,116.14575,103.819583333,88.5416666666,86.9791666665,58.5069166666,40.6249166666,78.9929166667,90.6251666666,56.7708333332,77.9513333333
225.38,88.1666666665,100.166666667,89.0000000001,84.1666666667,73.5000000002,48.8333333333,29.1666666667,66.6666666668,78.3333333333,52.1666666666,60.8333333335
225.75,77.6666666666,83.1666666667,70.6666666668,60.8333333333,64.0,26.3333333333,6.33333333325,39.0,66.8333333333,32.8333333332,39.3333333333
226.13,68.3863333333,76.1905000001,60.9788333333,49.4708333334,53.17475,22.7513333333,7.67191666668,28.04225,51.7195833333,28.1746666667,34.9205833333
226.51,57.4785833333,56.41025,45.94025,37.2863333334,38.24775,18.6965833333,6.62408333332,20.0854999999,41.9871666667,19.4444166666,23.7178333334
226.88,49.28775,50.641,41.7379166667,36.03975,36.1111666667,25.1425,16.0969166667,23.2194166667,37.7490833333,25.2135833333,27.3504166666
227.26,46.47825,46.9741666666,41.2698333334,35.3670833333,36.5575,28.2243333333,22.9165833333,27.5794166667,34.8709166667,28.72025,29.5635833333
227.64,39.5,38.25,33.9166666667,28.4166666666,30.5833333334,23.875,18.0416666667,22.3333333333,29.1666666667,25.125,24.4166666667
228.01,36.111,35.048,30.5899166667,27.02325,29.11525,25.583,18.6213333333,22.39375,29.5954166667,26.1660833333,23.5254166667
228.39,31.5454166666,31.5455,25.6055833334,23.6446666667,25.692,23.3275833333,16.7244166667,20.8479166667,27.42225,23.9043333333,21.0206666667
228.76,32.6024166667,30.9698333333,27.43675,25.5605,27.0711666667,25.4144166666,20.0293333333,23.8059166667,28.97175,26.34025,23.7085833333
229.14,29.7001666667,28.6330833333,24.5458333333,23.2516666666,24.5004166667,22.2751666667,18.7104166667,22.6838333333,26.5213333333,22.9791666667,20.981
229.52,26.7455,25.6234166667,21.5501666667,20.5945,22.3401666666,19.3060833333,17.1446666667,20.9475833333,23.4829166667,19.8878333333,19.55525
229.89,25.2155833333,25.0981666667,20.6274166667,20.21575,20.8823333333,19.8039166667,17.3333333333,21.1370833333,22.15675,19.0785833333,19.3529166667
230.27,23.9560833334,24.304,20.21975,20.1465833334,20.4760833333,19.5604166666,17.4725833333,21.5933333333,21.5568333333,18.6814166667,19.469
230.65,23.7275,23.9889166667,20.6065833333,20.8681666666,20.5194166667,20.1534166667,17.4861666667,21.9490833333,21.77475,19.4385833333,20.1360833333
231.02,23.0286666667,22.9210833333,20.2688333333,20.1255,19.6058333333,19.3549166667,15.9679166667,21.3084166667,21.30825,18.5125,19.60575
231.40,21.973,22.6085,19.3945833333,19.5628333333,18.34825,18.64725,14.79825,20.4595833333,21.0015833333,17.5635,18.79675
231.78,23.5411666667,26.0030833333,22.2100833333,21.7361666667,19.6936666667,21.043,16.539,23.213,23.2129166666,19.2741666667,20.6055
232.15,23.2425833334,27.2675833334,22.5245833333,21.8821666667,19.02875,20.4269166667,15.0038333333,23.3181666667,23.01575,18.4241666667,20.8426666667
232.53,24.4118333333,29.4901666667,24.6665833334,23.3333333333,20.3921666667,22.50975,15.7450833333,24.78425,23.9020833333,19.8628333333,22.4705833333
232.90,23.1214166667,29.39625,22.8018333333,20.7034166667,19.3245833333,22.0024166667,14.04875,22.96175,22.9615,17.8059166666,21.6226666667
233.28,25.72475,31.7430833334,25.5234166667,23.4098333333,21.0949166667,25.161,15.2375,26.0669166667,24.9395833333,20.0080833334,24.4968333333
233.66,27.3405,34.74575,28.99525,25.686,23.5270833333,27.8046666667,17.00975,29.0555833334,27.8450833333,22.9620833333,25.9485
234.03,26.8875,34.1164166667,29.0763333334,26.4255833333,23.71475,27.3895833334,16.3253333333,29.7991666667,27.93175,24.0964166667,26.0040833333
234.41,27.7981666667,34.6918333333,29.481,28.0008333334,24.331,28.1426666667,16.30175,30.6366666667,28.6900833333,25.7908333333,26.7843333333
234.78,27.3954166667,35.93,29.4284166667,28.14,24.9595833334,28.16025,16.9284166667,31.24,28.6434166666,25.3421666667,27.3148333333
235.16,27.7776666667,35.3675833333,29.3816666667,28.5211666667,24.7261666667,28.0124166666,17.5861666667,32.3356666666,29.1471666667,24.9216666667,27.6409166667
235.54,28.0423333333,34.9583333333,29.0816666667,28.6848333333,25.6991666667,28.1368333333,18.2350833333,32.78525,29.384,24.9244166667,27.2675833333
235.91,27.815,33.874,28.2438333334,28.7844166666,25.87625,28.2625,18.4564166667,32.5689166667,28.7098333333,24.6086666667,27.6658333333
236.29,24.9626666667,31.22675,25.7643333333,26.6591666667,24.4594166667,26.5473333333,17.78525,30.8724166667,25.4474166666,21.96125,25.783
236.66,22.5259166667,27.6970833334,23.0653333334,23.75375,21.9121666667,23.2328333333,14.7320833333,28.069,22.9910833333,18.60125,22.8236666667
237.04,22.92125,27.8515,24.0619166666,25.0,21.87275,23.5099166666,14.8638333333,28.5136666667,22.7558333333,19.1869166667,22.627
237.41,24.96475,30.0141666667,25.93575,27.5778333333,24.0111666667,25.8298333333,17.2846666667,29.3255,25.2824166667,21.68075,25.0175833333
237.79,25.7864166667,29.9196666666,26.02075,28.0956666667,24.6989166667,26.37225,18.7081666667,29.1833333333,25.3846666667,22.674,26.3888333333
238.17,26.60075,30.7439166667,27.1971666667,28.5938333333,25.7219166667,27.4795833333,20.68425,29.59825,26.4595,23.462,27.38525
238.54,25.4554166666,29.4018333333,26.2749166667,27.201,25.1365,27.1858333334,20.4461666667,28.5671666666,25.9715,21.9489166667,26.07775
238.92,23.6530833333,27.531,24.2600833333,26.125,23.9343333333,25.9326666667,18.6205,27.161,24.3190833333,20.05625,24.2450833333
239.29,21.1869166666,25.2358333333,21.6721666666,23.4330833333,21.9771666666,24.0015833333,16.3616666667,25.0554166667,21.8801666667,17.9699166667,21.78325
239.67,19.2296666667,22.7271666667,19.6465,21.0605,19.8105,22.27275,14.9620833333,23.4849166667,19.7474166667,15.9721666667,19.9368333334
240.04,17.75225,20.8615833333,17.9105,19.0073333333,17.967,20.4770833334,14.0434166667,22.0714166667,18.3965,14.473,18.4984166667
240.42,17.5275833333,19.8734166667,16.9338333333,18.1116666667,17.2505833333,19.7741666667,13.5195,22.2089166667,18.1511666667,14.4893333333,18.2503333333
240.79,16.701,18.6830833333,16.2443333333,17.356,16.2530833333,19.1658333334,13.3834166666,22.3716666667,17.2956666667,13.952,17.70075
241.17,14.9239166667,16.4078333333,14.1780833333,15.586,14.4824166667,17.0166666666,11.8796666667,21.3849166666,15.7534166667,12.4656666667,16.4229166666
241.54,12.8098333333,13.9684166667,12.08775,13.287,12.28525,14.50675,9.91408333334,20.10775,13.4436666667,10.6024166667,14.4861666667
241.92,12.0979166667,13.17625,11.3000833333,12.4718333333,11.3749166666,13.72475,9.16241666667,19.87025,12.49675,9.85416666668,13.6686666667
242.29,11.4965833333,12.4970833333,10.5713333333,11.7683333333,10.58275,13.1331666667,8.36791666668,19.7375,11.6470833334,9.44958333336,13.1449166667
242.67,11.1605,12.3658333333,10.5359166667,11.5275,10.1579166667,12.6999166667,8.09774999999,19.96475,11.48375,9.31408333333,12.85875
243.05,11.6265833333,12.48175,10.9246666667,11.46825,10.0854166667,12.6768333333,8.41783333332,20.4453333333,11.7533333333,9.73724999999,13.231
243.42,11.80775,12.6929166667,11.0871666667,11.6481666667,10.0165833333,12.7136666667,8.78124999999,20.6761666667,11.7305,9.95466666668,13.5011666667
243.80,11.7031666667,12.703,10.9064166667,11.7031666667,9.87608333332,12.3273333333,8.44000000002,20.81825,11.6625833333,9.76949999999,13.5656666667
244.17,11.3686666667,12.4673333334,10.64625,11.5341666667,9.658,12.0660833333,8.12266666668,21.0364166667,11.51425,9.46216666667,13.3804166666
244.55,11.285,12.2145833333,10.793,11.6195,9.68608333334,12.0081666667,8.37283333332,21.1629166666,11.4571666667,9.58774999998,13.23775
244.92,11.3641666667,12.40375,10.6895,11.7295,9.92599999999,12.1650833334,8.60516666665,21.2993333333,11.4859166667,9.86983333334,13.3455833333
245.30,10.875,12.2524166666,10.5664166667,11.4964166667,9.88891666666,12.00475,8.46383333333,21.0549166667,11.06625,9.64983333333,12.9995833333
245.67,10.4859166667,11.95575,10.2409166667,11.1366666667,9.74283333334,11.7993333334,8.478,20.9076666667,10.90775,9.44583333335,12.7549166667
246.05,9.70941666666,11.3044166666,9.53066666667,10.4905833334,9.09266666666,11.2389166667,7.95733333334,20.4519166667,10.3445,8.89166666667,12.2463333333
246.42,8.97866666668,10.6306666667,8.76133333334,9.76450000002,8.43691666667,10.4501666667,7.35025,19.9671666667,9.60741666668,8.33333333334,11.5369166667
246.79,8.69783333333,10.38525,8.48641666667,9.4175,8.266,10.2903333333,7.30116666666,19.8181666667,9.17566666666,8.10991666666,11.43275
247.17,8.39875,10.0419166667,8.13133333334,9.17225,8.14275,10.045,7.08233333332,19.60925,8.97583333332,7.88116666667,11.19625
247.54,8.29816666667,9.7665,7.90883333333,8.91741666667,8.07108333333,9.91241666667,6.94341666668,19.5896666667,8.83366666668,7.77916666667,11.0424166666
247.92,8.47483333333,9.87716666666,8.12883333333,8.9205,8.11833333334,10.1471666667,7.14833333333,19.8044166667,8.93616666667,7.97416666667,11.1801666667
248.29,8.41316666666,9.72516666667,8.08583333333,8.89016666667,8.00083333334,9.96991666666,7.04200000001,19.68,8.69416666666,8.04208333333,11.0269166667
248.67,8.53,9.862,8.13408333333,8.96966666666,8.07991666667,10.0274166667,6.99100000001,19.8349166667,8.63591666667,8.00233333333,10.95575
249.04,8.31191666667,9.59716666668,7.85408333333,8.644,7.82983333333,9.70158333333,6.70516666667,19.4998333333,8.32516666667,7.76308333334,10.7273333333
