wavelength,Back_HemCalf,Belly_HemCalf,Breast_HemCalf,Crissum_HemCalf,Crown_HemCalf,DorTail_HemCalf,Patch10_HemCalf,Rump_HemCalf,Throat_HemCalf,WingTip_HemCalf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,455.0,506.666666667,560.0,493.333333333,620.0,444.473684211,526.666666667,540.0,596.666666667,603.333333333
179.16,-62.5,-85.0000000001,-123.333333333,-35.0,-106.666666667,-91.4035087719,-89.9999999999,-148.333333333,-128.333333333,-115.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,195.000066667,191.111066667,251.111066667,226.666666667,238.888866667,207.690150877,257.777866667,223.333533333,262.222333333,282.222333333
180.31,2246.66666667,2173.33333333,3473.33333333,2326.66666667,3040.0,2312.28070176,3076.66666667,3176.66666667,3443.33333333,3796.66666667
180.69,2416.66666667,2376.66666667,3670.0,2373.33333333,3243.33333333,2420.61403509,3260.0,3566.66666667,3673.33333333,4076.66666667
181.07,354.444366667,341.7778,524.0,345.333333333,432.888866667,352.175368421,483.111066667,515.111133333,524.000066667,549.3332
181.45,227.0832,205.8334,330.833333333,223.888933334,279.166733333,216.162189474,321.388933333,323.611,334.999866667,346.9444
181.83,242.8987,232.7536,355.362333333,247.246266667,313.3332,235.530292982,346.666733333,353.6232,364.6376,385.217533333
182.21,194.712666667,186.8966,283.678,188.965466667,245.0574,178.039977193,263.2186,287.5862,282.068933333,295.4024
182.59,208.666666667,196.533333333,314.666666666,205.866666667,262.666666667,192.154385965,292.533333333,322.666666667,317.066666667,314.4
182.97,226.087,214.7826,333.913066667,227.826066667,292.7536,192.677257895,304.927533333,344.057933333,339.4202,348.4058
183.35,147.7777,152.0,236.0,156.6666,204.000133333,115.035057895,209.555533333,246.888933333,243.5556,244.222266666
183.73,92.0155,104.651266667,161.3954,112.093066667,141.0854,76.2791298245,144.496133333,174.108733333,170.852733333,165.7364
184.11,121.2403,126.821733333,192.248,143.565866667,173.953466667,97.6988385964,171.162733333,207.907133333,202.0154,189.767466667
184.49,129.682533333,134.127066667,197.1428,147.9364,184.762,107.815324561,177.936466667,214.127066667,217.936466667,200.3174
184.87,120.75,125.166666667,195.333333333,149.5,185.333333333,95.2368421052,176.166666667,212.833333333,221.0,196.5
185.25,140.256433333,142.820533333,243.076933333,167.179466667,250.000066667,94.0419666667,200.769266667,279.487266667,291.025666667,265.128266667
185.63,140.1906,147.047533333,212.190533333,156.0,218.2856,109.548975439,172.5714,246.4762,247.047733333,235.238
186.01,137.948833333,133.675066667,189.230733333,141.880333333,208.547,108.169101754,154.53,224.786333333,219.3162,204.786333333
186.39,211.666666667,184.0,301.666666667,216.333333333,364.666666667,153.131578947,246.666666667,368.333333334,357.333333333,328.666666667
186.77,269.999866667,223.703866667,348.518466667,289.259133333,452.592533333,209.298361403,282.963,421.851866667,407.037066667,370.000133333
187.15,361.795,274.358933333,436.410333333,355.897533333,595.384666667,278.110614035,368.205,565.1282,504.102666667,451.282066667
187.53,-736.111166667,-423.333266667,-784.444466667,-590.000066666,-1217.7778,-503.070108771,-660.000066668,-1084.4444,-917.777599999,-810.000133335
187.91,-362.619,-182.381066667,-325.238133333,-246.666733333,-529.523933333,-209.360977193,-256.666533333,-458.571466667,-380.952266667,-305.238133333
188.29,-365.897466667,-175.3846,-300.512733333,-212.820533333,-544.615466667,-191.309078948,-249.743733333,-469.2306,-362.051333333,-268.718133333
188.67,-231.904733333,-96.1903999999,-177.142733333,-126.984266667,-324.444466667,-116.884010526,-136.508,-289.523733333,-206.984066667,-146.031733333
189.05,-188.5186,-71.6048666667,-125.432133333,-90.3703999999,-254.073866667,-108.297661403,-98.5185333334,-227.654333333,-160.9876,-110.864133333
189.43,-145.686333333,-47.2548000001,-87.2549333333,-67.0587333334,-189.4116,-85.1701508773,-74.3137333333,-169.803866667,-116.862733333,-68.0391999998
189.81,-68.1211999999,-5.69693333338,-24.9696666667,-20.7274,-96.1211999999,-28.2648578947,-18.7879333333,-77.0908666667,-47.8787333334,-15.6363333333
190.19,-50.2468333333,11.8518,-6.79006666658,-7.16053333326,-77.4074000001,-8.6127368422,0.98753333334,-64.5679333333,-35.8024,-3.58013333334
190.57,-41.3604333333,25.4422000001,9.52373333327,4.21779999993,-70.8843333333,0.65158070174,20.5441333334,-63.6734666667,-30.7484666666,4.4898
