wavelength,Back_SalStrm,Belly_SalStrm,Breast_SalStrm,Crissum_SalStrm,Crown_SalStrm,DorTail_SalStrm,Patch10_SalStrm,Rump_SalStrm,Throat_SalStrm,WingTip_SalStrm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,30.6350333333,55.2380666667,60.9522666667,59.0475999999,53.3334,49.5237333333,4.76186666667,29.5238,22.8572,4.76193333332
179.16,-412.222222222,-240.0,-66.6666666667,-266.666666667,-320.0,-380.0,-566.666666667,-333.333333333,-280.0,-626.666666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-67.5555555556,-40.0,-38.6666666668,-46.6666666667,-77.3333333333,-74.6666666667,-34.6666666666,-26.6666666666,-77.3333333334,-110.666666666
180.31,266.555555556,212.0,-1.3333333334,243.333333333,270.666666667,162.666666667,308.0,206.0,253.333333333,388.000000001
180.69,535.333333334,448.0,-6.66666666686,511.999999999,566.666666666,353.333333334,634.666666666,422.666666667,500.0,821.333333333
181.07,386.507944445,300.0,27.619,388.571466667,428.571533333,261.904733333,422.8572,313.333333333,354.285733333,552.380933334
181.45,981.111111113,826.666666665,-110.0,1076.66666667,1236.66666667,623.333333334,1226.66666667,810.0,980.0,1643.33333333
181.83,-101.333333333,-118.666666667,81.9999999999,-182.0,-186.666666667,-82.6666666668,-174.666666667,-137.333333333,-155.333333333,-287.333333333
182.21,-22.3076222223,-24.6153333335,115.384533333,-106.154,-74.8718000001,0.0001999998,-85.1281999998,-54.3589999999,-49.2307333333,-158.9744
182.59,39.4444888889,49.5555999999,101.333333333,8.22220000013,17.9999333334,53.7777999998,23.5555999999,37.5556,37.5554666666,-15.3333999999
182.97,58.2389777778,59.8740666666,86.2893333333,45.1572000001,46.5408,65.7862666667,49.4338666667,59.4968666667,52.7044666667,29.6854666667
183.35,74.1718666667,68.5535333334,93.4591333333,62.5157999999,61.3836000001,75.8491333333,61.5095333333,67.7986666667,67.0442,52.9560000001
183.73,70.7555555556,63.2000000001,81.2,52.8,60.9333333333,73.2,56.0000000001,60.3999999999,61.3333333333,46.0
184.11,56.6666111111,51.6129333333,65.6988666667,47.7418666667,53.4408666667,60.4301333333,49.6774,52.2580666666,56.5591999999,40.9678
184.49,52.9294555556,49.9999333333,62.8788000001,42.8787333334,49.0908000001,60.7576666668,40.7575333333,53.6364000001,50.4546,30.9090666667
184.87,41.6048888889,49.0740666668,49.2592666667,39.0741333335,47.0369333333,54.8147999999,27.5925333333,49.2592666666,42.0370666666,19.8147999999
185.25,16.3399111113,12.9410666665,32.1568666667,14.9020000001,48.6274666668,49.8039333334,-3.92153333314,41.1764,25.0982,-44.7058666667
185.63,39.0000000001,42.6666666667,55.3333333334,19.3333333335,107.333333334,125.333333333,43.3333333335,81.3333333332,71.3333333332,-50.6666666669
186.01,-75.5555555554,-25.8333333335,-35.8333333332,-39.1666666666,60.8333333334,124.166666667,-39.1666666666,50.0000000001,47.5,-110.0
186.39,-12.3932888889,-18.4615999999,-14.3588000001,14.3590666669,58.4613999999,108.205066667,-2.0513333332,27.6923333333,26.1538000001,-51.2820666667
186.77,-90.0,-466.666666667,-339.999999999,-40.0,363.333333333,593.333333334,-206.666666668,-160.000000001,-143.333333333,-523.333333332
187.15,92.8283333335,181.212066667,174.5454,58.7878000001,6.66686666654,-9.09086666653,129.091066667,144.8486,109.697066667,183.6364
187.53,158.383777778,229.696933333,240.0,107.2728,56.3635999999,52.7272666667,185.454533333,185.454533333,184.242466667,269.090933333
187.91,147.222288889,253.889,242.7778,108.333266667,90.5556666667,95.0000666667,195.5556,211.666666667,193.888866667,272.7778
188.29,42.7160222222,102.222133333,106.4198,42.2221333334,25.4321333334,34.0742666668,82.4690666667,86.9135333332,77.5308666668,115.802333333
188.67,-14.1269666667,297.143,316.190466667,49.5238000006,-68.5713333335,27.6190666665,147.619,228.5714,125.7142,279.047666667
189.05,-136.805555556,203.333333333,198.333333333,-38.3333333335,-156.666666667,-89.1666666668,-6.6666666666,107.5,-6.6666666666,107.5
189.43,334.127044444,-75.2381333333,-74.2857333331,215.238133334,302.857266667,246.666666667,171.428533334,34.2857333331,176.190466667,69.5238
189.81,203.3334,-55.5554666667,-59.4443999999,133.888866667,173.8888,142.777733333,106.666666667,26.1112,87.2222,76.6666666667
190.19,-3051.11111111,139.999999999,240.0,-1986.66666667,-2673.33333333,-2020.0,-1780.0,-700.0,-1393.33333333,-1453.33333333
190.57,-168.205077778,68.2051333331,60.0,-72.8206,-142.051333333,-73.8462,-72.8206,-6.66666666674,-41.0256666667,-53.8461333333
190.95,-45.1851222223,69.3827333335,75.3086,9.87653333334,-18.7654666666,13.5801999999,2.46906666668,32.3456000001,18.0247333333,7.6543333334
191.33,-32.9085444445,44.7059999999,62.5490666667,27.0587333334,-8.23526666667,10.0000666666,-0.78433333334,15.0980666667,17.6469333333,13.3333333333
191.71,-99.5652888888,25.2174000001,39.7101333334,1.44933333327,-55.9419333333,-36.8116000001,-56.8116666665,-19.9998666667,-33.0435333334,-19.9998666666
192.09,-88.0076888889,4.3678,16.0920666666,-6.89653333338,-65.7472,-42.0690000001,-68.9655333333,-28.7355333333,-35.1723333333,-37.9308000001
