wavelength,Back_TanCyam,Belly_TanCyam,Breast_TanCyam,Crissum_TanCyam,Crown_TanCyam,DorTail_TanCyam,Patch10_TanCyam,Patch11_TanCyam,Patch12_TanCyam,Patch13_TanCyam,Rump_TanCyam,Throat_TanCyam,WingTip_TanCyam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,247.166666667,266.166666667,261.333333333,255.333333333,268.666666667,282.0,278.0,250.666666667,272.666666667,240.0,246.0,272.0,261.333333333
179.16,1324.16666667,1519.16666667,1380.0,1373.33333333,1493.33333333,1490.0,1433.33333334,1260.0,1436.66666667,1330.0,1368.33333333,1553.33333333,1356.66666667
179.54,619.166666667,676.833333333,613.333333333,656.666666667,693.333333333,689.166666667,630.0,651.666666667,653.333333333,623.333333333,639.166666667,665.0,586.666666667
179.93,-356.666666667,-432.333333333,-318.666666667,-357.333333333,-445.333333333,-379.333333333,-408.0,-420.0,-402.666666667,-356.0,-385.333333333,-390.666666667,-344.0
180.31,312.3125,350.8375,307.0,312.5,350.25,325.958333333,329.416666667,306.416666667,327.333333333,299.166666667,319.75,332.833333333,305.666666667
180.69,280.577633333,311.752416667,276.105666667,276.369666666,309.637066667,286.600766667,292.673266667,271.5512,290.6272,265.7426,284.8846,297.623733333,275.445533333
181.07,276.270516667,306.30695,271.947333333,269.967066667,305.676533333,274.9175,287.722866667,264.818466667,285.280466667,263.498466667,282.145233333,295.445533333,272.607266667
181.45,247.008983333,271.657753333,242.559466667,240.297666667,273.095266667,240.6845,254.583266666,236.011933333,252.321466667,235.5952,252.5298,261.488133333,244.4642
181.83,270.6,296.35,267.533333333,261.2,300.533333333,260.133333333,276.933333333,253.666666667,274.333333333,255.266666667,274.4,285.0,268.666666667
182.21,258.36445,278.68527,259.0654,248.473533333,286.853533333,250.093466667,261.432933333,237.8816,260.000066667,242.678933333,259.376833333,271.588733333,259.0032
182.59,292.29825,312.677013333,295.719333333,276.912266667,319.649133333,283.5086,291.578933333,267.859666667,292.9124,271.4386,293.649033333,306.736866667,290.9472
182.97,336.666616667,359.84778,343.045266667,310.9466,367.078266667,325.7614,331.934266667,304.362,335.390866667,309.382733333,335.2264,351.275666667,332.263333333
183.35,366.05265,383.995673333,375.263066667,336.403466667,401.754333333,354.079,353.859466667,331.0528,366.403333333,334.561333333,360.307,378.859733333,363.157933334
183.73,373.244366667,389.982203333,391.5556,345.511133333,410.2222,360.5777,360.622066667,342.222266667,377.777666667,344.177866667,368.711066666,386.933333333,370.577866667
184.11,318.25925,330.9814,338.740666667,293.259133333,345.555466666,306.592566667,305.333333333,290.8888,322.963,296.666733333,313.8148,333.4814,313.925866667
184.49,386.783983333,401.53069,420.2818,357.934333333,422.629,373.943633333,369.4836,349.8594,395.774666667,366.291066667,388.920333333,408.732466667,383.192466667
184.87,505.833366667,525.326816667,557.435933333,471.666733333,562.179333333,499.935766667,487.948733333,461.1538,526.6668,484.359066667,519.1025,534.999933333,502.692333334
185.25,550.992783333,580.666663334,612.907733333,516.1702,614.468133333,558.439833333,527.9432,513.0496,581.985866667,524.255266667,566.1702,579.5744,548.652466667
185.63,653.67525,691.435983333,736.068333333,608.376066667,728.376066667,671.453,625.982933333,608.888866667,697.948666667,610.4274,673.076833333,690.2564,648.2052
186.01,579.65125,617.007806667,650.697733333,542.015533333,647.596933333,604.263466667,555.038733333,535.814,619.3798,535.968933333,607.751966667,612.403133333,569.457333333
186.39,690.539166667,743.28437,776.666733333,650.3922,770.588333334,716.568533333,648.627333333,625.490066667,726.862733333,622.352933333,737.4509,724.117666667,659.411666667
186.77,840.384583334,914.153796666,941.025733333,797.692266666,951.282066668,855.1283,781.025800001,743.846133333,888.205200001,742.0514,905.2564,862.820466667,784.102533333
