wavelength,Back_ParCorm,Belly_ParCorm,Breast_ParCorm,Crissum_ParCorm,Crown_ParCorm,DorTail_ParCorm,Rump_ParCorm,Throat_ParCorm,WingTip_ParCorm
192.09,-642.3528,-658.039133333,-487.843266667,-477.647,-635.294266668,-692.549000001,-691.372533333,-548.627466667,-630.9804
192.47,-581.754466667,-577.894666667,-434.035133333,-442.456133333,-588.070200001,-632.631666666,-617.543933333,-494.0352,-555.438533333
192.85,-1074.0,-1069.33333333,-812.0,-860.666666667,-1104.66666666,-1229.33333333,-1173.33333333,-960.666666667,-1051.33333333
193.23,-1270.0,-1240.0,-934.166666665,-1032.5,-1346.66666667,-1483.33333333,-1415.0,-1150.0,-1270.0
193.61,-1545.71426667,-1470.47613333,-1145.71426667,-1324.76193333,-1612.38093333,-1836.19066667,-1728.57133333,-1401.9048,-1540.0
193.99,-2500.0,-2285.0,-1795.0,-2235.0,-2588.33333333,-2980.0,-2821.66666667,-2310.0,-2516.66666667
194.37,1405.83333333,1251.66666667,1038.33333333,1312.5,1460.0,1650.83333333,1531.66666667,1304.16666667,1417.5
194.75,581.270066667,520.9524,445.7142,546.984133333,591.111066667,677.777866667,628.571333333,542.222266667,607.301466667
195.13,560.000066667,513.333333333,426.9842,521.2698,562.857133333,660.9524,616.825466666,519.999933333,606.031866666
195.51,-2340.0,-1993.33333333,-1655.0,-2018.33333333,-2306.66666667,-2783.33333333,-2595.0,-2070.0,-2586.66666667
195.89,-1149.16666667,-967.500000001,-800.833333335,-959.999999999,-1146.66666667,-1360.83333333,-1282.5,-1016.66666667,-1275.83333333
196.27,9940.00000001,8546.66666667,7360.0,8773.33333334,10106.6666667,11626.6666667,11046.6666667,9219.99999999,10940.0
196.65,-2485.0,-2226.66666667,-1935.0,-2333.33333333,-2671.66666667,-2958.33333333,-2878.33333333,-2481.66666667,-2831.66666667
197.03,-1400.95233333,-1302.85706667,-1106.66673333,-1302.857,-1596.19053333,-1706.6666,-1644.76193333,-1417.143,-1600.0
197.40,-551.764733334,-527.450866667,-456.0784,-534.901866667,-639.607866667,-693.333199999,-682.352866667,-543.137266667,-626.274533333
197.78,-797.575799999,-759.999933333,-665.454533333,-778.181866667,-953.939533332,-990.909200001,-966.6666,-762.424333334,-918.181800001
198.16,-574.166666667,-580.833333333,-482.5,-571.666666667,-710.833333332,-715.416666667,-696.25,-537.083333334,-662.083333333
198.54,-656.190533333,-694.761933333,-531.9048,-665.714266667,-804.761933334,-839.523799999,-796.190466667,-599.999866667,-751.428533333
198.92,-244.086,-269.4624,-190.5376,-252.258066667,-321.935466667,-317.8494,-313.333333333,-227.742066667,-278.924666667
199.30,-306.923066667,-333.5898,-246.666733333,-338.974466667,-411.538466667,-402.564066667,-402.820466667,-299.743666667,-350.2566
199.68,-619.555666666,-683.555599999,-523.555533333,-709.333333333,-828.000066667,-805.333199999,-807.555533333,-625.7778,-700.889066667
200.06,-1128.33333333,-1250.0,-995.0,-1362.5,-1561.66666667,-1525.0,-1516.66666667,-1150.0,-1279.16666667
200.44,9080.00000001,10026.6666667,8239.99999999,11300.0,12546.6666666,12800.0,12320.0,9366.66666668,10353.3333333
200.82,614.222266667,666.222266667,560.444333333,761.777799999,812.889000001,850.222266667,802.222266667,601.777733333,680.888866666
201.19,959.999933332,971.111133333,844.444399999,1202.2222,1226.66666667,1320.00006667,1209.62973333,908.148266667,1045.18506667
201.57,719.444466666,671.111066667,599.4446,851.111200001,902.2222,955.555533334,842.777733333,670.555466667,759.444333335
201.95,1511.11106667,1335.55566667,1205.55546667,1712.22226667,1795.55553334,1953.33333333,1751.11113333,1343.33333333,1475.5556
202.33,-778.000000001,-658.000000001,-595.333333333,-934.0,-914.0,-1032.66666667,-910.000000001,-671.333333333,-729.999999999
202.71,-862.222333333,-688.148133334,-673.333400001,-1011.85186667,-1008.1482,-1100.74053333,-995.555533333,-731.111000001,-793.333200001
203.09,7359.99999999,5433.33333333,5480.00000001,8613.33333333,8766.66666666,9626.66666665,8659.99999999,6193.33333332,6626.66666668
203.47,-677.333333333,-464.666666667,-470.666666667,-794.0,-833.999999999,-877.333333332,-800.0,-563.999999999,-564.666666667
203.85,-4.22638942303e+15,-2.7166600025e+15,-2.82754408423e+15,-4.92581209244e+15,-5.14758025591e+15,-5.30111206139e+15,-5.09640298741e+15,-3.28813950067e+15,-3.42887698902e+15
204.22,3256.66666667,2020.0,2220.0,3726.66666667,3866.66666667,4056.66666667,3930.0,2670.0,2580.0
204.60,-805.0,-425.833333334,-530.000000001,-892.499999999,-944.166666666,-920.000000001,-959.166666668,-612.5,-598.333333333
204.98,-887.499999999,-442.5,-567.500000001,-938.333333334,-982.500000001,-971.666666668,-1054.16666667,-655.833333333,-705.000000001
205.36,-1865.0,-1113.33333333,-1308.33333333,-2115.0,-2175.0,-2156.66666667,-2308.33333333,-1381.66666667,-1603.33333333
205.74,2900.0,2062.22226667,2195.55553333,3386.6668,3371.11106667,3388.88893333,3611.11106667,2357.77786667,2515.55553333
