wavelength,Back_PooCaef,Belly_PooCaef,Breast_PooCaef,Crissum_PooCaef,Crown_PooCaef,DorTail_PooCaef,Patch10_PooCaef,Patch11_PooCaef,Rump_PooCaef,Throat_PooCaef,WingTip_PooCaef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,250.0,233.333333333,233.333333333,550.0,783.333333333,333.333333333,100.0,633.333333333,383.333333333,283.333333333,416.666666667
179.16,158.333333333,-8.33333333333,75.0,33.3333333333,-125.0,-91.6666666667,58.3333333333,-108.333333333,-8.33333333333,8.33333333333,75.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,143.589666667,269.230666667,312.820333333,323.077,635.897666667,161.538,61.5383333333,594.871666667,338.461333333,164.102666667,320.513
180.69,79.1666666667,391.666666667,420.833333333,416.666666667,941.666666667,137.5,-20.8333333333,945.833333333,500.0,208.333333333,441.666666667
181.07,-40.7406666667,322.222,296.296333333,211.111,633.333333333,44.4446666667,-92.5926666667,748.148,359.259333333,70.3703333333,270.370333333
181.45,-125.926,311.111,262.963,148.148,551.851666667,-66.6666666667,-148.148,618.518333333,266.666666667,-29.6296666667,207.407333333
181.83,4.16666666667,245.833333333,177.083333333,127.083333333,320.833333333,22.9166666667,-56.25,366.666666667,179.166666667,10.4166666667,185.416666667
182.21,10.6666666667,182.666666667,118.666666667,110.666666667,212.0,41.3333333333,-26.6666666667,253.333333333,130.666666667,22.6666666667,141.333333333
182.59,17.1426666667,121.904666667,104.761666667,79.048,150.476,44.762,-10.4763333333,198.095333333,99.0476666667,28.5713333333,108.571333333
182.97,32.2916666667,81.2503333333,61.979,63.0206666667,103.646,51.042,12.5,126.041666667,77.0836666667,31.771,88.021
183.35,13.846,60.5126666667,52.8206666667,60.0,98.974,45.128,11.282,115.384666667,68.7183333333,21.5383333333,69.2306666667
183.73,5.16433333333,54.9293333333,58.6853333333,62.4413333333,91.0796666667,54.46,19.2486666667,106.103333333,66.197,16.9016666667,61.5023333333
184.11,-15.2046666667,49.7076666667,54.9706666667,54.9706666667,92.9826666667,39.766,-7.60233333333,106.433,53.8013333333,-0.584666666667,50.2926666667
184.49,-2.451,56.8626666667,47.0586666667,52.941,79.902,54.412,-1.7763568394e-15,88.2353333333,51.9606666667,12.745,47.0586666667
184.87,11.5383333333,48.2906666667,47.436,53.4186666667,75.641,60.2566666667,12.8203333333,79.9143333333,49.145,8.54733333333,45.7263333333
185.25,5.08466666667,39.5483333333,53.1073333333,61.0166666667,91.5256666667,53.6723333333,-1.13,95.48,52.5423333333,-1.12966666667,45.7626666667
185.63,20.3703333333,26.852,57.4073333333,54.1666666667,77.7776666667,47.6853333333,-1.852,91.6666666667,52.3146666667,10.185,41.2036666667
186.01,16.432,19.249,61.5023333333,46.0096666667,81.2206666667,39.906,-4.22533333333,88.2626666667,55.8683333333,9.38966666667,28.169
186.39,-7.47133333333,-2.299,50.5746666667,27.0116666667,76.4366666667,21.2646666667,-28.1606666667,78.7356666667,45.4023333333,-12.069,5.17266666667
186.77,-29.6293333333,1.18423789293e-15,42.222,22.9633333333,80.0,-3.70366666667,-50.3703333333,79.2593333333,36.2963333333,-26.667,-15.5556666667
187.15,-51.4286666667,-0.952333333333,53.3333333333,32.381,67.619,-28.5716666667,-77.143,88.5716666667,15.238,-39.0476666667,-44.762
187.53,-76.344,24.731,61.2903333333,22.5806666667,55.914,-62.3653333333,-115.053666667,109.677333333,4.301,-32.258,-51.6126666667
187.91,-75.8616666667,21.839,60.9196666667,21.839,51.724,-81.609,-155.172333333,105.747,-10.345,-36.7816666667,-65.5173333333
188.29,-61.5383333333,46.1536666667,74.359,48.718,39.7436666667,-76.9233333333,-147.436,135.897333333,11.5383333333,-16.6666666667,-29.4873333333
188.67,-147.619,16.6666666667,121.428333333,92.8573333333,16.6666666667,-245.238333333,-326.190666667,204.762,23.8096666667,-114.285666667,-90.476
189.05,-116.666666667,140.0,256.666666667,246.666666667,103.333333333,-260.0,-430.0,330.0,100.0,-53.3333333333,-36.6666666667
189.43,25.2873333333,106.896333333,135.632,141.379,83.908,-3.448,-81.6093333333,139.080333333,62.069,27.5863333333,22.9883333333
189.81,106.666666667,713.333333333,680.0,860.0,373.333333333,33.3333333333,-426.666666667,733.333333333,286.666666667,-6.66666666667,66.6666666667
190.19,14.286,-442.857,-385.714,-561.904666667,-190.476333333,47.619,361.904666667,-461.905,-176.190333333,90.4763333333,4.762
