wavelength,Back_SchRufm,Belly_SchRufm,Breast_SchRufm,Crissum_SchRufm,Crown_SchRufm,DorTail_SchRufm,Patch10_SchRufm,Rump_SchRufm,Throat_SchRufm,WingTip_SchRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,42.8573333333,23.8095555556,42.8572222222,34.127,26.1905555555,29.365,33.3335,22.2222222222,31.3492777778,14.2855555555
179.16,20.8333333334,13.8888888889,-12.5,47.2222222222,8.33333333333,9.7222222222,-8.33333333332,9.72222222223,26.3888888889,30.5555555556
179.54,177.777777778,33.3333333333,151.852111111,188.889,196.296222222,181.481333333,127.777666667,259.259333333,211.111,196.296222222
179.93,11.1111111112,211.111111111,88.888888889,544.444444443,333.333333333,666.666666665,300.0,244.444444444,194.444444444,344.444444445
180.31,-30.2683333334,-16.092,-8.81244444447,-75.0958888889,-9.19533333333,-69.7317777779,-36.7815,-41.7625555557,-80.2681111111,-45.977111111
180.69,-137.5,-102.777777778,-100.694444445,-220.833333333,-86.8055555558,-224.305555556,-135.416666666,-156.944444444,-254.861111111,-168.75
181.07,-459.259222223,-233.333333334,-337.037111111,-648.148333334,-231.481555556,-661.111,-405.555333334,-474.073888889,-816.666833333,-438.888666668
181.45,-428.571333333,-203.174555556,-368.253888889,-573.016,-230.158666667,-615.873,-421.4285,-412.698444444,-769.841444445,-407.936444444
181.83,-292.222222222,-141.111111111,-254.444444444,-393.333333333,-127.777777778,-374.444444445,-265.0,-203.333333333,-547.222222222,-237.777777778
182.21,-196.527777778,-84.0277777777,-169.444444445,-238.194444444,-53.4722222222,-206.944444445,-167.708333333,-98.611111111,-361.458333333,-113.888888889
182.59,-285.185111111,-116.296222222,-233.333444444,-280.0,-92.5926666667,-267.407333333,-214.444333333,-122.962888889,-417.777888889,-177.777888889
182.97,-258.479555556,-137.426888889,-232.748444445,-246.199,-90.6433333334,-223.391888889,-185.0875,-111.111222222,-337.426944445,-157.894888889
