wavelength,Back_TanArtf,Belly_TanArtf,Breast_TanArtf,Crissum_TanArtf,Crown_TanArtf,DorTail_TanArtf,Patch10_TanArtf,Patch11_TanArtf,Patch12_TanArtf,Patch13_TanArtf,Rump_TanArtf,Throat_TanArtf,WingTip_TanArtf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,168.0,142.666666667,227.333333333,159.333333333,161.333333333,182.666666667,98.6666666665,126.666666667,181.333333333,209.333333333,130.666666667,145.333333333,172.0
179.54,86.0607333333,69.0908,94.2424333333,94.8484666666,93.9394,96.9697333333,92.1211333333,71.515,115.454666667,98.7878,80.6059999999,95.1516,107.2728
179.93,93.3333333334,213.333333333,510.0,660.0,346.666666667,293.333333334,206.666666667,40.0,316.666666667,246.666666667,100.0,520.000000001,313.333333333
180.31,130.601,146.448,188.9617,173.2241,166.229466666,150.491666667,142.295133333,129.071133333,168.305966667,180.437,141.3114,151.475533333,158.2514
180.69,131.2904,147.5268,193.225833333,175.161166667,167.204333334,152.365466667,149.784866667,130.752666667,177.365533333,186.129,140.107533333,150.322666667,158.279733333
181.07,112.929266667,126.2626,172.8788,161.0605,148.3838,135.3536,137.272733333,109.494933333,156.464733333,165.6566,122.424266667,133.6364,143.5352
181.45,100.939,115.586733333,155.8215,148.357,136.338066667,125.070266667,131.079733333,98.4976666667,145.023333333,154.178333333,112.112733333,124.507,129.765266667
181.83,90.1333333333,108.888866667,143.688833333,134.533166667,125.511066666,113.422333333,119.111066667,87.2888666666,127.777733333,143.5556,101.777866667,112.088866667,113.511066667
182.21,95.3777333335,113.7778,143.777666667,135.911166667,129.955533333,113.955666667,123.911133333,90.3110666668,132.755733333,151.822133333,107.7334,112.533466667,114.133333333
182.59,87.9166666666,103.0,126.875,124.583333333,119.083333333,99.8333333334,116.916666667,82.8333333333,124.208333333,136.083333333,98.9166666665,100.5,103.416666667
182.97,86.1333333335,103.111,126.444333333,126.133366667,117.333266667,97.2443333333,118.311133333,85.9554666667,125.999966667,136.177866667,100.000066667,100.444466667,103.555533333
183.35,84.0310666666,100.077466667,113.333266667,121.434166667,108.9922,90.7751333333,113.178266667,80.3875999999,121.0854,125.658933333,93.7983333333,96.5891333334,97.2869333333
183.73,71.0622666667,90.5494666667,96.2271999999,110.9891,96.9963333333,81.3918666667,101.318666667,69.0108666667,106.886533333,113.699666667,78.0951333333,86.0807333333,88.2784
184.11,56.9122666667,73.8246000001,81.5437666667,95.9647333333,80.5614666666,70.3859333333,83.4385333333,57.8246666667,90.0000333334,100.771933333,64.0701999999,70.5966666667,72.9122666667
184.49,57.6556666667,74.652,78.9745000001,97.3259666666,80.7326,72.6740666667,80.6593333333,59.1941333333,93.7727666665,101.9048,64.8352000001,70.5494,66.2271333333
184.87,61.6666666667,82.4999999999,86.0416666666,110.166666667,87.6666666666,80.0,80.8333333333,67.0,99.4583333333,112.583333333,74.1666666667,78.9166666668,73.8333333333
185.25,67.6711999999,91.6894666667,90.4565666666,118.9041,94.5206000001,81.9179333334,89.7716666668,76.7123333333,110.2283,122.4656,80.2739999999,82.9222000001,78.6300666667
