wavelength,Back_TanPunf,Belly_TanPunf,Breast_TanPunf,Crissum_TanPunf,Crown_TanPunf,DorTail_TanPunf,Patch10_TanPunf,Patch11_TanPunf,Patch12_TanPunf,Rump_TanPunf,Throat_TanPunf,WingTip_TanPunf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,93.7499999998,35.4166666667,35.4166666667,6.25,64.5833333333,68.25,64.5833333333,93.75,54.1666666667,54.1666666667,81.25,47.9166666667
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,130.952333334,102.380833333,169.047833333,28.5713333335,88.0953333333,87.4286199998,128.571333333,54.762,78.5715,71.4286666667,104.761833333,66.6668333331
179.93,51.6666666668,33.3333333333,61.6666666667,11.6666666667,21.6666666667,68.2666666667,40.0,11.6666666667,-10.0,45.0,41.6666666667,30.0
180.31,74.2688333332,37.7194166665,73.9765,6.1405,38.0116666667,84.2221666666,68.1286666667,52.3391666667,5.5556666667,62.5730000002,66.3745,67.2513333332
180.69,86.0545,34.6939166665,88.7755,0.68033333335,39.4556666667,97.8640200001,78.5714999998,60.2041666666,0.0,65.6461666668,75.8503333333,79.2518333335
181.07,83.7123333335,26.1365,106.060833333,2.2725,29.5453333333,106.969653333,84.4696666665,62.8788333334,-4.16650000001,68.9394999998,74.2425,95.8331666667
181.45,82.2694999999,20.9220833335,105.673666667,16.3118333334,32.2695,99.2059066665,79.7873333333,64.539,-5.31916666666,61.7020000002,71.6311666667,97.1630000002
181.83,52.7776666666,-12.6981666665,84.5236666665,2.7776666665,-7.53966666665,86.7938066665,50.0001666665,55.1588333333,-47.2223333334,39.2854999999,48.0158333333,87.6986666665
182.21,53.6583333331,-15.0405,85.3656666667,4.87816666665,-14.2276666667,85.2194533335,51.2196666669,67.886,-58.943,28.8618333332,41.4631666666,81.7074999999
182.59,68.155,18.7498333335,93.1546666669,31.8453333334,14.881,87.3452466665,62.7976666667,76.1905,-23.8095,44.3451666665,68.1548333333,85.1190000001
182.97,78.6884999998,41.9398333335,100.546333334,46.7214999999,28.142,98.8303933335,68.5791666667,93.1695,-6.5573333333,55.1913333333,76.7758333333,92.8961666668
183.35,72.0513333331,38.84625,91.2820000002,43.5898333335,25.8973333334,84.2565,60.2564999998,96.1538333334,-16.41,53.8461666668,61.282,84.6155000001
183.73,82.1138333335,46.3416666665,127.235833333,46.3413333334,0.813,93.6586133332,56.5041666668,126.8295,-52.4391666667,56.9104999999,61.7885,104.878166667
184.11,95.6350000002,57.7380833335,149.603166667,60.3173333332,7.53966666667,108.952373333,53.5714999998,124.206333333,-30.1588333333,62.3018333335,79.7618333331,111.904666667
184.49,99.1666666668,47.9166666665,151.25,62.9166666665,-6.25,103.2,45.0,119.166666667,-36.6666666667,53.3333333332,72.5,110.416666667
184.87,91.5095000002,49.2138333333,137.107,64.1508333335,2.20133333335,95.5847533335,49.0565000002,97.7986666667,-9.434,55.0315000002,71.6981666666,84.9054999999
185.25,90.4761666667,48.3631666667,128.571333333,60.7143333332,2.38099999998,86.5950666669,41.3691666668,87.7974999999,-19.6431666667,46.4285,76.4881666667,63.9881666668
185.63,98.6111666665,55.9026666666,154.861166667,66.6666666667,-7.29166666665,93.4585000001,37.8473333334,95.8333333333,-26.7363333334,52.0833333332,85.4166666667,68.7498333333
186.01,109.523833333,67.1770833335,168.367333333,73.4695000001,15.6463333334,101.72792,50.3399999999,108.503333333,-11.5646666667,64.2856666665,92.177,71.7688333334
186.39,171.333333333,90.6666666665,290.0,114.0,8.0,164.746666667,63.3333333335,166.666666667,-57.3333333335,88.6666666668,162.666666666,106.666666667
186.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.15,-841.666666665,170.833333335,-2683.33333334,-16.66666667,1008.33333333,-816.666666665,8.333333335,-549.999999998,1741.66666667,216.666666668,-1175.0,-591.666666665
187.53,-147.222166667,90.2776666665,-916.666666665,66.6665,402.777833333,-261.88896,36.1111666665,-19.4445,627.777833335,183.333333334,-361.110833333,-0.000166666500036
187.91,-71.4288333335,217.856916667,-711.904666667,80.9523333335,428.571333333,-198.856993333,52.3808333335,102.380833334,511.904666665,300.0,-276.1905,197.618833334
188.29,45.238,195.23825,-254.762,102.380833333,289.285666666,-14.523886667,84.523666667,126.190666666,352.381,247.619166667,-30.9525,221.428833333
188.67,133.33333333,2650.0,-4366.66666666,1333.33333333,3816.66666666,-151.333333335,1066.66666667,1616.66666667,5050.0,3566.66666666,-800.0,3183.33333333
189.05,491.666666668,1437.5,-1675.0,958.333333335,2191.66666666,216.0,924.999999999,1041.66666666,2966.66666667,2100.0,75.0,1483.33333333
189.43,1.23678398858e+15,1.76988053538e+15,-1.6312754332e+15,1.43936067636e+15,3.18791734986e+15,6.21377334952e+14,1.32207943606e+15,1.92980949942e+15,3.8169712751e+15,2.84673555992e+15,5.54420408670e+14,1.73789474257e+15
189.81,-1091.66666667,-1287.5,1075.0,-1441.66666667,-2625.0,-343.666666665,-983.333333333,-1883.33333333,-3125.0,-2133.33333334,-600.0,-1825.0
190.19,-102.7775,-133.796416667,117.5925,-146.296333333,-287.036833333,-2.07423333335,-92.5926666665,-225.926,-316.666666666,-202.777666667,-15.7406666667,-212.037
190.57,-18.3333333333,-38.75,82.0833333331,-37.9166666668,-104.166666667,19.9666666667,-15.4166666667,-84.1666666665,-102.5,-54.1666666667,24.1666666667,-67.9166666667
190.95,-2.42416666665,-23.4846666666,56.6666666667,-7.87899999985,-64.5455,31.62438,-13.6365,-46.9696666665,-64.2423333333,-36.3635,23.9395,-60.303
191.33,-6.57883333335,-14.58325,36.8421666667,-0.2195,-45.6141666667,25.0264666667,-11.6228333333,-31.1403333334,-48.9035,-26.3158333333,14.0351666667,-43.8596666666
191.71,-1.7541666667,-14.4738333334,33.7718333333,14.4735,-33.7718333334,24.1666666666,-6.579,-23.2455,-37.4996666667,-19.5175,18.8598333333,-34.2106666666
192.09,-5.3031666667,-9.18575,29.9241666667,18.9395,-19.697,27.0379466667,0.56816666665,-19.5076666667,-29.356,-11.7425,15.1515,-22.5378333333
192.47,-12.4541666666,-10.71425,24.7253333334,18.4981666667,-16.3003333333,29.3183933334,-3.663,-20.5128333333,-19.597,-12.8203333333,17.033,-16.4836666667
192.85,-31.5788333333,-24.6706666666,7.23666666665,11.4036666667,-31.7983333334,20.8070533333,-16.8861666666,-41.228,-24.123,-25.6578333333,-0.43866666665,-26.0968333334
193.23,-43.2836666667,-37.06475,-4.4776666667,-0.000166666649999,-44.2786666666,11.76104,-34.0795,-56.219,-30.5971666667,-39.801,-9.453,-50.746
193.61,-62.4183333333,-63.8889166666,-13.7253333333,-8.8235,-62.745,16.3399333334,-57.5163333335,-83.6603333331,-51.3073333335,-73.5295,-36.2745,-86.9281666669
193.99,-54.3861666667,-65.6431666667,-18.1285,-10.8186666667,-52.9241666667,9.88312666665,-52.6313333331,-74.5615000002,-44.1521666666,-75.731,-35.0875,-68.1286666665
194.37,-109.596,-122.72725,-54.0405,-36.8688333333,-111.111166667,-1.77780666665,-95.9595,-150.505166667,-80.8080000002,-157.575666666,-86.3635000001,-121.212166666
194.75,-347.777666666,-346.111166666,-243.333166667,-193.333333333,-361.111166667,-71.9110999999,-312.222166667,-414.4445,-248.889166667,-470.0,-313.333333334,-378.888833333
195.13,3141.66666666,2933.33333334,2300.0,1958.33333333,3383.33333334,1223.66666667,2800.0,3683.33333334,2208.33333333,3933.33333334,2975.0,3083.33333334
195.51,411.111166667,411.57425,296.296333334,310.185166667,446.296166666,218.110886666,387.037166666,501.851666666,277.777833333,498.148333333,422.222333333,429.629666667
195.89,348.412833333,392.460583334,259.523666666,297.619,411.111166667,148.53984,339.6825,452.380833333,255.555833334,427.777666667,361.111,397.619166667
196.27,193.137166667,252.205666667,154.902,206.372666666,272.059,93.3726466668,210.294166666,274.999833333,154.411666667,260.784166667,207.843333333,246.5685
196.65,135.469833333,197.222166667,116.239166667,170.513,223.504333333,71.47006,159.4015,220.0855,127.777833334,214.957166667,163.247666667,206.8375
197.03,136.25,204.583333333,117.5,169.583333333,216.25,70.1833333335,157.083333334,216.25,141.666666667,218.333333333,163.75,206.666666667
197.40,167.083333333,237.5,143.333333333,185.416666667,235.833333333,96.4999999999,178.75,251.666666667,182.916666667,236.25,192.5,223.333333333
197.78,211.111,311.388916666,185.555666667,254.999833333,317.222166667,130.6445,232.777833333,332.222166667,242.222333333,292.777666667,228.333333333,280.5555
198.16,205.5555,277.314833334,167.129833333,225.926,276.851833333,114.759306667,199.537,291.203666666,215.740666666,254.166666666,196.7595,231.944333333
198.54,320.512666667,412.820333334,276.282,350.641,410.8975,199.102786666,310.8975,447.435666666,346.795,385.8975,300.641,357.051333333
198.92,314.814833334,405.864166666,270.987666666,337.037166667,405.5555,211.8519,317.283833333,462.3455,361.728333334,379.629833334,317.284166667,342.5925
199.30,391.666666667,507.5,314.166666666,424.166666666,518.333333334,248.766666666,385.0,583.333333334,449.166666667,470.833333333,376.666666667,422.5
199.68,229.798,261.868916667,172.222166667,228.282666667,306.565833333,124.868693333,194.9495,337.879,246.969833333,266.161666667,187.878833333,232.323166667
200.06,182.954666667,194.318083333,150.0,185.985,244.318,132.48508,156.060666666,273.485,195.075833334,213.2575,161.742333333,188.6365
200.44,212.612666666,205.405416667,177.477333333,198.198166667,268.919166667,148.937,177.477333333,311.7115,222.522333334,224.3245,190.089833333,209.009166667
200.82,244.762,240.714416667,208.571333333,226.1905,308.571333333,169.676173334,205.7145,349.523833333,267.619,242.380833333,232.380833333,234.762166667
201.19,252.777833334,251.666666667,242.222333333,246.666666667,338.333333333,157.044606667,219.4445,375.0,283.333166667,253.333166667,241.111166667,272.222166667
201.57,224.712666666,227.011583333,221.264166667,230.459833334,310.9195,133.93086,183.908166667,345.402166667,248.275833333,231.034666667,217.816166667,251.724333333
201.95,181.982,175.450583333,186.936833333,175.225166667,232.883,108.396606667,135.585333333,249.099,181.982,177.477333334,181.982,199.099
202.33,132.946,133.139416666,153.4885,118.604666667,176.356666667,80.5270733331,98.4495,182.170666666,134.1085,133.3335,136.821833333,162.015333333
