wavelength,Back_PhrCarm,Belly_PhrCarm,Breast_PhrCarm,Crissum_PhrCarm,Crown_PhrCarm,DorTail_PhrCarm,Rump_PhrCarm,Throat_PhrCarm,WingTip_PhrCarm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,45.238,104.761833333,14.2858333333,140.476,73.8093333333,30.9525,52.381,130.952333334,66.6668333335
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,110.416666667,114.583333334,64.5833333333,31.25,66.6666666667,97.9166666667,81.25,97.9166666667,56.2500000002
179.93,87.8786666668,66.6666666667,80.3031666667,54.5453333334,92.4241666665,31.8185,84.8483333333,84.8481666667,87.8786666666
180.31,216.6665,37.5000000002,209.722333333,-266.666666667,220.833166667,144.444666666,143.0555,143.055666667,191.666833333
180.69,284.523666666,71.4283333332,242.857166667,-186.904833333,294.047666667,203.571166667,201.190666667,207.142833333,239.285666666
181.07,357.575666667,112.121333333,254.5455,-262.1215,357.575666667,171.212333333,224.2425,275.757666667,300.0
181.45,161.111166667,73.6109999999,127.777666667,-120.139,165.277833334,60.4165,100.000166667,149.999833333,155.555666667
181.83,370.833333333,-10.4166666665,231.25,-541.666666667,293.75,8.3333333335,125.0,283.333333333,391.666666667
182.21,-130.0,128.333333333,-48.3333333335,586.666666667,-36.6666666665,43.3333333335,66.6666666665,-40.0,-171.666666667
182.59,-61.9046666667,86.5081666669,3.1745,292.857333334,-4.761666667,8.73,61.9048333335,17.4603333335,-51.5873333334
182.97,-64.9998333333,43.8888333333,-13.3335,173.333333333,-15.5553333333,5.00016666665,37.7776666665,-18.8886666666,-37.2221666666
183.35,-86.7816666665,26.4368333333,-32.184,144.253,-34.4825,-3.448,28.1611666668,-25.8621666667,-52.8735
183.73,-70.0,15.5555,-36.6666666667,133.888666667,-33.3331666667,-22.7778333333,15.0000000002,-14.9998333333,-37.7776666666
184.11,-168.0555,1.389,-18.0556666666,352.777833333,-75.0001666667,-20.8331666667,63.889,-81.9441666665,-37.5
184.49,-983.333333333,-108.333333333,66.6666666667,1991.66666666,-433.333333333,-316.666666666,324.999999998,-558.333333334,-658.333333333
184.87,-79.9999999999,-30.0,143.333333334,505.0,64.9999999998,55.0,128.333333333,-36.666666667,-61.6666666667
185.25,-40.2776666667,5.55566666665,144.4445,451.389166667,86.1111666667,-11.1111666666,148.611,-40.278,-20.8333333333
185.63,-14.5833333333,17.1875,61.9791666667,153.645833334,52.0833333333,-22.9166666667,57.2916666665,-4.6875,15.1041666667
186.01,-24.6913333333,-19.1356666667,59.2591666667,137.037166667,24.6913333333,-50.6175,39.5061666667,-38.2716666669,5.55550000001
186.39,-70.4545,-39.3938333334,79.5453333331,137.879,-10.606,-89.3938333333,17.4241666666,-93.1818333333,-17.4243333333
186.77,-73.5293333334,-60.7843333333,135.294166667,191.176333333,11.7646666667,-96.0781666666,2.94116666667,-122.549166666,-67.647
187.15,-191.666666667,-277.083333334,252.083333334,316.666666666,43.75,-320.833333333,-100.0,-370.833333333,-279.166666666
187.53,516.666666667,844.444333334,-966.666666669,-1016.66683333,-277.777833333,822.222166667,311.111,955.5555,649.999833333
187.91,375.0,375.0,-999.999999999,-716.666666667,-483.333333334,295.833333334,8.3333333333,775.0,395.833333333
188.29,-83.3333333333,-63.5416666668,255.208333333,144.791666667,160.416666666,-87.5,27.0833333333,-213.541666667,-97.9166666667
188.67,0.5555,6.6666666667,170.555666667,100.000166667,122.777666667,-6.11116666665,52.7776666666,-83.3333333331,-12.7778333333
189.05,-9.16666666666,34.1666666667,241.666666666,145.833333333,210.833333333,16.6666666665,108.333333333,-134.166666666,-35.0
189.43,-168.75,-41.6666666665,491.666666667,229.166666667,360.416666667,16.6666666665,106.25,-470.833333335,-235.416666667
189.81,141.666666667,113.333333333,-345.0,-218.333333334,-220.0,-1.6666666665,-21.6666666667,401.666666667,283.333333333
190.19,205.0,176.666666667,-283.333333334,-215.0,-180.0,45.0,18.3333333332,481.666666667,343.333333334
190.57,96.9134999999,80.2468333333,-83.9505000002,-71.605,-51.852,-17.2838333333,27.7776666667,199.382833333,141.358166666
190.95,85.7141666667,66.6666666668,-46.6666666667,-41.4288333333,-18.5713333334,-12.3806666667,33.8096666667,183.809333333,107.142833333
191.33,63.0433333333,36.9566666667,-33.3333333333,-25.3621666667,-1.4493333333,-21.3765,29.3478333334,133.695666667,72.4636666666
191.71,80.864,48.4565,0.3086666667,16.9753333333,20.0616666667,5.24683333334,40.7406666667,131.790166667,84.2591666667
192.09,83.0846666667,69.6516666667,23.6318333333,28.607,32.8358333333,23.8805,54.7263333333,123.631833333,89.0548333333
192.47,91.791,77.612,28.1091666667,26.1193333333,36.3183333333,13.1838333333,58.9551666668,124.626833334,95.2735000001
192.85,107.6575,86.937,40.3153333333,40.3155,39.6395,27.2521666666,71.6216666665,134.009,97.9729999999
193.23,94.9611666669,81.3951666666,41.2791666666,49.2248333334,47.4805,30.4261666666,69.1859999998,113.759666667,85.8526666667
193.61,91.6666666665,79.1668333333,48.2143333333,53.373,37.3016666667,34.3253333334,66.6668333332,112.5,92.262
193.99,104.229,80.5970000002,48.2588333333,60.9451666667,32.0895,29.353,66.1690000002,133.830833334,101.989833333
194.37,100.675666667,76.3513333333,49.0993333334,62.8378333334,36.4863333334,29.5048333333,63.2881666665,120.945833334,90.7658333333
194.75,131.915,108.865333334,66.6666666667,91.4893333334,35.8156666667,51.0636666666,76.9503333335,170.5675,124.468166666
195.13,146.511666666,126.744333333,89.5348333335,115.504,30.62,88.372,83.3334999998,176.356833333,142.247833334
195.51,260.606166667,246.212166666,131.060666667,196.212166667,9.09100000002,160.605833333,134.091,315.909166667,237.878833333
195.89,256.666666666,257.5,138.333333333,225.0,-9.99999999999,160.0,127.5,345.0,240.0
196.27,910.0,896.666666669,450.0,743.333333333,-153.333333333,553.333333333,383.333333331,1153.33333333,776.666666667
196.65,-483.3335,-522.222166667,-113.888833333,-461.111,383.3335,-408.333,-88.889,-633.333333333,-397.2225
197.03,-361.111,-502.777833333,-77.7778333331,-408.333333333,363.888833333,-363.889,-2.7778333335,-452.777833333,-369.4445
197.40,-48.387,-79.0323333332,2.15033333334,-39.785,102.1505,-70.9676666665,18.2796666665,-65.5914999998,-32.7956666666
197.78,-84.6155,-155.769333334,-18.5898333334,-90.3846666665,88.4616666667,-86.5381666665,-14.7435,-100.641166666,-42.9488333333
198.16,-140.0,-280.833333333,-55.0,-152.5,109.166666667,-122.5,-50.0,-150.0,-80.8333333333
198.54,-125.0,-353.5715,-40.4761666667,-204.761833334,219.0475,-136.904833333,-65.476166667,-148.8095,-78.5713333333
198.92,493.333333333,1300.0,476.666666666,936.666666667,-396.666666667,526.666666667,433.333333334,490.0,493.333333334
199.30,196.969833333,580.303,246.969666667,413.636333333,-181.817833333,127.2725,181.818333333,192.424333333,193.9395
199.68,105.747333333,233.3335,137.356166667,181.034666667,-43.1035,83.3333333335,92.5288333335,89.0808333334,109.195166667
200.06,196.969666666,515.151333334,278.787833333,343.939666667,-212.121333333,154.545666666,156.060833333,136.3635,239.393833333
200.44,-163.889,-766.666833333,-319.444333334,-475.000166667,547.222333333,-130.5555,-47.222333333,-52.777666667,-233.3335
200.82,156.1405,349.122666666,202.631666666,261.403166666,-60.5263333331,151.754166666,139.4735,128.070333334,165.7895
201.19,87.4998333333,245.833166667,134.524,160.119,-55.9521666665,73.8095,86.904666667,59.5238333333,105.357
201.57,44.1176666666,135.9475,77.1241666667,103.268,-30.0653333333,13.7258333333,47.3856666665,35.621,66.3398333333
201.95,0.5375,138.709833333,52.688,95.1613333335,-97.8493333334,-29.0321666666,15.5915,8.0645,41.3976666666
202.33,-12.069,92.5288333333,58.6206666667,105.747,-104.023,-32.184,19.5403333335,-20.6898333333,48.2758333334
202.71,-127.777666667,164.814833333,107.407166667,283.333333333,-438.889,-211.111,-100.0,-190.740666667,33.3331666667
203.09,733.333333333,75.0,141.666666667,-750.0,2100.0,1216.66666667,833.333333335,716.666666667,308.333333333
203.47,-825.0,-33.3333333335,-366.666666667,575.0,-2391.66666666,-1175.0,-1025.0,-1025.0,-308.333333333
203.85,304.761833333,14.2858333335,114.285833333,-99.9998333332,704.761833334,395.238166667,369.047666666,335.714333333,135.714
204.22,446.666666666,-106.666666667,83.3333333335,-170.0,940.0,613.333333333,453.333333331,453.333333333,256.666666667
204.60,-92.9823333335,61.4035,54.3858333333,120.175166667,-185.087833333,-124.561333333,-55.263166667,-81.5791666665,-4.386
204.98,-280.302833333,-68.1816666665,6.0606666667,115.151666667,-404.545666667,-378.788,-195.4545,-231.818333333,-86.3638333334
205.36,1283.33333334,641.666666667,-308.333333334,-941.666666669,1791.66666666,1675.0,699.999999999,683.333333335,366.666666668
205.74,108.771666666,71.0530000002,-28.9475,-79.8245000001,183.3335,81.5788333335,86.842,81.5790000001,32.4561666668
206.12,641.666666667,408.333333333,-691.666666669,-1483.33333334,1241.66666666,483.333333335,425.0,916.666666668,-125.0
206.50,178.889,110.0,29.9998333334,-103.3335,253.3335,156.666333334,127.777833333,213.333333333,108.889166667
206.87,162.280666666,49.1226666669,29.8245,-66.6666666668,189.473833333,122.806833333,97.3685,156.140333333,98.2455
207.25,174.3055,36.8055,42.3611666666,-21.528,190.972166667,103.472333333,122.2225,169.444333333,117.361
207.63,196.8255,39.6823333334,83.3333333335,-45.2381666669,196.031666667,84.1268333333,158.730333333,209.523666666,164.2855
208.01,196.031666667,23.8095,99.2063333335,-48.4126666669,175.396833334,74.6035,157.142666667,200.793833333,184.920666666
208.39,523.809666666,64.285833333,245.238,-190.476166667,466.667,126.190333334,445.238,588.095333333,566.666666667
208.77,297.436,34.6153333335,202.564166667,-50.0001666665,300.0,158.974166667,271.795,343.589666667,378.205166667
209.14,251.190666667,-51.1904999999,159.523833333,-80.9525,245.238166666,89.2856666665,240.476333333,305.9525,314.285833333
209.52,925.0,-291.666666666,625.0,-304.166666667,991.666666669,441.666666667,895.833333335,1191.66666667,1029.16666667
209.90,-666.666833333,133.333333334,-419.047666667,171.4285,-573.809666667,-411.904666667,-483.333333335,-652.380833334,-635.714333334
210.28,-664.285666667,142.857,-421.4285,195.238,-557.142833333,-323.8095,-490.476166665,-573.809333333,-642.857166667
210.66,-119.4445,65.0001666667,-81.1113333333,75.5556666665,-97.7776666666,-70.5555,-115.0,-105.555666667,-109.444333333
211.03,-109.313666666,26.9608333334,-84.3138333334,55.8823333333,-99.5098333335,-86.7648333333,-107.843166667,-119.607833333,-96.0783333331
211.41,-63.9533333334,38.3721666667,-50.7753333334,72.0928333334,-50.7751666667,-53.876,-49.2248333333,-85.2713333335,-46.124
211.79,-122.666666667,42.6666666667,-96.6666666667,120.666666667,-100.0,-132.0,-72.6666666665,-144.666666667,-76.6666666665
212.17,-174.2425,-37.8788333333,-140.909,112.879,-147.7275,-206.818166667,-109.091,-201.515333333,-107.575666666
212.55,-204.386,-42.1051666666,-180.701833334,112.280666667,-171.052666667,-292.1055,-140.350833333,-222.807166666,-124.561333333
212.92,-308.9745,-71.795,-226.923,185.897333333,-267.948833333,-350.000166666,-201.281833333,-300.0,-160.256166667
213.30,-370.833166667,-115.277833334,-252.777666667,113.888833333,-356.9445,-488.889,-236.111166667,-359.722166667,-226.388833333
213.68,4283.33333334,1200.0,2516.66666666,-1716.66666667,3683.33333334,5883.33333334,2666.66666666,4500.0,2833.33333334
214.06,307.692166667,117.9485,199.999833333,-164.1025,280.769333334,444.872,198.718166666,387.1795,239.7435
214.44,151.515333333,57.0708333334,104.040166666,-37.8785,159.596,207.575833333,112.121333333,182.8285,130.808166667
214.81,123.148166667,27.7778333333,56.0185,-74.5371666668,112.037,141.6665,59.7223333333,150.925666667,99.5369999998
215.19,269.697,-34.8486666666,31.8179999998,-386.363666667,268.181833333,309.090666667,84.8485000001,348.484666667,216.666833333
215.57,483.333333333,-23.3333333333,70.0,-839.999999999,580.0,630.0,136.666666667,656.666666669,550.0
215.95,-428.5715,-111.904666667,-71.4286666665,438.095333333,-438.095166667,-599.999833333,-188.095333334,-573.809666666,-488.095
216.32,-629.166666667,112.5,104.166666666,958.333333331,-549.999999998,-820.833333334,-204.166666666,-799.999999998,-766.666666665
216.70,1341.66666666,8.3333333335,-175.0,-1941.66666667,858.333333335,1716.66666667,275.0,2058.33333334,1691.66666667
217.08,-55.5556666667,27.778,51.5876666666,206.349333333,-7.93666666665,-142.857333333,26.9841666667,-165.079333333,-106.349166667
217.46,-28.9855,31.1593333333,63.7681666667,239.130666667,50.7246666667,-82.609,42.0291666666,-146.376833333,-71.0145000001
217.83,0.38783333335,25.5813333333,37.9845,133.333166667,30.6201666667,-34.4961666666,39.1473333333,-53.4885,-15.5038333333
218.21,-3.10066666665,24.8063333334,38.7598333333,115.503666667,37.597,-31.3951666666,33.3333333333,-55.4263333332,-10.4651666667
218.59,22.2223333333,25.0001666666,51.8518333334,108.642166667,58.642,-7.09883333335,50.3086666667,-26.8520000001,7.40733333335
218.97,2.84566666665,-15.8536666667,27.6425,89.0245000002,32.1138333334,-55.6913333334,14.6341666666,-81.7073333335,-47.561
219.34,-22.727,-30.3031666667,30.3030000001,148.4845,91.6666666669,-107.575666667,9.84833333332,-160.606166667,-87.8788333333
219.72,-11.1111666667,-8.33333333335,55.5556666667,152.777833333,84.7223333333,-100.694166666,-4.86116666666,-134.722333333,-54.1664999999
220.10,-34.722,-66.666666667,68.0555,298.611166667,112.500166666,-205.5555,-44.4445,-248.611,-122.222166667
220.47,-50.0,-100.0,-11.9046666667,194.047833333,9.52366666665,-246.428333334,-89.2856666669,-267.857,-134.5235
220.85,-33.3331666667,-44.4444999999,14.8148333333,148.148333333,24.074,-137.963,-57.4073333334,-187.036833333,-86.1109999999
221.23,253.333333333,215.0,145.0,-123.333333333,98.3333333333,431.666666666,293.333333334,488.333333333,306.666666667
221.61,187.5,175.0,138.541666667,-6.25,118.75,301.041666667,242.708333333,303.125,242.708333333
221.98,177.083333334,165.277833333,131.9445,47.2221666669,97.2221666669,229.166666667,214.5835,244.444333333,203.472166667
222.36,278.205166667,287.1795,191.025666667,58.9745,176.923166667,452.564166667,406.410166667,384.615333333,383.333333333
222.74,-646.666666666,-590.0,-460.0,-240.0,-383.333333334,-1076.66666667,-1103.33333333,-833.333333333,-929.999999999
223.11,-206.060666666,-124.242333333,-107.576,-40.909166667,-4.5455,-407.575666667,-393.939333333,-190.909,-245.4545
223.49,-266.666666666,-177.778,-92.5926666665,-64.8148333335,-42.5925,-524.073833334,-435.185333334,-240.740666667,-299.999833333
223.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224.24,490.476333334,321.428666667,185.714166667,271.428666667,126.1905,907.143,507.142833333,485.714333333,447.619
224.62,2166.66666667,1716.66666667,-100.0,550.0,-1183.33333333,4750.0,1733.33333334,2783.33333334,2116.66666667
225.00,-2600.0,-2433.33333334,-966.666666667,-1450.0,283.333333333,-5750.0,-2300.0,-3483.33333334,-2566.66666666
225.38,-2383.33333334,-2333.33333334,-733.333333331,-1000.0,550.000000001,-5000.0,-2150.0,-3250.0,-2416.66666666
