wavelength,Back_ConSpaf,Belly_ConSpaf,Breast_ConSpaf,Crissum_ConSpaf,Crown_ConSpaf,DorTail_ConSpaf,Patch10_ConSpaf,Patch11_ConSpaf,Patch12_ConSpaf,Rump_ConSpaf,Throat_ConSpaf,WingTip_ConSpaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,24.3055,20.1389166667,28.4722083333,43.0556666666,26.3888333333,34.0276666667,15.9721666667,21.52775,13.1944166667,34.02775,16.6666666667,26.3888333333
179.16,50.0000000002,50.0,27.0833333333,-58.3333333336,37.5,108.333333333,150.0,95.8333333333,116.666666667,-37.5,129.166666667,195.833333334
179.54,50.0,111.111083333,88.8888333333,75.0000000001,86.111,76.3889166667,9.72233333333,122.222166667,68.0554999999,13.8888333334,40.2778333333,91.6668333332
179.93,39.3939166667,79.5455,61.3637083333,52.2726666667,53.03025,59.8483333333,68.1818333333,74.2424166666,62.12125,59.0909166667,28.788,60.6061666666
180.31,-145.833333334,-191.666666667,-118.229166667,-114.583333333,-148.958333334,-216.666666667,-303.125,-238.541666667,-457.291666667,-128.125,-188.541666667,-382.291666667
180.69,-138.888916667,-295.833416667,-77.7777500002,-150.000083333,-176.388916666,-233.333333333,-393.055583334,-323.611166667,-609.722166667,-172.22225,-284.722416666,-518.0555
181.07,-247.916666667,-502.083333334,-113.541666667,-270.833333333,-266.666666668,-374.999999999,-689.583333333,-468.750000001,-1089.58333333,-362.5,-422.916666666,-835.416666666
181.45,-138.095166667,-309.52375,-84.5237499997,-208.333333333,-152.380916667,-202.380833333,-367.857166667,-221.428583333,-663.095249999,-229.761833333,-247.618999999,-470.238
181.83,-72.5000000001,-205.833333333,-47.0833333335,-86.6666666668,-99.9999999998,-147.5,-293.333333333,-113.333333333,-480.0,-190.833333333,-193.333333333,-300.0
182.21,-75.5951666668,-122.619083333,-47.6190416667,-70.2381666667,-80.9523333335,-103.571583333,-233.928666667,-80.3570833333,-370.83325,-154.16675,-179.761833333,-234.523916667
182.59,145.833333333,262.5,169.270833333,180.208333333,160.416666667,221.875,477.083333334,196.875,664.583333333,301.041666667,402.083333334,505.208333333
182.97,641.666666667,1358.33316667,925.000041666,819.444416667,944.444499999,1044.44433333,1733.33325,924.999999999,2072.22216666,1099.99991667,1527.77775,1622.22216667
183.35,-533.333416666,-1402.77766667,-793.055583333,-738.888916667,-911.111083333,-1013.889,-1658.33333333,-855.555333334,-1955.55558333,-997.222166665,-1455.55558333,-1488.88891667
183.73,-218.0555,-676.388916666,-373.611208333,-316.66675,-384.722250001,-459.722083334,-858.333333333,-305.555333333,-1009.72208333,-456.944583333,-711.111166668,-740.277833333
