wavelength,Back_ConSpaf,Belly_ConSpaf,Breast_ConSpaf,Crissum_ConSpaf,Crown_ConSpaf,DorTail_ConSpaf,Patch10_ConSpaf,Patch11_ConSpaf,Patch12_ConSpaf,Rump_ConSpaf,Throat_ConSpaf,WingTip_ConSpaf
184.11,-241.666666667,-609.524,-298.214291667,-307.142916667,-313.095250001,-425.000083333,-784.523833334,-226.190416667,-853.571416667,-411.904833333,-602.380916666,-626.190583333
184.49,-77.174,-210.144916667,-122.463791667,-112.681083333,-91.6667499999,-135.144916667,-239.855083333,-78.62325,-259.420416666,-140.2175,-175.362333333,-185.8695
184.87,-161.574,-331.018583333,-242.361166667,-215.277833333,-182.87025,-234.259333333,-389.352083333,-168.981416667,-395.370416667,-233.333333334,-268.055583333,-285.185
185.25,4316.66666667,7424.99999999,5950.0,5866.66666667,4675.0,5958.33333334,8358.33333332,4566.66666666,8149.99999999,5300.0,6558.33333333,6691.66666667
185.63,5016.66666666,8541.66666667,6275.0,6725.0,5583.33333334,6566.66666667,9666.66666666,5541.66666666,8741.66666666,6166.66666667,7150.00000001,7166.66666666
186.01,1241.66666667,1928.33333333,1433.33333333,1708.33333334,1283.33333333,1456.66666667,2160.0,1233.33333333,1885.0,1406.66666667,1605.0,1661.66666666
186.39,-1631.25,-2552.08333334,-1840.625,-2262.5,-1585.41666667,-1933.33333333,-2683.33333333,-1554.16666667,-2368.75,-1812.5,-2072.91666667,-2106.25
186.77,-1321.66666667,-2165.0,-1488.33333333,-1878.33333333,-1301.66666667,-1591.66666667,-2115.0,-1248.33333333,-1901.66666667,-1526.66666667,-1690.0,-1581.66666667
187.15,693.333333333,1139.16666666,780.833333334,1013.33333333,658.333333333,827.499999999,1045.0,675.833333334,1025.0,823.333333332,869.166666667,835.833333334
187.53,298.666666667,481.666666667,335.666666667,443.0,293.0,364.666666667,451.0,304.666666667,435.666666667,349.333333333,367.333333333,354.333333334
187.91,218.8035,333.974416667,237.500083333,312.606916667,214.95725,255.983,311.111083333,225.640916667,293.162416667,239.1025,259.40175,239.529833333
188.29,180.719,274.346333333,199.509916667,251.14375,182.67975,203.594916667,255.719,190.196,235.130583333,201.797416666,215.196,200.490083333
188.67,154.301083333,230.241833333,164.583291667,213.306333333,159.005333333,175.268833333,215.3225,162.365416667,197.58075,166.666666667,185.887083333,174.328
189.05,154.365166666,229.894333334,159.788416667,209.52375,155.026416667,174.074,205.687916667,153.571416666,194.708916667,164.021166666,187.036916667,172.3545
189.43,138.732416667,216.9015,145.187791667,189.67125,144.601,158.568083333,184.389583333,141.66675,177.58225,150.0,169.952833333,156.338083334
189.81,135.04575,206.849416666,145.833291667,183.105,136.301333333,156.621,171.461166667,137.442916667,169.520583333,146.689416667,166.32425,157.191833333
190.19,138.095083333,226.058166667,149.140083333,191.402,135.978916666,167.5925,181.21675,144.179833333,180.952416666,156.481416667,179.365,165.079416667
190.57,118.65675,207.836,131.778625,170.646916667,118.407916667,143.283583333,162.189,124.75125,155.099583333,134.825916667,156.965083333,142.412833333
190.95,133.205166667,223.589583334,151.089875,188.076916667,134.615333333,162.692166667,190.512666667,144.487166667,177.30775,155.128166667,170.897583333,170.3845
191.33,133.064416667,233.33325,152.822458333,192.3385,138.3065,167.33875,197.043,146.371166667,173.387083333,163.844083334,180.241833333,176.07525
191.71,153.301916667,265.880583333,175.235833333,222.798666666,153.14475,175.3145,219.811416667,156.761083333,196.383666666,186.949666667,196.698166667,198.585
192.09,166.12325,295.65225,196.195666667,249.094083333,169.02175,184.782666667,230.25375,168.297083333,217.029,214.49275,209.420333333,216.666583334
192.47,172.058916667,284.803833333,197.303791667,252.124166667,168.79075,190.52275,221.5685,173.202583333,219.117583333,216.013166667,213.398666666,215.032583333
192.85,141.787416667,223.309083333,155.676333333,203.623166667,138.647416667,155.91775,180.19325,142.27075,177.898416667,180.19325,175.241583333,170.289666667
193.23,149.494916666,225.7575,161.111166666,215.908916667,146.338416667,158.712083333,188.383833333,150.126333334,183.080833333,193.939333334,180.555666667,178.787833334
193.61,192.613583333,301.893916666,204.73475,294.886416667,188.446833333,198.484916667,242.803083334,190.909166667,237.5,271.590833333,238.446833333,228.977166667
193.99,149.691333333,241.358,157.484708333,230.864083333,147.222166667,154.475416667,191.203583333,145.0615,187.037166667,216.049416667,187.500166667,171.450666667
194.37,151.333333333,247.166666667,166.833333334,243.333333333,153.666666667,153.666666667,191.0,150.333333333,193.333333333,220.0,196.166666667,173.0
194.75,157.99325,248.6395,167.006958333,249.829833334,166.666583333,162.925083333,194.0475,156.1225,201.530416667,228.061333333,200.000083333,185.034
195.13,216.666666667,346.66675,213.888875,356.111166667,220.555666667,205.5555,236.666666667,203.33325,259.4445,313.055583333,273.611166666,243.611166667
195.51,165.370333333,237.77775,158.0555,251.4815,161.851833333,147.037,169.629833333,152.592583333,185.925916667,221.666583334,184.259166667,171.296416667
195.89,166.83675,233.843583333,160.459166667,242.687083333,164.455833334,156.462666667,172.95925,160.884333333,185.034,224.489583333,187.925083333,177.551
196.27,151.169583333,210.672333333,143.56725,208.772083333,148.245583334,139.3275,157.017416666,143.274833333,166.37425,198.245666667,168.859666667,164.47375
196.65,150.850166667,211.564583333,140.136041667,216.1565,152.040833333,128.06125,149.48975,142.347166667,168.877583333,199.829916667,167.85725,161.224333333
197.03,167.792916667,247.522583333,161.936916667,249.774833333,170.044916667,139.639666667,162.83775,157.88275,190.5405,226.801916667,185.36025,172.5225
197.40,227.243583333,346.153833333,222.9165,334.29475,217.628166667,203.20525,208.654,210.576916667,254.166666667,283.333416667,243.910083333,215.705166667
197.78,276.893916666,396.969666667,282.386416667,389.77275,251.893833333,258.333333333,251.515166667,267.424333333,288.257666667,326.136416667,285.22725,256.4395
198.16,704.166666667,956.25,723.958333333,1038.54166667,621.875,643.750000001,619.791666667,704.166666667,695.833333333,788.541666667,705.208333333,680.208333334
198.54,344.736666667,429.386,349.780666667,494.736833333,310.96475,326.7545,307.894666667,360.087833333,334.649,374.12275,314.91225,338.157833333
198.92,227.688,281.451583333,235.752625,327.419166667,211.559166667,209.13975,207.795666666,255.64525,222.8495,249.462333333,208.870916667,232.527
199.30,156.372583333,186.2745,165.3595,217.646833333,144.4445,140.522833333,140.849666667,172.222166667,153.104583333,166.830083333,145.424916667,156.209083333
199.68,195.476083333,216.66675,199.761916667,283.8095,176.66675,161.190416667,149.523833333,209.761916666,191.190583333,195.47625,179.047666667,193.333416667
200.06,159.883916667,163.9535,163.953541667,227.325583333,138.371916667,119.186166667,114.535,174.031,150.00025,147.48075,146.317833333,147.286916667
200.44,230.5555,224.382666667,239.506125,341.666666667,188.58025,159.568,154.012416667,261.111083334,205.555416667,196.913666667,195.679,201.2345
200.82,204.166666667,205.952416667,205.952541667,309.226166667,150.2975,134.523916667,131.845333333,244.34525,172.321583333,163.6905,149.702333334,155.654666667
201.19,176.35125,175.6755,177.026916667,260.810833333,134.459333334,115.765833333,127.026916667,202.702666667,153.378416667,143.919083333,120.270166667,142.11725
201.57,129.16675,125.3205,129.888,189.102583333,101.602666667,77.2437500001,97.4360000001,152.564083333,120.993583333,120.192166667,93.9103333332,116.02575
201.95,130.228833333,128.594666667,127.696083333,194.281083333,100.163333333,72.8759166667,97.3856666667,155.065416667,127.287666667,119.607916667,94.1176666667,120.751583333
202.33,116.523,126.580583333,118.965583333,176.293,95.5459166668,74.1378333334,93.6781666666,142.38525,120.833333333,112.643666667,90.2298333334,106.8965
202.71,125.694333333,136.979166667,120.659625,186.111,95.3125,64.0625833333,94.9653333332,152.08325,128.47225,117.882,93.0556666665,98.4375833332
203.09,152.206,157.843166667,145.097875,229.902,107.108,74.2646666668,97.5489166668,189.215833333,163.970583334,131.61775,103.431333333,94.3626666666
203.47,131.127583333,137.745,117.401916667,205.882416667,90.1960833334,71.3234166665,76.9607500001,165.68625,143.137333333,112.745083333,75.7352499998,69.8529999999
203.85,125.854583333,149.358833333,118.8035,193.162333333,95.0854166668,84.829,98.5041666667,162.393,138.03425,119.871833334,79.05975,73.9315833332
204.22,124.40475,170.238083333,99.70225,212.202416667,90.4762499999,64.2855833334,74.1072500001,171.428583333,131.250083333,115.773916667,59.2263333336,59.5237499999
204.60,108.3335,147.97975,84.9747499999,190.1515,85.6059999999,66.9192500001,61.8687500002,143.687,112.626333333,102.525333333,63.6363333335,47.7273333333
204.98,130.43475,185.50725,104.529083333,256.884,109.782583333,81.8839166667,73.1885833335,178.260833333,124.2755,132.60875,72.1014166667,59.0580833333
205.36,143.62725,232.843083334,87.2549166666,308.33325,125.980333333,80.3921666666,39.7059166667,197.548916667,126.96075,146.0785,81.3725833333,47.0588333334
205.74,143.5185,331.481333333,45.3704583332,490.740666667,148.148333333,65.7406666665,-76.8518333332,265.74075,86.111,126.85175,41.6666666668,-48.1481666665
206.12,30.4488333331,81.41025,3.04487499982,152.243666667,40.3846666665,-1.92316666668,-40.70525,71.1538333334,13.4615833334,31.4100833334,-2.2435833334,-37.5000833335
206.50,40.7407499999,67.2839166668,4.01233333317,142.901166666,49.3829166668,-9.25925000008,-41.66675,71.6049166669,3.395,28.3949999999,-10.4938333333,-43.5185833332
206.87,25.3085833334,37.9629166667,-6.79008333325,133.642083333,31.4814166668,-12.0368333332,-76.5431666667,49.0739999999,-11.1113333334,20.9874999999,-32.4075,-57.7160833333
207.25,30.95225,39.2855833333,-5.00008333333,106.666666667,35.2380833333,-3.5715,-48.8094166667,37.8571666667,-14.9999166667,33.3333333333,-25.4763333332,-35.2380833333
207.63,60.0694166668,65.2776666668,10.7639166668,157.639,64.5834166668,3.12483333332,-54.8610833334,75.0000833334,1.04166666675,61.4585000001,-18.0555833332,-22.9167500001
208.01,71.4285833334,45.2381666668,-13.9879583333,225.595333333,72.6190833335,-38.0952499999,-142.261916667,116.07125,-63.6903333334,60.1191666666,-66.6667500002,-86.9046666668
208.39,83.7963333334,59.2591666667,35.6481666668,209.25925,96.75925,25.9259166667,-61.5740833332,125.462916667,-20.3704166668,82.4073333335,-19.9074166667,-35.6481666668
208.77,53.1745833335,28.5714166668,17.4602916667,151.190666667,60.71425,19.0475,-80.5554166667,102.777666667,-34.9207499998,62.3015833333,-32.5396666667,-44.0475833333
209.14,22.1014166667,-9.78266666667,-8.1522083335,103.260916667,30.4347500001,1.81166666658,-105.072416667,70.2897500001,-47.4638333335,18.8405833334,-51.4491666665,-56.1594166668
209.52,-34.6153333332,-171.153666667,-100.9615,78.2050000001,-85.2564166667,-100.640916667,-287.179583333,54.487,-173.717833333,-87.1794999998,-192.307666667,-196.794916667
209.90,-52.0833333332,-246.527666667,-129.861166667,21.5277499999,-146.52775,-147.916666667,-346.52775,22.91675,-231.944416666,-147.222166667,-272.22225,-257.63875
210.28,-4.16666666675,-185.416666666,-109.722208333,10.4168333332,-111.110916667,-89.5835,-345.8335,40.2777499999,-216.666583333,-129.166583333,-213.888916667,-232.638916667
210.66,-29.1666666665,-161.309583333,-140.476125,-40.4760833332,-135.714333333,-111.309416667,-364.28575,14.881,-188.690583333,-139.285833333,-180.952333333,-223.21425
211.03,-61.3095,-145.238083333,-148.809541666,-76.7856666667,-147.619083334,-146.428583333,-390.476333333,-1.1904166665,-241.666583334,-188.6905,-195.8335,-251.190333333
211.41,-305.952416667,-448.809416667,-432.142875,-296.428583333,-496.428583333,-480.9525,-984.523833334,-150.000166667,-665.476166668,-604.761916667,-535.714416667,-661.904666666
211.79,-1641.66666667,-2004.16666667,-2218.75,-1454.16666667,-2333.33333334,-2395.83333333,-4120.83333333,-1070.83333333,-3004.16666667,-2691.66666667,-2445.83333334,-3008.33333333
212.17,-204.444416667,-256.11125,-310.555666667,-205.555583333,-313.888833333,-344.444583334,-545.5555,-166.11125,-393.333166667,-372.222083333,-325.555583333,-414.999916666
212.55,-213.3335,-299.444333333,-334.722333333,-229.999833333,-341.111166667,-355.555416667,-571.111,-195.0,-403.889,-401.111166667,-361.666666667,-466.111
212.92,-228.333333333,-341.111083333,-368.611083333,-286.111,-385.000083333,-407.77775,-594.4445,-251.666666667,-440.555583333,-453.333416666,-422.77775,-517.777833333
213.30,-84.7701666667,-130.1725,-147.701333333,-125.57475,-167.816166667,-177.011416667,-279.022833333,-89.9425833334,-198.56325,-202.011416666,-175.862083333,-234.770083333
213.68,-40.8914166667,-59.8838333332,-78.0037916665,-66.8604166666,-77.5194166666,-89.3411666667,-160.852583333,-42.6355833334,-108.720916667,-112.984416667,-95.3489166665,-133.914666667
214.06,-13.5593333333,-29.6610833333,-45.0565,-32.9096666667,-33.4744999999,-43.3615833333,-95.3389999999,-19.3503333333,-60.5930833334,-69.63275,-51.2711666666,-79.9432499999
214.44,-12.037,-42.7469166667,-45.5246666667,-28.8579166666,-24.3828333334,-47.2221666666,-89.9692500001,-19.59875,-61.7285000001,-75.4629166668,-61.7285000001,-81.9443333333
214.81,-28.2946666667,-76.1629166666,-72.4805833332,-48.6434166666,-41.4729166668,-71.1239166667,-121.31775,-39.7286666666,-92.6355833333,-112.596916667,-102.32575,-108.914583333
215.19,-27.3255,-88.7597500001,-83.6240833333,-56.7830000001,-44.186,-73.25575,-117.05425,-47.6745,-92.248,-114.728666667,-108.527083333,-100.387583333
215.57,6.66666666665,-43.1666666665,-44.4166666667,-17.5,-5.16666666667,-34.5000000001,-67.8333333334,-15.8333333332,-44.5,-63.6666666667,-59.6666666667,-58.6666666667
215.95,2.77791666665,-41.0492500002,-33.101875,-16.3581666667,-4.62958333335,-29.4751666667,-56.7900000001,-12.4999166667,-43.0555833334,-58.4876666666,-51.8517499999,-58.4875833333
216.32,0.892833333318,-36.9048333334,-19.5682916667,-10.7141666667,-8.33333249979e-05,-22.9166666667,-54.3155,-9.37516666667,-39.43425,-53.7201666666,-42.5596666666,-45.23825
216.70,-24.83675,-60.2941666667,-41.5032499999,-33.17,-21.7319166667,-43.4639166666,-84.1504166668,-27.2876666668,-67.9738333332,-79.0850833332,-65.0326666666,-62.7450000001
217.08,-10.8155,-46.8086666667,-25.8866249999,-16.6666666667,2.48233333335,-25.0000833333,-73.2268333332,0.177333333325,-56.5604166667,-66.6666666667,-41.1346666666,-40.7801666666
217.46,-48.3974166667,-119.87175,-92.7884999998,-65.7051666667,-25.320666667,-82.3719166667,-176.602583333,-39.7436666665,-125.3205,-147.756416667,-112.179416667,-118.269416667
217.83,-564.583333332,-904.166666667,-793.75,-685.416666667,-474.999999998,-783.333333334,-1533.33333333,-483.333333332,-1166.66666667,-1220.83333333,-893.749999999,-1027.08333333
218.21,200.925833334,235.18525,225.46275,200.0,172.222083333,244.444416667,444.4445,166.203666667,325.46275,319.907416667,251.388916667,272.68525
218.59,234.444416667,237.22225,260.00025,230.5555,210.0,278.888916667,557.22225,181.111083334,360.0,345.0,294.999916667,330.555666667
218.97,-1108.33333333,-1129.16666667,-1139.58333333,-1137.5,-1020.83333333,-1729.16666666,-3370.83333333,-912.499999999,-2070.83333333,-1704.16666667,-1604.16666667,-1908.33333333
219.34,-169.047666666,-182.142916667,-107.738125,-132.143,-89.2855833335,-369.04775,-778.5715,-91.6665833335,-416.66675,-294.047583333,-300.0,-408.333333333
219.72,-254.166666667,-304.166666667,-178.645833333,-255.208333333,-192.708333334,-395.833333333,-835.416666667,-165.625,-470.833333333,-372.916666667,-418.75,-472.916666667
220.10,-56.6666666666,-66.6666666666,-35.1666666667,-62.0,-26.0000000002,-100.666666666,-244.0,-25.3333333333,-116.333333333,-94.3333333334,-117.333333333,-123.333333333
220.47,-62.8471666667,-80.2084999999,-68.5763749998,-79.5138333333,-31.5971666667,-101.38875,-271.527666667,-32.6388333334,-131.249833333,-121.52775,-127.777916667,-140.27775
220.85,-29.9241666667,-59.8484166667,-62.1213333332,-58.7121666667,-7.57583333343,-93.1818333332,-281.818083333,-39.0153333333,-98.4848333335,-110.606083333,-108.333333333,-132.954333334
221.23,-6.14033333334,-17.7633333333,-33.6622916666,-22.58775,-0.65800000015,-39.693,-150.000083333,-28.9474166667,-38.1579166668,-51.9735833332,-60.5264166667,-71.7105
221.61,-17.4073333333,-32.9629166668,-37.037125,-25.1851666667,-17.5925833333,-42.7778333333,-131.481333333,-37.5925833333,-39.6295833333,-54.4445,-58.3334999998,-62.7776666668
221.98,-4.46433333335,-31.1011666667,-19.79175,-8.77983333332,-5.506,-27.5298333333,-92.8571666668,-18.4524166667,-17.113,-33.7798333333,-43.1546666667,-44.3451666667
222.36,3.66158333333,-26.2625833333,-11.04775,-6.81816666667,0.883833333307,-20.4545833333,-60.8585000001,-8.83833333333,-5.68183333335,-23.10625,-32.1969166667,-38.1313333333
222.74,-0.372916666667,-31.3431666667,-12.9974583333,-11.3184166667,-5.22383333333,-22.26375,-57.7115833333,-12.3135,-16.9153333333,-32.8358333333,-34.4529166666,-37.4379166667
223.11,-22.79875,-56.1321666666,-41.981125,-34.90575,-30.5031666666,-47.0125,-94.4968333335,-32.23275,-38.5220833333,-72.0124999999,-62.8932499999,-74.6856666667
223.49,-17.17175,-38.7626666666,-40.5934583333,-32.1969166667,-34.0908333333,-35.7321666667,-73.3586666667,-23.6110833333,-27.0201666667,-54.6715833333,-40.0253333333,-57.9545833333
223.87,-15.3153333333,-25.6755833334,-33.7275,-26.5765,-32.883,-25.7883333333,-55.4054166667,-17.9055,-18.4685,-44.1441666667,-28.491,-51.23875
224.24,-0.854833333333,-20.19225,-24.6259583333,-17.84175,-24.3589166667,-19.551,-42.4145,-9.50841666666,-6.94433333332,-29.3801666667,-15.91875,-42.0939166667
224.62,2.81533333333,-19.1441666667,-17.0043333333,-13.4008333333,-25.78825,-18.6936666666,-37.9505,-5.96841666667,-0.4505,-17.2296666667,-15.4279166667,-44.5945833334
225.00,-0.316416666659,-20.2530833334,-18.829,-15.7175833334,-26.5824166667,-21.097,-33.4388333333,1.47691666668,-3.16466666665,-18.0379166667,-17.9325,-43.7764166667
225.38,-10.81075,-35.24775,-31.19375,-28.1530833333,-40.5404166666,-36.1486666667,-45.27025,-3.04049999999,-17.2295833333,-32.6576666667,-27.13975,-57.2071666667
225.75,16.5816666667,-0.340333333325,-1.44570833333,1.78566666666,-7.228,-6.5475,-10.6293333333,21.1734166667,6.80266666667,-3.57158333332,0.425083333342,-20.83325
226.13,21.0690833333,10.9275833333,2.24041666667,6.36783333332,-0.943416666658,-1.65091666667,-3.38058333333,22.3269166667,8.09741666668,2.51583333334,4.40258333333,-13.9149166667
226.51,21.4584166666,16.2499166667,2.88195833332,6.66658333334,-0.694500000007,1.11108333332,-3.61116666666,20.5555833333,7.70824999999,5.55566666667,8.05558333334,-8.61116666667
226.88,18.2599166667,13.7868333333,3.37020833333,5.75983333332,-2.32833333334,-0.245083333358,-5.39216666666,18.25975,8.21075000001,5.51475000001,6.92416666667,-8.027
227.26,16.7630833334,13.9690833333,6.57525000001,9.24858333334,2.84208333332,6.79183333334,-4.04633333333,17.14825,8.86325,8.33333333334,9.104,-0.144416666675
227.64,16.5816666667,12.1598333333,7.33429166667,7.69549999998,4.33666666667,7.35541666668,-5.27216666667,15.136,7.52566666668,5.39975000001,3.6565,-0.0849999999993
228.01,18.69475,11.6889166667,9.53170833334,9.69766666667,9.43958333333,10.6563333333,-2.39683333332,16.2240833333,11.09875,8.55450000001,7.11658333333,5.6785
228.39,10.9833333333,6.55525,4.4805,3.06825,3.83549999999,6.41575000001,-8.08925000001,9.76291666666,5.40458333334,2.09199999999,0.697249999999,0.976333333335
228.76,8.72166666667,5.94358333335,2.73291666666,1.88158333334,3.34541666666,6.06341666666,-7.16858333333,8.27358333335,4.65958333333,0.44808333333,-0.029916666665,1.88175
229.14,9.17483333333,7.03041666665,4.99470833334,2.41583333333,3.93599999999,8.14341666666,-4.18016666667,7.81758333334,5.72733333334,1.68291666666,1.3845,3.88166666667
229.52,9.06241666667,8.38508333332,6.41920833333,3.61966666668,4.40075000001,8.90599999999,-3.09908333334,8.59366666667,6.48416666667,3.28091666666,3.20275,5.18216666666
229.89,3.37625,3.91191666667,2.14362500001,-2.14358333334,0.214250000008,5.06424999999,-8.46733333332,3.80491666667,2.30441666667,-1.76858333333,-1.44683333333,0.428749999998
230.27,0.229250000007,1.75833333332,-0.73895833335,-5.42808333333,-2.31916666668,2.21708333334,-11.0345833334,0.968416666668,-0.458749999998,-4.68900000001,-3.69533333334,-0.637083333333
230.65,-0.8105,0.05041666665,-2.52029166665,-5.26866666667,-2.68491666667,2.02625,-11.3981666666,0.607999999999,-0.962416666666,-5.06583333334,-5.59775,-1.31708333334
231.02,1.38083333333,1.69575000002,-1.22341666665,-2.85850000001,-0.121083333335,4.40900000001,-9.52025,1.9865,0.799500000002,-3.75491666667,-3.80333333333,-0.266500000003
231.40,4.43325000001,4.40891666666,1.938,0.0725833333325,2.03475,5.66858333334,-6.24999999999,5.717,3.58525,0.0969166666657,-1.28391666666,2.44675000001
231.78,2.3845,4.69391666668,1.55616666668,-0.0502499999975,1.12941666667,3.86541666666,-7.17875000001,5.69774999999,3.43875,0.577333333334,-1.4055,2.68566666667
232.15,-0.750166666666,4.046,-0.64312499999,-2.54549999999,-2.33125,-0.991416666665,-9.00316666667,2.51875,8.333333425e-05,-2.49191666667,-4.52833333333,0.10725
232.53,3.371,8.81875000001,2.14404166666,1.10566666666,1.40241666667,2.99366666667,-4.369,6.63416666668,3.479,0.916916666659,-0.620333333335,3.53283333333
232.90,2.604,8.55258333334,1.39808333333,-0.329000000001,-0.904583333332,2.49466666667,-5.29058333334,5.64708333333,3.23466666667,0.0273333333325,-1.0965,2.13808333334
233.28,0.963749999999,7.17108333332,-0.056666666665,-1.67233333333,-2.77783333333,-1.13358333334,-8.47508333332,4.08166666667,1.2755,-0.992166666666,-2.40916666667,0.141666666665
233.66,1.828,7.74191666667,0.013416666665,-0.672166666668,-1.88166666667,-0.214916666666,-7.07,4.40858333333,1.93541666667,0.430083333332,-1.88175,0.322583333335
234.03,1.24333333333,6.87841666666,-1.16408333333,0.211499999997,-2.72483333333,-2.56616666667,-8.38616666666,3.78308333333,0.423250000002,0.132416666668,-2.27508333333,-0.872916666667
234.41,3.22666666667,7.01208333334,0.800208333333,3.32833333333,-0.787583333332,-0.152416666666,-5.30991666667,5.58941666667,2.89633333333,3.02341666666,0.0761666666675,-0.203333333333
234.78,3.1405,6.35508333333,2.275,3.31341666666,-1.11283333333,-0.34625,-4.35208333333,4.64883333333,2.918,2.54691666667,-0.098833333335,-0.07425
235.16,-1.2195,2.10875000001,-1.44820833333,-1.09266666667,-5.94508333334,-6.02141666667,-8.18083333334,0.304916666667,-1.60075,-1.14333333333,-4.44625,-2.87075
235.54,-3.24058333333,-0.38575,-3.89670833333,-4.75816666667,-7.94758333334,-7.89599999999,-8.97625,-2.98358333333,-3.678,-4.19241666667,-7.02166666667,-4.98974999999
235.91,-4.03058333333,-1.33500000001,-4.27795833333,-4.10466666667,-8.18491666668,-7.29483333333,-8.03666666666,-4.77241666667,-4.47583333333,-4.35208333333,-6.52816666666,-6.33049999999
236.29,-7.59583333334,-5.58016666667,-7.86612499999,-6.44049999999,-10.8161666667,-9.66075000002,-11.5045,-7.54675,-7.64491666666,-7.37458333333,-9.78358333334,-9.78366666666
236.66,-9.07083333333,-7.05508333332,-8.37016666666,-5.87516666667,-12.463,-11.8239166667,-12.7336666667,-8.60383333335,-9.31658333334,-7.89075,-11.5289166667,-9.3905
237.04,-10.67075,-8.23183333333,-8.98137500001,-5.89441666667,-12.5254166667,-13.41475,-12.9828333333,-8.76516666666,-10.7469166667,-8.38416666666,-13.7196666667,-10.3658333334
237.41,-9.85533333333,-6.28733333332,-8.09624999999,-3.76750000001,-10.1796666667,-11.60175,-11.1029166667,-6.61191666668,-9.85533333334,-6.7365,-11.9259166667,-8.83216666666
237.79,-10.9609166667,-8.25825000001,-8.38337499999,-4.45458333334,-10.1851666667,-12.76275,-12.16225,-8.058,-10.961,-7.90799999998,-13.21325,-8.95883333334
238.17,-9.27408333335,-7.77325,-6.35083333332,-3.80833333334,-8.35575,-9.85650000001,-9.49808333335,-6.60850000001,-8.91566666665,-5.60041666667,-11.3576666667,-7.12358333333
238.54,-11.8818333333,-9.95875,-7.79533333333,-6.50183333333,-11.012,-12.1565,-11.97325,-9.1805,-10.9661666667,-7.60074999999,-14.3314166667,-9.18033333333
238.92,-10.9266666667,-7.01525,-5.66541666666,-5.18708333334,-8.84366666668,-9.77900000002,-10.26775,-6.31383333334,-9.16233333334,-6.29258333332,-11.7134166667,-7.16416666668
239.29,-8.42858333334,-3.22258333333,-3.003375,-3.31816666667,-6.65508333333,-6.71233333334,-7.22725,-3.52791666667,-6.42633333333,-4.386,-8.80999999999,-5.09133333333
239.67,-8.06516666666,-1.78833333333,-2.36945833333,-1.98491666667,-5.18591666667,-6.15158333334,-7.09941666667,-2.146,-5.615,-3.68383333334,-7.13516666667,-4.77466666667
240.04,-4.64758333333,0.195416666668,0.0815000000008,-0.179333333333,-2.23408333333,-2.805,-4.79458333333,0.619833333333,-3.14741666667,-1.5005,-4.66408333334,-1.36983333333
