wavelength,Back_HemReym,Belly_HemReym,Breast_HemReym,Crissum_HemReym,Crown_HemReym,DorTail_HemReym,Rump_HemReym,Throat_HemReym,WingTip_HemReym
205.36,15533.3333333,17633.3333333,20300.0,19500.0,16900.0,19766.6666667,20533.3333333,7666.66666667,22000.0
205.74,2944.44433333,3100.0,3700.0,3511.111,3066.66666667,3611.111,3700.0,1555.55566667,4083.333
206.12,1709.091,1809.091,2045.45433333,2027.27266667,1803.03033333,2066.66666667,2078.788,972.727333333,2327.273
206.50,852.174,917.391333333,994.203333333,997.101333333,873.913,1018.84066667,1008.69566667,505.797333333,1178.261
206.87,632.258,659.139666667,727.957,741.935333333,639.785,736.559,750.537666667,409.677333333,896.774
207.25,452.174,463.043333333,515.217333333,526.811666667,450.724666667,526.811666667,528.261,310.869333333,626.087
207.63,473.049666667,461.702,500.0,529.078,446.808666667,522.695,526.950333333,314.893666667,638.298
208.01,433.333666667,412.179333333,449.359333333,491.026,410.256333333,473.077333333,473.718,300.641,590.385
208.39,308.016666667,295.358333333,313.502,346.413333333,289.029333333,335.021,339.240333333,230.802,412.658
208.77,275.824333333,270.695666667,280.586,309.157666667,261.172333333,296.337,303.663,208.425333333,367.033
209.14,255.102,253.741333333,260.884333333,289.796,238.095333333,274.83,274.489666667,188.435333333,337.755
209.52,263.670666667,270.412,276.779333333,301.123666667,255.430666667,289.513333333,285.393333333,194.756333333,353.933
209.90,262.352666667,271.372666667,274.509666667,297.255,258.039333333,280.784333333,280.392333333,174.117333333,348.235
210.28,329.629666667,343.386333333,361.375666667,377.777666667,316.402333333,347.619,340.741,212.698666667,438.095
210.66,451.938,458.915,496.124,528.682333333,437.984666667,468.992333333,461.240333333,255.039,600.0
211.03,1307.14266667,1369.048,1461.90466667,1502.38066667,1245.238,1357.14266667,1340.476,638.095,1728.571
211.41,-2811.111,-3049.99966667,-3227.778,-3283.33333333,-2633.333,-2866.66633333,-2938.88866667,-1255.55566667,-3883.333
211.79,-622.222,-688.888666667,-745.833333333,-751.388666667,-587.5,-623.611,-615.278,-222.222,-887.5
212.17,-301.418666667,-331.205666667,-356.028333333,-342.553333333,-272.340333333,-296.454,-287.943333333,-102.127666667,-419.149
212.55,-193.939333333,-219.192,-242.929333333,-224.242666667,-176.263,-190.909,-200.505,-48.9896666667,-265.152
212.92,-145.613666667,-155.702,-198.684,-163.596333333,-127.193,-147.368333333,-154.386,-28.0703333333,-197.368
213.30,-142.792666667,-143.694,-186.036,-162.612333333,-119.819666667,-143.693666667,-151.801666667,-24.7746666667,-197.297
213.68,-202.777666667,-184.999666667,-247.222333333,-220.555333333,-156.666333333,-193.888666667,-192.777666667,-48.3333333333,-268.333
214.06,-171.282333333,-171.282333333,-227.179666667,-201.025666667,-140.513,-170.256333333,-172.820333333,-53.846,-240.0
214.44,-163.184,-147.263666667,-186.069333333,-185.074666667,-134.825666667,-161.193666667,-165.174,-38.806,-237.313
214.81,-153.052,-139.436666667,-161.971666667,-172.770333333,-132.864,-153.051666667,-159.155,-40.845,-226.761
215.19,-227.778,-195.678666667,-238.271333333,-248.765666667,-195.679,-212.963333333,-234.568,-62.346,-314.815
215.57,-157.277,-123.943666667,-160.093666667,-169.953,-136.150333333,-146.948333333,-149.765,-12.2066666667,-215.493
215.95,-141.666666667,-108.333333333,-149.206333333,-144.444666667,-127.381,-138.095333333,-150.793666667,-25.7936666667,-191.667
216.32,-115.412,-85.663,-128.673666667,-124.372666667,-105.376333333,-116.129,-134.767,-15.7703333333,-165.591
216.70,-120.833666667,-83.6806666667,-131.597,-121.180666667,-104.861333333,-117.708333333,-129.166666667,-26.042,-169.792
217.08,-134.420333333,-98.1883333333,-143.478333333,-136.594333333,-119.203,-128.985666667,-126.811666667,-37.3186666667,-184.783
217.46,-130.902666667,-97.9166666667,-143.402666667,-127.083333333,-120.138666667,-126.041666667,-118.402666667,-38.889,-186.458
217.83,-135.984666667,-108.712333333,-160.227333333,-136.363666667,-131.439666667,-137.121333333,-137.121333333,-56.4393333333,-202.273
218.21,-152.742333333,-110.548666667,-173.417666667,-154.430333333,-141.772,-164.978666667,-148.101333333,-51.055,-232.911
218.59,-225.555666667,-168.333666667,-267.777666667,-225.0,-211.111,-233.333333333,-216.111333333,-104.444666667,-330.0
218.97,-296.969666667,-228.030333333,-365.151666667,-298.485,-276.515333333,-309.848666667,-283.333333333,-125.0,-445.455
219.34,-231.372666667,-194.771,-291.503,-234.640666667,-217.647333333,-262.745,-221.568666667,-114.379333333,-364.706
219.72,-312.698333333,-276.190666667,-373.015666667,-311.111333333,-281.746333333,-362.698666667,-308.73,-184.127333333,-473.81
220.10,-997.618666667,-888.095333333,-1069.04766667,-976.190333333,-821.428333333,-1104.762,-845.238,-576.190666667,-1435.714
220.47,6966.66666667,6766.66666667,7516.66666667,6866.66666667,5900.0,7916.66666667,5583.33333333,3800.0,10000.0
220.85,973.809666667,959.523666667,1030.95233333,942.857,847.619,1145.238,750.0,552.380666667,1400.0
221.23,1670.83333333,1691.66666667,1675.0,1633.33333333,1450.0,1954.16666667,1362.5,966.666666667,2487.5
221.61,1144.44466667,1169.44433333,1141.66666667,1097.22233333,972.222333333,1280.55566667,913.889,675.0,1566.667
221.98,1691.66666667,1708.33333333,1516.66666667,1491.66666667,1325.0,1770.83333333,1241.66666667,708.333333333,2237.5
222.36,-1819.04766667,-1876.19033333,-1638.09533333,-1514.28566667,-1414.28566667,-1857.14266667,-1338.09533333,-799.999666667,-2300.0
222.74,-494.444333333,-508.333333333,-413.889,-412.5,-361.111,-547.222,-352.777666667,-188.889,-633.333
223.11,-334.314,-362.745,-303.921333333,-270.588333333,-250.980333333,-391.176666667,-250.980333333,-150.0,-429.412
223.49,-266.666666667,-285.714333333,-223.016,-218.253666667,-196.825333333,-292.857333333,-196.825666667,-106.349,-335.714
223.87,-202.516,-218.238666667,-170.440333333,-175.471666667,-157.233,-216.352333333,-147.169666667,-95.5976666667,-258.491
224.24,-153.005666667,-169.945,-142.076666667,-142.623,-132.787,-172.131333333,-121.311333333,-74.317,-213.115
224.62,-157.005,-152.173666667,-134.299666667,-140.096666667,-123.188666667,-160.869666667,-119.806666667,-83.5746666667,-204.348
225.00,-106.122666667,-99.66,-79.9316666667,-102.041,-79.932,-108.503666667,-78.2316666667,-40.476,-141.837
225.38,-72.034,-68.644,-55.6496666667,-67.2316666667,-51.4123333333,-75.4236666667,-53.1073333333,-21.4693333333,-96.61
225.75,-52.518,-51.319,-36.9303333333,-52.5176666667,-37.65,-56.5943333333,-41.9666666667,-11.9903333333,-76.978
226.13,-61.4286666667,-56.9046666667,-43.3333333333,-66.1906666667,-52.143,-68.8096666667,-50.238,-25.9523333333,-86.429
226.51,-71.4626666667,-65.228,-49.1606666667,-73.861,-59.952,-77.2183333333,-57.314,-39.5683333333,-98.561
226.88,-81.9336666667,-74.809,-57.5063333333,-77.8626666667,-72.0103333333,-79.8983333333,-61.832,-48.6003333333,-104.58
227.26,-73.2423333333,-61.2246666667,-48.0726666667,-70.7483333333,-65.3063333333,-70.5213333333,-48.2993333333,-45.805,-89.796
227.64,-78.3216666667,-61.3053333333,-56.6433333333,-74.825,-76.457,-79.9533333333,-49.6503333333,-57.3423333333,-100.0
228.01,-71.3023333333,-57.8363333333,-54.084,-67.5496666667,-73.0683333333,-74.3933333333,-49.0066666667,-54.3046666667,-88.742
228.39,-62.9846666667,-51.3566666667,-48.4496666667,-57.752,-60.0773333333,-63.566,-41.279,-54.4576666667,-73.256
228.76,-61.7063333333,-56.151,-49.405,-56.9443333333,-62.897,-63.2933333333,-45.8333333333,-58.333,-75.595
229.14,-70.4166666667,-61.6666666667,-58.5416666667,-61.4583333333,-69.5833333333,-64.7916666667,-52.5,-72.0833333333,-82.5
229.52,-100.476333333,-87.381,-82.3806666667,-84.524,-94.762,-86.6666666667,-75.9523333333,-92.3806666667,-112.857
229.89,-125.203,-100.813,-105.691,-107.046,-115.447,-110.298,-95.393,-113.821,-139.024
230.27,-107.692333333,-91.0256666667,-100.256333333,-95.3846666667,-97.9486666667,-97.692,-81.7946666667,-102.308,-121.538
230.65,-108.943,-93.767,-105.691,-103.252,-101.897,-102.439,-84.553,-103.252,-127.642
231.02,-102.241,-96.9186666667,-112.885333333,-107.843333333,-100.840333333,-107.843333333,-84.0336666667,-103.361333333,-126.891
231.40,-120.872333333,-119.314666667,-138.006333333,-125.545,-113.084333333,-123.676,-109.346,-122.118333333,-153.271
231.78,-112.069,-114.367666667,-127.011333333,-117.816,-95.4023333333,-113.793,-102.299,-104.023333333,-134.483
232.15,-122.839666667,-117.901,-133.333333333,-128.395333333,-99.074,-123.457,-104.012333333,-104.320666667,-150.0
232.53,-146.296,-148.148,-157.037,-154.074,-123.333,-152.963,-131.852,-115.555333333,-184.444
232.90,-141.852,-144.814666667,-155.926,-155.185333333,-124.444666667,-154.815,-123.333333333,-108.889,-177.778
233.28,-146.825333333,-153.174666667,-157.143,-159.524,-132.142666667,-162.301666667,-122.619,-99.206,-192.857
233.66,-137.698333333,-146.031666667,-149.206333333,-155.159,-127.381,-163.095333333,-119.444333333,-91.667,-179.762
234.03,-97.059,-113.398666667,-110.457666667,-110.130666667,-94.1176666667,-123.202333333,-82.6796666667,-64.3793333333,-130.392
234.41,-89.3803333333,-105.604333333,-97.345,-96.46,-81.711,-104.129666667,-77.286,-58.7023333333,-115.929
234.78,-90.9606666667,-107.062,-93.2203333333,-87.853,-74.576,-98.305,-78.8136666667,-56.497,-107.627
235.16,-76.905,-90.238,-76.1903333333,-68.8093333333,-55.238,-76.1906666667,-66.1903333333,-39.9996666667,-87.857
235.54,-71.1583333333,-84.87,-74.2316666667,-62.175,-47.9903333333,-72.104,-60.7563333333,-35.2246666667,-77.305
235.91,-71.905,-83.8093333333,-73.8096666667,-60.0,-46.1903333333,-69.2856666667,-62.619,-39.2856666667,-72.857
236.29,-72.066,-86.6196666667,-78.6386666667,-61.972,-47.6526666667,-65.493,-63.3803333333,-42.723,-73.944
236.66,-73.874,-77.7026666667,-74.9996666667,-59.0093333333,-47.2976666667,-65.7656666667,-64.4146666667,-40.991,-69.595
237.04,-73.9513333333,-73.9513333333,-77.4836666667,-48.3443333333,-41.501,-63.797,-60.4856666667,-46.578,-65.563
237.41,-61.144,-57.988,-69.0336666667,-33.136,-29.9803333333,-50.8876666667,-51.8736666667,-41.2226666667,-45.562
237.79,-55.4956666667,-54.054,-68.2883333333,-32.793,-27.3876666667,-46.847,-45.4053333333,-43.784,-40.541
238.17,-70.135,-69.1716666667,-81.503,-42.582,-40.655,-56.84,-62.4276666667,-62.2346666667,-49.133
238.54,-62.883,-57.2973333333,-68.6486666667,-33.694,-33.1533333333,-48.6486666667,-55.315,-58.1983333333,-40.541
238.92,-55.7756666667,-47.03,-63.5313333333,-28.383,-33.6633333333,-42.5743333333,-47.6896666667,-53.7953333333,-36.139
239.29,-58.7543333333,-48.4846666667,-65.32,-31.8183333333,-43.6026666667,-49.495,-54.5453333333,-63.1313333333,-36.869
