wavelength,Back_ConRuff,Belly_ConRuff,Breast_ConRuff,Crissum_ConRuff,Crown_ConRuff,DorTail_ConRuff,Rump_ConRuff,Throat_ConRuff,WingTip_ConRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,77.7777777777,114.814888889,70.3701111111,51.8518888889,48.1481111112,68.5185555556,-17.1296944444,68.5184444443,74.0740555556
179.16,-107.407333333,-24.0741111111,52.7776666667,-64.8149999999,-83.3333333332,-51.8518888889,-98.6111805555,0.0,-118.518555555
179.54,-98.1479999999,-55.5556666667,3.7038888889,-120.370444444,-81.4814444443,-33.3334444444,-93.750138889,-14.8147777778,-105.555611111
179.93,144.444333333,33.3332222223,-162.962944444,133.333444445,185.185333333,188.889,130.555569445,100.000111111,179.629666667
180.31,12.766,25.2955555556,138.297666667,-8.27400000001,-12.0567777778,42.3167777778,-21.897125,46.3357777778,10.1654444445
180.69,13.9435555556,25.708,138.453388889,-8.93255555555,-7.18955555557,45.3158888889,-21.75925,38.9978888889,11.3291111111
181.07,7.27288888888,24.0402222222,143.939333333,1.21211111112,-6.66666666667,45.6566666667,-11.1362916667,35.1515555556,4.04050000001
181.45,11.5226666667,23.4568888889,141.358055556,2.67488888889,-3.90955555557,45.4733333333,-3.24080555554,32.0987777778,12.4485555556
181.83,25.0894444444,38.172,132.078555556,25.4481111111,10.3943333333,51.613,10.1703055556,48.9246666667,32.3478333333
182.21,18.2795555555,20.6093333333,115.949888889,22.9392222222,4.65955555557,55.3764444445,-3.36009722223,39.0681111111,29.1219444445
182.59,9.02766666666,17.5345555556,105.295444444,17.1872222222,6.42344444447,55.2082222222,-9.46208333333,37.5,23.9582777778
182.97,-26.5873333333,-5.95255555557,79.4644444444,-19.0475555556,-23.6112222222,23.8096666667,-43.9236388889,16.6666666667,-2.08344444444
183.35,-42.3372222222,-11.3026666667,53.3524444444,-44.0613333333,-40.613,7.85455555557,-52.3948611111,-4.78933333333,-25.2874444444
183.73,-50.4555555556,-22.951,39.2530555556,-48.0874444444,-50.2732222221,-2.00366666666,-52.6866527778,-5.64666666667,-29.7814444445
184.11,-68.849111111,-32.5397777778,21.9245555556,-67.8572222223,-69.8412222221,-19.4445555556,-73.3134861111,-11.5082222222,-56.4485
184.49,-102.272777778,-45.7071111111,13.8889444444,-89.1413333333,-91.4141111113,-35.8587777778,-99.2422916667,-11.8686666667,-92.6768888888
184.87,-95.981111111,-39.2434444444,-6.265,-83.4516666664,-85.106111111,-34.2791111111,-93.942236111,-2.12766666667,-85.2246111111
185.25,-308.772111111,-216.959222222,-160.233888889,-343.274777778,-321.637333333,-190.643333333,-370.614111111,-85.965,-296.491444444
185.63,-283.950777778,-228.395,-166.666611111,-357.407333333,-315.432222222,-159.876444445,-394.675875,-65.4321111111,-297.839444445
186.01,1072.22222222,1044.44466667,818.518388889,1455.55566667,1220.37033333,738.888777779,1489.81476389,568.518666667,1268.51833333
