wavelength,Back_TanLavf,Belly_TanLavf,Breast_TanLavf,Crissum_TanLavf,Crown_TanLavf,DorTail_TanLavf,Patch10_TanLavf,Rump_TanLavf,Throat_TanLavf,WingTip_TanLavf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,312.5,400.0,208.333333333,325.0,183.333333334,250.0,116.666666666,141.666666667,166.666666667,425.0
179.16,241.666666666,0.0,500.0,133.333333333,550.0,-16.6666666667,450.0,450.0,466.666666667,-250.0
179.54,38.09525,52.381,2.38100000001,35.714,40.4761666667,35.7141666667,14.2853333333,-23.8095,21.4285,71.4286666669
179.93,43.4523333333,64.2855,39.2856666667,53.5718333333,58.3335,59.5236666667,30.9523333333,39.2856666667,46.4285,70.2383333333
180.31,176.1905,289.285666666,145.238,136.3095,120.238,192.857,105.357166667,113.6905,144.047666666,257.143
180.69,253.030333333,387.878666667,207.576,198.484666667,159.090833333,273.485166666,141.666666666,166.666833333,196.212166667,348.484666667
181.07,570.833333334,836.666666667,453.333333333,405.0,355.0,596.666666667,343.333333333,396.666666667,425.0,761.666666667
181.45,513.4615,696.153833333,466.666666667,357.6925,348.718,476.923333333,337.179333333,356.41,405.128166666,642.307666666
181.83,449.479166667,587.5,442.708333334,320.833333334,323.958333334,429.166666667,298.958333333,339.583333333,373.958333333,563.541666667
182.21,1343.33333334,1746.66666667,1236.66666666,883.333333335,873.333333335,1240.0,829.999999999,960.0,1053.33333334,1706.66666667
182.59,1134.72233333,1483.33333333,969.444500001,691.666666667,697.222333331,1061.11133333,686.111,822.222166667,827.777833333,1438.88883334
182.97,369.444583333,446.825333333,328.5715,230.158666666,235.7145,342.063166667,257.143,294.444666666,286.508,442.857166667
183.35,365.416666666,458.333333333,350.0,228.333333333,226.666666666,356.666666666,255.0,305.833333334,291.666666666,447.5
183.73,406.481416667,505.5555,438.888833333,287.037,276.852,437.963,312.037166667,374.999833333,345.370333334,507.407333333
184.11,732.5,896.666666665,826.666666667,520.0,536.666666667,758.333333333,593.333333334,713.333333333,653.333333333,933.333333335
184.49,969.047583335,1121.4285,1126.19033334,640.476166667,723.809500002,1088.09516666,754.761833335,978.571499999,816.666666667,1166.66633333
184.87,427.604166667,489.583333333,514.583333333,276.041666666,330.208333333,471.875,335.416666667,425.0,365.625,505.208333333
185.25,293.939416667,334.090833333,383.333333334,201.515166667,237.121166666,362.879,236.363666667,295.454666666,278.787833334,353.787833333
185.63,395.138833333,512.5,552.777666666,279.166666666,338.889,613.889166667,348.611,476.388833334,383.333166667,537.499833333
186.01,484.375,683.333333334,704.166666667,350.0,370.833333333,808.333333333,435.416666667,683.333333333,479.166666667,681.25
186.39,595.833333334,986.111166665,1047.22216667,502.777833333,516.6665,1027.77766667,625.0,991.666666666,686.111,847.222166667
186.77,1558.33333333,2550.0,3058.33333334,1291.66666666,1391.66666667,2450.0,1575.0,2633.33333334,1875.0,2150.0
187.15,-202.777916667,-459.259166667,-518.5185,-185.185333333,-185.185,-285.1855,-112.963,-438.889,-253.703666666,-272.2225
187.53,-1950.0,-3600.0,-3916.66666667,-1300.0,-1700.0,-1966.66666667,-400.0,-3583.33333334,-1950.0,-2750.0
187.91,155.9525,397.619,388.095,50.0001666668,171.4285,92.8571666665,-42.8571666665,323.809833333,207.142833333,340.476333333
188.29,20.1389166667,158.3335,129.1665,-38.8886666667,38.889,-18.0555,-120.833333333,63.8888333333,43.0555,159.722166667
188.67,29.0404166667,108.585833334,74.7475,30.808,36.8684999999,20.7071666667,-9.596,53.0301666667,59.596,104.545333333
189.05,32.3864166666,100.757666667,71.5906666666,22.7273333333,32.1966666667,23.8638333334,6.0605,53.7878333333,56.0606666667,94.3180000001
189.43,32.3099166666,94.7368333333,70.7601666667,29.2396666667,33.3333333333,19.5908333334,9.0643333333,59.0641666666,49.4151666667,88.0116666667
189.81,37.0099166666,87.7451666667,74.7548333334,42.1568333334,34.3136666667,11.0293333333,13.2353333333,60.049,54.9018333333,78.4311666667
190.19,40.3455,86.3818333334,73.3738333334,36.7886666667,34.9591666666,14.4308333333,23.7803333333,60.5691666667,52.6423333333,71.748
190.57,46.8496666666,90.4470000001,78.4553333333,30.691,39.8375,18.0895,27.8455,62.6016666667,54.878,77.6423333333
190.95,53.1891666667,92.5926666666,78.3950000002,31.6871666667,43.21,24.4856666667,32.3046666667,70.9878333333,61.9343333333,75.5146666667
191.33,65.6393333333,109.132333334,98.4016666667,39.726,53.653,35.6165,51.598,95.4336666666,76.2555,92.2371666666
191.71,65.3508333334,119.956166667,105.4825,54.8245,63.158,45.614,64.4735,109.429666666,83.5528333334,89.6933333333
192.09,69.6580833333,127.350666666,109.615333333,53.6326666667,70.7264999999,48.9313333333,62.8203333334,123.290666666,84.1880000001,87.3933333333
192.47,65.9091666666,117.9925,117.613666667,58.5228333334,71.0225,51.515,65.5301666667,125.378833334,82.3865,78.788
192.85,61.3475833334,110.8155,112.766166666,44.326,68.7943333333,40.6028333333,65.4256666667,118.617,71.6311666667,70.9218333334
193.23,58.80675,114.204666667,114.962,46.212,73.6741666666,34.4696666667,69.697,125.947,67.2348333333,71.0226666666
193.61,68.50775,119.5735,117.635666667,48.4496666667,76.3566666665,37.0155,82.3641666667,132.170666666,68.0231666667,72.8683333333
193.99,76.6261666667,129.065,123.373833333,46.1383333333,89.0246666666,46.3413333333,90.4469999998,141.260333334,70.5283333333,75.0001666666
194.37,82.0833333333,126.458333333,124.166666667,52.9166666667,93.125,44.5833333333,93.1250000002,142.083333333,67.9166666667,73.75
194.75,72.57725,108.720833333,115.116333333,58.721,85.0775,39.535,86.8216666665,129.4575,55.6201666667,56.7828333333
195.13,59.7516666667,93.4398333333,109.397166667,52.305,73.936,33.1561666666,79.9645,117.375833333,43.2623333333,48.0498333334
195.51,55.63725,84.6405,100.490166667,45.7513333334,67.4836666667,30.8825,74.3465,103.1045,38.0718333333,48.039
195.89,53.9213333333,81.5685,110.392166667,47.2546666667,67.6471666666,22.5491666667,75.098,110.0,34.7058333334,50.784
196.27,54.3136666666,75.0981666667,108.235166666,51.1763333334,59.4118333334,16.8628333334,75.2943333334,108.6275,32.9411666667,50.9801666666
196.65,50.5631666667,75.4505,106.981833333,42.3421666667,56.5316666666,0.901,77.0273333331,110.135333334,24.3243333333,40.7658333334
197.03,60.0575,75.862,120.977,53.161,63.7931666667,-2.29883333335,94.2528333333,127.586333333,23.5631666667,37.069
197.40,50.1774166667,60.6381666667,121.985666667,46.8085,68.085,-17.3758333333,96.4538333333,130.851166667,25.1773333333,19.1488333334
197.78,21.875,44.7916666667,138.020833333,30.7291666667,67.1875,-61.4583333333,90.1041666668,138.020833333,0.0,-26.5625
198.16,24.09925,40.5403333333,115.765833333,17.117,52.7026666666,-65.7656666668,65.7658333335,116.6665,0.9008333333,-16.2163333334
198.54,-60.1191666665,-10.714333333,200.0,-71.4285000001,29.7618333333,-254.762,47.6191666665,189.2855,-76.1903333335,-117.8575
198.92,-355.0,-246.666666667,190.0,-443.333333333,-260.0,-1013.33333333,-213.333333333,296.666666667,-313.333333333,-490.0
