wavelength,Back_ParNigf,Belly_ParNigf,Breast_ParNigf,Crissum_ParNigf,Crown_ParNigf,DorTail_ParNigf,Patch10_ParNigf,Rump_ParNigf,Throat_ParNigf,WingTip_ParNigf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,94.4443333334,133.3335,49.9998333332,222.222,108.333083333,-27.77775,133.333166667,177.777833333,105.555666667,213.88875
179.16,55.5555,27.7778333333,88.8888333331,47.2223333334,46.5278333334,60.4165,66.6668333333,33.3333333333,52.7776666667,51.3888333335
179.54,16.6666666666,100.0,-716.666666669,-83.3333333333,408.333333333,425.0,83.3333333335,200.0,300.0,350.0
179.93,50.0,35.1851666666,16.6666666666,77.7776666666,33.3335,49.0739166667,25.9258333333,48.1481666666,37.037,99.0739166667
180.31,-103.508833334,-219.298166667,138.596666667,-192.105166666,-171.929916666,-86.8424166665,-107.0175,-131.579166667,-143.8595,-259.2105
180.69,-98.4849999999,-206.060666666,118.181833333,-204.545666667,-151.515083334,-77.65175,-83.3333333333,-118.939666667,-115.1515,-240.151416667
181.07,-176.470666666,-321.568666667,110.784166666,-295.097833333,-257.353,-186.2745,-163.725333334,-217.647166667,-229.411833333,-337.255
181.45,3966.66666666,5933.33333334,-1033.33333333,5383.33333333,4941.66666666,4375.0,3483.33333333,4183.33333334,4750.0,5791.66666666
181.83,-1941.66666667,-3075.0,400.0,-2466.66666666,-2075.0,-1775.0,-1533.33333333,-1858.33333333,-2283.33333333,-2641.66666666
182.21,-169.791666667,-353.125,116.666666667,-271.875,-233.333333333,-169.791666667,-197.916666666,-170.833333333,-257.291666667,-236.979166667
182.59,-64.1666666667,-256.666666667,148.333333333,-163.333333333,-134.166666667,-115.416666667,-120.0,-106.666666667,-175.0,-132.5
182.97,-1.42833333333,-115.238,109.0475,-70.0,-55.7144166667,-57.619,-45.7141666665,-39.5236666667,-67.1428333333,-60.238
183.35,6.06066666668,-58.7123333334,98.8636666667,-49.6213333333,-8.33324999999,-20.2653333334,-16.6666666667,-10.9846666667,-26.5151666667,-18.56075
183.73,-9.52383333334,-46.9388333333,87.075,-50.3401666666,-12.4150833333,-10.20425,-13.9456666667,-6.80266666665,-26.5306666667,-12.75525
184.11,15.942,-2.89866666665,69.082,-10.3866666667,11.4736666667,10.5073333334,9.90333333335,19.3236666666,1.44933333334,21.0145
184.49,17.9895,6.61383333335,82.0105,6.08483333332,17.7248333333,16.6668333333,11.64,27.2486666666,-2.11650000001,33.4656666667
184.87,28.9855,17.6328333333,88.889,21.256,21.1349166666,18.7199166667,15.2173333333,37.1981666667,3.62316666667,39.13075
185.25,40.0431666666,27.0563333333,90.6926666667,27.0561666667,38.0953333333,31.4934166666,29.8703333334,55.1945,23.1603333333,48.9175
185.63,27.193,13.5088333333,69.1228333333,8.42083333333,19.8245833333,22.19275,16.8421666667,40.3508333334,6.31566666666,26.49125
186.01,21.2765,7.62433333331,63.6525,-5.67383333331,11.43625,11.0815833334,9.39733333335,31.2058333333,-0.17716666667,28.2801666667
186.39,7.40716666667,-2.963,54.4445,-7.22233333332,6.48133333335,-0.185083333335,9.2591666667,20.7405,-7.40749999998,15.7409166666
186.77,-3.8595,-6.14033333333,40.3506666666,-10.1753333333,2.36841666668,-3.50875,7.5438333333,15.6141666667,-7.3685,10.0
187.15,-8.23533333333,-7.05883333333,33.9216666666,-13.3335,-1.76491666665,-5.09808333333,16.4706666667,14.1176666667,-12.745,14.8040833334
187.53,-5.144,-12.9628333333,31.4815,-9.87649999998,-3.29224999999,-4.11533333334,26.7488333333,14.6088333333,-13.7858333334,23.4566666667
187.91,11.9368333334,-1.12583333333,41.2161666666,1.8018333333,12.3874166667,-2.3645,42.5676666666,25.2253333334,0.900833333335,43.58125
188.29,-4.23716666666,-24.2936666666,36.1578333333,-17.514,-10.5935,-20.0564166667,27.966,7.06216666665,-20.9041666667,32.6270833334
188.67,0.00016666665,-18.6568333333,24.1293333334,-16.1691666667,-10.69625,-17.9104166667,26.617,3.73116666665,-14.9253333333,31.9650833334
189.05,0.23466666667,-3.05183333335,18.3096666667,-2.817,-1.40841666667,-3.87316666665,34.0376666667,7.98116666669,-7.98133333331,51.99525
189.43,3.84616666665,10.6228333333,20.8788333334,16.6666666667,2.56400000002,7.78383333334,38.8276666666,19.414,4.39566666668,53.5715
189.81,27.2221666666,37.2221666666,32.4075,45.0,22.4074166667,26.57425,60.9261666667,33.5185,31.1111666667,77.59275
190.19,36.9048333333,52.3811666667,33.1635,59.0135,30.4419166667,38.77525,68.5373333334,38.9455,42.5171666667,78.31625
190.57,41.8958333333,57.3395,33.0275,55.9631666667,31.2691666667,43.96,68.0428333334,41.59,42.049,83.6390833333
190.95,38.6291666667,63.3956666667,28.0376666667,56.2303333333,28.7384166667,44.003,70.249,40.4985,41.1213333334,90.7323333333
191.33,33.1846666667,52.381,18.0061666667,50.0,22.6935833333,33.8541666667,57.5893333333,30.8035,32.2916666667,80.2083333333
191.71,30.2288333333,54.902,14.2156666667,48.039,16.0946666666,28.5129166666,52.451,27.2875,27.2875,81.45425
192.09,16.844,47.5176666667,4.07783333333,42.3758333334,1.95033333335,25.35475,46.9858333334,20.7446666667,14.5388333334,76.1526666666
192.47,17.3138333333,46.1165,0.64716666667,38.026,7.28166666665,22.4916666667,50.4855,23.7863333334,15.5338333333,76.1326666667
192.85,19.025,43.0816666667,5.6605,37.4216666666,14.151,20.83325,52.9875,26.1005,20.4401666667,77.9088333334
193.23,21.1421666667,37.037,1.54316666666,38.8888333334,15.5864166666,16.51225,53.7038333334,25.463,18.9816666667,67.5150833333
193.61,21.0228333333,35.0378333334,-13.8261666667,32.0075,7.19725,8.04941666665,54.5455,14.2045,5.11366666667,68.0871666667
193.99,7.49066666665,23.7826666667,-26.03,11.9848333333,1.311,-2.06,41.3858333333,5.61783333335,-8.8015,49.8129166667
194.37,4.56133333334,22.2806666666,-21.2283333333,8.5963333333,3.42091666665,-5.87716666666,35.6141666667,11.579,-7.54366666667,42.01775
194.75,1.498,22.0973333333,-28.8388333333,7.67783333335,-0.0936666667,-17.2285,33.1461666667,6.18000000001,-10.8613333334,40.5430833333
