wavelength,Back_AniIgnf,Belly_AniIgnf,Breast_AniIgnf,Crissum_AniIgnf,Crown_AniIgnf,DorTail_AniIgnf,Patch10_AniIgnf,Patch11_AniIgnf,Rump_AniIgnf,Throat_AniIgnf,WingTip_AniIgnf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,2333.33333333,2282.08333333,2435.45454545,2613.33333334,2606.66666667,2353.33333333,2380.0,2600.0,2453.33333334,2456.66666667,2323.33333333
179.16,-2606.66666667,-2471.25,-2720.30303031,-2633.33333333,-2686.66666667,-2606.66666667,-2540.0,-2756.66666667,-2546.66666667,-2410.0,-2520.0
179.54,394.166666667,355.260416667,359.204545454,392.5,360.833333333,369.166666667,362.5,382.916666667,376.666666667,348.75,360.833333333
179.93,1293.33333333,1148.125,1182.57575758,1343.33333333,1153.33333333,1230.0,1143.33333333,1350.0,1273.33333333,1268.33333333,1241.66666667
180.31,3909.99993333,3703.3332875,3915.05060303,4203.33333333,3898.33336667,3998.88906667,3800.00013333,4229.99993333,3919.99986667,3935.5555,3766.66676667
180.69,3196.66666667,3055.0,3241.17424242,3431.66666667,3193.75,3276.66666667,3154.16666667,3441.66666667,3219.16666667,3251.25,3126.66666667
181.07,8084.4444,7853.47215833,8261.81818788,8777.77773333,8108.8889,8393.33326666,8035.55553333,8718.88886667,8122.22226667,8288.8888,7981.11093333
181.45,1700.9524,1685.0297625,1740.95235758,1845.23806667,1708.09513333,1763.80953333,1692.85713333,1829.0477,1699.04753333,1749.04753333,1686.4287
181.83,1431.25,1461.015625,1496.17424242,1562.08333333,1465.0,1506.25,1449.16666667,1558.54166667,1435.41666667,1488.95833333,1438.75
182.21,1813.8888,1890.8680625,1933.03035455,1960.5556,1882.22226667,1919.4444,1866.11106667,1980.55543333,1817.2222,1888.61093333,1811.11116667
182.59,927.222133335,973.090275001,987.171748484,989.999999999,974.999866667,985.555533333,960.555533334,1005.69433333,921.944400001,964.166699999,938.194366667
182.97,545.2034,578.8008625,585.269906061,572.845666667,575.121866667,584.7154,571.3822,586.0975,541.1382,575.0408,559.430766667
183.35,617.9048,673.011775,672.50229697,643.047666667,657.809533333,660.380933333,660.0,662.476166667,617.333333333,652.571433333,641.1428
183.73,822.8204,906.634545833,902.983778787,848.4614,875.641133333,870.769133333,889.743600001,877.179533333,817.6924,854.743633333,858.3332
184.11,853.866666667,953.666666667,944.957575759,873.866666667,912.933333333,918.399999999,934.400000001,905.999999999,855.466666666,886.533333334,896.933333333
184.49,561.5384,619.230825,621.118860606,560.342,594.615266667,608.546933333,613.333266667,592.991333333,563.760666667,577.0086,594.017133333
184.87,454.533333333,496.391666667,497.26060606,452.533333333,480.6,487.733333333,487.6,473.266666667,458.666666667,461.666666667,476.733333333
185.25,397.741933333,427.748520833,431.163263636,389.3548,411.7204,419.0324,419.784933333,410.483866667,400.9678,400.3762,415.161266667
185.63,435.9524,470.0594375,469.875645455,429.523933333,453.333333333,469.1666,461.9046,448.3928,442.023666667,448.273933333,458.5715
186.01,517.9844,557.732633333,561.839318182,509.457333333,540.000033333,566.6666,548.062066667,527.131766667,528.992266667,540.0001,543.721
186.39,473.3334,498.2196,509.325130303,467.272666667,491.136466667,525.303,490.909,467.727266667,478.484733333,491.5151,495.909166667
186.77,434.090933333,459.223479166,468.588263636,434.848533334,450.908966667,483.939333333,442.7274,416.2121,436.2122,449.621333333,454.242333333
187.15,518.75,546.158854167,546.354166667,515.833333333,537.916666667,578.125,521.875,471.25,517.708333333,528.958333333,535.625
187.53,310.0654,320.9640375,320.261563636,312.287533333,316.731966667,344.0524,303.137466667,270.326833333,310.719066667,317.058866667,314.2484
187.91,249.6428,252.648795833,255.378733333,246.309466667,255.238166667,281.547533333,232.619066667,204.642833333,246.309466667,257.202433333,246.726266667
188.29,187.214533333,181.210104167,187.277036364,177.8996,188.630133333,205.8448,164.931466667,142.876666667,174.064,188.310433333,178.767166667
188.67,160.0,153.916595833,154.116887879,146.857133334,160.9524,178.7618,128.4762,108.809566667,140.1904,161.5239,146.714366667
189.05,131.047666667,125.232116667,122.021690909,114.095133333,130.476133333,152.095333333,96.0953333334,78.6665999999,107.047733333,132.190533333,111.952333333
189.43,97.5661999999,90.0065833333,83.3573787879,81.0582,99.9999999999,126.560933333,57.8835333334,34.9736,68.4657333334,103.1216,72.8571333333
189.81,60.1190666665,47.1353833334,45.7035000001,43.8096666666,64.1072666667,87.4999999999,11.1905333331,-10.8930000001,29.6429333333,63.2739,27.9761333334
190.19,44.1441999999,33.7838791667,28.9066000001,30.6306666667,47.2522666667,61.8017333333,2.25206666654,-13.0631999999,19.009,44.2792666667,22.5224999999
190.57,38.8236000001,34.2647458333,25.3760484849,30.9019333334,42.1567333333,56.3137333334,4.47066666666,-9.29403333326,19.0588666666,44.2352999999,22.0785333333
190.95,38.7451333333,33.705825,24.7984303029,26.1174666667,40.9803999999,55.9216666667,2.19606666666,-9.52946666674,19.9215333333,41.7645666666,17.3725000001
191.33,36.0417333333,32.0225708333,23.7595363637,24.1667333333,37.9861666667,48.4027333334,-0.4860666666,-6.11106666668,18.4722,39.5138,15.5557333333
191.71,14.4186666668,10.33915,2.34319393932,-1.31793333334,18.2170666666,31.0078,-24.6511333333,-32.2868666667,-7.98446666674,22.2868333335,-6.24020000008
192.09,6.2602,6.90039583334,-4.84110909092,-9.5121333334,10.7723333333,26.2601999999,-32.1138666667,-41.0976333334,-16.4226666667,16.9105666667,-12.0730666667
192.47,-4.00000000007,-0.10937499994,-15.4431818183,-18.4166666667,-1.25000000002,17.5833333332,-42.1666666667,-51.5833333333,-26.0,7.875,-23.0000000001
192.85,2.53159999993,6.75123333332,-9.0063272728,-11.8988666667,3.67093333326,19.9999333333,-32.2363333333,-46.7510333333,-17.8057999999,13.7974666667,-17.2995666668
193.23,1.7284666668,13.5340083333,-6.6927515152,-7.90126666672,4.77369999994,23.8682666667,-27.1603333332,-42.5514666667,-15.3910666667,14.6501666665,-12.5515666666
193.61,5.96073333319,18.6863166667,2.2066878788,-4.47073333334,9.49023333332,29.0979999999,-23.5295333333,-37.7647,-9.4117333334,13.4510333333,-6.39223333334
193.99,20.7477333333,28.1385291667,17.1680060605,10.2180666667,22.3051999999,36.6978000001,-1.68213333334,-13.8629666667,9.03426666666,23.2399,12.5234333334
194.37,24.1509999999,28.2153666667,20.5604030304,13.0187999999,25.6601666667,40.6289333334,3.39620000002,-10.5662333333,12.7674,27.8931333334,15.0943
194.75,29.8000000001,34.6416666667,26.4454545455,16.2666666666,32.5333333333,43.9333333333,9.73333333332,-4.73333333326,18.8666666667,33.3999999999,20.0
195.13,35.4718,39.3159791667,31.8897454546,21.4464000001,36.9495999999,48.239,21.5722666667,1.50936666668,25.7862666667,40.4402666666,29.2453666667
195.51,45.1447999999,45.2762208333,40.8564515152,26.0869333333,40.5796666668,57.8259333333,28.4782666667,3.0797333334,30.9420666667,46.8116,36.4492666667
