wavelength,Back_PooOrnf,Belly_PooOrnf,Breast_PooOrnf,Crissum_PooOrnf,Crown_PooOrnf,DorTail_PooOrnf,Patch10_PooOrnf,Patch11_PooOrnf,Patch12_PooOrnf,Rump_PooOrnf,Throat_PooOrnf,WingTip_PooOrnf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,113.333333333,84.4443333333,137.777666667,104.444333333,91.111,0.0,102.222333333,108.889,102.222333333,71.111,126.666666667,79.9996666667
179.16,-200.0,-600.0,-233.333333333,-166.666666667,466.666666667,200.0,66.6666666667,0.0,-133.333333333,900.0,-366.666666667,266.666666667
179.54,106.060666667,151.515,66.6666666667,112.121,99.9996666667,118.182,139.394,118.181666667,166.666666667,63.6363333333,136.363666667,54.5453333333
179.93,206.666666667,306.666666667,213.333333333,160.0,253.333333333,260.0,246.666666667,266.666666667,320.0,100.0,326.666666667,173.333333333
180.31,78.8406666667,117.971,86.3766666667,111.304333333,74.7826666667,74.783,101.739333333,92.7536666667,101.159333333,55.942,123.768,70.7246666667
180.69,75.5726666667,106.361333333,79.898,107.888,70.2293333333,76.336,103.308,92.1123333333,95.4196666667,53.6896666667,120.610333333,66.158
181.07,80.0546666667,115.573666667,77.0493333333,116.12,71.3113333333,93.443,108.47,89.8906666667,96.448,54.3716666667,128.142,69.3986666667
181.45,73.6486666667,103.828666667,72.072,109.459666667,74.5496666667,90.541,100.676,84.9096666667,89.4143333333,61.261,117.117333333,75.2253333333
181.83,71.724,95.402,67.126,108.045666667,68.7356666667,89.655,96.092,78.161,82.5286666667,60.6896666667,112.873333333,75.632
182.21,69.406,93.6073333333,67.3516666667,112.557,65.525,93.151,97.717,75.571,79.68,62.7853333333,107.990666667,86.758
182.59,76.4283333333,98.095,73.0956666667,117.619,71.4286666667,97.143,99.0476666667,76.1903333333,86.1903333333,61.4286666667,113.095333333,90.9523333333
182.97,71.141,86.8006666667,58.6126666667,106.264,64.4296666667,89.933,85.4586666667,69.7983333333,75.168,53.4673333333,101.565666667,78.2996666667
183.35,70.222,83.778,54.8886666667,104.444333333,63.3333333333,86.0,81.3333333333,66.6666666667,72.4443333333,43.7776666667,101.555666667,77.111
183.73,65.625,77.5,48.75,101.25,58.125,78.125,73.3333333333,58.125,67.9166666667,41.6666666667,92.0833333333,76.25
184.11,71.4283333333,82.381,60.9523333333,122.857333333,65.0,92.857,85.238,65.476,76.6663333333,49.0473333333,102.619,90.238
184.49,72.8856666667,79.353,61.94,123.134333333,66.9153333333,88.806,83.0846666667,66.169,77.8606666667,50.4973333333,106.467333333,100.249
184.87,75.4386666667,85.4633333333,66.6663333333,125.814333333,75.188,97.744,78.1953333333,63.158,80.451,52.381,105.012666667,107.769333333
185.25,69.9073333333,79.861,66.2036666667,120.139,71.9906666667,91.667,74.5373333333,65.509,79.3983333333,52.315,97.4536666667,107.407333333
185.63,68.657,80.3483333333,65.9206666667,122.637,71.8906666667,90.299,75.1243333333,64.9253333333,77.1146666667,48.01,97.5123333333,107.214333333
186.01,67.8403333333,85.2113333333,72.3006666667,120.422666667,79.5773333333,86.62,73.0046666667,71.3616666667,77.23,50.7043333333,100.939,110.328333333
186.39,67.114,79.4183333333,66.6666666667,115.659666667,77.405,77.852,65.3243333333,65.548,68.233,51.678,101.789666667,98.6576666667
186.77,60.4936666667,68.107,61.9343333333,103.909333333,70.5763333333,77.778,62.7573333333,57.6133333333,62.5516666667,48.148,97.1196666667,90.9463333333
187.15,64.1973333333,66.0493333333,67.0783333333,105.967,71.605,79.63,69.959,62.757,66.8723333333,53.292,99.5886666667,98.5596666667
187.53,71.111,70.303,69.4946666667,109.697,73.9393333333,87.879,77.7776666667,67.4746666667,69.2926666667,62.0203333333,102.222333333,104.444666667
187.91,78.9353333333,85.1853333333,81.0186666667,122.453666667,82.8706666667,103.472,88.1946666667,77.0833333333,69.9073333333,74.537,115.046333333,117.129333333
188.29,78.6916666667,82.2783333333,71.73,109.916,83.5443333333,94.937,77.215,73.2066666667,66.0336666667,71.097,108.017,107.806
188.67,83.5393333333,81.6873333333,69.753,108.436,83.745,93.827,74.6916666667,69.5473333333,66.8726666667,66.0493333333,104.115333333,103.498
189.05,80.2846666667,77.439,67.6826666667,104.065,77.8456666667,80.488,70.935,68.699,64.4306666667,62.3983333333,102.032666667,99.5933333333
189.43,75.5693333333,70.6006666667,61.6976666667,99.1716666667,69.151,78.882,65.2173333333,65.0103333333,60.87,55.0723333333,94.824,91.9253333333
189.81,75.3086666667,66.0493333333,61.7283333333,100.411666667,65.4323333333,78.395,62.5513333333,62.7573333333,62.3453333333,54.938,93.004,86.8313333333
190.19,76.5823333333,64.768,56.751,103.797666667,60.127,82.911,63.5023333333,57.173,61.6036666667,52.5313333333,86.92,87.1306666667
190.57,75.4506666667,58.108,55.6303333333,95.4953333333,50.6756666667,91.216,59.91,54.5046666667,59.4596666667,40.991,74.3243333333,79.279
190.95,69.3336666667,50.6663333333,48.6666666667,89.111,40.4446666667,79.333,51.7776666667,49.778,53.3333333333,36.2223333333,63.7776666667,71.5556666667
191.33,60.0003333333,44.8276666667,40.4596666667,83.2183333333,35.1723333333,74.483,42.069,37.931,46.437,23.2186666667,51.0346666667,62.2986666667
191.71,50.8623333333,33.908,29.8846666667,78.1606666667,25.5746666667,75.0,29.023,22.7013333333,39.0806666667,10.3446666667,40.5173333333,58.908
192.09,42.424,17.5756666667,23.3333333333,67.273,20.303,70.0,20.303,13.03,36.0603333333,3.93966666667,34.8486666667,56.9696666667
192.47,42.029,19.1303333333,28.6956666667,65.7973333333,11.884,70.435,23.7683333333,17.681,41.4493333333,3.47833333333,30.7246666667,66.9563333333
192.85,35.8023333333,15.7406666667,24.691,65.432,8.33333333333,74.074,24.074,18.827,38.2716666667,5.247,20.9876666667,62.963
193.23,30.8773333333,9.12266666667,6.66633333333,62.1053333333,-5.263,72.632,10.877,5.26333333333,33.6843333333,-8.07033333333,1.05266666667,56.1403333333
193.61,26.8396666667,-2.59733333333,-9.95666666667,58.8746666667,-11.6883333333,66.234,-2.59733333333,-14.286,26.407,-19.0476666667,-16.4503333333,51.5153333333
193.99,42.723,-0.469333333333,-7.512,63.8496666667,-10.7983333333,80.282,2.817,-13.1453333333,39.4363333333,-10.798,-25.352,62.4413333333
194.37,45.0703333333,-11.2676666667,1.40833333333,61.0326666667,-5.63366666667,78.873,7.04233333333,-7.512,39.4366666667,4.695,-28.169,54.4603333333
194.75,40.613,4.59766666667,3.065,65.5173333333,8.429,66.667,9.96166666667,0.766,46.36,14.9426666667,-12.2606666667,55.1726666667
195.13,43.0766666667,5.641,3.07666666667,87.6923333333,7.17966666667,103.077,16.923,2.56433333333,53.3333333333,24.1026666667,-24.1026666667,69.7436666667
195.51,66.6666666667,11.111,14.5833333333,115.277666667,-3.47233333333,141.667,9.02766666667,17.361,72.2223333333,55.5556666667,-22.9166666667,91.6666666667
195.89,79.8743333333,12.5786666667,35.22,116.352333333,15.0946666667,120.755,23.8993333333,28.931,73.585,64.1513333333,-20.1256666667,89.937
