wavelength,Back_TanHeif,Belly_TanHeif,Breast_TanHeif,Crissum_TanHeif,Crown_TanHeif,DorTail_TanHeif,Patch10_TanHeif,Rump_TanHeif,Throat_TanHeif,WingTip_TanHeif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,6.66666666666,8.00000000007,6.66666666666,86.6666666667,46.6666666666,36.0,-24.0,60.0000000001,-41.3333333334,60.0000000001
179.16,48.8889333334,-13.3334000001,-51.1113333334,-0.000133333319999,97.7778,44.4443999999,-22.2222666666,6.66653333342,37.7775999999,-48.8887333333
179.54,-51.8519333333,-41.4813333333,-23.7036666667,-19.2592666667,-7.4074,-5.1852,-31.8519333333,-21.4814666666,-37.7778666667,-13.3333333333
179.93,58.6666666667,61.3333333333,53.0,61.3333333333,52.6666666667,67.0,60.6666666667,45.6666666667,56.3333333333,51.0
180.31,-2.89873333333,-1.73913333331,8.40573333332,37.6811333333,7.68113333334,28.9855333333,12.3188,33.3333333333,-19.5652,12.4637333333
180.69,16.6038,15.7232,23.2703333333,50.3145333333,26.0377333333,45.5345333333,31.9496666666,42.8932,-5.4088,31.5724
181.07,14.8148,14.6913333333,23.8272,43.3334,29.5062,46.1728666667,31.7285333333,39.8766666667,3.58026666667,27.5309333333
181.45,26.6666666667,22.963,30.1852666667,46.6666666667,41.2036666667,53.7963333333,36.574,43.4259333333,17.1296666667,28.889
181.83,33.9784,25.6988666667,29.5698666667,53.3333333333,42.2581333333,58.2795333333,40.5375333333,47.3117333333,21.613,24.6237333333
182.21,27.8050666667,14.6341333333,26.6668,60.0001333333,44.2276,62.6015333333,36.5853333333,58.8618,8.7804666666,21.4634666667
182.59,43.9999333334,30.4242666667,55.8788,55.6363333333,47.8788,66.0605333333,47.8788,63.8788,29.5757999999,32.8485333333
182.97,49.4444,29.5834,62.6389333333,55.9722,55.4168,78.7499333333,63.0556,74.3054666667,30.9722,36.2500666666
183.35,44.2552,27.0921333333,62.4112666667,48.6524,46.8084666666,72.3404,56.5957333333,63.8297333333,23.8297999999,26.383
183.73,46.0715333334,29.5238666666,58.8096,46.4285333333,45.3572,67.2618666667,59.6429333333,61.6666666667,29.4048000001,31.4286666667
184.11,58.2455333333,39.0643333334,62.456,56.6080666666,52.6314666667,75.5556666666,65.1462000001,68.0701333334,38.0116666667,47.4854000001
184.49,40.9999999999,21.5,35.3333333333,36.6666666667,37.3333333333,60.6666666667,44.5,48.8333333333,10.6666666667,16.5
184.87,21.7543333333,6.14033333334,24.7367333333,22.6316,23.6840666667,38.4210666667,15.2631333333,34.035,-1.75433333334,-14.9122666667
185.25,35.3459333333,20.3773333333,31.5724,31.9497333333,25.283,41.7609333333,32.0753333333,39.8742666667,10.5660666667,3.14466666668
185.63,33.0555333333,3.47226666666,20.0000666667,19.9999333333,7.63900000001,26.1111333333,29.0278666667,34.5833333333,-3.19453333333,-6.94440000002
186.01,31.6665333333,4.74373333333,28.3333333333,16.7948666667,10.3846,30.641,40.8974666667,33.4616,6.15380000001,4.35899999998
186.39,34.9074666667,11.9444,28.7037333333,22.5,14.6295333333,30.3702666667,43.426,32.0370666667,18.9815333334,8.88899999998
186.77,25.4760666667,-10.4762,7.7382,7.38099999999,-1.07146666668,21.5474666667,34.0477333333,18.9286,-2.02386666668,-7.0238
187.15,29.8373333333,6.58540000001,16.0162666667,25.935,12.1138,24.7155333333,29.5123333333,25.0406,14.3902666667,9.02446666666
187.53,34.1177333333,15.4509333333,20.3922666667,27.8431333333,17.5687333333,33.0980666667,37.0196,35.2156,20.9412,14.5098666667
187.91,41.0833333333,14.4166666667,21.5833333333,34.3333333333,21.8333333333,41.0833333333,33.8333333333,39.6666666667,26.6666666667,14.3333333333
188.29,37.1427333333,10.9524,16.9842,28.8888,19.365,36.5872,31.7461333333,38.6506,22.7778666667,10.9524666667
188.67,40.8247333333,17.5945333333,23.9175333333,35.1203333333,24.0548666666,41.7183333333,40.9622666667,44.1924,27.9037333333,22.9553333333
189.05,44.2136666666,20.8176666667,21.6981333333,37.0439333333,23.7736,44.591,41.0692,45.2829333333,29.9370666667,29.8113333333
189.43,32.25,4.49999999999,1.41666666668,27.5833333333,8.99999999999,36.6666666667,31.4166666667,37.25,15.75,15.25
189.81,14.5333333333,-15.6,-36.4000000001,11.6,-11.6,26.8,9.73333333334,22.9333333333,-6.79999999999,-7.06666666667
190.19,28.172,-27.5268666666,-63.2258666667,18.2795333333,-21.5054,38.2796,-4.08600000002,48.8172,-24.3010666667,-22.7956666666
190.57,-26.6664666667,-150.952266667,-229.047666667,-57.6190666665,-123.8096,32.8571333333,-100.9524,31.4285333333,-145.7142,-135.714266667
190.95,-36.1110666666,-161.111133334,-256.666733333,-57.2221999999,-126.666733333,25.5555333333,-126.111133333,31.1110000001,-142.7778,-156.6668
191.33,68.8889333333,147.301533334,200.000066667,108.254,120.317533333,38.0952666667,115.238133333,39.3651333334,120.634933333,139.682666667
191.71,71.1111333334,145.833333333,189.722266667,101.111266667,119.7222,68.6112000001,119.4444,68.8888666666,111.944466667,127.499933333
192.09,119.080466667,169.885066667,208.046,155.632266667,161.379266667,120.9196,144.827666667,121.149466666,165.517333333,161.1494
192.47,87.0967333333,109.677266667,125.2688,94.5161333333,102.795666667,83.7633333333,100.1076,86.2366000001,107.096733333,108.6022
192.85,74.6403999999,107.843133333,127.8432,93.3333333335,95.9476666669,77.3856666667,103.921666667,83.2681333334,93.0719333334,112.548933333
193.23,88.3950000001,113.209866667,126.049266667,107.407466667,99.0122666667,88.2716666666,103.9506,81.8518,99.2592666668,123.456666667
193.61,59.415,81.7543333334,98.3625333332,85.497,73.5672666667,68.4210666667,85.9649333333,58.9473333333,72.8654666667,97.5438000001
193.99,93.0158666667,133.9682,196.825466667,144.126933333,118.412533333,103.492133333,160.634866667,84.4445333333,105.079333334,199.365133333
194.37,166.6666,195.555666667,328.000066667,226.6666,218.2222,198.6666,244.888933333,182.666666667,197.777733333,283.111066667
194.75,119.7778,131.333333333,192.888933333,147.999933333,143.777733334,146.000133333,156.888866667,120.666666667,135.777866667,166.222066667
