wavelength,Back_EmbDuif,Belly_EmbDuif,Breast_EmbDuif,Crissum_EmbDuif,Crown_EmbDuif,DorTail_EmbDuif,Patch10_EmbDuif,Patch11_EmbDuif,Rump_EmbDuif,Throat_EmbDuif,WingTip_EmbDuif
243.05,3.52966666667,0.719,-5.81733333333,-5.425,-3.20266666667,2.67966666667,8.62766666667,5.49,0.627666666667,-5.35966666667,8.039
243.42,4.088,1.57233333333,-4.59133333333,-4.59133333333,-2.07566666667,2.327,9.55966666667,5.849,2.063,-6.16366666667,6.85533333333
243.80,4.098,1.22333333333,-4.77066666667,-3.85333333333,-2.07933333333,2.569,9.847,6.91133333333,3.05813333333,-4.64833333333,6.97266666667
244.17,5.39733333333,1.127,-3.91466666667,-2.906,0.237,5.45666666667,10.0236666667,8.126,3.879,-1.95733333333,8.007
244.55,4.84533333333,1.401,-4.028,-3.91133333333,1.576,5.54566666667,10.4496666667,7.23866666667,3.1756,-2.335,7.82266666667
244.92,2.93766666667,-0.508333333333,-4.68933333333,-5.819,-0.395666666667,4.746,8.24833333333,4.23733333333,1.54813333333,-3.38966666667,6.04533333333
245.30,2.21533333333,-0.669666666667,-4.01833333333,-5.20333333333,-0.978666666667,3.658,6.646,2.47266666667,1.64833333333,-2.83333333333,5.56433333333
245.67,2.67433333333,-0.381666666667,-4.489,-4.53666666667,-1.194,4.489,6.92466666667,2.77,2.38766666667,-2.81766666667,6.35133333333
246.05,5.11866666667,1.956,-2.70466666667,-2.08066666667,0.0833333333333,6.7,9.19666666667,4.411,3.61226666667,-0.707666666667,8.86366666667
246.42,5.2,2.993,-2.95566666667,-1.42166666667,0.262,6.996,9.16566666667,3.928,4.01786666667,-0.262,8.97866666667
246.79,4.84033333333,3.57,-1.888,-0.686666666667,1.30466666667,7.58666666667,9.578,4.42833333333,4.7168,0.721,10.2983333333
247.17,4.54266666667,3.711,-2.239,-0.607666666667,0.895666666667,7.83766666667,10.0766666667,4.60666666667,5.061,1.50333333333,10.9403333333
247.54,4.18933333333,3.058,-2.783,-0.642333333333,0.0916666666667,7.676,9.81666666667,3.517,4.8866,1.65133333333,10.2446666667
247.92,4.207,3.67733333333,-1.736,0.294333333333,0.500333333333,7.73733333333,10.2676666667,3.236,5.89573333333,2.50066666667,10.797
248.29,3.80233333333,3.774,-1.601,1.172,0.514666666667,7.28966666667,10.5776666667,3.345,6.2896,2.20166666667,10.749
248.67,2.88333333333,2.97,-2.30666666667,0.432333333333,-0.490333333333,6.257,9.977,2.85466666667,5.91113333333,1.24,9.429
249.04,2.67233333333,2.966,-2.52566666667,1.116,-0.734333333333,5.96166666667,10.1026666667,2.81933333333,6.02653333333,1.23333333333,9.04566666667
249.42,2.78,3.367,-2.37866666667,1.29733333333,-0.525333333333,7.07433333333,10.905,3.24366666667,6.38233333333,1.91566666667,9.42233333333
249.79,2.5,3.75,-1.63466666667,2.21166666667,-0.737333333333,7.11566666667,10.9613333333,3.686,7.08333333333,2.5,9.199
250.17,0.0686666666667,1.92833333333,-2.89266666667,1.274,-2.514,6.37033333333,9.91733333333,2.30733333333,6.45986666667,1.54933333333,7.85133333333
250.54,-0.846333333333,0.662333333333,-3.12733333333,0.074,-3.12766666667,6.034,9.97033333333,1.39766666667,5.9678,1.28766666667,7.027
250.92,-1.42533333333,0.198,-4.11733333333,-1.02933333333,-4.67133333333,4.988,9.85733333333,0.871,5.30513333333,0.831333333333,5.74033333333
