wavelength,Back_TanCypf,Belly_TanCypf,Breast_TanCypf,Crissum_TanCypf,Crown_TanCypf,DorTail_TanCypf,Patch10_TanCypf,Rump_TanCypf,Throat_TanCypf,WingTip_TanCypf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,241.666666667,150.0,66.666666667,54.1666666667,83.3333333333,33.3333333333,58.3333333333,250.0,41.6666666668,258.333333334
179.16,216.666666667,250.0,-133.333333333,-183.333333334,-16.666666667,-516.666666667,-300.0,66.6666666665,133.333333333,266.666666667
179.54,83.3333333335,116.666666667,6.666666667,56.6666666667,26.6666666667,-20.0,96.6666666669,43.3333333333,86.6666666667,56.6666666667
179.93,29.6298333333,48.148,30.5555,41.2036666666,20.3705,32.4075,45.3703333334,37.0371666667,50.9258333333,26.8518333333
180.31,85.0745,72.1393333334,21.393,49.0049166667,51.4928333334,48.5076666667,55.4726666666,74.1293333335,58.7065,85.3234999998
180.69,101.881833333,83.8708333335,29.8388333334,56.9890833334,59.4086666667,49.1935,65.0538333333,84.1398333331,69.6236666666,98.9248333332
181.07,93.4271666667,80.047,26.0561666667,52.8168333334,57.0425,45.7748333334,63.1455,72.3005,76.9955,89.4366666665
181.45,94.3136666666,83.9215,37.0588333334,59.3136666667,63.3333333334,55.8826666667,69.9998333333,72.549,79.4118333334,87.4510000002
181.83,103.541666666,90.8333333333,44.1666666667,55.0,69.7916666667,61.25,70.2083333333,75.625,81.4583333333,90.6250000002
182.21,121.7105,97.5876666666,54.6051666667,58.22375,83.3333333333,70.3948333333,71.2718333334,78.728,90.7893333334,98.4646666668
182.59,122.362833333,93.4599999998,55.9071666667,53.4806666667,86.498,64.7678333333,67.0885,71.0968333334,86.7088333334,95.7805000002
182.97,134.177166667,97.2573333334,63.0803333331,61.3924166666,91.5611666668,78.4811666666,81.2236666666,80.1688333333,104.641166667,112.025333333
183.35,115.5,93.9999999998,56.0,56.5,84.1666666667,69.8333333333,75.8333333333,71.1666666667,101.666666667,101.0
183.73,115.624833333,102.083166667,63.8391666667,66.51775,91.0713333331,78.1248333333,84.8213333333,73.9585,109.523833333,108.482333333
184.11,109.7015,101.492666667,71.7661666666,70.8331666667,90.1741666666,79.9753333333,91.1691666667,73.01,108.458,106.219
184.49,102.935,95.1781666665,76.1004999999,69.3395833333,86.6878333333,76.4153333333,85.744,68.2391666666,101.0485,98.3228333331
184.87,96.6268333333,88.1945,68.5516666667,64.2855833334,80.8531666666,75.0993333334,79.9601666667,62.103,94.0476666667,94.0474999999
185.25,94.1861666665,84.2055,69.186,60.8045,79.0696666666,76.5506666667,77.0348333334,61.4343333333,88.1783333333,92.8295000002
185.63,91.5675,79.7618333333,67.0636666667,60.9125833333,77.9765,75.3968333334,76.488,61.012,87.0041666667,93.7499999998
186.01,86.2008333333,77.061,61.3801666667,61.2455833333,75.9856666666,73.835,75.4483333334,59.767,83.1541666666,92.4731666668
186.39,82.9691666666,76.776,57.9235,60.8380833333,75.2276666666,73.315,77.7776666666,61.4753333333,80.8741666667,99.3624999999
186.77,81.1595,76.3586666667,59.1486666667,64.9455833334,74.185,75.2716666666,79.9818333334,65.8516666667,82.156,102.717333333
187.15,78.5713333333,72.4358333333,57.784,62.49975,73.4433333333,70.3296666667,79.304,63.7363333333,79.3956666667,100.091666667
187.53,73.2006666666,64.4886666667,53.8826666667,57.3389166667,67.7083333333,64.8676666666,75.2841666666,60.2275,71.1175,95.3600000001
187.91,66.4646666667,56.1615,49.3941666666,49.5956666667,60.7071666666,57.0706666667,71.6161666667,56.8686666667,61.3131666667,87.1716666665
188.29,60.3603333333,51.3511666667,41.4415,40.428,54.9551666667,50.6755,63.6261666667,53.2656666666,54.5043333333,80.9685
188.67,61.1495,52.7585,38.9655,41.9538333333,60.5746666667,56.8965,65.6323333334,61.0346666666,54.4826666667,84.4826666665
189.05,55.4083333334,49.0066666667,38.8523333333,35.65125,57.2848333334,54.8563333334,63.2451666667,60.7063333333,48.0133333334,77.5938333335
189.43,54.5011666666,49.5135,37.2261666667,38.382,59.124,54.2581666666,67.1533333333,61.0705,46.9586666667,79.3186666668
189.81,55.7795,49.8656666667,34.9463333333,34.0053333333,57.9298333333,58.8708333333,67.2041666666,60.3493333334,45.43,82.1236666665
190.19,53.719,43.8016666667,36.0881666666,35.6750833334,52.617,58.4023333335,62.6721666666,62.3968333333,45.868,80.3028333335
190.57,42.0421666667,31.3813333333,27.3273333333,27.10225,39.94,50.15,48.198,53.9038333334,31.2313333334,63.6636666668
190.95,33.8766666667,26.087,14.3115,12.8623333333,25.3623333334,34.0576666667,38.5868333334,47.1013333333,12.3188333334,52.7173333335
191.33,24.914,24.5705,9.96566666666,7.0445,20.6188333333,26.6323333333,26.976,41.0655,5.6701666667,44.5016666667
191.71,14.4143333333,12.3871666667,-2.02683333334,-9.45941666666,9.00900000001,23.6488333334,12.162,37.8378333333,-5.63066666665,42.3423333331
192.09,10.1093333333,15.3006666667,-10.1093333333,-17.21325,4.918,30.8743333334,3.27866666666,28.6885,-7.65033333335,51.0930000002
192.47,12.7778333334,14.7225,-5.83333333332,-13.7500833333,1.389,39.4445,2.22216666667,21.111,-4.99983333335,53.6113333331
192.85,-3.44833333335,9.48266666665,-8.62083333335,-34.3389166667,-22.1265,29.023,-8.90783333335,0.862,-17.816,41.092
193.23,11.1978333333,27.604,6.77066666668,-15.2346666667,-13.021,31.7705,1.30183333333,8.85416666665,7.2915,57.0310000002
193.61,16.6665,37.0098333333,15.196,-9.68133333335,-9.31383333331,36.2743333334,8.57833333333,12.255,10.049,59.3138333335
