wavelength,Back_LoxAnof,Belly_LoxAnof,Breast_LoxAnof,Crissum_LoxAnof,Crown_LoxAnof,DorTail_LoxAnof,Patch10_LoxAnof,Rump_LoxAnof,Throat_LoxAnof,WingTip_LoxAnof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,716.666666666,250.0,583.333333334,600.0,616.666666667,250.0,416.666666667,238.888888889,483.333333334,550.0
179.16,112.5,39.5833333333,60.4166666667,39.5833333333,70.8333333333,95.8333333333,81.2500000001,67.3611111111,75.0,158.333333333
179.54,50.0,116.666666667,101.515166667,127.272666667,78.7878333333,93.9391666668,86.3636666667,103.030166667,104.5455,33.3333333333
179.93,39.5833333335,58.3333333333,116.666666666,68.7499999999,83.3333333333,74.9999999999,37.5,39.5833333333,66.6666666667,14.5833333333
180.31,160.606166667,-306.0605,-107.575833333,-204.5455,-125.7575,-219.697,-40.9089999999,-84.8486111113,-187.878833333,124.242333333
180.69,77.1928333335,-221.929833333,-60.5263333331,-117.543833333,-93.8596666665,-171.052666667,-47.3684999999,-78.6549444445,-134.2105,42.9823333333
181.07,41.228,-270.175666666,-98.2455000002,-182.456333333,-130.701666666,-220.175333333,-86.8421666665,-101.169666666,-191.228166667,0.0
181.45,-366.666666665,-3258.33333334,-1483.33333333,-2566.66666667,-2008.33333333,-2983.33333333,-1575.0,-1783.33333333,-2591.66666667,-1075.0
181.83,-152.777666667,-1044.44433333,-427.777666667,-825.0,-658.3335,-966.666666668,-466.666666667,-533.333333334,-888.889,-513.888833333
182.21,-108.333333333,-454.762,-158.333333334,-340.476166667,-280.952333333,-419.047833334,-207.143,-244.444611111,-370.237833334,-232.143
182.59,-157.692,-550.0,-185.897333333,-378.205333333,-314.102666667,-515.384666667,-242.307666667,-307.264944444,-462.820666666,-310.256333334
182.97,-72.6666666668,-278.666666666,-98.6666666668,-157.333333333,-158.666666667,-259.333333333,-127.333333333,-157.555555556,-239.333333333,-164.666666667
183.35,-42.544,-162.719333333,-50.8771666665,-77.193,-116.228,-147.807166667,-80.7016666666,-92.69,-135.964833333,-94.2983333334
183.73,-70.5555000002,-204.4445,-80.5556666665,-85.5554999998,-166.111166667,-200.0,-107.222166667,-119.814611111,-163.333333333,-138.888833333
184.11,-244.872,-525.641166666,-234.615333333,-238.461666667,-447.436,-534.615333333,-341.0255,-324.786277778,-434.615333333,-373.076833333
184.49,1004.16666666,1883.33333334,904.166666665,1033.33333334,1766.66666667,1858.33333334,1241.66666666,1168.05555555,1550.0,1316.66666667
184.87,480.952333332,935.714499999,433.333333333,509.523833333,897.619,861.904833331,585.714166666,509.523722222,735.714166665,588.095333333
185.25,450.000166667,826.190333334,380.9525,385.714333334,885.714,728.571333333,447.619166666,427.777666667,616.666666666,533.333166667
185.63,282.051166667,456.410333333,214.102666666,183.333333333,500.0,401.282166667,252.564333333,219.230722222,357.692333334,319.230833333
186.01,286.111166667,433.333333333,193.0555,122.222166666,516.6665,436.111333333,283.333166667,198.148,320.833333333,301.388833333
186.39,219.230666667,385.897333333,156.410166667,116.666666667,465.384666667,396.154,258.974166666,174.786222222,280.769333333,298.718
186.77,252.083333333,495.833333333,197.916666667,139.583333333,666.666666667,579.166666667,375.0,172.916666667,408.333333333,427.083333333
187.15,591.666666665,804.166666665,300.0,200.0,1204.16666666,1200.0,608.333333334,216.666666667,741.666666665,729.166666669
187.53,827.777833335,1044.4445,372.222333333,238.888833333,1350.00016667,1683.33333334,627.777666666,227.777555554,994.444333332,966.666666666
187.91,-322.916666667,-333.333333333,-83.3333333332,-52.0833333335,-427.083333333,-591.666666667,-202.083333333,-120.138888889,-389.583333333,-387.5
188.29,-234.523833334,-225.000166666,-83.3335000001,-65.4761666667,-278.571333333,-384.523666667,-122.619,-117.0635,-249.999833333,-260.714166666
188.67,-185.294,-183.333333333,-71.5685000001,-75.4901666666,-227.451,-332.353,-129.411833333,-110.130722222,-217.646833334,-215.686166667
189.05,-125.6945,-114.5835,-45.8333333333,-63.889,-165.972,-250.694166666,-73.6110000001,-78.9351111111,-152.777833333,-161.111166667
189.43,-82.4561666668,-67.9825000001,-17.5438333334,-41.228,-102.631666666,-160.087666667,-51.3156666665,-47.075888889,-108.771833333,-110.087833334
189.81,-39.2655,-26.5536666667,-5.64983333335,-17.7965,-42.6553333334,-92.3728333334,-21.1865,-17.2316111111,-55.9321666666,-57.3446666666
190.19,-23.4648333333,-11.4033333333,-3.50866666665,-9.21049999998,-25.8773333333,-59.2103333334,-2.4121666667,-2.99694444445,-37.5,-41.8861666666
190.57,-26.9736666666,-16.2281666667,-3.94733333335,-10.5263333333,-23.4651666666,-60.0876666667,-1.9735,-2.48533333335,-42.9825,-44.2983333334
190.95,-24.5613333333,-14.9121666667,-5.0438333333,-10.965,-21.4913333333,-57.2368333333,0.6578333333,-0.8771111111,-35.3068333333,-47.8071666667
191.33,-39.697,-32.7271666667,-19.697,-30.303,-39.091,-85.4546666667,-13.6363333333,-12.7272222222,-58.182,-80.3031666667
191.71,-44.3261666667,-39.7163333334,-20.2126666667,-38.6523333333,-42.1985,-90.4256666667,-11.7021666667,-12.1750555556,-62.4113333334,-99.9999999998
192.09,-56.9445,-53.2405,-29.1666666667,-62.0368333331,-61.1113333333,-105.5555,-19.9073333333,-3.0865,-78.7036666667,-119.907333333
192.47,-65.9721666667,-65.2776666666,-23.611,-109.722166667,-79.861,-136.8055,-44.4445,0.000166667000002,-106.250166667,-175.000166667
192.85,-24.4791666667,-11.4583333333,16.1458333333,-41.6666666667,-15.625,-63.5416666668,2.6041666667,33.5069444446,-54.6875,-99.9999999998
193.23,-18.2291666667,-12.5,21.3541666667,-20.8333333334,-2.60416666666,-36.9791666667,3.125,55.5555555557,-49.4791666667,-88.0208333333
193.61,-5.83333333333,-14.1666666667,15.0,-15.0,13.3333333334,-46.6666666667,19.1666666665,123.055555555,-47.5,-103.333333333
193.99,25.8333333333,25.8333333334,45.8333333333,19.1666666666,22.5,-19.1666666667,50.8333333335,172.5,-14.1666666667,-46.6666666665
194.37,119.298166667,120.1755,112.280666667,89.4734999998,114.035166667,19.2983333333,106.140333333,246.198888889,52.6316666666,37.7191666669
194.75,127.976166667,140.476333333,110.7145,113.095166667,126.190333333,57.1428333333,106.5475,207.738055556,66.0715,73.8093333333
195.13,73.9583333335,119.270833333,75.5208333333,76.5625000001,94.7916666667,30.7291666667,68.7500000001,157.118055556,30.7291666667,41.1458333333
195.51,70.4403333333,97.1698333335,66.0376666667,67.9246666666,78.3018333334,38.9936666667,60.6916666668,115.618444445,44.3396666666,48.4276666666
195.89,70.9301666667,124.806166667,60.8526666667,75.5813333335,82.9458333335,39.1473333333,61.628,135.4005,35.2713333334,47.2866666667
196.27,64.7618333333,135.714333333,39.9996666667,74.762,94.7619999998,32.381,76.1904999999,153.968111111,27.1428333333,40.4761666667
196.65,55.3763333334,138.71,24.7311666667,93.011,98.3871666667,31.7205,93.5483333331,166.845888889,13.4405,40.8601666665
197.03,52.6041666667,121.354166667,-1.5625,81.7708333333,88.5416666667,24.4791666667,84.8958333332,152.951388889,4.6875,3.125
197.40,55.769,136.538333333,-17.9486666667,92.9486666667,114.743666667,9.6155,98.0770000002,167.307722222,-12.8206666667,-21.1540000001
197.78,59.3333333333,143.333333333,-2.0,101.333333333,129.333333334,10.6666666666,90.6666666668,155.111111111,-26.0,-57.3333333335
198.16,177.272666667,354.545333334,21.212333333,245.454666667,345.4545,46.9696666665,230.302833333,367.676666667,-57.5756666668,-165.1515
198.54,-9.091,-153.030166667,72.7275,-136.363833333,-231.818,51.5153333334,-136.3635,-246.464555556,186.363833333,265.151666667
198.92,47.5000000001,-57.5,73.3333333333,-42.5000000001,-93.3333333331,75.8333333333,-39.1666666665,-124.166666667,117.5,187.5
199.30,-147.916666666,-260.416666666,-85.4166666665,-337.5,-456.25,-116.666666667,-289.583333333,-534.027777778,68.7500000001,222.916666667
