wavelength,Back_PhrPatf,Belly_PhrPatf,Breast_PhrPatf,Crissum_PhrPatf,Crown_PhrPatf,DorTail_PhrPatf,Rump_PhrPatf,Throat_PhrPatf,WingTip_PhrPatf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,117.690596078,85.9259333335,114.074133333,91.1111333333,117.7778,104.074066667,80.2116571429,108.889,119.259133333
179.16,98.253062745,70.3029333334,92.7273999999,77.8786333333,81.8181333333,105.757666667,58.1817619047,76.9696666667,86.6666000001
179.54,-10.0653333333,-7.11106666667,-16.889,12.8889666667,-13.7779333333,-17.7776666667,11.2381047619,-2.66666666666,-28.8889333333
179.93,-163.267901961,-41.1109666667,-111.111,-126.666633333,-168.888866667,-165.5555,-66.3491142857,-173.333333333,-146.666733333
180.31,165.253556863,151.839066667,154.252933333,159.080633333,169.195333333,190.345,125.960561904,175.632133333,160.344933333
180.69,192.726541176,174.8426,177.358533333,186.289366667,190.188666667,217.232566667,144.474419048,203.8994,184.151
181.07,220.169376471,200.302966667,198.030466667,223.939333333,220.151533333,248.2577,166.60187619,231.969533333,214.5456
181.45,204.337745098,192.380833333,182.040933333,214.966,208.1632,230.884266667,160.680161905,219.319733333,201.0884
181.83,168.690721569,156.397933333,147.634333333,182.634466667,173.548466667,190.4302,136.420857143,178.6022,161.182666667
182.21,166.219235294,158.309866667,144.507133333,177.370833333,168.263,182.535366667,138.028114286,172.488266667,156.056333334
182.59,174.9352,161.751266667,153.107333333,190.338933333,177.514266667,197.4012,144.907228571,178.757,162.711933333
182.97,211.670952941,197.681166667,179.710066667,230.507266667,220.5796,234.782533333,176.583857143,211.594133333,190.4346
183.35,305.322058824,279.142933333,254.857133333,306.285566667,311.047666667,328.8572,248.027190476,293.142933333,259.809533333
183.73,256.444482353,233.7778,203.111133333,245.555566667,254.3704,264.4445,213.56627619,239.7038,216.5926
184.11,346.071560784,307.5862,265.977066667,329.080566667,334.022866667,371.609133333,274.31852381,320.9196,284.138
184.49,706.582666667,609.761933333,531.428533333,694.5238,665.2382,695.952233333,543.265295238,625.7142,580.476266667
184.87,598.731270588,538.039233333,444.7058,601.176566667,573.3334,584.7059,470.196,518.431333333,495.294133333
185.25,2017.01960784,1886.0,1522.66666667,2049.33333333,1852.0,2002.66666667,1601.33333333,1768.0,1565.33333333
185.63,-1946.50980392,-1826.0,-1476.0,-2022.0,-1780.0,-1869.33333333,-1615.61904762,-1666.66666667,-1450.66666667
186.01,-5031.56862745,-4746.66666667,-3930.0,-5166.66666666,-4506.66666667,-4660.0,-4200.95238095,-4236.66666667,-3413.33333333
186.39,-3176.73212157,-2957.77776667,-2457.77786667,-3337.77776667,-2853.33333333,-2966.66673333,-2706.66670476,-2560.00013333,-2057.7778
186.77,-1100.26150588,-1065.92606667,-834.814933333,-1209.6296,-1014.07413333,-1035.92593333,-997.354457143,-859.259333333,-722.962933333
187.15,-846.84772549,-801.538533333,-707.692466667,-922.564,-779.999933334,-793.589866667,-814.944990477,-656.923133333,-615.897466667
187.53,-607.081917647,-565.294133333,-505.49,-696.470533333,-567.058866667,-559.411866667,-614.845942857,-449.4118,-460.392066667
187.91,-695.808823529,-661.458333333,-602.083333333,-796.041666667,-639.166666667,-658.958333333,-694.94047619,-500.833333333,-532.083333333
188.29,-679.561768627,-640.9804,-584.705733334,-779.607833333,-642.352933333,-621.764566667,-708.683495238,-486.2746,-518.823533333
188.67,-448.054227451,-420.128166667,-382.307733333,-517.6923,-430.769133333,-406.923,-483.69952381,-320.0,-326.923133333
189.05,-420.434196078,-383.333333333,-363.809466667,-474.166533333,-409.047466667,-378.571466667,-456.938780952,-292.619,-299.2856
189.43,-455.845933333,-417.407433333,-392.0986,-497.407533333,-459.012266667,-415.802433333,-502.504352381,-318.271666667,-323.209933333
