wavelength,Back_DacVigf,Belly_DacVigf,Breast_DacVigf,Crissum_DacVigf,Crown_DacVigf,DorTail_DacVigf,Patch10_DacVigf,Rump_DacVigf,Throat_DacVigf,WingTip_DacVigf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,106.666666667,95.5555555557,151.111111111,168.888888889,171.111111111,228.888888889,106.666666667,253.333333334,167.777777778,100.0
179.16,711.111111111,611.111111111,1200.0,1011.11111111,1000.0,1455.55555556,922.222222221,1400.0,822.222222222,1077.77777778
179.54,283.333333333,394.444444444,144.444444444,183.333333333,216.666666667,-144.444444444,272.222222222,100.0,122.222222222,138.888888889
179.93,60.0,101.111111111,31.1111111111,100.0,87.7777777778,5.55555555553,110.0,46.6666666667,79.9999999999,67.7777777778
180.31,48.5095555556,126.287222222,-12.7372222222,50.1354444445,40.9213333333,-43.9025555557,86.1787777778,-55.0135555555,30.4878333333,54.7423333333
180.69,62.4692222221,154.567888889,11.8518888889,75.8025555555,59.2593333332,-29.6296666667,104.197333333,-26.9135555555,46.9136111111,68.1481111111
181.07,73.9999999999,169.111111111,29.7777777778,91.3333333333,83.1111111111,2.2222222222,117.777777778,5.77777777779,61.3333333333,92.0000000001
181.45,83.0064444443,185.838777778,38.3443333333,109.368222222,105.446555556,22.8758888889,129.629666667,26.5795555555,70.4793888888,117.429111111
181.83,67.3075555556,179.273555556,29.9145555556,98.0767777777,86.324888889,33.1195555556,119.017222222,19.6582222222,63.8888888889,112.606888889
182.21,80.0654444443,244.117777778,21.2418888889,118.954222222,103.921555556,37.5818888889,149.346555555,15.0328888888,69.9348333334,153.921666667
182.59,81.3131111109,346.969666667,11.1112222222,152.020222222,140.909,60.6061111111,200.0,16.1617777777,90.9090555557,217.676666667
182.97,104.861111111,429.861111111,-10.4166666667,192.361111111,170.138888889,38.8888888889,240.972222222,31.9444444444,129.861111111,279.861111111
183.35,131.623888889,553.846111111,-37.6068888889,282.051111111,231.624,18.8032222221,336.752111111,60.6837777779,197.435833333,361.538555555
183.73,122.222222222,468.75,-76.3888888888,209.027777778,188.888888889,-2.08333333333,274.305555555,74.3055555556,163.194444444,307.638888889
184.11,-25.925888889,2044.44444444,-981.481555554,529.629666665,318.518555556,-492.592555557,785.185222221,-166.666666667,287.037055556,1107.40744445
184.49,32.679777778,386.927888889,-159.477111111,102.614333333,72.5489999999,-52.9414444443,147.712444444,-26.7974444444,79.7384444443,220.915
184.87,-3.33333333333,269.444444444,-200.555555555,21.6666666667,15.5555555553,-44.4444444444,71.1111111111,-69.4444444444,49.7222222223,181.666666667
185.25,-10.6996666667,171.193444445,-160.493777778,1.6461111111,-10.6996666667,-43.21,41.5635555557,-54.3211111112,37.0368333333,106.172777778
185.63,-17.7777777778,164.888888889,-153.333333333,-9.77777777777,-40.4444444446,-29.7777777777,33.3333333334,-63.1111111112,41.1111111111,108.888888889
186.01,-86.4198888888,371.604777778,-495.061888889,-93.827111111,-129.629666667,-172.839333333,-4.93833333333,-250.617222222,21.6048333333,275.308777778
186.39,1.64611111113,157.613,-138.683111111,-3.292111111,-16.0492222223,-10.6995555554,24.2798888888,-65.0204444446,30.8642777778,127.983666667
186.77,-20.2896666667,174.879222222,-199.517,-38.6474444445,-53.6230000001,-43.4782222223,7.72955555567,-93.2366666668,-2.17394444443,121.739333333
187.15,26.2873333333,138.753222222,-72.0867777778,17.6152222222,9.75588888899,20.8672222222,56.3684444443,-17.886,38.6178888889,107.859
187.53,18.1285555556,122.514666667,-79.2397777778,6.43277777767,0.292444444543,28.6551111111,55.5557777778,-14.3275555556,31.1405555556,98.8305555554
187.91,-4.62955555553,91.6666666667,-79.0123333333,-22.222111111,-36.7282222223,7.40744444443,30.2468888888,-35.8023333333,13.4261666667,77.1603333334
188.29,39.596,92.9294444445,0.605888888877,20.4038888889,24.2425555556,52.1211111111,58.7879999999,17.3737777778,53.0304444445,80.0000000001
188.67,42.3281111111,87.6542222222,17.1076666667,27.8657777778,32.4514444445,58.2011111111,66.4904444446,34.0388888889,50.0000555556,78.8359999999
189.05,52.381,88.4126666667,28.5711111111,36.6666666666,39.5238888889,52.2222222222,74.9206666667,42.3808888889,51.1904444445,76.9839999999
189.43,52.5424444444,91.7136666667,15.2541111111,31.0733333332,34.8401111111,48.9641111111,74.0114444443,35.2165555556,47.9283333333,79.2842222223
189.81,54.1667777778,87.1528888889,20.1386666667,31.4235555555,42.3611111111,43.5764444444,78.8195555554,38.7151111111,56.0766111111,79.167
190.19,50.1388888889,76.1111111111,22.5,35.5555555554,44.8611111111,43.1944444444,70.9722222223,35.0,57.5,63.3333333333
190.57,43.4342222222,70.7068888889,16.3057777778,23.5207777778,38.961,35.6422222222,68.6867777778,30.5917777778,54.9064444444,54.9782222222
190.95,47.1946666667,64.4664444445,33.0035555556,32.1232222222,43.4544444444,39.3837777778,63.5864444445,32.7832222222,53.0253333333,52.6953333333
191.33,40.0267777778,60.5086666667,21.1512222222,18.4738888889,35.8768888889,38.1527777778,58.9022222222,22.8915555555,38.0858333333,48.5944444444
191.71,41.6666666667,59.3914444444,15.344,18.5185555556,34.524,40.873,55.8201111111,20.2382222222,34.5238333333,49.0738888889
192.09,44.3091111111,66.26,10.8402222222,23.1707777778,42.0054444444,47.832,58.8077777778,22.8997777778,42.0732222222,55.2844444444
192.47,33.0065555556,54.5753333333,-15.8494444445,6.20911111113,23.0392222222,29.9017777778,42.1566666667,5.22866666669,26.7156111111,42.3202222222
192.85,34.362,62.5515555555,-32.3043333333,1.8519999999,17.4896666667,27.7778888889,42.7983333333,-0.823111111133,34.3619444444,44.0327777778
193.23,30.9523333332,58.201,-59.5236666667,-14.8150000001,7.67211111113,29.1002222222,36.5081111111,-11.3754444444,33.0687222222,38.6244444444
193.61,30.6876666667,64.8148888889,-42.8571111111,-10.3174444444,8.73011111113,34.9206666667,40.7406666667,-1.32266666667,36.5078333333,50.0001111111
193.99,8.88899999988,44.1267777778,-89.2063333333,-42.8571111112,-19.3651111111,19.0475555555,19.3651111111,-32.6985555556,7.1428888889,19.3651111111
194.37,-5.55555555533,8.54688888889,-154.700777778,-90.5982222222,-67.5213333333,17.5213333333,9.829,-32.906,-24.9999444445,11.1108888889
194.75,-11.1113333334,-21.0525555556,-198.830444445,-126.315666667,-99.4153333333,16.9587777779,-3.50888888887,-66.6667777777,-32.7486111111,8.7718888889
195.13,218.518555556,337.037222222,846.29611111,614.814888889,535.185333333,118.518444444,205.555666667,405.555555556,247.222055556,188.889
195.51,-37.963,-169.444555555,-338.888888889,-252.777666667,-225.925888889,0.925666666667,-79.6296666667,-147.222111111,-0.463111111123,-39.8147777778
195.89,-48.888888889,-190.0,-310.0,-307.777777778,-240.0,-6.66666666657,-75.5555555556,-138.888888889,15.5555555557,-61.1111111111
196.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196.65,88.888888889,663.888888889,633.333333332,847.222222223,761.111111113,-69.4444444447,41.6666666667,277.777777778,248.611111111,183.333333333
197.03,200.000111111,611.111333333,466.66688889,606.349222221,593.650666667,82.539888889,171.428555556,295.238,206.349166667,282.539888889
197.40,326.388888889,727.777777778,498.61111111,661.111111112,677.777777778,152.777777778,293.055555556,393.055555556,321.527777778,372.222222222
197.78,-388.888888889,-997.777777778,-617.777777778,-957.777777778,-922.222222221,-204.444444445,-300.0,-504.444444445,-410.0,-555.555555555
