wavelength,Back_GeoScam,Belly_GeoScam,Breast_GeoScam,Crissum_GeoScam,Crown_GeoScam,DorTail_GeoScam,Patch10_GeoScam,Rump_GeoScam,Throat_GeoScam,WingTip_GeoScam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-13.8461333333,5.1282,35.8974666666,16.9230666667,17.1794666667,25.641,-8.9744,5.99946758939e-12,26.1536666667,10.7691333334
179.16,19.4444666666,18.8888666667,32.7778,17.2222666667,31.9445333333,28.3332666667,-26.3888666666,21.6667333333,42.2222666666,16.1112666667
179.54,100.0,88.8888666667,13.3333333334,-17.7779333333,57.7778333334,26.6665999999,-73.3334333333,48.8889333334,-6.66666666666,-13.3334
179.93,-273.333266667,-313.333333333,-277.777733333,-233.3334,-287.7777,-306.6666,-221.111033333,-342.222266667,-208.888933333,-273.333333333
180.31,43.5979333335,36.508,41.0582666667,51.6402,53.8624666666,55.6613333333,6.24339999994,40.3175333333,46.3491333333,27.7249333334
180.69,37.4444000001,33.3333333334,32.4445333333,42.7776666667,57.3889333334,53.2222666667,-2.94433333332,34.3334666667,40.7777999999,22.5555333334
181.07,51.8519333333,44.2592,35.0926666667,46.3888666667,64.8611333333,55.8333333333,14.6760000001,44.4444666667,44.0740666667,33.0554666667
181.45,41.4085333334,36.3379333333,20.4694666667,41.4084666667,57.8403333333,46.6665333333,10.7979333333,35.5868,31.8309333333,24.6947333333
181.83,31.3922666666,30.7173333333,12.7426,36.5402666667,50.0842999999,42.2785333333,13.7130333333,29.0296,27.9325333334,17.7215333333
182.21,13.0158,12.3015333333,-3.09520000001,20.7143333333,35.5555666667,25.7936666667,-1.98403333338,9.12693333332,10.1587333333,-1.82546666667
182.59,14.4738,11.8420666666,-3.0702,12.3683333333,34.6929999999,23.2455333333,-3.90359999999,7.6316,8.9473333334,-1.05246666667
182.97,3.09866666668,14.5540666667,-11.0797333333,2.44100000001,32.0658333333,17.4648,-17.1360333334,-2.06573333331,0.938866666646,-6.57273333332
183.35,2.16439999998,9.17746666667,-14.8916,-4.50219999999,24.0259666667,5.80073333332,-22.9004999999,-12.1212,-7.7922,-10.303
183.73,19.5603333333,26.0074,6.22713333335,13.9194,38.6814333333,22.1244,1.31863333333,7.32606666667,8.49819999999,8.79113333334
184.11,16.4444,28.8889333334,-0.9776,10.3998666667,38.7555666667,18.9334,-7.55556666668,2.5778,3.28893333327,8.53339999999
184.49,-1.23820000002,22.6665333333,-16.2857333333,-8.76193333333,22.5238,1.61900000002,-23.5714,-11.1429333333,-7.4285333334,-6.85713333333
184.87,6.08333333334,27.9166666667,-8.33333333334,0.333333333332,17.7916666667,5.58333333336,-18.0416666667,-6.16666666664,-0.75,-2.41666666667
185.25,-5.74353333336,24.2051333333,-17.5384,-0.82053333334,6.71796666668,-3.99999999998,-32.9740999999,-19.8973333333,-9.53846666673,-11.1794666666
185.63,-40.3100000001,10.5426,-60.3101333333,-42.4806,-22.4030333334,-37.9844666667,-79.7673666666,-61.3953333333,-40.1551333333,-42.0155333333
186.01,-50.1009333333,9.29293333334,-71.7173333334,-54.5452666667,-34.6464333334,-53.9393333334,-108.1819,-72.9293333333,-47.6765999999,-34.1413333333
186.39,-27.0705333333,26.6664,-60.6059333333,-47.0707333333,-24.1414666667,-46.6667333333,-86.1615333333,-55.1515333333,-16.5656666667,-3.4344
186.77,-23.1666666665,16.0,-63.8333333333,-38.3333333333,-28.1666666666,-49.6666666667,-73.9999999999,-52.3333333333,-21.3333333333,1.16666666666
187.15,-80.7842666667,0.78433333338,-203.137266667,-122.352933333,-117.451033333,-160.7842,-204.5099,-151.372666667,-97.255,-21.9606666667
187.53,-128.5714,10.4761333332,-237.142933333,-126.666733333,-127.619033333,-175.238066667,-255.2381,-151.904666666,-113.809533333,-20.9524666667
187.91,991.111133335,308.888933333,1537.7778,1028.88893333,925.555633334,1286.66666667,1583.33323333,1091.1112,920.0,611.110933332
188.29,272.592466667,68.8889333333,438.518533333,318.5186,238.5183,372.5926,426.666633334,288.888933333,179.2592,127.407333333
188.67,145.833333333,-23.3333333334,353.333333333,220.0,121.25,278.333333333,331.249999999,170.833333333,45.0,-39.9999999999
189.05,47.1112,-22.2223333333,173.777733333,87.1110666667,37.7777666667,138.222333333,135.555633333,68.4444000001,0.444400000066,-45.7777333333
189.43,46.8685333334,14.7474666667,114.343466667,87.6768666667,48.3838333334,96.1614666668,91.4141666667,63.8383999999,27.6767333334,5.25253333333
189.81,-12.3078,-45.6409999999,70.7692666668,31.0256,6.41043333346,60.2563999999,47.9486333333,9.74353333333,-27.1795333333,-64.6155999999
190.19,-20.5881333334,-40.5880666667,44.1176,14.7058,-7.05886666668,46.2745333334,43.1373333333,2.9412,-23.9214666668,-40.5883333333
190.57,-10.0900666666,-28.2883333334,41.9820666667,9.90979999999,5.85589999999,45.0451333334,50.3603666667,14.4144666666,-12.6126000001,-26.4866
190.95,11.2169333333,-3.17466666667,35.2382,25.0794,16.7724666667,42.4339333333,43.2274666666,20.4232,5.81999999999,2.64559999999
191.33,10.4349333333,-13.1884666667,37.1013333333,25.6521333333,16.0145666667,64.3476666666,62.3913666667,27.9710666667,-1.44913333327,-5.0724
191.71,12.7956666667,-4.30113333333,35.3764,32.4732,29.1935666667,56.8818666667,59.1936333333,34.3010666667,0.429999999986,4.1936
192.09,12.6126666667,-3.78386666667,25.5856,28.1981333333,29.1441333334,43.9639333333,46.6216666667,27.117,-3.42353333325,1.53146666666
192.47,32.7928,16.2162,47.027,48.9189333333,57.7025333333,62.3422666667,69.8649333334,52.8828666667,25.2252666667,29.5495333333
192.85,36.4382666667,19.8172666667,53.2419333333,53.6073333333,66.3015333333,67.9452,77.3514666667,63.5615999999,34.1552,34.8858
193.23,38.9743333333,17.6068666667,47.1794666667,54.3588666667,68.5898,64.1879333333,70.8119333334,60.8548,33.6751333333,32.3932666667
193.61,37.7488666667,17.2294666666,48.3980666667,55.5844,67.6622333333,61.0389333333,68.7877000001,58.6146666667,31.8614,35.6710666667
193.99,37.1085333333,16.3856666667,46.2648666667,59.0360666667,66.5060333333,63.6146,68.3532999999,62.9717333333,34.3774,37.8314
194.37,53.4188,24.5299333333,62.8203999999,75.4700000001,83.2052000001,76.4103333333,76.9658666667,80.9402000001,47.0940666667,42.3933333333
