wavelength,Back_TanParf,Belly_TanParf,Breast_TanParf,Crissum_TanParf,Crown_TanParf,DorTail_TanParf,Patch10_TanParf,Patch11_TanParf,Patch12_TanParf,Patch13_TanParf,Rump_TanParf,Throat_TanParf,WingTip_TanParf
189.05,-1700.83333333,-216.666666666,-1500.0,-2360.0,-2073.33333333,-3010.0,-1750.0,-2926.66666666,-3220.0,-1380.0,-2680.0,-2343.33333333,-2563.33333333
189.43,275.512933333,81.5384,238.9744,375.897466666,299.487133333,439.487266667,285.128066667,448.205066667,501.5386,224.6154,427.179333333,337.9486,390.256533333
189.81,136.449333333,44.3479333334,136.232,195.6522,156.231933333,229.855133333,165.507266667,234.782533333,261.7392,117.391333333,231.884,180.579733334,176.231866667
190.19,126.999933333,27.9998666666,142.666666667,203.999933333,182.222266667,293.333133333,197.333266667,278.2222,339.555533333,103.555533333,291.111066667,200.888933333,188.888866667
190.57,-62.2221833321,257.777866667,-204.444466667,-337.777666667,-344.444466666,-846.666666667,-453.333533333,-813.333266666,-1166.66646667,37.777866666,-1055.5556,-582.222199999,-259.999933333
190.95,49.8666666667,70.6666666667,31.4666666665,25.0666666668,14.4,-37.6000000001,10.4000000001,-42.3999999999,-80.8000000001,54.9333333334,-85.6000000001,-25.8666666666,35.4666666668
191.33,70.8107833333,78.7387333332,49.7298000001,64.144,57.1172666667,10.6306,61.4413333333,17.6576666667,-7.74766666666,68.8288666666,-19.8199333333,7.02699999988,69.0089999999
191.71,76.5351166667,86.6668000001,54.2106000002,77.7192000001,67.3684000001,21.5789333333,67.3683333334,34.2104666667,10.1754,78.9473333333,-12.9823999999,12.4561333333,83.6844666667
192.09,47.4561666667,60.0001999999,27.1928666665,50.3508666667,49.8245999999,1.75433333334,36.1404666667,8.94726666666,-11.5790666666,50.8771333333,-45.2630666667,-17.3684666666,59.2983999999
192.47,54.4252666666,65.0574666668,25.2872666667,55.4022666666,54.9424666665,-13.5632,33.5630666667,2.2989333334,-27.8160000001,55.8621333333,-72.8734666667,-35.8620666666,75.4023333334
192.85,45.3260833333,48.1159333333,23.1884000001,44.9276,46.3768666665,5.21753333334,30.1449333333,12.4636666667,-2.02893333328,43.6232,-34.058,-15.7970666667,69.1303333332
193.23,47.5895166667,46.8717333333,23.8974666667,47.1795333333,46.2565333334,17.846,30.1538666667,21.641,14.2565333333,46.0512,-15.8973999999,5.02559999998,58.2563999999
193.61,46.1434333334,42.5582,26.0465333333,46.7441333333,43.6434,18.6822,28.1396,19.0698,18.9146666667,43.8759333333,-2.79060000002,12.6357333333,52.4029333334
193.99,33.8666666666,32.7333333333,16.3333333334,33.3333333333,32.2,10.0666666667,20.0,8.8,13.6666666667,35.1333333333,-7.66666666665,6.79999999998,38.9333333333
194.37,22.45,19.8,1.40000000002,19.1333333333,21.1333333333,1.86666666666,10.0,-4.93333333334,6.66666666667,24.0666666667,-17.1333333333,-4.46666666668,27.2666666667
194.75,17.9560166667,17.8616666667,-2.8302,12.7673333333,17.5472666667,2.45286666668,9.18240000001,-8.05033333334,8.42759999999,21.6982666667,-15.3458666667,-2.51580000001,21.3209333333
195.13,11.1763833333,9.28099999999,-12.4836,0.849599999994,10.3922666667,-3.7908,1.0458,-14.9674,3.268,13.5292666667,-19.2157333333,-11.3070666667,10.9151333333
195.51,4.5214,2.04619999999,-19.1417999999,-10.9570666667,2.04626666668,-9.43886666668,-8.58086666666,-23.1022,-4.68646666668,5.14853333333,-25.6105333333,-15.3136666667,3.63033333335
195.89,9.46474999999,2.997,-15.1682,-10.3974666667,3.97553333326,-6.85020000001,-6.60553333334,-23.3639333333,-4.15893333334,3.85313333335,-22.4464,-9.78599999999,7.76753333335
196.27,11.7821,3.89440000001,-14.6534,-10.363,2.83840000006,-8.97686666667,-8.77893333334,-25.8746666667,-3.36640000001,4.15833333333,-23.8283999999,-9.10906666666,12.1452666667
196.65,22.7315166667,11.2344666667,-4.07419999998,-0.987466666666,12.9012666667,0.92586666666,0.864199999992,-13.7036666667,8.45673333334,11.8518,-11.2962666667,1.29646666667,20.0615333333
197.03,22.4736833333,12.9122,-4.63153333331,-1.40359999999,16.8420666667,-0.771933333334,0.701733333334,-15.0175333333,9.19306666667,11.8598,-14.3859333333,-1.82460000003,20.1404
197.40,18.39085,5.90039999999,-9.42520000001,-9.42526666667,12.1839333334,-8.35246666667,-4.52100000001,-19.5401333333,2.37546666667,4.67426666665,-19.0038666667,-6.74326666665,18.6205333333
197.78,25.7963666667,18.2222,0.88900000002,-0.962933333326,17.1851333333,1.9258,4.07406666667,-6.51840000001,11.4073333333,10.3702666667,-8.88886666667,0.370333333346,26.3705333333
198.16,38.1683166667,32.3076666667,16.9964,15.7508666667,32.4542666667,19.2673333333,17.3625333333,6.08053333333,27.033,21.6850666667,7.98533333333,13.7728,41.6118000001
198.54,52.1245000001,46.5200666667,31.2819333333,34.3588,48.7912666667,28.718,26.8130666667,22.8572,39.5604666667,33.8462,23.3699333333,26.5202,59.5606
