wavelength,Back_TanNicm,Belly_TanNicm,Breast_TanNicm,Crissum_TanNicm,Crown_TanNicm,DorTail_TanNicm,Patch10_TanNicm,Patch11_TanNicm,Patch12_TanNicm,Patch13_TanNicm,Patch14_TanNicm,Rump_TanNicm,Throat_TanNicm,WingTip_TanNicm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,108.5,142.666666667,134.0,78.6666666667,132.0,77.3333333334,99.9999999999,113.333333333,104.0,86.6666666666,64.0000000001,70.6666666666,156.0,76.0
179.16,208.125,196.666666667,154.166666667,273.333333333,190.0,151.666666667,165.0,243.333333333,225.0,193.333333333,223.333333333,191.666666667,100.0,200.0
179.54,161.166666667,201.333333333,136.666666667,276.0,166.666666667,144.0,168.0,220.0,216.0,168.0,196.0,208.0,125.333333333,126.666666667
179.93,-43.8889583334,-75.5554666665,-53.8888,-83.3332666668,-27.7777333334,-55.5555333334,-66.6665999999,-47.7777333333,-92.2221333333,-103.333333333,-50.0000666666,-38.8888666667,-8.88880000001,-22.2222666667
180.31,-1161.66666667,-186.666666668,-580.000000001,-2606.66666667,-559.999999999,-486.66666667,-946.666666667,-2326.66666667,-2846.66666667,-3513.33333333,-1146.66666667,-1040.0,680.000000001,-419.999999999
180.69,-190.972233333,16.6667333334,-48.8889666665,-422.222266667,-37.7777333334,-26.6666666666,-88.8889333334,-351.111066667,-376.666733333,-546.666533333,-127.777933333,-137.7778,185.555666667,13.3333999999
181.07,-1079.16666667,-459.999999998,-683.333333334,-1730.0,-686.666666667,-330.0,-793.333333333,-1580.0,-1580.0,-2190.0,-553.333333333,-780.000000001,-83.333333332,-383.333333334
181.45,-311.0,-70.6666666666,-218.0,-554.666666667,-193.333333334,-113.333333334,-277.333333333,-545.333333334,-509.333333333,-810.666666667,-78.6666666666,-249.333333334,-21.3333333339,-28.0
181.83,-9.73688333338,75.7895333334,13.8596333333,-50.8772,33.3333333333,34.3860666666,1.75433333328,-61.7544000002,-45.2631333335,-131.578866667,78.2457333333,15.0877333335,79.9999333334,65.6137999999
182.21,13.1522249999,99.4202000001,43.6231333333,-11.3043333333,55.6521333333,63.1884,27.8260666667,-23.4783333333,4.34793333327,-72.4638666665,100.869666667,36.8116000001,81.4493333333,74.4926666667
182.59,19.0704833332,109.487066667,67.1795666667,4.359,58.2052,70.0001333334,40.2563999999,-6.15386666666,27.1794666667,-28.4616666667,103.076933333,50.5127333334,86.9229333334,80.7693333333
182.97,14.7522083333,79.6396666668,57.5674999999,0.72080000006,42.7026666667,53.5136,25.7658666666,0.54053333334,22.7025333333,-6.8468666666,71.7118666667,43.9639333335,62.5225333333,65.2254000001
183.35,32.0833083333,74.8611333333,58.4722999999,21.2500666667,52.0833333334,58.1945333333,36.2500666666,18.3333333333,35.0000666667,16.8056000001,74.3055333334,50.2778000001,67.2222666668,73.8887333333
183.73,27.6786916667,70.1587333335,54.0475666667,16.3492,40.0000000001,50.6347999999,27.6191333334,18.5714,33.492,15.7142666666,76.8254666667,43.1744666667,66.9840666667,71.1110666667
184.11,4.51613333332,51.8279333334,38.3870333333,-16.129,16.1289999999,31.8278666666,6.45153333325,4.3010666666,22.7957333334,1.5053999998,66.2366666667,15.2688666667,60.0,74.1935333333
184.49,-26.6369333333,21.9049333333,23.8095666666,-39.5236666666,-7.61906666654,-3.33333333347,-33.5713999999,-23.3334,5.0002,-22.8572666668,50.2381333333,-16.4285333333,50.0000666667,56.6666666667
184.87,-24.3816249999,19.9999999999,18.7096333333,-30.3225333335,-13.5483333334,-9.03226666661,-46.0213333333,-26.6666,-15.2688,-25.8065333334,35.6989333333,-12.2582,37.8493999999,39.9999333332
185.25,-33.7820083333,23.8460666667,21.6665999999,-23.8462,-9.99993333328,-25.1282666668,-53.5897333334,-34.8717999999,-33.3333333333,-13.8462,34.1025999999,-11.5384666667,49.4872,47.9487333334
185.63,-37.3810666666,24.2857333333,20.7143666667,-13.3333333333,-4.04766666672,-24.7619333335,-59.5237333333,-24.2856666667,-33.8094666666,-0.952399999866,32.8572666666,-11.9047333333,45.2381333334,32.1428
186.01,-79.7666666665,-23.2,-18.6666666667,-52.5333333333,-49.8666666667,-78.6666666668,-129.066666667,-64.7999999999,-70.9333333333,-42.1333333335,-30.1333333333,-50.4,-16.5333333334,-20.5333333334
186.39,-265.297683333,-165.714333333,-149.761766667,-201.904733333,-214.761866667,-292.380933333,-371.904733333,-246.666733333,-257.618933333,-194.762,-232.857066667,-220.476333333,-165.238066667,-172.380933333
186.77,-1486.45833333,-1128.33333333,-1050.83333333,-1203.33333333,-1233.33333333,-1563.33333333,-1895.0,-1423.33333333,-1390.0,-1253.33333333,-1453.33333333,-1410.0,-1195.0,-1095.0
187.15,517.619083333,420.0,395.714333333,435.714333333,464.761866667,569.523933333,646.190466667,507.619,471.428466667,446.666666667,555.7142,522.380933333,449.5238,421.904733333
187.53,224.651175,198.1394,183.565833333,199.379933333,208.216933333,244.651266667,278.139466667,224.3412,204.8062,203.566,258.139466667,229.922333333,210.852666667,202.325666667
187.91,239.109941667,209.090866667,190.4545,218.9394,216.6666,259.3938,300.1514,241.515133333,215.605933334,217.272733333,281.666666667,243.9394,228.1816,216.9698
188.29,260.322,218.787866667,201.666566667,234.091,232.727266667,270.302933333,321.212066667,256.060733333,228.333333333,226.818266667,306.212133333,251.363533333,245.000066667,233.0304
188.67,288.833333333,232.666666667,220.416666667,261.833333333,263.166666667,290.0,354.833333333,287.166666667,247.0,250.166666667,354.5,279.166666667,281.833333333,251.0
189.05,218.705275,177.500066667,170.119,203.095333333,202.738,221.309533333,271.190533333,217.5,183.3332,194.761733333,277.261933333,216.785666667,222.857133333,195.833266667
189.43,191.335858333,157.058733333,150.049033333,183.3334,179.804066667,195.882466667,242.058866667,188.1372,154.803866667,174.705866667,249.509866667,192.843066667,200.9804,170.6864
189.81,173.749983333,145.470133333,136.495633333,173.931666667,165.299133333,176.5812,218.6324,174.102533333,138.632466667,163.4188,234.273466667,171.111133333,185.299133333,153.846266667
190.19,160.076691667,134.3294,124.559466667,161.839066667,151.647533333,161.072933333,196.781533333,157.011533333,127.9694,152.4904,217.547866667,159.6936,170.1916,139.616933333
190.57,151.1112,128.673866667,119.784933333,157.132733333,145.089533333,149.964,184.372733333,145.949933334,118.638,145.017933333,201.577133333,153.404933333,160.931866667,134.193666667
190.95,139.525,118.733333333,113.7,148.733333333,135.4,137.266666667,171.6,132.0,109.533333333,134.333333333,187.133333334,140.066666667,151.6,127.333333333
191.33,146.917516667,124.3728,118.637933333,157.992866667,134.480266667,143.225733333,180.215066667,134.623666667,112.3296,145.448,197.491133333,147.5268,160.215,136.129066667
