wavelength,Back_ThrCyaf,Belly_ThrCyaf,Breast_ThrCyaf,Crissum_ThrCyaf,Crown_ThrCyaf,DorTail_ThrCyaf,Patch10_ThrCyaf,Patch11_ThrCyaf,Rump_ThrCyaf,Throat_ThrCyaf,WingTip_ThrCyaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,254.444466667,237.777733333,202.222133333,250.0,252.222066666,223.306809524,237.777733333,234.444466667,257.999973333,218.888866667,202.222133333
179.16,693.333333333,650.0,570.0,533.333333333,766.666666667,664.761904762,393.333333333,583.333333333,474.0,493.333333333,556.666666667
179.54,-231.666666667,-241.666666667,-140.0,-195.0,-241.666666667,-188.928571429,-116.666666667,-178.333333333,-138.333333333,-213.333333333,-160.0
179.93,-563.333333333,-493.333333333,-403.333333333,-416.666666667,-620.0,-550.476190476,-390.0,-533.333333333,-517.333333333,-616.666666667,-496.666666667
180.31,261.581933333,258.079066667,214.011266667,228.135666667,260.904,263.007914286,210.508533333,227.3446,218.71192,245.988666667,238.418
180.69,249.735533333,251.428666667,204.021066667,217.671933333,248.994666667,254.77452381,199.576666667,216.507933333,209.354426667,237.566066667,225.502666667
181.07,241.092933333,246.994466667,196.721266667,209.7268,241.7486,249.562915873,193.005533333,207.2132,194.07656,234.535466666,222.185866667
181.45,253.9506,260.617133333,204.320933333,217.160533333,248.888733333,262.513215873,209.012266667,214.074066667,203.82716,249.5062,231.9754
181.83,223.06,230.054666667,183.497266667,187.322466667,217.4864,233.978692063,188.196666667,190.929133333,182.38252,221.639333333,205.683066667
182.21,180.759466667,183.9664,149.704666667,154.0928,174.430466667,190.076377778,156.455733333,153.2488,146.784853333,174.514733333,165.316466667
182.59,168.730133333,175.238066667,139.920666667,143.809533333,164.285733333,182.620949206,150.634866667,142.5398,136.476266666,163.1746,156.190533333
182.97,183.291133333,184.4726,152.067533334,155.443,177.384,193.608525397,164.557,152.236266667,149.70476,177.890266667,165.316533333
183.35,166.337333333,167.736666667,137.530866667,138.683133333,159.835533333,177.589611111,151.522666667,138.683133333,138.189213333,162.962866667,146.666666667
183.73,152.0174,155.350866667,123.771866667,119.999933333,144.912266667,165.093979365,137.017533333,123.421,124.929706667,149.386,133.684333333
184.11,149.6104,149.004333333,117.489133333,114.372333333,134.372266667,152.275779365,129.350666667,115.671,120.3638,141.731733333,124.675333333
184.49,174.4,168.0,123.733333333,122.533333333,149.866666667,175.628571429,142.533333333,122.933333333,128.08,165.466666667,134.266666667
184.87,167.030266667,149.696933333,116.9696,113.454533333,140.000066667,160.112496825,137.939333333,112.4848,119.58788,158.303,129.2122
185.25,183.5896,163.333466667,137.564066667,124.871933333,150.512866667,179.878003174,152.8204,124.615333333,136.7436,176.923133333,143.5896
185.63,159.191866667,144.242333333,124.242466667,114.646466667,134.242333333,159.781090476,135.8586,114.747466667,123.393933333,160.100933333,127.373666667
186.01,167.878666667,147.0706,133.131333333,121.919266667,139.999933333,165.079376191,141.717066667,119.899,133.292813333,166.161666667,134.4444
186.39,219.085,197.516333333,176.732066667,157.647066667,181.0458,217.394879365,176.862733333,163.0066,176.8104,221.699333333,177.3856
186.77,280.171,252.9914,229.914533333,198.632533333,227.5214,274.566557143,219.316266667,214.017,228.957146667,282.2224,223.931466667
187.15,236.515066667,216.9698,203.939333333,167.8788,197.272666666,233.372985714,189.2426,188.787933333,201.212213333,248.3332,193.333333333
187.53,228.666666667,218.266666667,209.2,169.733333333,201.066666667,238.161904762,197.733333333,195.2,203.493333333,238.666666667,198.0
187.91,243.076866667,227.0514,225.512866667,190.8974,219.102533333,252.240547619,212.9486,210.3846,218.897293333,254.743666667,208.717866667
188.29,241.632733333,226.394466667,230.884533333,191.7008,224.217733333,261.720239682,215.918266667,216.054333333,223.700746667,261.088333333,208.8438
188.67,224.858866667,216.384266666,215.5932,185.762666667,214.124266667,241.232053968,205.762733333,205.988666667,213.92096,239.0962,201.355933333
189.05,275.102066667,269.659866667,266.258466667,232.381,273.4694,306.728095238,249.931933333,262.993333333,264.244813333,292.516866667,251.428733333
189.43,323.255866667,320.0,312.248133333,273.178266667,329.4574,363.986588889,288.0622,314.573666667,311.814066667,346.201533333,294.108533333
189.81,354.2342,360.720733333,346.1262,302.342533333,373.513333334,403.586487302,313.693666667,343.7838,347.387333333,379.999866667,325.585666667
190.19,472.8204,499.230666667,471.025666667,417.1794,527.179533333,559.120807937,442.564066667,468.461666667,476.20504,527.692266667,454.871733333
190.57,471.3044,511.014533333,470.144933334,413.6232,543.188333333,570.524392063,456.231866667,455.3624,485.159533333,557.101533333,467.246333333
190.95,1802.66666666,2062.66666667,1808.0,1624.0,2184.0,2316.44444444,1826.66666667,1710.66666667,1900.26666667,2342.66666667,1869.33333333
191.33,494.386066667,556.842133333,471.9298,455.789533333,577.192866667,643.759452381,481.403466667,454.736733333,511.7894,624.210533333,511.578933333
191.71,413.666666667,470.333333333,393.666666667,389.666666667,490.666666667,554.333333333,392.333333333,359.333333333,428.6,544.0,431.666666667
192.09,533.333333333,646.190466667,500.0,505.238066667,665.714266667,750.124722222,514.762,481.904733333,585.428573333,733.3334,570.476333333
192.47,786.0,989.333333333,771.333333333,738.0,956.666666665,1086.55555555,786.666666667,696.0,855.733333333,1111.33333333,830.000000001
192.85,499.111133333,655.5556,522.666866667,468.4444,635.555533333,717.820155555,525.777933333,467.5556,568.977813333,739.555666667,549.333333333
193.23,420.0,608.095333333,453.333333333,419.999933333,571.904733334,638.321996825,466.666733333,398.095266667,524.571533333,694.7618,497.1428
193.61,1253.3334,2117.7778,1380.00006667,1302.22213333,1971.11113333,2144.17990317,1568.88893333,1200.00006667,1896.88882667,2440.00006667,1695.55566667
193.99,-662.666666667,-1128.0,-730.666666667,-702.666666667,-1016.0,-1138.44444445,-889.333333334,-671.999999999,-1069.33333333,-1381.33333333,-961.333333333
194.37,808.333333333,1301.66666667,828.333333333,860.000000001,1136.66666667,1340.63492063,1001.66666667,883.333333333,1240.33333333,1633.33333333,1025.0
194.75,320.0002,450.5556,334.444466667,335.0,411.111133333,504.523690476,381.111066667,372.777933333,482.333413333,544.444333333,343.333266666
195.13,120.317466667,148.730133333,122.063466667,122.2222,142.857133333,160.514028571,128.571333333,140.634866667,167.555466666,173.1746,123.333333333
195.51,221.052733333,284.912333333,229.473733333,210.526333333,277.543866667,298.888874603,255.4386,288.771866667,325.824533333,335.789466667,228.0702
195.89,-587.777666667,-748.888999999,-587.777866667,-499.999999999,-724.444466667,-729.973504762,-661.111133334,-826.666733333,-888.444613333,-954.444466667,-579.999933333
196.27,-442.222333333,-619.999933333,-497.777733334,-357.777666667,-541.111066667,-595.978709524,-523.333333333,-756.666666667,-768.666706667,-800.000066667,-475.5556
196.65,-113.333333333,-162.333333333,-139.333333333,-96.9999999999,-151.666666667,-154.547619047,-138.333333333,-225.666666667,-224.333333333,-205.333333333,-139.0
197.03,-94.6666666667,-126.4,-117.6,-89.0666666667,-110.666666667,-123.371428571,-109.6,-176.8,-170.56,-152.266666667,-110.666666667
197.40,-104.888933333,-129.999933333,-131.111133333,-96.6666,-109.111,-130.947128572,-114.888933333,-173.555466667,-167.68892,-150.888866667,-104.222333333
197.78,-241.481533333,-306.296333334,-287.037,-248.888866667,-251.4814,-316.895896825,-270.740733334,-364.0742,-354.81484,-333.3332,-241.851933333
198.16,-291.9998,-372.0,-350.6666,-310.2222,-320.4444,-426.4445,-322.666866667,-436.888733334,-434.844493333,-420.000066667,-291.111066666
198.54,-263.703733333,-354.074066667,-312.2222,-281.851866667,-297.036933333,-394.638439683,-291.8518,-378.888933333,-402.22224,-382.592666667,-278.518533333
198.92,-131.919133333,-190.706866667,-167.2726,-145.8586,-153.737333333,-203.102590476,-147.6768,-193.737466667,-203.1516,-212.727333333,-152.5252
199.30,-52.8126666667,-83.5417333333,-72.0836,-54.0626000001,-65.5210666667,-89.6108126985,-61.5626666667,-82.6043333334,-89.2292666667,-95.1044666667,-62.1875333333
199.68,-49.6396666667,-77.8378666667,-69.9099333333,-51.5316666666,-63.5134,-79.0820015872,-57.3872666667,-72.7928666666,-80.4143733333,-88.3782666666,-61.2612666667
200.06,-92.6191333332,-136.309533333,-123.0952,-98.5714666666,-120.119066667,-139.994319047,-108.333333333,-127.619,-140.238186667,-147.380933333,-108.690533333
200.44,-122.266666667,-172.8,-158.533333333,-134.8,-157.066666667,-173.406349206,-143.066666667,-157.2,-172.026666667,-184.666666667,-141.866666667
200.82,-156.396333333,-225.405466667,-200.360266667,-174.954933333,-212.2522,-229.523880952,-189.369333333,-209.369333333,-227.17112,-240.540533333,-198.017866667
201.19,-124.341133333,-185.736466666,-160.775266667,-137.364333333,-180.620266667,-181.040966667,-150.697733333,-173.953466667,-191.534813333,-202.0156,-155.968866667
201.57,-93.3333333335,-151.972666667,-124.489866667,-106.938666667,-150.340266667,-141.308604762,-119.591733333,-140.680266667,-152.027226667,-161.904666667,-123.8096
201.95,-68.8095999999,-119.166666667,-98.4524,-78.4524666667,-122.857133333,-104.215011111,-86.1905333332,-109.6428,-115.071333333,-122.857133334,-88.6904666667
202.33,-105.7574,-171.0606,-142.272666667,-113.0304,-174.242466667,-138.019463492,-126.363666667,-165.909066667,-162.393973333,-166.212,-129.5454
202.71,-104.504533333,-193.6936,-157.657666667,-115.135,-192.252333333,-144.744668254,-138.738666667,-178.738666667,-171.315266667,-180.000066667,-148.288466667
203.09,-90.3921999999,-182.353,-150.392266667,-105.490133333,-187.450866667,-133.174512698,-134.901866667,-176.274533333,-162.23532,-164.509933333,-143.333266667
203.47,-310.7692,-550.256466667,-483.5896,-391.282133333,-554.359066666,-427.92435873,-433.3332,-558.461666667,-507.282013333,-513.333266667,-458.461466667
203.85,-546.666666667,-987.619000001,-824.761866667,-681.904799999,-977.142933334,-769.183707937,-766.6666,-998.095333335,-952.571453333,-845.714200001,-782.8572
204.22,-104.927533333,-236.232,-178.2608,-152.1738,-232.4638,-166.590723809,-173.0434,-239.710133333,-225.79712,-186.376866667,-174.202933333
204.60,-33.0,-108.0,-64.3333333333,-56.3333333333,-104.333333333,-68.7936507936,-60.0,-107.5,-93.1999999999,-76.3333333333,-68.4999999999
204.98,-20.3774666667,-80.2517333334,-47.4214,-44.9056666666,-76.3522666667,-47.7448603175,-41.1320666667,-77.3584666668,-69.8867733333,-63.7736,-43.3961333333
205.36,-5.33326666667,-54.6666000001,-30.1538666667,-27.7948,-52.1025333333,-35.943868254,-32.1024666667,-55.1794000001,-53.0461333333,-43.7948666667,-23.8972666667
205.74,-2.25633333332,-51.5897333334,-34.6667333333,-28.2052,-46.7692666667,-35.2186666667,-35.077,-55.5897333333,-53.82564,-44.3076666667,-25.2306
206.12,-16.9698,-71.0303333333,-62.9090666666,-45.0909333334,-66.303,-55.6162015872,-63.0304666667,-81.5759333333,-76.2424,-73.4546000001,-52.8485333333
206.50,-10.0484,-51.111,-46.1836,-27.6328666667,-44.7342666667,-38.1229063492,-45.2173333333,-56.3283333333,-51.6520666666,-53.2367333334,-37.2947333333
206.87,-13.3332,-44.3374,-41.0441333333,-26.9077333333,-38.1526,-32.098031746,-36.6264666667,-52.0482666667,-48.0322133333,-46.2649333333,-29.5581333333
207.25,-19.4572666667,-47.8295333333,-44.186,-34.186,-43.1008,-33.9589698413,-43.0232,-54.8060666667,-55.1007866667,-52.5580666667,-33.0234
207.63,-19.5604,-43.4432666667,-39.9998,-31.3553333333,-41.0988666667,-33.7659396825,-39.4872666667,-49.1575333333,-49.8900533333,-47.5457333333,-32.4540666667
208.01,-24.8245333333,-57.1928666667,-53.1578,-45.2631333333,-51.9298666667,-45.6181269842,-50.1755333333,-65.1754666667,-57.85972,-63.8597333334,-44.2983333333
208.39,-46.2222,-81.9999999999,-86.8888666667,-68.9999333333,-75.7778000001,-67.7856333334,-76.5556,-92.7777333333,-86.9111199999,-91.8888666665,-67.2222
208.77,-49.8764666667,-79.1358,-97.0370666668,-69.3826666667,-84.0742666668,-66.3432412698,-92.3456000001,-102.592466667,-103.160466667,-99.7530666667,-67.6543333334
209.14,-31.4754,-52.2404,-70.8196666667,-42.8415333333,-58.1419333333,-50.2627174603,-64.4809333333,-76.2842666667,-70.49176,-66.8853333333,-41.8580666667
209.52,-25.1041333333,-44.1665333333,-61.2498666667,-40.4164666667,-46.0415333333,-40.0916111111,-54.5831333333,-64.0623333335,-60.5830533333,-60.4165999999,-38.6456
209.90,-37.0830666667,-49.5831333333,-67.7081333333,-51.7706666667,-56.5622666667,-50.1882206349,-63.1246666667,-74.2706666667,-70.2290133333,-70.7288666667,-50.6248666667
210.28,-18.0952666667,-26.7532,-39.394,-32.9869333334,-33.5064666667,-32.5561619048,-36.1904666667,-48.0519333333,-46.3722266667,-43.9826666667,-30.1298
210.66,-10.6666666666,-19.3333333333,-35.75,-31.9999999999,-28.5833333333,-31.0297619048,-33.4166666667,-46.8333333333,-43.6666666667,-40.5,-29.25
211.03,-5.84359999997,-13.2510666667,-33.9094666667,-26.2552666667,-23.2922,-28.0934142857,-33.4978,-42.7982666667,-38.50208,-36.6254666667,-28.9711333333
211.41,-1.49240000001,-17.9105333333,-36.6168666667,-28.6566666666,-27.7611333333,-33.0348888889,-35.2238,-51.4428,-41.4130266667,-40.0995333333,-32.3384
211.79,3.97666666668,-16.8420666666,-42.3392666667,-20.8187333333,-24.0936666667,-30.1977968254,-38.3626666666,-54.5029333333,-45.965,-43.1579333333,-23.7428
212.17,-1.64253333333,-17.0048,-35.8454,-13.8164666666,-22.802,-25.1713825397,-32.4637333333,-43.1883333333,-41.8936666667,-37.8746,-20.8694666666
212.55,-6.75113333332,-22.4472,-37.0465333333,-18.3966,-27.6792666667,-32.2383714286,-34.768,-44.557,-41.6035333333,-40.7596,-25.5697333333
212.92,-37.0968666667,-63.4408,-80.7527333333,-62.4730666668,-63.7633999999,-78.407531746,-72.4732,-87.4193333333,-79.2904266667,-80.6450666667,-69.1398
213.30,-45.2630666667,-80.3508666666,-93.3333333333,-75.2046666667,-75.3216666667,-85.7225539683,-81.7544000001,-99.5321333333,-92.3274533333,-91.6959333334,-83.2748000001
213.68,-48.8484666667,-80.4847999999,-95.6363999999,-70.6667333333,-80.7274,-85.8325777778,-71.7575333334,-102.0606,-86.1819333335,-91.8788000001,-80.6060666667
214.06,-46.5333333333,-82.9333333335,-91.8666666667,-59.3333333334,-74.9333333333,-83.7206349206,-63.7333333333,-97.4666666667,-75.8666666666,-84.4000000001,-69.6000000001
214.44,-34.8428,-72.3269333333,-71.6981333333,-46.5410000001,-62.0124666667,-69.0716063492,-53.2075333334,-84.6541333333,-61.0816666667,-65.5345333333,-45.7861333333
214.81,-22.7586666667,-64.9425333333,-56.0920000001,-39.5402,-51.1494,-51.1439126984,-39.5402,-67.9309999999,-47.63224,-50.6896,-27.8162
215.19,-29.2396666667,-67.4853333334,-57.8948,-46.7836666667,-59.5322,-52.0131698413,-36.608,-70.994,-51.0643066667,-49.0060666667,-23.0409333333
215.57,-22.5570666667,-48.493,-46.3014,-30.7762,-41.6438666667,-37.679931746,-22.9223333333,-49.589,-31.14148,-29.6804,-17.2602666667
215.95,-8.61946666667,-27.3401333333,-24.7138666667,-17.3063333333,-23.0976,-19.0669396825,-5.65646666667,-28.4175333333,-13.2794,-11.2458,-10.8417333333
216.32,-1.22333333333,-15.2905333333,-17.4312,-11.254,-13.8226,-11.1112492064,3.24153333334,-20.4281333333,-4.8684,-3.48633333334,-4.03666666665
216.70,9.08026666667,-2.4138,-5.57466666668,-0.45986666666,1.09193333333,3.01859682539,16.3218,-9.4828,7.41378666667,8.62066666666,7.29886666667
217.08,13.8422666667,6.00506666666,4.32586666667,8.49873333333,7.3282,10.4543587302,23.0025333333,0.610733333334,13.94408,15.5216666667,14.9619333333
217.46,8.7222666667,4.16666666666,-0.50013333334,4.94440000001,0.88886666666,5.68516984127,16.611,-5.27786666666,10.211,11.8333333333,11.1110666667
217.83,-3.29893333334,-10.3092,-13.0584,-11.2027333333,-13.5395333333,-6.95794603175,3.98613333335,-20.0686666667,-2.57048000001,1.78699999999,-2.95533333333
218.21,-23.2922,-30.6173333333,-33.5803333333,-33.4157333333,-39.6708666667,-30.3899746032,-14.7325333333,-42.7160666667,-27.14392,-17.6954666667,-27.2427333333
218.59,-44.9751333333,-48.7562,-57.5123333333,-56.4179333333,-61.8905333333,-48.6521492064,-30.0498,-65.3731333333,-52.39804,-41.791,-56.0197333333
218.97,-61.8714666666,-53.4502666667,-73.4503333332,-66.3156666667,-74.1522,-65.0516412698,-35.6723333333,-81.6376000001,-65.8011333333,-50.4093333333,-73.9180666665
219.34,-62.3530666666,-50.8495333333,-74.6405333333,-62.3529999999,-68.6274666667,-64.3636031746,-34.7711333334,-84.9672666667,-62.77116,-44.3136666666,-79.2157333333
219.72,-75.6061333333,-56.5151333333,-84.8483999999,-70.0000000001,-79.8484666668,-71.8071904763,-50.0,-100.757666667,-86.9394533335,-59.0909333334,-85.1515333333
220.10,-191.111066667,-150.8332,-208.611,-181.944333333,-211.388933333,-186.540887302,-162.500066667,-242.777733333,-209.944413333,-161.388933333,-193.611133333
220.47,-368.2052,-300.5128,-421.025666667,-365.128266666,-427.692333333,-388.449353968,-346.666666667,-482.0512,-424.00004,-332.820533333,-365.641133333
220.85,-407.777733333,-323.333266667,-451.1112,-391.6668,-492.7778,-455.185184127,-397.222266667,-529.4444,-466.110986667,-383.889,-416.666666667
221.23,-179.090933333,-146.969666667,-199.394066667,-160.909066667,-223.939466667,-198.138587302,-180.303,-257.575866667,-203.030373333,-174.242466667,-185.454733333
221.61,-100.9804,-88.2353333333,-111.3726,-95.4902666666,-121.9608,-111.311898413,-101.9608,-143.1372,-124.784466667,-101.9608,-103.137266667
221.98,-64.0252,-50.1886,-71.5725333333,-55.9749333333,-68.8049333334,-72.8480380952,-65.6603333333,-89.5598,-79.8742133333,-62.7672,-60.7547333333
222.36,-27.4178,-17.6524666667,-32.2066666667,-19.4366666667,-24.9766,-28.7235,-30.047,-41.5024666667,-41.2208,-24.507,-21.6900666667
222.74,-21.0970666667,-12.6581333333,-25.9072,-10.2954,-15.1898666667,-21.2375619048,-24.4725333333,-27.0042,-30.4809466667,-14.9366,-10.2109333333
223.11,-12.7659333333,-6.5958,-15.1062666667,-4.18433333333,-7.376,-11.8676333333,-18.5816,-13.8298,-20.48224,-6.45386666667,-1.70213333333
223.49,-11.8811333334,-8.05286666667,-15.1155333334,-4.35639999999,-10.1648666667,-11.885884127,-16.7656,-10.7590666667,-16.0395066667,-9.30699999999,-4.15840000001
223.87,-10.2356,-9.09086666666,-14.8149333333,-3.90573333332,-9.36033333333,-11.2296380953,-14.7474666667,-9.96633333333,-12.9697866667,-8.35013333333,-5.18520000001
224.24,-0.897400000014,-4.23080000001,-6.21799999999,5.44880000001,0.320466666672,-2.89974285713,-3.84619999999,-0.064200000026,-6.02569333333,0.256533333334,2.56406666665
224.62,-5.01719999999,-12.0274,-10.3092666667,2.88666666667,-2.19933333333,-2.64106666666,-7.28520000001,-3.50513333334,-8.81106666666,-2.47433333334,-4.26126666667
225.00,1.09900000001,-9.08426666667,-4.98173333333,8.27846666668,4.54213333334,5.04267460319,-3.51646666667,4.6154,-3.75096,7.17946666667,2.85706666667
225.38,-7.08333333334,-17.1666666667,-14.6666666667,-1.83333333334,-0.416666666666,-4.73015873015,-11.0833333333,1.83333333333,-13.8,4.66666666667,-2.16666666667
225.75,-5.9362,-8.67586666667,-13.9726666667,-0.63920000002,0.73066666666,-1.1654936508,-5.02286666669,3.47026666668,-7.63476,11.7808666667,-1.73519999999
226.13,3.54153333333,-0.625200000014,-6.14606666667,6.77066666666,8.12473333333,14.1341603175,6.35379999998,15.0,3.10389333335,23.6456666667,5.83326666665
226.51,-10.6452,-12.3654666667,-24.4084,-7.84959999999,-2.47313333334,1.65131111112,-2.58059999998,3.0108,-0.537493333334,12.258,-8.49466666668
226.88,-6.48139999999,-8.79633333332,-17.6851333333,-4.99999999999,1.75920000001,4.38491587301,4.2592,-0.000133333333999,4.16658666666,14.7221333333,-9.53719999999
227.26,-20.6763333333,-24.9277333333,-32.2705333333,-19.4201333333,-11.2078,-4.94379047619,-8.50246666668,-14.7826666667,-10.2222666667,-2.41560000001,-21.1594666667
227.64,-27.7477333333,-35.5855333333,-37.4774666667,-29.8198666667,-14.5946666667,-14.8326666667,-20.5404666667,-25.4954666667,-25.54956,-12.4325333333,-26.1260666667
228.01,-37.0542,-41.3178666667,-40.9302,-40.3101333333,-21.4728,-21.2680746032,-32.2479333334,-31.5504,-34.4805866667,-19.3023333333,-35.8914
228.39,-45.0354666667,-46.6667333333,-47.7304666667,-49.5034,-29.2198,-29.8833777778,-41.5603333333,-40.4964666667,-39.9575066667,-29.9290666667,-42.7661333333
228.76,-32.7683333334,-32.6553333333,-34.4633333333,-37.9097333333,-21.2994666667,-24.1808777778,-31.0168666667,-29.322,-29.7853866667,-20.791,-28.4746
229.14,-32.2885333333,-33.7313333333,-34.2785333333,-38.01,-22.5373333333,-23.2800476191,-29.5522666666,-30.4975333333,-28.3881066667,-22.9851333333,-27.7612666667
229.52,-28.0679333333,-26.7515333333,-29.0873333333,-33.0786,-18.6412,-18.756415873,-25.6050666667,-28.4501333333,-25.23988,-20.382,-23.9492
229.89,-33.0100666667,-34.2221333333,-35.9596,-38.2222666667,-23.0706666667,-25.0063031746,-31.4746666666,-34.9091333333,-31.7332933333,-27.7577333333,-27.1919333333
230.27,-33.1047333333,-35.8095333333,-36.9143333333,-37.7142666667,-23.581,-28.002868254,-34.3618666667,-37.4857333333,-33.73708,-28.038,-28.5333333333
230.65,-23.9440666667,-27.295,-26.8064,-28.4468,-15.218,-20.7096269841,-27.7137333333,-30.0872666667,-27.3368,-20.9773333333,-20.3141333333
231.02,-26.1566666667,-30.8561333333,-29.9817333333,-30.7102666667,-18.5428,-23.4903761905,-33.0783333333,-34.2077333333,-31.5775466667,-24.6265333333,-22.0402
231.40,-25.6,-30.5522666667,-29.7904,-30.3238666667,-19.0858666667,-25.3604777778,-33.8284666667,-34.2476666667,-31.7180133333,-26.019,-24.1904
231.78,-25.1937333333,-27.1704666667,-27.9844666667,-29.5736,-17.4806666667,-23.6553412698,-31.7053333333,-32.1706,-28.8061466667,-26.8992,-22.3642
232.15,-19.3870666667,-21.7242666667,-21.3026,-24.4444,-13.3333333333,-21.7561460318,-24.4062,-29.0037333333,-23.3027733333,-23.2566666667,-16.9347333333
232.53,-12.5179333333,-14.6099333333,-13.2979333333,-17.6595333333,-7.0568,-14.2780777778,-15.3191333334,-20.3546666667,-15.9715733333,-16.9149333333,-10.7093333333
232.90,-10.9182666667,-11.0202666667,-10.6122,-14.4556666667,-3.23140000001,-12.0747238095,-13.6395333333,-17.5171333333,-13.3878933333,-14.3537333333,-9.04766666667
233.28,-12.1885333333,-10.5724,-10.7406666667,-14.8822,-2.99666666667,-12.5605571428,-14.4446,-18.8887333333,-14.2627733333,-14.5454666667,-8.21533333334
233.66,-11.852,-9.94713333333,-9.62966666668,-13.2274666667,-1.55186666668,-13.1990095238,-13.7212666667,-18.8358666667,-12.4373466667,-14.3915333333,-8.46566666668
234.03,-6.46573333332,-3.68500000001,-1.7756,-7.77206666666,4.02006666666,-8.83863809523,-8.00653333333,-11.8927333333,-6.23117333333,-9.54779999999,-3.24966666667
234.41,-5.55006666666,-1.6092,1.1166,-6.50246666667,5.15593333334,-7.49309206349,-5.58273333333,-9.91793333333,-4.22978666667,-8.96559999999,-1.47786666666
234.78,-10.6461333333,-7.48293333333,-4.1836,-12.1428,-1.29273333333,-12.6408888889,-8.97959999998,-16.6326666667,-8.63269333332,-13.7755333333,-5.06793333333
235.16,-14.3298666667,-11.0309333333,-6.70099999999,-15.9794,-3.64259999999,-16.1324142857,-10.103,-18.7627333333,-10.52236,-17.0103333333,-6.87273333334
235.54,-14.4390666667,-10.9268666667,-6.24393333333,-15.6746666667,-1.95126666666,-15.3875968254,-7.5446,-17.3982666666,-9.22269333332,-15.3169333333,-4.878
235.91,-12.9696666667,-9.15140000001,-5.21219999999,-14.091,-0.272666666662,-14.2429809524,-5.99993333335,-14.9091333333,-8.12123999999,-11.0606,-3.09093333334
236.29,-15.4386,-11.2280666667,-7.51453333333,-15.2632,-1.57900000001,-15.1776285714,-6.40353333333,-14.5323333333,-8.63742666667,-11.4912666667,-3.4212
236.66,-19.0266,-15.0147333333,-12.2124,-18.8791333333,-5.04413333333,-18.4246380952,-11.9764,-19.646,-12.0235466667,-14.7198666667,-6.66666666667
237.04,-22.0815333333,-19.3966666667,-15.294,-22.9262,-7.75253333332,-19.6638587302,-14.027,-23.801,-14.6184266667,-17.5566,-10.0451333333
237.41,-21.1366666667,-17.88,-14.2549333333,-23.1029333333,-6.32866666667,-20.5157444445,-13.7327333333,-23.103,-14.7098266667,-17.8801333334,-11.7358666667
237.79,-20.2424666667,-19.5454,-14.9698,-23.3333333333,-6.51493333333,-18.7783539683,-13.8485333333,-21.6060666667,-14.1818266667,-17.8787333333,-10.6062666667
238.17,-26.409,-25.8936666667,-21.8356,-28.4380666667,-10.7247333333,-22.8594365079,-20.6441333333,-28.2124666667,-20.12236,-21.8681333333,-16.0064
238.54,-23.8437333333,-23.6636,-20.4204666667,-25.1052,-8.16813333332,-19.2513968254,-17.3874666667,-23.8437333333,-16.9969866667,-18.2582666667,-13.1831333333
238.92,-18.1258666667,-16.332,-13.7080666667,-18.6880666667,-2.27573333334,-12.8036015873,-11.6735333333,-16.1982666667,-12.4659066667,-12.2088666667,-7.41640000001
239.29,-14.8962,-11.9414,-10.5984,-14.9452666667,0.2198,-8.56330634919,-8.76686666667,-12.5764,-9.54834666667,-9.05973333333,-5.0306
239.67,-15.5866,-12.2880666667,-12.5668,-16.5621333333,-1.5796,-8.87994761905,-10.7317333333,-15.1916666667,-11.5260533333,-10.7317333333,-6.17886666666
240.04,-14.0477333333,-10.3246666667,-11.5584,-13.8528,-0.844200000001,-7.12176349207,-9.67526666667,-14.7836,-11.0562266667,-10.2381333333,-5.3896
