wavelength,Back_HemSupm,Belly_HemSupm,Breast_HemSupm,Crissum_HemSupm,Crown_HemSupm,DorTail_HemSupm,Patch10_HemSupm,Patch11_HemSupm,Rump_HemSupm,Throat_HemSupm,WingTip_HemSupm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,184.444444444,213.333333334,228.888888889,166.666666667,204.444444445,124.444444444,213.333333333,184.444444444,177.777777778,208.888888889,166.666666667
179.16,90.3703333333,92.5926666664,102.222222222,97.7776666667,85.1851111111,57.7775555554,117.037,102.963,99.2594444442,107.407444444,90.3702222223
179.54,103.508777778,118.128888889,116.374111111,114.035,101.169555556,76.6082222222,121.052777778,121.052666667,122.807111111,136.842,123.976555556
179.93,185.714222222,204.761888889,246.031777778,250.793777778,204.761888889,200.000111111,225.396666667,206.349222222,214.285888889,287.301555556,226.984222222
180.31,136.798111111,156.033333333,161.051333333,157.347777778,116.248555555,101.194555555,165.591444444,144.563777778,148.745444444,168.936666667,149.103888889
180.69,138.503888889,154.675555556,161.496111111,155.885444445,117.051777778,101.870333333,164.686444444,143.564333333,147.524666667,168.316888889,146.754666667
181.07,134.683222222,152.855666667,159.397666666,155.555666667,115.057,107.269111111,162.928333333,141.225444444,147.040555556,167.082111111,143.509777778
181.45,129.006888889,144.739444445,154.179111111,149.852666666,109.046333333,110.029444445,152.703888889,133.825111111,141.494555555,160.177,140.019666667
181.83,122.415444445,134.589444445,144.831,140.676333333,101.352555555,106.859888889,142.608777778,125.217444445,131.690888889,147.439555556,130.628111111
182.21,119.540333333,127.586333333,137.931222222,134.674444445,96.1685555557,106.705111111,140.325777778,120.210888889,124.712555556,135.057444445,121.934888889
182.59,117.030222222,124.299,133.333333333,131.048777778,89.3042222221,104.361444444,136.967666667,113.914888889,119.418555556,133.021777778,117.653111111
182.97,98.8351111113,103.225888889,113.082222222,109.856555556,74.0143333333,88.888888889,113.261666667,96.3261111112,102.240222222,112.723888889,99.9103333331
183.35,98.4961111111,96.1571111111,107.602333333,103.842777778,72.1804444444,89.3067777779,103.341777778,91.3114444443,97.6607777777,107.184555556,94.4026666667
183.73,96.869888889,91.2362222223,107.981333333,100.078444444,74.335,90.2973333334,99.0608888889,87.1675555555,93.9749999999,105.242444444,88.575888889
184.11,97.8103333332,87.5102222222,108.921222222,99.1080000001,76.8856666667,89.7808888888,98.2157777777,86.7803333333,94.3228888888,104.136333333,86.6991111112
184.49,99.1181111112,86.2434444446,107.671888889,98.3246666666,74.2504444445,91.4462222222,96.0316666668,82.3633333333,94.797111111,104.850111111,88.1835555557
184.87,95.2641111112,83.6064444445,105.191333333,92.5317777777,70.1274444444,89.3442222221,93.898111111,78.5064444444,96.2661111112,103.187555556,86.7939999999
185.25,94.1383333332,79.4400000001,99.0376666666,85.6517777778,65.0918888889,85.8266666667,87.9264444445,73.0533333335,89.2388888889,98.5126666668,83.1145555555
185.63,93.7556666667,80.9917777777,97.8880000001,84.3895555554,67.1257777778,82.5527777778,86.685111111,69.146,88.4297777779,99.0817777777,79.798
186.01,104.54,85.9019999999,108.004888889,90.6810000001,69.1756666667,92.3536666667,95.2211111112,67.025111111,96.1767777778,113.859,82.5566666667
186.39,93.5083333334,74.4068888889,97.5031111112,76.9040000001,52.4345555556,72.6588888889,80.1497777779,52.6843333334,85.5179999999,109.862666667,71.6605555556
186.77,80.2084444444,69.213,89.4677777779,67.8241111111,43.9814444444,67.361,71.9907777778,48.9583333334,76.9675555555,98.8425555555,65.7407777779
187.15,75.9477777779,67.5817777777,91.7647777778,63.1371111111,37.7778888889,65.4904444444,70.7189999999,41.6992222222,73.071888889,100.653555556,60.7843333333
187.53,69.0475555556,67.8573333332,86.508,61.3757777779,32.8042222222,63.7567777777,65.4762222223,36.3755555556,68.3863333332,97.0898888889,56.746
187.91,63.5295555554,62.875888889,75.5554444446,51.2417777778,25.0981111111,54.1174444444,60.3922222222,27.8428888889,59.3464444443,83.268,54.1177777779
188.29,57.0644444443,61.5911111112,66.5294444444,42.387,10.5624444445,50.0685555554,56.6531111111,12.7573333333,48.9711111111,78.1893333333,50.4800000001
188.67,51.5788888889,56.1403333334,64.4444444445,38.9472222222,10.9941111111,54.8538888889,53.450111111,14.035,41.8714444444,70.2924444443,47.0176666667
189.05,46.7902222222,48.7655555556,59.0123333333,37.5308888889,0.6172222222,57.5306666666,48.5185555556,4.321,34.5678888889,63.9507777779,43.4566666666
189.43,36.4275555555,37.9746666667,51.7581111111,30.0984444444,-14.0646666667,50.3518888888,42.6162222221,-6.3291111111,27.7074444444,54.1491111111,33.8957777779
189.81,32.4784444445,27.2081111111,44.5868888889,25.2135555555,-24.2165555556,50.5697777777,38.0342222222,-10.1138888889,18.6608888889,45.4417777778,26.4954444446
190.19,32.033,29.669,45.1536666666,29.0781111111,-18.3214444444,45.6266666666,32.9786666667,-2.83688888887,19.2672222222,40.5435555555,28.6051111111
