wavelength,Back_GubCrif,Belly_GubCrif,Breast_GubCrif,Crissum_GubCrif,Crown_GubCrif,DorTail_GubCrif,Patch10_GubCrif,Patch11_GubCrif,Patch12_GubCrif,Rump_GubCrif,Throat_GubCrif,WingTip_GubCrif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-157.777777778,-135.555555555,-131.111111111,-101.111111111,-122.222222222,-124.444444444,-113.333333333,-86.6666666666,-173.333333333,-171.111111111,-117.777777778,-160.0
179.16,-40.0,26.6666666667,22.2222222222,14.4444444444,-8.8888888889,44.4444444443,13.3333333333,-2.2222222222,-13.3333333333,-26.6666666666,20.0,-93.3333333335
179.54,43.75,59.7222222222,66.6666666667,36.4583333333,47.2222222222,61.1111111111,47.9166666667,49.3055555555,22.9166666667,59.0277777778,55.5555555556,43.75
179.93,85.470111111,117.948777778,118.803666667,97.0084444443,111.965666667,99.1455555557,83.7606666667,112.820444444,76.0681111111,104.273555555,112.393277778,89.7436666665
180.31,24.3782222222,48.4246666667,32.2555555556,27.5288333333,36.4014444444,39.5522222222,41.5422222222,40.3813333333,24.7927777778,33.2504444445,49.005,21.766
180.69,23.2047777778,47.3922222222,27.3621111111,26.9462777778,36.4325555556,37.3395555556,37.7174444444,38.6997777778,20.5594444444,30.9146666667,46.5607777778,19.5013333333
181.07,34.4952222222,57.5163333333,36.892,36.1656111111,47.4944444444,46.3326666667,46.3326666667,45.6791111111,29.1213333333,40.5952222222,54.1758888889,29.7385
181.45,37.619,60.3175555556,32.1427777778,37.4603888889,49.2063333333,48.413,47.7778888889,49.6827777778,29.5237777778,42.619,55.6347222222,34.4046666667
181.83,29.7777777778,57.1555555555,20.1777777778,32.4888888889,41.9555555555,39.5555555556,42.0444444444,45.7777777778,24.3555555556,33.4222222222,50.6666666667,26.6666666667
182.21,27.1385555556,53.8838888889,7.17777777777,28.1711666667,39.6263333333,38.2498888889,39.5281111111,41.003,21.2392222222,25.762,45.0835,25.0736666666
182.59,21.3422222222,43.1243333333,-11.4411111111,23.3773888889,34.1033333334,32.0132222222,26.2927777778,34.6534444445,7.04077777777,15.2915555555,34.9286111111,17.3266666667
182.97,0.987666666667,24.321,-31.8518888889,9.62955555554,21.3581111111,15.5557777778,1.60488888888,19.2592222222,-7.28377777777,-3.08622222222,20.6171666667,1.11116666667
183.35,-0.997111111133,20.9401111111,-38.4614444445,7.33622222221,13.8175555555,14.53,-9.40177777779,21.7948888889,-21.6526666667,-7.83477777777,12.6781666667,-1.49583333333
183.73,1.0233333333,18.8596666667,-44.5905555555,6.65183333333,19.0057777778,16.2277777778,-14.1813333333,19.4444444445,-20.7602222222,-10.9647777778,10.4531111111,-2.4125
184.11,-5.55566666667,8.97433333333,-74.7862222222,-1.92311111113,20.0854444444,-0.427444444443,-40.3845555556,17.0941111111,-45.2992222222,-35.6836666667,-1.06844444447,-15.705
184.49,-24.7312222222,0.358444444433,-150.179111111,-33.1542222222,28.6738888889,-36.9175555556,-90.6810000001,25.0897777778,-117.204333333,-86.0213333333,-32.4374444443,-53.226
184.87,-62.6666666664,-40.4444444446,-215.111111111,-81.3333333332,7.1111111111,-91.5555555556,-143.111111111,16.4444444445,-162.666666667,-142.666666667,-73.7777777777,-90.6666666667
185.25,-209.027777778,-181.25,-465.972222222,-244.097222222,-99.3055555557,-254.861111111,-359.027777778,-67.3611111111,-345.833333333,-331.944444444,-198.263888889,-260.416666666
185.63,-136.111111111,-111.574222222,-281.481666667,-170.370444444,-65.7407777778,-169.907666667,-239.351888889,-65.7407777778,-229.166777778,-230.555555556,-135.648166667,-161.805666667
186.01,-164.912333333,-161.988333333,-378.947333333,-233.040944445,-64.3275555557,-207.602,-326.315777778,-92.9823333334,-304.093444444,-305.847888889,-189.765833333,-207.894666667
186.39,-140.403888889,-160.606222222,-315.656333333,-221.464611111,-77.778,-188.383777778,-304.040444444,-82.8282222221,-278.788,-255.050555556,-173.989722222,-215.151666667
186.77,-229.411888889,-241.176555555,-422.875777778,-333.660111111,-147.712333333,-278.431444444,-428.104666667,-153.594777778,-400.000111111,-365.359333334,-245.098277778,-301.960833333
187.15,-156.140444444,-181.871333333,-377.193111111,-268.713611111,-94.1519999999,-182.455888889,-321.637555556,-105.847888889,-343.859666667,-290.643222222,-207.894555555,-256.140166667
187.53,-177.222222222,-198.333333333,-403.333333333,-285.555555555,-111.666666667,-180.555555556,-343.888888889,-133.333333333,-351.111111111,-325.0,-258.055555556,-260.833333333
187.91,1127.77777778,1086.11111111,2088.88888889,1622.22222222,747.222222222,1077.77777778,1783.33333333,763.888888889,1991.66666667,1755.55555556,1513.88888889,1516.66666667
188.29,324.691555556,282.098777778,530.247,435.185166667,240.123444444,301.852,444.444444444,232.098666667,466.049111111,423.456777778,408.950611111,415.740833333
188.67,639.506,551.851888889,1060.49388889,903.086277779,525.925888889,574.074333333,914.814666668,479.012222222,869.135666667,803.703666667,804.938333333,768.5185
189.05,224.691333333,182.716,350.617222222,315.843611111,199.588444445,197.942333333,318.930111111,180.658444444,293.827111111,260.494,286.008333333,259.259333333
189.43,215.226111111,153.086444444,337.037111111,291.563722222,181.893111111,185.596777778,286.008222222,163.786111111,269.135666667,228.395111111,277.9835,204.938166666
189.81,176.608111111,134.795333333,278.655,231.578888889,140.935666667,171.93,232.163777778,133.040777778,208.771888889,188.011888889,219.298333333,178.508833334
190.19,173.099333333,128.654888889,266.959111111,226.900722222,141.812888889,173.976333333,233.041111111,134.795222222,209.064333333,180.409444444,221.491111111,168.420833334
190.57,185.353555556,125.505,258.586111111,215.783,149.242555556,180.050333333,229.545333334,144.444444444,209.343555555,183.080888889,212.626333333,171.969666667
190.95,152.241666667,105.068222222,217.738888889,178.460111111,120.272666667,156.725333333,188.694111111,121.442555555,158.284666667,148.148111111,175.146222222,146.7835
191.33,172.813222222,109.692666667,245.153555556,201.654777778,132.860555555,188.652444444,221.513111111,137.588555556,162.411333333,163.356888889,206.264666667,164.539166667
191.71,164.444444444,89.1358888889,236.296444444,187.901166667,113.827,185.925777778,208.889111111,128.642,139.506333333,138.024666667,187.284111111,157.4075
192.09,149.433111111,92.7438888891,213.378444445,171.995611111,107.483,179.138111111,206.122444444,126.757222222,138.548666667,141.043111111,184.127055556,144.217666667
192.47,130.937,81.6994444443,199.128333333,145.315888889,86.7103333333,157.951777778,189.978111111,122.658,120.043555556,125.054444444,166.013111111,120.915166667
192.85,116.880333333,76.0685555555,200.427444444,132.5855,73.0767777778,156.196666667,188.888888889,109.188,110.897555556,118.589777778,164.209277778,132.051333333
193.23,153.561111111,108.547,275.498777778,171.51,94.3021111112,205.413,252.136777778,143.304888889,145.869111111,169.230777778,229.344833333,186.752
193.61,129.697111111,110.303,214.747333333,147.878722222,99.9997777777,173.333555556,210.303111111,125.454666666,131.919222222,149.292888889,196.767444444,178.484833333
193.99,121.777777778,99.9999999999,212.0,137.666666667,96.2222222223,156.888888889,203.333333333,112.888888889,127.111111111,132.444444445,198.444444444,168.0
194.37,115.032777778,95.2071111111,194.989,132.788666667,87.7997777777,149.673,185.838888889,108.496777778,107.189666667,121.786444444,183.333388889,168.300666667
194.75,97.2222222221,93.8493333333,172.222,118.452388889,74.2063333332,141.865111111,160.714222222,96.0317777777,93.4523333334,112.103111111,166.071388889,144.642833333
195.13,96.2222222222,104.222222222,176.222222222,127.555555556,77.7777777777,137.777777778,170.666666667,94.4444444446,101.555555556,116.0,185.777777778,152.666666667
195.51,92.6554444444,106.968,162.523444444,125.423888889,89.0772222223,127.495555556,157.438888889,103.766333333,112.617777778,120.903888889,170.0565,146.892666666
195.89,88.8890000001,103.220555555,140.901888889,121.900055555,89.6938888888,123.832555556,150.563777778,100.966111111,108.856555555,124.959777778,161.835833333,136.715166667
196.27,86.9841111112,100.158555556,142.063333333,126.904666667,85.5555555557,123.650888889,146.666666667,101.587333333,95.8730000001,122.698444444,150.317444444,126.1905
196.65,101.506555556,125.046888889,164.030222222,161.676055556,104.519888889,143.879666667,178.342777778,114.877666667,120.904,152.730555556,188.511944444,147.4575
197.03,99.5727777777,114.814777778,132.051222222,137.108222222,99.7149999999,122.079777778,142.307666666,110.826111111,103.988555556,133.333333333,157.478666667,119.4445
197.40,82.0224444444,101.498111111,107.365777778,113.857722222,84.019888889,105.118666667,118.476888889,97.1285555557,84.7688888889,107.490666667,127.465722222,97.5655
197.78,82.8006666667,109.893333333,115.677444445,121.385,82.0395555556,104.870666667,122.222333334,101.978777778,80.3651111111,114.459555556,128.843277778,97.9449999999
198.16,91.2818888888,128.547,129.231,140.085555556,93.8461111111,126.495555556,143.418777778,121.025666667,85.983,132.136666667,142.564055556,117.948666667
198.54,88.4194444446,128.169,126.917111111,131.298888889,91.2362222223,118.153444444,136.619777778,115.962333333,87.0107777778,129.107888889,145.226777778,111.971666666
198.92,76.0582222222,110.185222222,109.259222222,115.608333333,82.8040000001,102.513111111,118.650777778,102.116222222,71.8253333333,106.084666667,126.322777778,94.4444999998
199.30,72.7406666667,111.703666667,111.111,119.777666667,83.8518888888,119.111,120.000111111,107.703666667,63.9997777778,108.888888889,129.037111111,97.5555
199.68,64.6881111111,107.153666667,107.458444444,111.795944445,73.3636666666,118.873555556,109.284777778,99.8479999999,43.6832222222,99.391111111,119.558555556,84.0185
200.06,51.5556666667,98.9628888889,104.148222222,103.259222222,63.5555555555,103.555333333,88.4445555556,89.3333333333,25.0368888889,80.7406666667,94.2962222223,75.3333333333
200.44,47.6388888889,95.6944444446,96.8055555554,94.0972222222,68.888888889,89.4444444444,83.888888889,84.8611111111,29.3055555556,71.3888888889,90.486111111,80.8333333333
200.82,48.1481111111,89.9641111112,88.1720000001,80.3462777778,64.2772222222,74.6716666667,74.4324444444,78.7334444445,31.7803333333,61.6487777778,76.5233333334,78.1361666666
201.19,36.0784444445,85.8823333333,81.6993333334,75.3593888889,56.0784444444,60.9151111111,73.9868888889,76.339888889,23.3986666667,56.3398888889,74.1830555557,70.7843333333
201.57,29.9144444444,73.2601111111,75.702111111,69.6583333333,53.8462222222,49.2065555556,70.8181111111,71.672888889,23.6873333333,55.9218888889,78.1440000001,70.1465
201.95,28.2727777778,63.8063333333,70.5172222223,65.0715,47.8548888889,41.2538888889,64.7964444444,67.7667777779,21.5622222222,49.1748888889,76.3475555554,59.901
202.33,32.0258888889,59.4771111111,67.2266666666,61.7179444444,44.7246666667,39.589,60.971,65.6396666666,27.3576666667,52.1942222222,72.0354444444,55.7423333334
202.71,24.2717777778,54.1533333333,68.5005555557,58.63,42.2866666667,32.578,60.7336666667,66.1272222221,18.5543333333,48.1121111111,69.5793333332,51.78
203.09,15.3058888889,46.3717777778,67.2333333334,53.1743333333,35.7143333333,15.4194444444,54.1951111111,62.2448888888,9.41055555556,46.4852222222,64.9094444443,49.1495
203.47,27.682,49.3294444444,68.1033333334,52.1072777778,43.1993333333,17.8162222222,55.2682222222,63.5058888889,20.9771111111,52.9693333333,68.7738888889,52.0115
203.85,25.4788888889,47.9884444444,64.3677777779,52.0115,40.5174444444,16.9541111111,55.4597777778,60.3450000001,23.8505555555,53.2567777778,68.5825000001,50.1436666667
204.22,31.717,55.6565555556,69.1917777777,58.5350555556,48.9898888889,21.111,61.8181111111,71.6162222223,34.6466666667,65.3535555555,81.5151111112,53.1818333333
204.60,27.1956666667,53.7565555555,71.9575555556,53.8624444444,42.8571111111,15.1323333333,54.9208888889,67.7248888889,23.7035555556,62.963,79.7354444446,46.1903333333
204.98,20.6666666667,47.8888888889,71.3333333332,53.8888888889,38.5555555556,17.1111111111,48.3333333333,65.2222222222,15.1111111111,59.1111111111,76.0555555556,38.3333333333
205.36,13.9454444444,42.9705555556,67.346888889,47.1655,30.2722222222,18.5944444444,43.0838888889,59.1835555557,8.0498888889,52.9476666666,69.6144999999,34.1836666667
205.74,19.7398888889,53.6643333334,69.1493333334,55.6736666667,32.2696666667,24.7043333333,45.7444444444,65.0117777777,7.6831111111,57.0921111111,66.1938333332,37.0568333333
206.12,14.0461111111,48.9518888889,54.9265555554,49.6331666667,27.9874444445,21.279,40.4614444444,57.8616666666,3.7738888889,51.258,55.1886111111,34.434
206.50,-3.83611111113,47.3544444444,50.6614444446,44.3122777778,23.9416666666,18.3861111111,32.143,54.6295555554,-19.4443333333,43.7831111111,56.8783888889,28.5713333333
206.87,1.62966666667,60.1481111111,48.1479999999,56.6665,28.8888888889,30.9628888889,37.926,58.074111111,-19.4073333333,54.0741111111,62.2223333333,32.2223333334
207.25,18.1656666667,83.5978888889,63.4920000001,66.5784444444,40.9171111111,57.1427777778,56.4375555555,73.0159999999,-16.4022222222,77.0722222223,83.8624444446,39.6826666667
207.63,-7.046,100.270888889,70.4606666667,66.5312777778,33.6043333333,49.5935555556,61.5175555555,85.6370000001,-50.6776666667,89.431,86.856611111,27.2358333334
208.01,19.4444444443,110.879444444,76.388888889,72.4537222222,48.6111111111,54.6295555556,72.2222222222,91.6666666667,-33.5648888889,97.4537777779,95.0232222223,45.8333333333
208.39,3.13388888877,123.361777778,73.2195555554,52.1366666667,38.7464444444,54.1307777778,69.5156666666,79.772111111,-68.0912222222,96.866111111,91.3104444444,33.7608333333
208.77,-2.339111111,219.883111111,96.491222222,69.2982222221,47.3684444444,116.959,118.128666667,141.520555556,-136.842333333,177.777777778,126.9005,35.965
209.14,-158.333333332,850.000000002,227.777777778,118.055555555,133.333333333,294.444444444,405.555555556,486.111111112,-850.000000001,719.444444443,402.777777778,-33.333333333
209.52,53.9682222224,-132.804333333,-8.46566666657,4.4975,-15.8728888889,-13.7567777778,-44.4443333332,-65.0793333335,187.301777778,-119.047555555,-32.8044444445,50.0
209.90,63.7035555554,-67.0370000001,-1.85188888877,39.074,12.5925555556,10.3705555556,2.963,-37.4074444444,163.333444444,-58.5184444445,7.96305555557,65.0
210.28,26.315888889,-69.0058888888,-13.4502222221,12.4267777779,-10.8187777778,-36.842,-14.3273333333,-43.5672222223,102.046888889,-73.6842222223,-9.50288888887,40.3508333333
210.66,-25.0000000001,-173.333333333,-34.9999999999,-8.61111111123,-28.8888888889,-65.0,-46.1111111111,-102.222222222,162.222222222,-171.666666667,-6.38888888888,30.8333333333
211.03,477.777666669,1374.07411111,622.22211111,168.518444444,562.963,581.481666667,433.333333332,877.777777778,-770.370333332,1351.85177778,131.481388889,227.777666666
211.41,40.7406666663,268.518444445,49.074222222,28.7034444444,112.037,75.926,17.5924444444,184.259222222,-263.888777778,269.444555555,-71.2964444446,58.3331666667
211.79,16.6666666667,220.370333333,24.073888889,0.9258888889,56.4815555556,79.6298888889,-38.8886666667,138.888777778,-298.148,237.037111111,-99.9998333333,54.1666666667
212.17,-222.222222223,2000.0,311.111111112,-1222.22222222,66.6666666667,533.333333333,-1088.88888889,1177.77777778,-3844.44444444,2255.55555556,-1800.0,483.333333335
212.55,72.2222222223,188.194444445,98.611111111,-11.111111111,76.388888889,133.333333333,-6.25,146.527777778,-168.75,202.083333333,-31.5972222222,119.791666667
212.92,61.5614444444,112.913,81.0813333333,27.0272222222,68.4683333333,60.961,26.4265555555,93.6937777778,-42.0418888889,112.912888889,30.3303888889,93.2433333333
213.30,66.9753333332,124.999888889,96.605,39.6605,69.7528888889,71.9137777777,41.6666666668,104.012333333,-31.79,110.493777778,34.7222222222,113.425833334
213.68,59.3114444444,82.6292222221,73.3958888889,41.3146111111,57.5898888889,59.3115555556,40.532,71.8312222223,8.45077777777,73.7089999999,44.3662222222,78.4038333334
214.06,63.5454444445,75.5306666667,69.5378888889,49.3759444444,62.2972222222,63.2957777778,49.0636666666,68.0398888889,24.5945555555,74.7816666667,49.8752222222,80.8988333333
214.44,61.3694444445,72.7388888889,72.4804444444,50.1292777778,62.9197777778,65.7624444444,46.8994444444,68.4754444444,28.1655555556,78.5530000001,51.1627777778,81.589
214.81,63.5658888889,71.9638888889,81.6538888888,58.5916666667,76.4858888889,71.4472222222,52.8423333333,76.6151111111,39.6641111111,83.7209999999,59.8836111111,84.1086666668
215.19,54.8863333333,58.6345555556,79.1165555555,49.7323333333,66.399,68.4067777778,48.7283333333,75.636,27.9785555556,77.376111111,61.1111111111,74.6988333333
215.57,67.2515555555,66.3742222222,102.923888889,60.0876111111,70.3216666667,83.4795555557,60.8184444445,88.0115555555,38.7426666667,92.8361111111,80.7750555556,89.0351666669
