wavelength,Back_GubCrif,Belly_GubCrif,Breast_GubCrif,Crissum_GubCrif,Crown_GubCrif,DorTail_GubCrif,Patch10_GubCrif,Patch11_GubCrif,Patch12_GubCrif,Rump_GubCrif,Throat_GubCrif,WingTip_GubCrif
215.95,73.209888889,72.7162222222,98.7654444447,73.0248333333,76.6665555556,88.2715555557,67.5306666667,90.9876666666,45.185,90.6172222223,84.9382222222,85.3703333332
216.32,68.6419999999,71.2344444444,94.1976666667,84.5062777778,80.2466666667,82.8395555556,66.1727777778,89.9999999999,44.0741111111,89.3828888888,82.3456666667,81.6666666667
216.70,68.9985555555,69.6844444444,101.234666667,96.6392222222,84.225,79.1495555557,74.2112222222,92.7296666668,46.6392222222,96.8450000001,85.3223333334,85.1851666666
217.08,76.5433333332,73.5448888888,118.695,103.174722222,91.8871111111,109.171,84.4796666667,104.056555556,40.2116666667,117.460333333,95.9436111111,93.3863333331
217.46,68.7301111112,61.5873333333,106.984,87.4603888889,85.3966666667,100.952444444,69.5236666667,93.1745555555,33.6506666667,117.301555555,89.7618888889,80.9523333331
217.83,56.6855555556,57.2503333333,104.142888889,86.2523333333,78.1544444444,99.435111111,61.3936666667,89.8305555555,19.0206666667,125.423666667,81.9208888889,79.0961666667
218.21,48.4125555557,53.9682222222,138.888888889,103.769777778,78.1746666667,125.793666667,56.7461111111,116.269888889,-37.6982222222,188.888888889,102.380944444,57.1426666665
218.59,31.4814444443,40.7407777778,162.345666667,90.4321111111,72.2223333333,104.938333333,40.1234444446,129.012333333,-156.790111111,205.555555556,103.395,34.2594999999
218.97,622.222222223,-77.7777777767,-1655.55555556,-627.777777779,466.666666668,-1266.66666667,488.888888889,-1366.66666667,4344.44444444,-2788.88888889,-1022.22222222,600.0
219.34,102.222222222,-17.777777778,-200.0,-143.333333333,133.333333333,-68.888888889,242.222222222,-275.555555556,991.111111111,-502.222222222,-53.3333333332,220.0
219.72,53.5353333333,-18.1818888891,-20.201888889,-45.9595555556,76.7676666666,17.1714444443,177.777666667,-105.050444444,503.030333333,-165.656444444,65.1514444444,198.484666667
220.10,130.864222222,0.000111110899986,-32.098888889,1.23461111133,135.802666667,98.7655555556,279.012333333,-61.7285555558,672.839555556,-166.666666667,174.691333333,314.815
220.47,93.5184444443,22.2222222221,-15.7407777778,39.815,87.0372222223,19.4443333333,215.740777778,-77.777777778,473.148333333,-86.111111111,145.833444444,222.222333333
220.85,271.111111111,115.555555556,13.3333333333,188.888888889,337.777777778,44.4444444443,595.555555556,-131.111111111,1304.44444444,-128.888888889,326.666666667,546.666666667
221.23,-72.8395555554,40.7408888887,18.5183333333,11.7285,-79.0124444446,51.851888889,-259.259111111,114.814888889,-620.987666667,144.444444444,-92.5927222222,-233.333333333
221.61,5.97068132416e+14,-3.90937467655e+14,2.91426112251e+14,-1.63482941019e+14,6.53931764076e+14,-3.62505651824e+14,1.5992896404e+15,-5.330965468e+14,3.52554516284e+15,-3.26965882037e+14,4.47801099312e+14,1.40737488356e+15
221.98,104.166666667,252.777777778,168.055555556,153.472222222,37.5,226.388888889,-150.0,268.055555555,-515.277777778,220.833333333,147.222222222,-62.5
222.36,84.2592222221,116.203777778,107.870333333,94.6759444444,65.278,144.444333333,-4.62966666666,124.537222222,-98.6111111111,128.703666667,91.435111111,52.7778333333
222.74,86.4196666667,90.7407777778,91.3581111111,91.6665555556,65.7406666667,118.209888889,16.6666666667,100.925777778,-32.0985555555,102.160666667,71.7592777778,70.3703333335
223.11,85.0949999999,73.1706666666,86.1787777777,78.1841666667,83.4689999999,85.6368888889,20.0542222222,79.9455555556,-7.046,85.907888889,61.2468333333,71.1381666666
223.49,80.0652222222,91.1764444445,121.241666667,87.0915555556,97.7126666668,101.960777778,23.2027777778,77.7778888888,-3.59444444446,92.8105555557,79.5751111111,77.9413333335
223.87,80.8427777778,112.643777778,162.835111111,100.766388889,116.858,126.436888889,37.1646666667,79.3105555556,14.9424444444,109.578555556,98.6589444444,89.6551666669
224.24,120.105888889,152.380888889,212.169222222,122.222166667,163.492222222,183.597666667,56.6138888889,109.523666667,32.2754444446,151.851777778,147.883555556,141.27
224.62,88.0342222223,107.265,163.675111111,93.5897777778,118.803222222,148.717777778,44.4444444444,66.6666666667,4.27344444446,122.222222222,134.187944444,104.487166667
225.00,129.059888889,139.316222222,185.897444444,121.794777778,171.367444444,188.888777778,93.1625555555,108.974444444,82.4785555554,167.948666667,157.478666667,133.333166667
225.38,82.2221111111,97.143,113.651,95.3965555556,124.761888889,124.762111111,74.9206666667,87.3015555555,59.6825555556,108.254,110.317333333,81.4285000002
225.75,83.1017777778,82.6388888888,103.241,92.3610555556,115.740777778,99.3055555557,87.037111111,87.037111111,63.6575555556,102.315,96.4120555556,86.111
226.13,97.7778888889,86.3492222223,98.0952222223,117.619,152.381,128.254222222,92.3808888888,95.8729999999,75.5555555556,117.777888889,92.5397777778,103.333333333
226.51,98.3165555554,100.336666667,82.8283333333,119.360222222,150.842,110.437666667,85.185111111,85.5218888889,64.6464444445,111.784444444,92.7608888889,98.4848333333
226.88,165.079333333,236.507777778,179.365222222,186.507888889,290.476222222,187.301333333,142.063555555,141.269777778,114.285777778,230.952444444,177.777888889,147.619166667
227.26,401.851888889,575.925888889,414.814888889,365.740777778,635.185222222,438.889111111,364.814777778,331.481444444,209.259333333,594.444555556,421.296444445,291.666833333
227.64,383.950444444,450.617333333,250.617222222,306.172888889,509.876888889,418.518222222,343.209777778,283.950666667,251.852,496.296333333,346.913833333,292.5925
228.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228.39,-514.285777778,-536.507888889,-166.666666667,-316.666722222,-573.015777778,-503.174888889,-311.111111111,-465.079444445,-88.8887777779,-592.063444444,-442.857055555,-316.6665
228.76,-117.921111111,-119.713333333,-21.1467777778,-61.649,-113.978555555,-82.079,-40.1433333333,-83.5125555556,3.9427777778,-125.089666667,-68.8175,-41.3978333334
229.14,-53.1111111111,-53.7777777778,8.0,-21.0,-54.0,-34.2222222222,3.77777777777,-34.4444444444,29.1111111111,-57.5555555555,-19.4444444444,-18.0
229.52,-41.0494444444,-38.2715555555,-9.72211111112,-16.4352222222,-37.3456666666,-26.2345555556,8.33344444442,-21.1418888889,22.994,-42.1297777778,-13.9662777778,-18.9815
229.89,-18.3908888889,-20.1787777778,8.30122222221,5.17255555554,-18.6463333334,-9.834,27.4584444445,2.04322222223,33.9718888889,-17.1136666667,7.40733333334,8.6205
230.27,-6.95966666665,-9.8901111111,6.22700000001,12.2711111111,-7.69233333334,-4.27355555557,30.6472222222,6.8377777778,43.1012222222,-7.93655555556,10.8058888889,20.3296666666
230.65,0.50488888889,-2.82822222223,0.201777777767,16.1616111111,-5.05033333334,-0.201777777777,28.283,8.78777777777,36.7678888889,-4.54544444446,8.18183333333,19.5451666667
231.02,-4.42388888889,-5.76133333333,-9.56799999999,6.37861111111,-15.6378888889,-5.34977777778,23.251,1.23444444446,32.3046666667,-8.7448888889,-0.41161111111,10.4936666667
231.40,-8.97866666669,-15.6006666667,-26.2624444444,-7.74416666668,-22.1101111111,-21.1001111111,16.0494444444,-10.55,24.9155555556,-15.4881111111,-8.3613888889,2.18866666667
231.78,2.99511111111,-8.50244444443,-21.1593333333,-2.46377777778,-9.66177777779,-9.95144444443,22.029,-3.76822222222,31.6906666667,-6.85988888889,1.49761111111,7.53616666665
232.15,7.57111111111,-5.99799999999,-24.287,0.245833333333,-9.73455555556,-6.78455555556,21.5337777778,-0.885000000033,25.4668888889,-4.81800000001,4.86727777778,5.16216666665
232.53,6.13000000001,-4.40611111111,-23.2757777778,3.54405555556,-11.7815555556,-4.40622222222,18.9655555556,7.18377777778,19.157,-2.49055555553,9.48283333334,3.44833333333
232.90,7.08066666668,-6.86288888888,-35.4028888889,2.23322222222,-19.2807777778,-14.7055555556,14.1612222222,3.15900000001,13.5077777778,-6.42700000002,6.31822222222,-3.268
233.28,10.4288888889,-3.89866666666,-26.4132222222,6.43277777778,-9.64922222224,-3.70355555556,17.2515555555,12.0858888889,22.417,5.653,9.35683333333,9.64916666668
233.66,19.1033333333,3.70366666667,-18.3236666667,15.1071111111,-2.04688888889,2.53433333333,25.4385555556,17.0563333333,29.922,13.7427777778,17.8849444444,19.2983333334
234.03,16.3224444445,0.983222222223,-22.8121111111,11.4552777778,-1.86822222222,-3.73677777778,18.584,14.061,22.3205555556,9.43966666667,14.7002222222,12.6843333333
234.41,18.3692222222,2.41933333333,-15.0538888889,14.3816111111,-1.25455555556,1.25433333333,17.7418888889,18.369,19.3551111111,12.6345555556,13.5751666667,15.3226666667
234.78,14.4703333333,0.861222222221,-14.2121111111,10.4218333333,-2.75622222222,-3.10055555556,14.2118888889,15.4176666666,19.9828888889,11.3694444444,14.5132222222,11.2405
235.16,15.5076666667,5.59555555555,-8.31322222222,12.5898888889,3.75711111111,-0.639555555557,13.5091111111,17.1062222222,24.8598888889,11.9104444445,17.4658333333,14.868
235.54,18.2194444444,10.697,1.65633333333,18.7023888889,9.93788888889,8.62688888889,18.4954444445,24.4994444444,28.8472222222,17.5292222222,19.2545555556,19.9793333333
235.91,14.8396666667,9.39577777777,0.0744444444567,19.3510555556,6.18944444443,6.71133333333,15.4364444444,21.3273333333,27.4423333333,16.7041111111,17.7106666667,19.575
236.29,12.1354444444,6.93466666666,-0.551666666667,21.1190555556,6.06777777778,3.93988888889,13.3174444444,19.3064444444,29.7083333333,17.1788888889,15.0906666667,19.74
236.66,9.3748888889,3.47222222222,-3.73288888889,13.8887777778,3.21177777779,1.99644444444,10.8505555555,14.6701111111,29.2534444444,14.4965555555,7.03111111111,19.6615
237.04,9.43244444447,6.395,3.67688888889,17.4261666667,8.15333333333,9.75244444444,12.3901111111,18.7848888889,33.2533333333,19.1847777778,10.6313333333,22.9016666667
237.41,9.95366666668,5.78688888889,-0.00011111111,16.2422777778,7.48455555554,10.7253333333,14.8147777778,17.5152222222,31.4042222222,17.5152222222,13.2331666667,21.7591666666
237.79,2.37033333333,0.740777777777,-3.62944444445,8.5185,2.59266666667,7.55555555556,8.59255555556,14.0738888889,26.7406666667,12.2221111111,8.22216666666,16.1111666667
238.17,-0.50188888889,-0.502000000001,-4.22911111111,6.595,-0.21522222222,7.742,9.17566666668,9.24733333334,30.7527777778,11.2546666667,4.22944444444,14.4086666667
238.54,-9.24777777778,-6.34922222221,-9.79977777778,-0.793611111123,-4.62400000001,2.20844444444,3.86466666667,0.6211111111,29.4685555556,5.17588888889,1.20755555555,7.14299999999
238.92,-8.50477777778,-6.92733333333,-8.985,-0.823055555557,-4.52666666668,7.95611111111,5.55555555554,4.04666666666,33.7448888889,6.44711111112,-0.445555555557,9.568
239.29,-8.26722222223,-8.2671111111,-7.40733333333,-1.05822222222,-7.53955555557,5.688,6.283,3.96844444444,30.6215555556,5.62155555553,-1.32266666667,10.3176666667
239.67,-2.17522222222,-1.705,0.999333333343,6.99577777777,-2.64555555555,11.6401111111,13.1687777778,7.87766666666,34.5092222222,10.1704444445,6.702,17.6366666667
240.04,-2.08355555556,-2.03011111111,-0.373777777777,3.499,-1.49566666667,10.0426666667,12.7138888889,8.8141111111,32.6922222222,7.95922222222,5.31527777778,17.1473333333
240.42,3.94566666666,1.72344444444,3.31066666667,3.53755555554,1.08833333333,12.6078888889,15.2833333333,13.2426666667,33.2877777778,9.9772222222,8.63938888889,18.5715
