wavelength,Back_ChlRiem,Belly_ChlRiem,Breast_ChlRiem,Crissum_ChlRiem,Crown_ChlRiem,DorTail_ChlRiem,Patch10_ChlRiem,Patch11_ChlRiem,Patch12_ChlRiem,Rump_ChlRiem,Throat_ChlRiem,WingTip_ChlRiem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,19.1666666667,35.0,45.8333333334,43.3333333333,35.0,59.1666666667,32.5,34.9999999999,57.5000000001,45.4166666667,77.5,15.8333333333
179.16,46.1538,82.0513333333,56.9231333333,70.7694,48.7178666667,66.1537999999,41.0256,56.9232,55.8975333333,56.4102999999,78.4615999999,29.7438
179.54,75.5556,89.8411333333,80.6350000001,80.9524,71.7460666667,79.6825999999,74.6032,73.3332666667,74.9205333333,66.8253666667,86.9841333333,69.2063333334
179.93,29.5239333333,83.8095999999,76.1904,64.7618,22.8572,59.0475333334,55.2382666667,17.1428666667,65.7143333334,37.6189666667,70.4761333333,18.0952
180.31,22.5,70.9166666667,52.6666666667,47.1666666667,19.4166666667,59.3333333333,37.6666666666,42.4166666667,39.3333333333,35.7500000001,62.75,13.4166666667
180.69,24.176,71.0622666667,57.7289333333,52.0879333333,25.4946,64.1757333333,39.7801333333,44.9085333333,42.3444,36.3003666667,65.4945333333,18.4616
181.07,14.359,58.9100666667,44.9998666666,44.2307333333,18.0769333333,49.2949333333,29.1666,35.5768666667,30.0642,26.7628666667,49.5512666667,13.5257333333
181.45,11.5333333333,54.2,44.6,41.8,14.0,47.4666666666,27.9333333333,33.4666666667,30.0,26.9666666666,45.3333333334,14.0666666667
181.83,3.98453333333,52.1072666667,42.6053333333,41.3793333333,7.73946666665,44.5976,22.9118666667,32.1072666667,27.4328,26.4367666666,44.3679333333,10.1915333333
182.21,-2.69840000001,50.0794,37.6984000001,39.8411333333,4.12693333333,39.6826,17.3809333333,30.8730666667,20.7143333333,23.0556333333,41.1110666667,10.873
182.59,-19.0908666667,46.6667333333,31.6162000001,35.0504666667,-5.25253333334,29.2929333333,2.82833333335,18.7878666667,9.89913333334,14.5454333333,32.6262666666,3.6364
182.97,-14.4444,46.5741333333,36.2037333333,40.4629333333,3.79626666668,26.0186666667,7.12946666667,20.0,15.3702666667,22.8703,31.7590666667,10.3702666667
183.35,-10.464,36.5401333333,34.0084666667,40.3375333333,8.86079999998,27.9325333333,7.67933333332,16.2026,15.1898666666,20.6751333333,30.8016,15.6117333333
183.73,-5.46193333336,35.3415333333,39.1967333333,46.6666666667,16.225,30.1204,10.0402,21.4456666667,21.1245333333,24.0965666667,31.1645333333,26.265
184.11,7.32613333334,37.8023333333,47.3259333333,53.4067333334,28.3517333333,36.923,17.7288,24.7618666667,29.4504666667,30.2931333333,39.9266666667,31.282
184.49,22.6241333333,44.7519333334,60.9930000001,61.773,42.7658666667,44.1134,29.0779333334,36.1703333333,42.0568,43.8652,48.8653333333,42.6240666667
184.87,21.1523333333,39.4239333333,61.893,60.9053333333,44.1974,39.6708,27.2428666667,34.3209333333,39.3416666667,49.7119,43.0453333334,41.4814
185.25,39.3466,64.0522666667,109.9346,97.2548666667,78.1698666667,68.3659999999,49.8039999999,57.9085333333,72.6797333334,87.1895333332,76.4705333333,67.8432000001
185.63,27.742,66.0214666666,155.914066667,120.8602,103.010733333,66.0214666667,49.4622666667,58.0644000001,83.6558666667,99.3549,96.3440666667,69.8924666667
186.01,-2.77760000008,63.3333333335,335.555533333,226.666666667,206.666733333,72.7779333333,40.5556000001,63.8887999999,142.2222,181.111033333,166.6668,93.3333333333
186.39,433.333333333,530.000000001,2613.33333333,1703.33333333,1730.0,886.666666666,526.666666665,753.333333332,1263.33333333,1703.33333333,1293.33333333,803.333333334
186.77,-86.6666666666,-112.0,-588.666666667,-383.333333333,-372.666666667,-210.0,-124.0,-166.666666667,-270.666666667,-411.0,-295.333333333,-183.333333333
187.15,-60.4762,-37.6189333332,-419.523733333,-248.571533333,-240.0,-146.1904,-73.3333333333,-89.0476000001,-171.9048,-266.666666667,-200.476266667,-150.952466667
187.53,-11.3978666667,10.9676,-190.3226,-99.1397333333,-85.1612666666,-43.8709999999,-24.3010666665,-27.0967999999,-68.6021333332,-115.3764,-77.4192666666,-56.3440666667
187.91,-77.5757333332,-38.4847333333,-323.333333333,-177.5758,-172.121266666,-102.7272,-99.697,-101.212133333,-140.000066667,-216.515166667,-171.212066667,-116.0606
188.29,-52.5333333335,-26.1333333333,-274.4,-137.6,-154.933333333,-79.7333333333,-83.9999999999,-93.8666666666,-111.733333333,-190.666666667,-149.333333333,-112.266666667
188.67,-23.9583333333,-9.375,-210.0,-103.958333333,-115.416666667,-60.0000000001,-61.2499999999,-65.2083333333,-78.5416666667,-152.291666667,-101.875,-84.7916666667
189.05,-39.535,-30.0776,-173.9534,-103.565933333,-102.325666667,-57.9845333334,-63.5658666667,-67.7518666665,-80.3101333334,-131.628033333,-99.8450666667,-82.9456666667
189.43,-91.7170666667,-66.2627999999,-257.979666667,-154.747333333,-152.727333333,-97.1717333333,-102.828266667,-110.909,-131.313133333,-196.666633333,-146.6666,-142.424266667
189.81,-166.6666,-139.047533333,-356.190466667,-244.761933334,-239.0476,-185.952466667,-178.571466667,-186.904666667,-213.095266667,-293.809533333,-229.285666667,-235.476133333
190.19,-1521.66666667,-1398.33333333,-2861.66666667,-2058.33333333,-2026.66666667,-1745.0,-1633.33333333,-1676.66666667,-1818.33333333,-2383.33333333,-1958.33333333,-2005.0
190.57,-624.666666667,-552.0,-1087.33333333,-784.000000001,-793.333333333,-673.333333334,-650.0,-648.0,-695.999999999,-890.666666668,-720.0,-790.0
190.95,980.0,802.500000001,1454.16666667,1062.5,1108.33333333,937.500000001,956.666666668,937.499999998,991.666666666,1195.41666667,940.000000001,1095.83333333
191.33,1698.66666666,1338.66666667,2360.0,1766.66666667,1884.0,1577.33333333,1636.0,1594.66666667,1641.33333333,1989.33333333,1524.0,1845.33333333
191.71,748.571466667,609.523866667,934.285666667,736.666733333,802.381,688.571533333,712.381,670.476333333,688.095200001,829.285600001,655.238133334,764.761866667
192.09,-1151.66666667,-879.166666667,-1444.16666667,-1158.33333333,-1255.83333333,-1036.66666667,-1088.33333333,-947.499999999,-1020.83333333,-1288.33333333,-929.166666667,-1181.66666667
192.47,-454.920533333,-345.714333333,-558.412733333,-469.206266667,-495.873,-403.8094,-427.3016,-357.7778,-402.5396,-502.380933333,-353.015866667,-473.0158
192.85,-479.666666667,-375.0,-592.666666667,-489.666666667,-521.666666667,-420.666666667,-435.666666667,-381.666666667,-422.0,-506.166666667,-390.333333333,-513.666666667
193.23,-1259.0476,-967.619133335,-1639.04766667,-1260.9524,-1401.90486667,-1160.0,-1177.14293333,-1040.95246667,-1134.28573333,-1379.52386666,-1015.23806667,-1395.238
193.61,-610.476266667,-489.5238,-809.999933334,-639.5238,-711.428533333,-564.761866667,-609.5238,-539.0476,-540.9524,-696.190433333,-513.809466667,-660.952266667
193.99,-469.411733333,-366.2746,-633.7256,-489.803866667,-532.549,-413.725533333,-464.313666667,-417.647,-392.549066667,-535.6864,-366.2746,-507.0586
194.37,-128.4354,-88.1632666665,-182.448933333,-132.108866667,-151.7006,-104.2176,-126.122533333,-110.748333333,-104.6258,-151.4965,-89.2517333332,-143.809533333
194.75,-101.871333333,-67.6021999999,-150.175466667,-109.122733333,-123.625666667,-79.6491999999,-108.421133333,-89.8246,-90.0585999999,-126.198966667,-78.7133999999,-112.3976
195.13,-41.4394,-22.4242666667,-73.1817999999,-48.8636666667,-59.5454666667,-32.1211333333,-46.5909333333,-39.0908666667,-36.4393999999,-58.9773,-33.9395333333,-52.3484
195.51,-39.4636,-24.9807333333,-74.3296666667,-48.8888666666,-62.3755333333,-36.2452666667,-46.5899333333,-40.7663333334,-37.0880666666,-60.4980666667,-35.0956666667,-48.8123333333
195.89,-30.2222666666,-20.1482,-69.5554666667,-46.3704000001,-57.4074,-28.7406666667,-38.5186666667,-38.0,-34.0741333334,-51.2222,-25.4815333333,-44.5925333333
196.27,-22.3456666667,-16.5432,-58.0246666667,-32.7161333333,-44.7531333333,-19.3827333333,-26.6666,-33.5185333333,-26.5431333333,-37.7161333333,-20.2468666667,-35.3086
196.65,-18.0628,-14.7008,-51.1681333334,-26.1538,-36.2392666667,-14.2450666667,-20.2848666667,-33.0484,-23.3618,-29.7436333333,-15.2136666667,-27.6354
197.03,-8.51066666667,-4.82266666665,-31.8676666667,-13.6644,-23.1678,-3.78253333333,-10.2128,-20.1892666667,-15.6027333333,-16.974,-5.53186666667,-14.8934666667
197.40,-6.84439999999,-3.77773333334,-23.3778666667,-11.1112,-20.3111333333,-0.044466666666,-5.60013333334,-14.8444666667,-12.0000666666,-11.7555666667,-3.02219999999,-14.0
197.78,-2.08073333332,3.48193333334,-15.881,-4.75593333335,-14.947,3.77919999999,1.78339999999,-7.68586666667,-7.55826666665,-4.50113333332,3.22719999999,-13.1634
198.16,-4.51219999998,2.43906666666,-12.6829333333,-2.64219999999,-15.4877333333,2.72359999999,1.70726666667,-7.03253333333,-7.96753333335,-5.63003333331,1.62613333333,-14.2278
198.54,-16.9298666667,-7.9824,-22.8070666666,-13.0702,-25.0000666667,-8.11406666664,-8.90346666667,-18.1139333333,-16.3596666667,-16.7763,-8.55260000001,-25.7018
198.92,-22.2819333333,-11.4094,-25.727,-16.1522,-27.2482,-12.3043333333,-9.61973333333,-21.6553333333,-18.7918666667,-18.255,-10.8278666667,-32.8858666667
199.30,-34.5237333333,-21.0000666667,-37.619,-26.5714666667,-38.0476,-23.6190666667,-19.3332666666,-32.5238666667,-29.6190666667,-28.9762666667,-22.5238666667,-45.2380666667
199.68,-32.1995333333,-16.0999333333,-33.8774,-24.6711333333,-33.3334,-17.6418,-13.5146666667,-26.9388,-26.6213333333,-21.7233666667,-19.0476,-41.9047333333
200.06,-22.4499333333,-7.10860000001,-19.8393333333,-11.2850666667,-20.4418,-7.63060000001,-4.85953333335,-15.7831333333,-13.4940666666,-9.9398,-10.0,-29.7991333333
200.44,-28.6021333333,-10.0215333333,-23.7849333333,-15.0107333333,-25.4622666667,-13.5053333333,-11.6558666666,-18.8387333333,-16.9033333333,-14.7957666667,-15.1828,-36.6882
200.82,-33.8426,-10.2315333333,-26.111,-16.3424666667,-28.2406666667,-14.4444666667,-12.5924666667,-19.3054666666,-16.9445333333,-16.1806666667,-19.8149333333,-40.7409333333
201.19,-38.2284666667,-11.1888666667,-27.9252666667,-18.3683333333,-29.9300666667,-14.2658,-14.0326666667,-22.0977333333,-16.4103333333,-19.8833,-20.3729333333,-44.3823333333
201.57,-35.5702666667,-7.58780000001,-27.0613333333,-13.9912666667,-23.8157333333,-9.78073333333,-10.9648,-17.7192666667,-15.4825333333,-15.1973,-15.0,-38.4210666667
201.95,-37.6872,-9.75060000001,-26.9842666667,-13.1064666667,-23.9001333333,-10.0679333333,-12.517,-17.2789333333,-15.1474666667,-16.3946,-13.6056,-35.7369333334
202.33,-43.6091333333,-13.2831333333,-34.2856,-18.5463333333,-30.2756666667,-13.4837333333,-15.3384,-22.1052,-19.5989333333,-20.0251,-18.2455333333,-41.1527333333
202.71,-34.074,-2.71593333334,-25.2346,-10.4691333333,-20.2469333333,-3.75313333332,-5.62973333334,-12.0988,-12.4444666667,-8.27149999999,-7.70380000001,-33.0372
203.09,-36.2962666667,-4.86773333333,-27.5659333333,-11.9576,-23.3334,-3.91540000002,-6.71946666668,-13.7568,-14.3386,-11.0846666667,-8.14806666667,-36.6666666667
203.47,-32.9412666667,-0.61633333334,-18.5432666666,-7.11473333333,-16.1904666667,4.25759999999,-2.24086666666,-8.12326666667,-11.7086666667,-6.6666,-0.11193333332,-31.0364666667
203.85,-26.2330666667,1.897,-10.515,-1.13826666667,-8.83459999999,10.5148666667,1.95133333334,-3.30633333334,-7.42553333333,-6.44976666666,5.63706666666,-26.1246
204.22,-20.2004666667,7.11766666668,-4.41100000001,1.05266666667,-5.16286666666,14.2856,7.61900000001,0.451133333326,-5.21313333335,-4.4862,10.4260666667,-20.9022666667
204.60,-10.4827333333,14.2528,4.64373333335,7.03446666666,5.28746666667,21.977,18.4366666667,7.58626666665,0.919466666674,4.87353333333,18.4827333333,-12.5056
204.98,-6.38286666664,20.7564666667,9.45633333333,11.2056,12.9078666667,26.7138666667,23.2152,13.3806666666,3.73520000001,9.24343333334,25.4372666667,-7.89599999999
205.36,-3.72420000002,22.3908,15.5863333333,16.23,20.2298,29.5631333333,26.7126,19.2642666667,8.5058,13.9310333333,31.3102666667,0.6438
205.74,-0.630666666674,22.9728666667,20.1352,19.3694,22.6125333333,31.8468,29.4593333333,20.2252,14.1891333333,14.6621,32.7476,4.50426666666
206.12,-3.45,23.8694666667,20.9324666667,18.8812,23.8228666667,30.5362,28.6713333333,17.7623333333,13.2866666667,16.5501,29.697,1.16559999999
206.50,0.6994,29.6502666667,26.8532,22.6108,29.8833333333,35.4313333333,32.2144,22.098,18.1816666667,23.3333333333,37.9953333333,6.57326666666
206.87,0.773,29.5652,28.2124666666,23.9130666667,31.0628,37.5845333333,33.2368,23.3332666667,20.8211333333,23.9613666667,39.3236,9.56533333333
207.25,6.90146666665,35.3051333333,31.3146666667,29.2957333333,35.8216,39.6244,34.9766,27.6995333333,25.3052,28.6618333333,42.5350666667,15.2582666667
207.63,2.71786666668,29.7949333333,23.4872,24.6667333334,30.1537333333,34.2052,31.0256,22.2564,20.4615333333,24.3845666667,41.9487333333,6.61553333333
208.01,-9.24386666665,22.689,16.1904,16.1345333333,23.7534,26.0503333333,23.3052666667,10.1399333334,13.0530666667,18.7675666667,34.8458666667,-3.97746666668
208.39,-24.7811333333,12.7946666667,4.30973333333,8.9562,18.4512,17.5758666667,16.0269333333,0.80806666668,5.52193333333,12.5253666667,29.293,-16.5656
208.77,-41.8474666667,2.24893333333,-1.92786666666,-0.080333333306,7.46986666666,9.15660000001,4.73893333332,-9.07620000001,0.241000000014,2.9319,24.2569999999,-27.4698666667
209.14,-33.5484,2.36566666667,8.31559999999,7.6702,9.67746666666,12.258,9.74919999999,-3.08246666666,5.66313333333,9.24726666666,29.3905333333,-22.7956
209.52,-44.2352666667,-7.92153333333,-1.80386666667,-1.88240000002,-5.17640000001,0.78426666666,-0.706,-16.4706666667,-8.4704,4.98040000001,18.8234666667,-43.5294666667
209.90,-75.2526666667,-26.5657333333,-22.3232,-25.7576,-23.4344,-19.7979333333,-17.9798,-45.8586666667,-30.0,-8.93939999999,6.66666666664,-78.3837999999
210.28,-86.3219333333,-37.5861333333,-32.6436,-37.8162000001,-31.4942666667,-27.1264666667,-23.4482666666,-55.7471333333,-39.1953333333,-22.8161,5.0576,-90.9196000001
210.66,-83.6666000001,-39.5555333333,-27.889,-29.1110666666,-31.2220666666,-24.1111333333,-21.9998666666,-52.3332666666,-33.6667333333,-17.9999333333,4.66666666668,-87.3331333333
211.03,-65.2736,-27.7611333333,-13.3332666667,-12.1393333333,-21.3930666666,-17.0148666667,-6.76619999999,-37.2138000001,-22.8855333333,-7.21403333334,18.7066,-74.9252666667
211.41,-47.4284666666,-16.9522666667,1.9048,-0.57133333332,-9.14273333332,-0.952200000001,11.9048,-24.2857333333,-8.66673333334,8.80960000001,30.8571999999,-58.4762666667
211.79,-41.8421333333,-6.9298,12.4561333333,9.21053333334,1.22813333333,5.52633333333,20.1754,-16.4034666667,-1.84206666668,16.4911333333,27.807,-47.7192
212.17,-34.6320666667,-6.40686666667,19.7402,14.1992666666,6.14713333332,5.62786666668,25.2815333333,-9.52386666668,3.11693333336,20.0866333333,30.5626666667,-37.2296
212.55,-26.5789333333,-0.438600000014,30.2631333333,17.7194,10.9648666667,12.2806666667,27.807,-1.49120000001,7.28079999999,27.5438666667,30.9649333333,-33.3334666667
212.92,-34.4615333333,-8.41019999998,33.2307333333,19.5897333333,11.6922666666,8.718,31.1794666667,-7.58980000001,2.66666666667,30.3076666667,35.8973333333,-37.4361333333
213.30,-23.8234666667,2.54879999999,38.0393333333,21.3725333333,17.6470666667,18.8235333333,35.4903333333,-2.25499999999,14.0196,38.6274333333,41.2746,-23.2353333333
213.68,-6.04440000001,20.3554666667,52.8888,36.8889333334,34.4888666667,35.2000666667,49.2445333333,18.0444666667,37.1555333333,48.9776666667,57.6888,4.35560000001
214.06,-13.6708666667,11.2236666667,43.7131333333,27.595,18.9029333333,23.6286,34.4304,13.2488,26.4979333333,34.6835666667,42.8691999999,-6.32906666665
214.44,-3.77113333335,17.3736,43.5016666667,31.1784,20.0674,21.8854,34.4108,14.6801333333,27.2727333333,36.2289333333,40.6059333334,-3.6364
214.81,-4.03846666667,16.4102666667,40.2563333333,26.4742666667,17.0513333333,18.3974666667,33.7178666667,11.218,22.9487333334,32.7244666667,36.6667333334,-3.78206666666
215.19,-9.59513333333,16.0124666667,34.1433333333,20.9345333333,14.5794,16.5108666667,29.159,6.79120000001,19.0032,30.5918666667,27.4143333333,-4.36146666667
215.57,-17.0794,13.0159333333,30.3492,18.7302,11.1111333333,11.0475333333,26.4127333333,0.0634,15.6191333333,24.1904333333,20.7617333333,-8.25406666666
215.95,-18.5112666667,13.0098,32.3623333333,17.4108666667,10.2264666667,13.5274,25.9546666667,-0.32373333332,18.3820666667,22.8802,21.6826666667,-4.91913333333
216.32,-13.7463333333,19.2921333333,30.5013333333,18.879,11.0914666667,17.227,28.7316666667,4.8968,18.879,25.2802,25.0738666667,-1.29806666666
216.70,-27.1333333333,9.93333333334,21.1333333333,11.3333333333,2.53333333335,5.66666666668,23.4666666667,-6.66666666667,7.86666666667,16.8,18.6,-9.99999999999
217.08,-13.6666666667,15.2778,21.9445333333,18.0,8.05553333333,10.7221333333,26.5,0.888866666666,11.9444666667,19.3056,21.3333333333,-1.889
217.46,-19.4151333333,6.02353333333,14.9122666667,16.6666,1.92993333333,3.62573333333,21.8128666667,-3.45026666668,4.09353333333,11.3449333333,17.2513333333,-4.85386666666
217.83,-40.0812666667,-10.0,1.54473333334,8.45520000001,-14.4714666667,-13.2520666667,15.8536666667,-23.6584666667,-14.6342,-0.121866666654,11.2194666667,-17.4796666667
218.21,-30.0833333333,0.916666666682,9.74999999999,23.3333333333,0.583333333326,-3.33333333333,28.9166666667,-14.0833333334,-4.08333333334,12.875,25.25,3.41666666667
218.59,-38.7214666667,-8.94986666667,4.65753333336,17.0776,-6.30146666668,-3.37900000001,26.758,-17.717,-10.8675333333,10.6849,18.2648,6.30146666666
218.97,-23.9838,-1.62613333333,12.0324666667,20.4066,4.14626666667,7.31706666667,29.2684666667,-7.56099999999,1.70733333333,13.943,16.8293333333,15.3659333333
219.34,-18.7149333333,-7.22893333332,12.6907333333,19.1968,0.1606,6.58633333332,25.9438,-9.47773333334,3.1324,9.3173,18.3132666667,16.3051333333
219.72,-24.935,-14.026,11.3420666667,13.3332666667,-8.05213333334,5.36793333334,21.9046666667,-11.6016666667,-0.000133333346,4.93499999999,17.8356,16.3636
220.10,-13.9259333333,-2.22226666667,12.963,16.3703333333,-1.92586666666,7.70373333333,28.4445333333,-5.037,5.85186666668,9.74080000001,20.5184666667,21.1111333333
220.47,-13.0041333333,-0.9054,17.8601333334,22.0576,2.46913333332,9.87646666667,32.0988666667,-5.26746666665,8.06586666667,10.8642,20.9054,27.8190666667
220.85,0.343600000007,8.17860000001,31.2715333333,30.7903333334,13.8831333333,20.1374666667,38.0068666667,3.50499999998,19.6564,19.2784666667,33.6769333333,34.1581333333
221.23,-10.3204666667,1.92300000001,21.5384666667,15.8333333333,5.25646666665,8.65386666666,26.9872666667,-3.84606666668,12.1152666667,8.9743,22.1795333333,23.6539333333
221.61,-10.2976,5.23799999999,20.119,10.3572,5.05946666666,4.04766666665,25.1786666667,-7.38093333333,11.25,10.3571666667,16.8452,18.8094666667
221.98,-17.571,-3.15233333333,9.19893333333,-1.29200000001,-4.44440000001,-6.30479999999,11.5762,-14.8320666667,1.80886666668,0.5943,2.53233333334,4.03106666667
222.36,-15.8638,-3.84433333334,8.02926666666,-4.72020000002,-7.54253333333,-8.2238,11.7274,-15.0850666667,0.778599999994,1.41123333335,0.0488,0.924466666672
222.74,-9.86493333333,4.054,14.1891333333,2.02693333333,-1.89179999999,-2.16219999999,18.0632666667,-8.15313333331,7.65773333335,7.04949999999,8.4684,7.7028
223.11,-10.1800666667,6.2162,14.7296666667,1.39640000001,-1.2612,-2.29733333333,19.5495333333,-8.37839999999,4.27933333334,7.09453333333,13.2433333333,6.62179999999
223.49,-8.52819999998,9.30746666667,16.7099333333,4.54533333333,2.64073333332,-0.476266666652,22.5975333333,-4.76186666665,6.27706666667,9.22070000001,14.8052,8.13846666667
223.87,-8.32326666668,8.32319999999,13.3736,2.46459999999,3.51513333335,-2.50499999999,21.1717333334,-6.22226666665,3.79799999999,9.0303,11.798,6.62620000001
224.24,-11.3595333333,3.24573333333,9.69313333332,-4.16666666667,0.65793333334,-6.09646666666,16.4035333333,-10.6140666667,-0.043866666674,7.06150000001,9.42980000001,3.59653333333
224.62,-10.0222,3.08733333333,9.21693333334,-6.53246666667,-1.02913333333,-6.97999999999,14.094,-13.3334,0.357999999994,7.31553333334,9.48546666666,1.47653333332
225.00,-11.3562666667,4.78153333333,5.74713333333,-9.47126666667,-4.50560000001,-7.08046666665,11.5401333333,-15.3104,-0.55166666666,7.03446666665,5.05753333335,-0.046
225.38,-12.3881333333,2.388,3.03493333335,-12.3383333333,-7.71153333334,-5.17406666667,10.995,-18.7066,-4.67653333333,6.34323333332,2.48753333334,-1.99006666665
225.75,-10.1932,2.8986,4.34779999999,-11.1594666667,-6.66673333335,-0.48313333334,10.9662,-15.5556666667,-3.81639999999,6.401,4.05806666667,1.401
226.13,9.48046666666,20.6058666667,20.9091333333,8.52813333333,12.5974666667,19.5239333333,28.8312,5.06493333334,15.9741333333,24.6754,20.4762,20.7792666667
226.51,15.4444,25.7408,26.4075333333,14.5925333333,20.2962666666,23.852,30.2592666667,12.4444,22.1481333333,27.8333333333,23.5925333333,24.7407333333
226.88,14.1278,22.5558666667,22.487,11.3646,18.7219333334,20.2071333333,27.0466,10.639,19.9654,24.3177333333,19.3092666667,20.4836666667
227.26,7.36993333335,13.5780666667,13.8532,5.71860000001,10.9786,11.6206666667,19.7554,4.43419999999,13.1805333333,15.4588,8.59319999999,12.3241333333
227.64,5.1852,10.6086,9.76193333333,3.598,7.30160000001,9.15353333333,15.4496666667,2.51326666665,8.9682,12.0371333333,4.9734,9.7356
228.01,5.68833333333,10.4437333333,9.71559999999,5.16499999999,6.75779999999,9.78393333333,14.5392666667,4.36866666667,8.03173333333,11.2058666667,5.05106666667,10.0796666667
