wavelength,Back_PooEryf,Belly_PooEryf,Breast_PooEryf,Crissum_PooEryf,Crown_PooEryf,DorTail_PooEryf,Patch10_PooEryf,Rump_PooEryf,Throat_PooEryf,WingTip_PooEryf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-18.1972047619,-21.9048666667,-5.65475,-1.4284,-13.3332,-22.1429333333,3.80966666668,-17.6189666667,-0.952333333334,-4.7619
179.16,153.476190476,163.333333333,177.916666667,136.0,119.333333333,122.666666667,136.666666666,135.333333333,123.333333333,126.0
179.54,-172.190476191,-185.0,-261.458333333,-186.666666667,-168.333333333,-150.0,-181.666666667,-135.0,-135.0,-134.166666667
179.93,420.238095238,466.666666667,389.583333333,500.0,493.333333334,368.333333333,426.666666667,526.666666667,350.0,451.666666667
180.31,-105.315339048,-88.4723333333,-151.215333334,-87.7777333333,-105.277866667,-90.2777666667,-87.7778666667,-111.1112,-43.0556666667,-99.2359333333
180.69,-83.4788914285,-67.0303333334,-125.605958333,-63.8788666667,-82.9091333333,-69.4546000001,-64.0,-86.4242,-24.1211333334,-76.9697333333
181.07,-76.0522942859,-62.4836666667,-131.86275,-59.3464,-83.0066,-59.5423,-66.4054666667,-84.5751333333,-19.6078666667,-75.1634666666
181.45,-78.1492666665,-62.4243333334,-145.170458333,-66.9696666667,-97.1214,-72.9546333333,-74.0910666667,-98.7879333335,-21.8182,-85.7575666666
181.83,-53.5447619048,-40.6666666666,-112.666666667,-47.6000000001,-77.0666666667,-56.8000000001,-61.0666666666,-84.6666666667,-15.0666666667,-70.7333333334
182.21,-61.1190085714,-45.2777333333,-126.909833333,-51.6666000001,-84.3055333333,-60.8333666666,-73.4722000001,-87.3610666668,-24.5833333333,-76.2499000001
182.59,-71.5359895238,-44.7863333334,-139.529833333,-57.6068000001,-101.538666666,-62.1368,-97.7777333333,-102.222266667,-28.376,-82.9914333333
182.97,-36.168715238,-13.1818,-86.0795833332,-34.6969333333,-69.0909999999,-26.2878,-65.3030666667,-66.8182,-14.2424,-52.7272999999
183.35,-10.1347171429,4.27673333334,-38.6005,-8.17606666667,-38.3648,0.062699999994,-37.2326666667,-32.956,-0.880466666666,-23.5850333332
183.73,10.0416333334,28.6061333334,-10.530375,8.72740000002,-17.6968,13.1514,-31.515,-16.4241666667,8.72733333333,1.03043333334
184.11,-5.03217523808,12.7134,-31.0077500001,-6.04646666666,-40.4652,2.79066666666,-59.0696666666,-36.4339666666,-15.1938666667,-8.2943666666
184.49,25.03174,39.4444666667,9.60670833332,21.2962,-16.1110666667,37.4999999999,-33.7036,-4.6297,11.6666666667,31.1109666666
184.87,-2.07259999994,24.7618,-25.9920416667,-20.9524,-88.254,37.7779333334,-126.984133333,-52.5396000001,-32.3809333333,24.7620333334
185.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.63,-59.0793228571,-9.33340000008,-79.1666666668,-54.6666000001,-161.777733333,8.4444333334,-228.888866667,-126.888833333,-76.8887999999,21.9999666668
186.01,242.333292381,124.444466667,297.222083333,225.5556,516.6666,35.0,664.444266667,372.2221,208.8888,-43.3333333346
186.39,183.936639048,95.5556000001,240.972083333,201.111,506.6666,81.6668,607.7778,372.7778,187.777866667,-134.999766667
186.77,74.3737285713,72.0513333333,88.9422916667,76.9232666667,144.358933333,54.8717333334,170.769266667,112.1795,79.2309333333,-1.92289999986
187.15,64.8570771429,66.8252666667,75.3967500001,54.4444666667,96.9841333333,53.8888666665,129.999866667,84.5238666668,66.8254666667,8.41279999993
187.53,69.4215,71.3581333333,85.8023333332,66.2550666667,88.0658666667,66.2962999999,107.572066667,83.4154999999,71.0288666666,46.0492
187.91,77.8083542857,83.7548666667,94.6839583334,73.6398,97.1648666666,72.7203666666,111.570933333,90.5746666667,80.2298666667,57.0114333334
188.29,82.4333361905,88.7075333333,97.3214583333,77.4148666667,101.496666667,78.1293333334,117.891133333,91.9727333334,84.3537333333,61.5305333333
188.67,89.0149219047,90.5322666665,103.711416666,84.6498666667,107.226933333,86.4424666666,122.801,99.0756666667,94.3978666665,71.9047333333
189.05,93.2525495238,93.8418666667,105.791041667,86.3275999999,107.9096,91.8645666667,126.440733333,104.8871,98.9830666667,75.3670999999
189.43,98.6771428571,97.5999999999,110.458333333,91.2666666667,117.733333333,94.3000000001,139.666666667,107.933333333,108.266666667,76.9666666667
189.81,105.346997143,100.381066667,115.15875,98.9206666666,122.1588,98.6031666667,145.460333333,108.444566667,114.412666667,89.6507666666
190.19,120.200955238,111.282133333,127.976083333,110.402933333,140.512866667,114.322366667,163.5898,124.761866667,136.996266667,107.545866667
190.57,109.268487619,101.3592,116.181208333,99.2232666667,123.689266667,99.7411333333,145.6958,110.420833333,121.941733334,102.8803
190.95,105.888091429,98.4466000001,118.406208333,96.2461333333,125.3076,96.3431333332,145.242733333,111.294433334,121.941733333,104.498466667
191.33,115.582854286,104.070333333,126.97375,110.526333333,137.193,102.6316,154.245533333,123.824433333,134.315733333,112.2457
191.71,114.228533333,98.2221333332,118.611125,106.2962,136.222266667,93.5924333334,153.185133333,122.000033333,132.814733333,110.1112
192.09,95.1176390476,78.9308666667,100.235708333,88.4277333334,111.886866667,75.3773,128.867866667,102.8302,110.314466667,92.4215666667
192.47,86.5427238095,71.3864,92.2566250001,84.3658,103.362866667,69.6755000001,117.463133333,97.7877000001,103.5398,85.7818333334
192.85,85.2193028571,74.591,97.5628749999,84.4025333334,100.063,71.6980666667,116.918266667,101.1005,100.880466667,88.8051
193.23,88.6666123808,78.4242666667,98.75,87.9998666667,101.1514,78.9697666667,117.5758,103.696966667,102.0,95.1211666667
193.61,82.318284762,73.0232666667,89.76075,83.1009333333,92.5581333333,74.1860333333,109.198866667,97.9070000001,96.8476000001,91.0594333334
193.99,78.7941095238,72.336,87.3361666667,84.1994666667,92.1786,72.2571666667,110.971066666,97.7953333333,95.8005999999,86.8766666667
194.37,69.8819657143,65.662,77.254625,74.9314666667,79.4064666667,61.7808,98.6758000001,86.3013333333,81.9178000001,71.7579333333
194.75,64.8030171429,61.9901333333,71.8285,69.9502666667,75.9203333333,56.4178666667,97.9601333333,83.3830999999,80.2986,64.8258666667
195.13,59.9963571428,56.1692,66.69775,68.7561333333,69.6518666667,53.8805,94.9255333332,76.4427,76.6169999999,57.1642333333
195.51,55.3936361905,53.7888,63.4575416667,61.1181333333,62.1118,51.9047,84.8446666667,68.8614,68.0744666667,52.0702333333
195.89,56.4222533333,56.4756,63.9065833333,64.8832,62.8875333333,55.9449333333,86.0297333332,67.5159666667,69.9362666667,49.8302333333
196.27,59.0517561905,59.2735333334,65.785375,69.1452,65.0854,56.7308,88.7179333333,68.5256333333,72.4359333333,51.3460666667
196.65,61.1094333333,62.7338666667,68.8249583333,69.8800666667,65.5636,55.9232333333,91.3189333333,72.3499333333,73.7650666667,51.5347666667
197.03,56.8323238095,57.8261333333,60.4167083333,65.942,63.3332666667,47.9953333333,88.8890000001,66.9565666667,72.8984,46.8117
197.40,46.2793638095,49.1274666667,52.5727916667,57.4496666667,54.0045333333,36.4877,78.8368666666,56.8904666667,65.1901333333,35.5928666667
