wavelength,Back_SalGrom,Belly_SalGrom,Breast_SalGrom,Crissum_SalGrom,Crown_SalGrom,DorTail_SalGrom,Rump_SalGrom,Throat_SalGrom,WingTip_SalGrom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-6.6666666666,-151.666666667,6.66666666666,-36.6666666667,-63.3333333334,-20.0000000001,53.3333333335,-83.3333333332,-3.3333333334
179.16,68.8888666666,176.666866667,113.3334,46.6667999999,102.222266667,124.4444,106.666533333,186.666533333,75.5556666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,67.5,2.08333333334,21.6666666667,21.6666666667,50.8333333334,75.0,23.3333333333,14.1666666667,35.0
180.31,316.296266667,-164.444433333,143.7038,64.4445333332,162.963,225.185333333,73.3333333333,8.889,149.6296
180.69,291.6668,-81.1113,146.6666,96.6666666666,188.888933333,231.111066667,107.222333333,36.6665333333,169.444533333
181.07,394.0,-47.6666666668,198.0,135.333333333,252.0,320.0,144.0,84.6666666667,237.333333333
181.45,278.6666,2.44446666653,162.666666667,92.0000000001,184.0,237.777866667,129.333266667,92.4444666666,178.666666667
181.83,341.428533333,57.8573,223.809533333,125.714266667,230.000066667,310.0,209.999866667,150.4762,269.047733333
182.21,565.000000001,87.9166666668,390.833333333,167.5,352.5,499.166666667,341.666666667,267.5,465.0
182.59,447.878666667,99.0910000002,320.0,135.151533333,258.7878,391.5152,284.848333333,225.454533333,392.121066667
182.97,1464.44446667,301.111199999,1082.22226667,355.555666667,740.000066667,1242.22226667,877.777666667,735.555599999,1311.11113333
183.35,948.333333333,187.499999999,663.333333334,205.000000001,388.333333334,848.333333333,546.666666667,501.666666667,978.333333334
183.73,518.888933334,127.2222,342.2222,83.3332666668,167.777733334,507.777866667,325.555666667,260.0,614.444600001
184.11,-3193.33333333,-1173.33333333,-2413.33333333,-1040.0,-1400.0,-3406.66666667,-2126.66666667,-2046.66666667,-4340.0
184.49,413.333333333,205.416666667,324.166666667,163.333333333,167.5,448.333333333,293.333333333,291.666666666,580.833333332
184.87,365.925866667,230.740733333,322.2222,154.8148,134.814866667,398.518533333,296.296333333,286.666666667,562.963066666
185.25,344.666666667,210.0,294.666666667,136.0,137.333333333,352.0,258.666666667,256.0,518.0
185.63,576.666733333,381.666600001,514.444466667,231.111133333,247.777866666,612.222333334,435.5556,450.0,892.222266666
186.01,281.818066667,201.212066667,266.6666,112.1212,135.1516,319.999866667,233.939466667,232.727266667,464.242466667
186.39,220.444466667,185.777866667,210.666666667,128.4446,117.7778,258.6666,200.888866667,193.333333333,376.4444
186.77,161.176533333,148.039266666,154.509866667,74.1178666668,91.3724666667,214.5098,154.117733333,145.882333333,295.294066667
187.15,94.5098666667,100.3921,98.6273999999,57.6471333333,63.9215999999,133.725466667,103.333333333,94.5097333333,174.705933333
187.53,74.6406666667,81.6993666667,81.1764666665,51.1111333333,60.6535999999,106.1438,87.9738666666,76.7320666667,133.464
187.91,78.8360666667,81.5343333335,84.0211999999,57.0371333334,65.9260000001,103.809666667,87.8307333333,80.3173333333,126.349133333
188.29,65.8937333333,71.9324,70.4348000001,42.7053333333,54.5893333334,86.7633333335,77.9708666667,70.0482666667,110.821333333
188.67,52.0188,56.9953666666,57.7466,31.7372,41.2207333333,73.7090666667,66.3848666667,60.0,99.7183333333
189.05,54.6296,50.1851333334,53.889,32.1295333333,37.963,73.2406666667,63.6110666667,60.6482,93.9815333333
189.43,47.0174666667,47.3683000001,47.9824,30.965,34.3860666667,72.6314666666,59.0351333334,58.0702666667,89.2104666665
189.81,38.6146666667,41.6018,39.3074666667,27.619,29.1776,68.0518,50.7359333334,53.3333333333,84.5021333332
190.19,28.1904,36.6666000001,28.4762,20.8571333333,19.9049333333,66.7618,40.9524666666,50.7619333333,79.9047333333
190.57,15.5224,25.9203,18.2089333333,4.67666666666,14.6268,58.9054666667,31.0448,43.2835333333,68.8556666667
190.95,18.3908,33.8504666667,24.0230666666,12.6437333333,15.4024,68.6205999999,37.9309999999,54.8274666667,82.8736
191.33,-5.05046666668,25.0504000001,5.65653333314,-19.5958666668,-10.7068666667,75.5555999999,23.4343333333,57.5757333333,97.9797999999
191.71,-87.0833333333,-16.8750000001,-57.0833333334,-100.833333333,-93.3333333333,86.2499999998,-33.3333333332,44.9999999999,120.416666667
192.09,2973.33333333,1410.0,2493.33333333,3093.33333333,2866.66666667,120.0,1946.66666667,880.000000002,-506.666666668
192.47,850.000000001,389.166666667,668.333333333,844.999999999,836.666666667,73.3333333326,578.333333334,361.666666667,10.0
192.85,300.512933333,124.358866667,239.999933333,313.333266667,277.9488,48.7179333332,214.871733334,157.435866667,39.4870666666
193.23,211.884066667,92.7536666667,179.1306,221.449266667,192.173866667,66.3768,169.565066667,118.840533333,52.1738666666
193.61,203.733333333,90.2666666666,163.2,211.2,180.0,70.6666666665,152.8,106.4,46.1333333333
193.99,158.889,53.5553999999,126.2222,168.0,141.111066667,59.7778666667,116.666733333,73.1110666667,29.1110666667
194.37,138.8572,47.6190333333,109.904666667,148.0,121.904733333,71.0476,103.238066667,68.3809333334,30.4763333333
194.75,114.693933333,35.0340333334,85.5782666668,112.244866667,103.129133333,71.0204,83.9455333333,58.9114666667,34.83
195.13,125.306133333,39.2517999999,94.1496666667,123.1292,110.6122,90.7483999999,90.2039333334,72.9250666668,47.6189333333
195.51,175.6756,63.0631000001,133.693666667,166.666666667,154.954933333,125.225133333,123.243066667,96.2161333333,72.7928666667
195.89,139.4152,68.0116666666,112.397666667,135.321666667,134.502933333,110.292466667,106.549733333,88.3041333333,76.6082
196.27,131.640266667,69.8411999999,106.455,129.947133333,129.1004,103.174666667,102.645466667,81.0580666666,81.799
196.65,110.5164,59.2958999999,92.2066666667,112.77,108.9202,87.8873333332,87.2299999999,64.7886,70.9858666667
197.03,102.8948,57.5439666666,82.8947333333,102.894733333,100.526333333,84.1228000001,79.4736666666,55.2631333333,69.2981333333
197.40,114.333333333,67.75,88.8333333333,113.083333333,108.416666667,94.8333333333,88.3333333333,66.4166666667,82.5833333333
197.78,115.2382,72.2342333333,92.3809333333,111.941266667,112.0146,101.391866667,93.4066,73.4066,92.7473333333
198.16,118.074,78.9999666667,95.3333333333,117.481533333,117.925866667,105.629533333,97.2594,78.9629999999,99.7777333334
198.54,120.583333333,80.0416666667,95.0,120.166666667,123.0,107.583333333,99.0833333334,77.2500000001,102.25
198.92,132.169333333,91.5872999999,107.195733333,134.6032,144.127133333,114.814733333,109.206266667,82.7512,116.931133333
199.30,134.687466667,97.4479333333,111.562466667,137.083266667,151.1458,113.854066667,113.9582,81.4584000001,120.208266667
199.68,125.376466667,87.7957666667,107.742,133.763466667,142.688,106.559133333,107.527,74.3011333334,113.871066667
200.06,153.8096,99.1269999999,142.222133333,173.809466667,178.571466667,134.444266667,132.063466667,78.5712666667,146.3492
200.44,185.1428,121.523866667,172.952466667,197.714266667,212.380866667,165.142866666,157.714266667,102.8572,172.762
200.82,183.252066667,134.0651,171.8698,187.8048,212.1952,166.016266667,158.211466667,119.512133333,165.203266667
201.19,239.540266667,178.735733333,233.333333333,253.3334,299.0804,214.482866667,210.114933333,167.816,217.241466667
201.57,283.768133333,194.492766667,258.8404,285.5072,349.565333333,240.8696,227.826066667,182.029,243.1884
201.95,300.606133333,187.727366667,269.696933333,312.1212,358.1818,231.212066667,235.7576,183.3332,246.060533333
202.33,262.444466667,180.2222,233.111133333,273.777866667,296.000066667,203.777733333,204.222333333,175.777866667,217.999933333
202.71,259.191933333,191.515266667,236.363733333,272.121133334,291.7172,204.4446,205.0504,181.212,224.848466667
203.09,237.606733333,185.9829,219.487133333,251.965733333,258.8034,191.2822,190.598266667,165.641133333,209.914333333
203.47,204.933333333,167.266666667,189.066666667,214.933333333,209.2,166.933333333,166.8,145.733333333,184.0
203.85,186.358933333,156.307566667,168.923066667,188.923066666,184.923133333,156.718,150.8718,140.205066667,170.153933333
204.22,189.809466667,157.238133333,163.5238,188.762066667,183.999933334,158.0954,149.143,143.4286,170.571466667
204.60,184.144266667,152.3424,157.117133333,185.675666666,178.648733333,152.432466667,143.423466667,136.2162,161.982066667
204.98,174.2388,143.703633333,150.946333333,175.6378,166.502133333,145.349666667,139.5886,125.3498,152.757266667
205.36,170.148133333,139.5925,146.148266667,168.518466667,157.851866667,143.7778,137.111133333,121.925866667,153.111066667
205.74,162.499933333,138.854233333,143.6806,164.305466667,154.7916,141.180533333,136.389,121.5278,153.6806
206.12,161.347533333,143.545933333,144.397133333,164.1844,156.737466667,143.7588,135.389933333,122.4114,154.680933333
206.50,174.650066667,156.7079,160.5762,176.954866667,173.662533333,154.567933333,149.135733333,127.654333333,168.312666667
206.87,177.244466667,158.088833333,161.4222,181.0666,178.311,157.066666667,152.9778,128.977733333,169.7778
207.25,179.200066666,155.955733333,159.733333333,179.911133334,181.155533333,157.511133333,156.711066667,131.2888,170.3112
207.63,188.383933333,158.5354,163.232333333,190.202133333,193.333266667,163.8384,160.404066667,136.565666667,179.595866667
208.01,205.000066667,168.9286,176.547666667,209.881,215.595133333,175.5952,171.428533333,144.643066667,191.1904
208.39,182.9508,153.169366667,156.721333333,186.557333333,192.568333333,153.989066667,155.409733333,132.568333333,170.491733333
208.77,208.0,175.4,176.4,209.066666667,213.733333333,177.066666667,173.333333333,150.0,192.0
209.14,246.491133333,208.5965,202.280733333,244.386,253.684266667,206.140266667,195.965,177.894733333,234.035
209.52,199.545466667,166.212133333,159.090933333,193.484933333,209.090866667,163.181866666,156.666666667,142.2728,178.1818
209.90,222.9824,182.105266667,177.719333333,212.982666667,227.368466667,182.982466667,170.526133333,157.0174,186.315733333
210.28,261.8392,211.954133333,199.3104,245.057466667,263.678066667,213.333333333,194.253,179.310466667,210.5746
210.66,223.603733333,183.963933333,161.081133333,210.450466667,220.3602,184.504466667,160.360266667,157.297266667,187.5676
211.03,195.163533333,162.4183,150.3268,184.967333333,190.326666667,164.705866667,148.235333333,143.1372,167.058866667
211.41,205.442266667,166.9387,160.2722,193.741533333,198.639333333,175.782333333,153.7416,150.884333333,171.4284
211.79,267.809533333,225.999933333,218.285666667,253.904733333,264.761933333,231.0476,207.047533333,191.047466667,227.8096
212.17,301.149333334,260.0,245.0574,282.528666667,294.252733333,269.655066667,234.482733333,198.390866667,261.839066667
212.55,373.939466667,327.727133333,306.060466667,346.969666667,371.515133333,346.363666667,281.515266667,225.454466667,317.272733333
212.92,244.3138,225.3921,215.490333333,243.137333333,262.549,235.294,203.725533333,154.3138,220.5882
213.30,269.425266667,249.0804,249.655066667,280.459733333,297.4712,269.655266667,237.701133333,171.034533333,246.436733333
213.68,288.172133333,269.8926,278.2796,308.817266667,306.4516,292.258066667,261.290266667,201.7206,275.2688
214.06,236.984066667,224.920766667,221.1112,250.000066667,246.349333333,232.857,212.6984,164.761933333,222.5398
214.44,190.222266667,178.722133333,176.110933333,199.3334,192.777733333,185.7778,169.111266667,135.8888,182.1112
214.81,203.846133333,195.192233333,195.000066667,219.230866667,209.6154,203.205066667,188.205133333,149.102666667,199.102533334
215.19,286.060533333,273.131366667,269.697,315.353666667,299.596,282.828266667,259.191933333,209.292933333,278.989866667
215.57,349.444466667,339.166766667,325.0,401.666733334,368.888933333,347.499933333,311.944533333,257.5,345.8332
215.95,265.294266667,257.156833333,239.6078,305.8824,284.509733333,264.9018,239.019533333,214.901866667,257.058866667
216.32,221.363666667,211.9697,196.212133333,247.2728,226.6666,215.909133333,200.757533333,189.697,210.908933333
216.70,320.7406,301.358033333,270.370333333,359.999933333,325.4322,309.629666667,288.642133333,278.0246,307.1604
217.08,1144.762,1004.7617,894.285666668,1231.42853333,1124.7618,1099.0476,1009.52386667,940.000066666,1070.4762
217.46,2668.88893333,2298.88886667,2057.77773333,2891.1112,2668.88886667,2504.4444,2302.22226667,2035.55553334,2542.2222
217.83,-933.333333333,-756.249999999,-680.833333333,-976.666666667,-940.833333333,-827.500000001,-784.166666667,-640.0,-891.666666666
218.21,-291.1112,-237.916633333,-216.388933333,-304.166666667,-309.722133333,-264.166666667,-254.166733333,-199.444533333,-287.222266667
218.59,-146.9842,-120.873033333,-106.6668,-151.111,-163.492,-131.745933333,-129.6826,-94.6031333334,-141.269933333
218.97,-170.081266667,-137.479733333,-128.129933333,-160.813066667,-178.536533333,-148.943066667,-142.2764,-109.268333333,-154.308866667
219.34,-248.75,-207.604166667,-199.791666667,-228.541666667,-260.625,-231.041666667,-211.25,-169.166666667,-234.583333333
219.72,-290.6668,-255.6667,-252.888933333,-267.333266667,-308.444533334,-281.555533333,-241.777733333,-200.222266667,-282.666533333
220.10,-240.4042,-217.878833333,-215.353533333,-212.121133333,-255.959533333,-234.1414,-195.1514,-150.3032,-233.939333333
220.47,-146.944466667,-129.722233333,-135.555666666,-129.166666667,-167.638866666,-140.277733333,-116.666533333,-87.2222,-142.083333333
220.85,-224.0404,-207.979833333,-229.494866667,-207.2726,-270.909133333,-216.767666667,-195.5554,-140.606,-231.919133333
221.23,-337.681133333,-327.536233333,-349.855,-328.695533333,-418.5508,-332.4638,-297.681133333,-233.043466666,-362.319
221.61,-215.740866667,-204.1666,-213.889,-198.7036,-255.555533333,-209.4444,-187.962933333,-145.0,-219.4444
221.98,-219.596,-219.393933333,-218.787933333,-205.050466667,-259.192,-214.343333333,-187.4748,-148.080866667,-215.555533333
222.36,-174.117666667,-174.4119,-176.078466667,-172.353,-210.784333333,-169.803866667,-151.764666667,-113.725466667,-177.843266667
222.74,-137.117066667,-130.270266667,-140.540666667,-131.892,-170.450466667,-135.855866667,-121.6216,-80.3603333333,-143.7838
223.11,-99.1452666667,-92.5640333333,-96.5812666667,-89.2307333332,-131.623866667,-96.0683333334,-96.0684000001,-47.3503999999,-106.837533333
223.49,-104.583333333,-101.354166667,-93.3333333334,-90.625,-142.291666667,-89.1666666667,-103.125,-38.5416666667,-107.916666667
223.87,-170.877133333,-167.5439,-139.298133333,-144.561466667,-219.298333333,-136.842133333,-193.333266667,-62.4560666666,-168.421066667
224.24,-273.8462,-253.333533333,-207.692266667,-221.538333333,-345.641066667,-219.487133333,-303.076933333,-118.974333333,-268.205133334
224.62,-1355.55566667,-1287.77766667,-1015.55566667,-1100.0,-1564.44453333,-1135.5556,-1488.88906667,-602.222200001,-1306.6666
225.00,-520.833333333,-452.083333333,-383.333333334,-414.166666667,-515.833333333,-455.833333333,-564.166666667,-241.666666667,-496.666666667
225.38,-253.333333333,-200.000066667,-185.7778,-194.222266667,-222.666666667,-193.777866667,-248.000066667,-76.8889333331,-228.888866667
225.75,-873.333333334,-710.000000001,-716.000000001,-724.0,-803.999999999,-685.333333333,-833.333333332,-394.666666667,-828.0
226.13,-226.296266667,-169.074066667,-192.963,-193.333333333,-208.888733333,-195.185133333,-229.259266667,-97.7777999999,-217.037
226.51,-198.412733333,-138.095166667,-178.730066666,-148.5714,-176.508,-165.396933333,-184.127,-77.1427333332,-183.492066667
226.88,-135.000066667,-94.2856333333,-128.095266667,-102.381,-109.7618,-103.5714,-127.857066667,-53.5713333333,-123.3334
227.26,-93.0303999999,-64.7727666667,-87.7274000001,-82.1212666666,-79.8485333333,-71.2121333333,-82.8786666668,-43.0302,-86.8182000001
227.64,-50.6666,-31.6445333333,-51.1998666667,-46.3999333333,-40.3556,-36.1778,-44.7999333333,-20.8000666667,-49.7778
228.01,-24.4444,-8.09933333334,-25.0876,-19.8244666667,-16.7837333333,-10.2924666667,-17.8364,-2.80706666668,-22.5731333333
228.39,-11.4287333333,2.11179999999,-11.9669333333,-8.73720000001,-4.01666666667,1.20086666667,-6.79100000001,5.67293333333,-9.35826666667
