wavelength,Back_TanFlom,Belly_TanFlom,Breast_TanFlom,Crissum_TanFlom,Crown_TanFlom,DorTail_TanFlom,Patch10_TanFlom,Patch11_TanFlom,Patch12_TanFlom,Rump_TanFlom,Throat_TanFlom,WingTip_TanFlom
191.71,-110.452740741,-166.913555556,-159.753,-129.629666667,-145.185111111,-189.661898551,-216.790111111,-201.975333334,-242.716111111,-236.296333333,-250.370444444,-203.9505
192.09,-67.0859629629,-116.352111111,-108.176111111,-74.2137777777,-97.2746666667,-137.015647343,-160.377222222,-143.186666667,-179.245222222,-176.729444445,-182.809111111,-144.234888889
192.47,-59.779111111,-99.0253333331,-92.9823333333,-59.0643333333,-85.9648888888,-122.298497585,-145.224222222,-126.510777778,-163.353,-148.732888889,-161.793222222,-120.272722222
192.85,-48.2657407408,-77.954,-70.8993333332,-43.5625555555,-71.9576666668,-102.852434782,-119.576777778,-103.703666667,-142.151555556,-129.805888889,-137.037222222,-97.3544444446
193.23,-44.5768518519,-66.8648888889,-65.2777777777,-40.6745555556,-73.4125555555,-107.513869565,-123.015777778,-112.897111111,-154.960444444,-133.531777778,-136.111222222,-92.8571111111
193.61,-60.3059629631,-93.9613333335,-84.5411111112,-66.1835555555,-100.724777778,-135.255120773,-150.724666667,-149.033888889,-199.758333334,-174.637555556,-172.705333333,-115.821444444
193.99,-44.0882962962,-78.4186666667,-64.1026666668,-56.4101111111,-79.4872222221,-112.987826087,-120.299333333,-117.948888889,-166.666666666,-150.213555556,-145.726444445,-97.5428333333
194.37,-28.8148148148,-52.6666666666,-47.5555555554,-34.4444444445,-53.7777777779,-83.2753623187,-104.444444444,-88.6666666667,-141.555555556,-139.555555555,-132.444444444,-70.5555555556
194.75,-43.1796666666,-60.7047777778,-63.9566666666,-58.5365555556,-75.8807777777,-109.838512077,-139.837333333,-98.644888889,-183.198,-170.460777778,-179.132666666,-104.606888889
195.13,-32.5282222222,-28.0193333333,-42.9952222222,-33.0917777778,-63.5265555557,-83.9635024156,-112.801888889,-84.540888889,-148.309111111,-137.922777778,-151.690777778,-88.1642222222
195.51,-34.1214074074,-26.7138888889,-44.2081111111,-25.532,-60.5201111112,-69.8428357488,-109.692555556,-73.7587777778,-133.097,-119.621777778,-131.914888889,-80.9691666667
