wavelength,Back_ThrAbbf,Belly_ThrAbbf,Breast_ThrAbbf,Crissum_ThrAbbf,Crown_ThrAbbf,DorTail_ThrAbbf,Patch10_ThrAbbf,Patch11_ThrAbbf,Patch12_ThrAbbf,Rump_ThrAbbf,Throat_ThrAbbf,WingTip_ThrAbbf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,34.8484166667,63.6363333333,55.3028333333,44.6970416667,70.4545833334,34.8484166667,57.5758333333,73.4848333333,25.7575,51.7316428571,36.3635416667,77.2728333332
179.16,41.6666666666,188.888833333,138.888916667,138.888791667,194.444416667,136.111166667,125.000083333,200.0,122.222416667,152.381059524,218.05525,180.5555
179.54,52.3810833334,8.33333333333,-4.762,11.3095416667,4.76191666667,16.6665,46.4285833333,-24.9999166667,2.38075,2.38108333335,1.19029166667,9.52391666667
179.93,12.037,14.8149166667,43.5185000001,43.9814583333,48.1481666667,39.8149166667,37.9630000001,55.5554166667,50.9258333334,52.1163809523,21.2962916667,58.3333333333
180.31,-107.79575,-5.914,-36.5591666667,-58.7365,-6.72041666675,-69.3549166667,-68.8173333334,62.3656666667,-1.88183333332,-16.3211666667,-34.0052083333,-40.3226666667
180.69,-131.944416667,-17.5000833333,-58.6111666666,-84.4445416667,-16.9443333335,-90.0001666668,-92.5000833334,59.4444166667,-14.1667500001,-34.5238809523,-55.5556666667,-61.6665833333
181.07,-292.129583333,-127.314833334,-171.75925,-221.990708333,-124.07425,-234.259333333,-249.074,2.77799999993,-103.240666667,-127.248547619,-173.379541666,-204.166833333
181.45,-465.476166667,-272.619,-313.690416667,-380.952333334,-276.1905,-397.61925,-404.166666666,-94.6428333333,-228.571416667,-279.506833334,-340.178666667,-378.571416667
181.83,-793.333333334,-517.5,-616.666666666,-672.916666667,-516.666666667,-688.333333333,-711.666666667,-240.833333333,-468.333333333,-550.238095238,-612.5,-682.5
182.21,2880.55558333,2019.44441667,2319.44458334,2531.94433334,1969.4445,2608.33325,2738.889,1113.88883333,1891.66666667,2205.55553571,2274.99995833,2605.5555
182.59,676.388916666,475.0,554.861166668,592.708416667,443.749833333,612.5,690.972083333,243.0555,434.02775,503.571464286,532.291791667,625.694416667
182.97,471.078416667,354.901833334,382.843083333,396.078458333,283.333333333,400.490333334,488.23525,156.372333333,285.294083333,347.338892857,368.627416667,424.509916667
183.35,465.277833333,384.72225,385.648166667,406.9445,299.999916667,390.740916666,484.722166667,190.27775,305.092583333,351.388857143,357.407333333,446.75925
183.73,277.298916667,244.540083333,228.16075,243.9655,183.908166666,241.66675,286.78175,122.701083333,196.839,224.219964286,216.810333333,267.81625
184.11,230.392083334,219.607916666,183.333333333,205.637166667,165.686166667,210.539166666,243.872416667,112.990166666,177.696166667,189.250714286,189.460583333,220.588333334
184.49,208.333333333,207.207083333,160.5855,191.666458333,152.252333334,186.937083333,226.801666667,109.009083333,158.783833333,163.191892857,180.630625,194.14425
184.87,165.941833333,179.166583333,129.710083333,150.815375,129.710083333,159.963583333,189.311666667,98.9129999999,134.239166667,131.573535714,158.60525,159.057916667
185.25,173.6435,186.240333333,138.565916667,152.616333333,131.201666667,162.790666667,192.635666667,98.4495833334,125.581333333,139.894845238,159.302208334,161.628
185.63,192.948666667,217.948666667,160.256166667,181.944416667,148.50425,186.965833334,223.29075,123.50425,137.393,160.805880952,177.671,186.966
186.01,177.5,213.958333333,148.125,183.229166667,149.375,183.125,206.458333333,129.583333333,122.5,148.839285714,175.416666667,179.166666667
186.39,204.861,243.0555,178.00925,213.310291667,181.9445,220.601833333,231.944333333,154.398166667,142.361166667,172.089916667,203.703791666,210.648166667
186.77,206.981916667,252.702583334,181.30625,218.581,196.847,227.252333333,232.207166667,169.81975,150.450583333,190.733642857,213.96425,209.459416667
187.15,175.20325,211.382166667,154.268166667,186.585541667,176.625916666,203.252083333,196.341333333,155.2845,133.94325,159.552833333,184.146291667,183.943
187.53,135.8975,168.910333333,124.359,148.95825,141.826833333,166.826916667,155.288416667,130.608833333,101.602583333,129.968011905,158.413416666,142.948666667
187.91,119.531083334,155.59875,114.322916667,134.635458333,130.338416667,147.395666667,141.275916667,114.973916666,92.5780833333,116.09,143.098916667,127.994833333
188.29,126.851833333,157.0105,121.4285,135.91275,133.994666667,151.455,146.03175,117.9895,88.3596666666,125.718107143,146.428583333,135.8465
188.67,122.387916667,154.477666667,125.0,135.385666666,133.084666667,148.631833333,138.930416667,116.04475,92.2885,127.185404762,140.858416667,139.17925
189.05,124.751333333,151.492583333,126.99,133.519875,132.214,141.915333333,131.965333333,115.2985,81.7164166667,133.884083333,132.338166667,135.820833333
189.43,101.712333333,124.315083333,103.196416667,113.241916667,108.447583333,114.383666667,106.621166667,92.6940833333,60.6164166667,114.220559524,114.440625,113.812833333
189.81,76.8889166667,99.111,82.3333333333,86.6666666668,92.7778333333,87.4443333333,84.9999166667,70.5554999998,39.1111666666,94.9206071429,100.944375,92.2221666666
190.19,61.2938333333,86.0745,74.34225,71.8749583333,81.2500833333,74.6709166667,76.5350833333,61.2937500001,31.3595833333,88.0797142857,92.3792500001,80.0439166667
190.57,50.66275,75.4733333334,63.6363333333,64.157375,68.0871666666,58.2386666667,63.3520833333,50.1893333333,20.4547499998,75.0810833333,79.8769166666,67.1401666667
190.95,42.36125,68.4028333333,58.6805,60.59025,61.5450833332,50.9548333334,57.2918333333,45.6596666667,15.10425,69.3327857143,73.3507083333,64.0624999999
191.33,40.1850833333,73.3333333333,59.7221666666,65.6945,62.963,52.0370833333,57.1298333333,44.9073333333,13.4260833333,73.3995357142,74.3981666667,66.1110833334
191.71,35.0694166667,66.5798333333,56.2500833333,58.2030833333,58.4201666667,45.6598333334,50.86825,37.2395833333,11.7188333333,69.0229642858,69.4010833333,59.4615833334
192.09,21.28525,57.0281666667,49.39775,47.6405833333,52.1084166667,37.3494166667,38.3535,30.7228333333,-4.11658333325,66.8962738095,67.921625,54.7189166667
