wavelength,Back_ThrOrnf,Belly_ThrOrnf,Breast_ThrOrnf,Crissum_ThrOrnf,Crown_ThrOrnf,DorTail_ThrOrnf,Patch10_ThrOrnf,Patch11_ThrOrnf,Rump_ThrOrnf,Throat_ThrOrnf,WingTip_ThrOrnf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,63.2851111111,62.802,50.2414444444,66.1836666667,56.5217777778,65.2174444445,61.8358888889,61.3526666667,49.7585555556,68.116,63.768
179.16,122.222222222,644.444444446,-66.666666667,-455.555555556,100.0,88.888888889,233.333333333,-344.444444444,-66.6666666663,-188.888888889,55.5555555553
179.54,-76.1904444445,-71.4286666667,-134.920666666,-98.4127777778,-60.3174444444,-90.4762222222,-77.7777777777,-125.396666667,-123.809555556,-144.444555556,-119.047666667
179.93,138.888888889,166.666666667,236.111111111,113.888888889,219.444444445,80.5555555554,177.777777778,158.333333333,138.888888889,161.111111111,166.666666667
180.31,78.8360000001,116.402,39.1534444444,24.8677777778,107.936555555,88.8888888887,69.3121111112,22.7514444443,17.9894444442,31.7461111111,47.6191111109
180.69,75.8453333333,115.942,52.1737777776,38.164,108.212555556,96.1354444443,80.6763333332,27.536111111,33.8163333332,35.2657777776,59.9034444443
181.07,-74.3589999999,-148.718,-92.3076666667,31.623888889,-136.752222222,-94.8716666667,-88.8886666666,55.5556666668,11.1113333334,11.9658888889,-28.2052222222
181.45,-1027.77777778,-1277.77777778,-1144.44444444,-722.222222222,-1505.55555556,-1450.0,-1116.66666667,-222.222222222,-538.888888889,-777.777777778,-688.88888889
181.83,-78.2222222221,-103.111111111,-110.666666667,-56.0,-131.111111111,-135.111111111,-100.444444444,-48.8888888888,-80.8888888888,-74.6666666668,-69.777777778
182.21,-30.6305555555,-33.0332222222,-41.1412222221,-19.2192222222,-63.3633333333,-81.3814444443,-32.7327777779,-7.20711111112,-46.8467777779,-19.2192222222,-21.021
182.59,-98.2638888889,-69.7916666666,-81.25,-65.625,-115.972222222,-133.333333333,-70.8333333333,-52.7777777777,-105.902777778,-60.7638888888,-60.0694444444
182.97,-72.6982222222,-46.9842222223,-71.4284444444,-44.4443333334,-108.254111111,-121.587333333,-64.7617777779,-44.1272222223,-106.349333333,-68.5714444445,-46.6666666668
183.35,-203.888888889,-165.555555556,-193.333333333,-166.666666667,-265.0,-283.888888889,-205.555555555,-146.666666667,-270.555555556,-186.666666667,-160.555555556
183.73,-799.999888889,-709.523666667,-788.88888889,-882.539444446,-980.952444442,-1055.55555555,-825.396888888,-733.333222222,-1047.619,-822.222222222,-763.49188889
184.11,-509.259333333,-464.815,-500.0,-519.444444444,-594.444333333,-589.814888889,-499.074,-425.000111111,-607.407444444,-483.333333333,-451.852
184.49,-1162.963,-1035.18511111,-1142.59266667,-1214.81488889,-1446.29633333,-1329.62966667,-1175.926,-983.333444444,-1312.963,-1196.29633334,-1094.44422222
