wavelength,Back_SpoHycm,Belly_SpoHycm,Breast_SpoHycm,Crissum_SpoHycm,Crown_SpoHycm,DorTail_SpoHycm,Patch10_SpoHycm,Rump_SpoHycm,Throat_SpoHycm,WingTip_SpoHycm
229.14,38.8235,4.31383333334,12.941,21.6666666667,3.13716666667,41.7646666666,27.6468333333,38.2351666667,-35.8825,18.2353333334
229.52,34.7561666667,-0.203166666665,16.667,17.5811666667,2.0325,40.8538333333,23.7803333333,39.0241666667,-33.23125,18.2928333333
229.89,35.1403333334,3.8155,11.8473333334,19.8795833334,4.21666666667,47.1888333333,24.498,34.7388333333,-24.39775,15.8635
230.27,19.3548333334,-15.3225,-12.0965,7.25816666667,-4.57,43.2793333333,20.9676666667,35.7528333333,-40.72575,3.7635
230.65,-21.5686666667,-77.451,-75.4905,-38.4805,-61.2746666667,17.1568333334,-17.6471666667,16.6668333333,-125.73525,-65.1959999999
231.02,-70.6895,-137.356166667,-113.793,-109.195666667,-102.298833333,-24.1378333333,-64.9426666665,-12.6438333333,-180.17225,-106.8965
231.40,-28.5713333333,-117.619166667,-85.238,-61.6665833335,-57.1428333333,-13.3335,-32.381,-1.4285,-127.8575,-83.8098333335
231.78,-9.52383333332,-106.666666667,-85.7141666667,-36.4286666667,-31.9048333333,-3.80983333335,-23.3335,25.238,-101.4285,-82.8571666665
232.15,9.05800000001,-63.0435,-44.5655,-14.4925833333,4.71016666667,11.9565,-4.3478333333,39.8551666667,-63.04375,-40.2173333333
232.53,-3.90066666668,-65.6026666666,-35.8155,-12.41125,-8.8655,-2.482,-9.5746666667,35.8156666667,-68.617,-38.2976666667
232.90,-14.7618333333,-91.4286666669,-73.3336666667,-25.9521666667,2.3808333333,-18.0953333333,-23.8096666667,49.5238333333,-79.28575,-58.5715
233.28,-25.3621666667,-149.275333333,-162.318666667,-62.6809166665,-19.5651666667,-59.4205,-58.6956666669,34.058,-117.391,-103.623166666
233.66,-87.4999999998,-466.666666667,-541.666666666,-248.958333334,-104.166666666,-214.583333333,-202.083333333,68.75,-378.125,-256.25
234.03,416.666666667,1195.83333333,1329.16666666,622.916666665,279.166666667,583.333333333,479.166666667,-120.833333334,943.75,550.0
234.41,-49.9999999999,-331.666666666,-355.0,-196.666666666,-30.0,-188.333333334,-151.666666667,93.3333333332,-345.0,-153.333333333
234.78,22.4808333333,-34.1085,-51.5501666667,-9.3025,37.9843333333,-19.7675,4.65116666665,55.4263333334,-38.37225,8.13949999999
235.16,18.421,-61.842,-70.614,-13.5965833333,35.965,-35.9648333334,-1.7545,43.421,-67.76325,-19.7368333333
235.54,14.6465,-68.182,-72.7271666667,-10.8586666667,48.4848333333,-33.8381666666,-5.0505,40.9091666666,-92.4245,-17.172
235.91,10.3603333333,-45.4953333333,-54.9548333333,-12.61275,43.2431666666,-14.4145,5.85583333335,32.4323333333,-81.08125,8.1083333333
236.29,-7.7776666667,-79.9998333331,-106.111333333,-46.111,13.3335,-54.9998333333,-25.5555,3.33316666665,-124.16675,-35.5555
236.66,16.0491666667,-83.3335000001,-116.666666666,-46.9134166667,21.605,-61.111,-19.753,0.0,-91.66675,-30.2468333333
237.04,34.0741666667,-24.8146666666,-37.7778333334,-3.70375,16.6666666667,-8.889,7.40733333335,23.7036666667,-24.44425,10.0
237.41,33.6805,-12.5,-13.5418333333,6.25,6.59733333335,-2.4305,6.59733333334,35.4166666667,-11.4585,14.5831666667
237.79,26.4838333333,10.0456666667,-1.14183333335,9.70333333335,14.3836666667,5.93633333333,7.07783333333,23.7443333333,5.137,17.8083333333
238.17,26.4026666667,17.6568333333,9.24066666666,16.8315,15.1815,4.29033333335,6.60066666667,16.3366666667,6.68325,20.792
238.54,20.5975,8.17616666665,3.931,10.1414166666,8.64766666668,-5.503,3.61633333334,8.96216666667,-2.5945,16.5093333333
238.92,19.9313333334,-0.172,-3.60833333333,3.26441666665,2.92083333333,-15.9793333333,-3.78,1.20283333335,-14.43275,9.62199999998
239.29,17.6283333333,5.9295,1.76266666666,4.56733333334,-1.4425,-12.1793333333,-3.045,3.52566666666,-9.856,13.782
