wavelength,Back_TacCorm,Belly_TacCorm,Breast_TacCorm,Crissum_TacCorm,Crown_TacCorm,DorTail_TacCorm,Patch10_TacCorm,Rump_TacCorm,Throat_TacCorm,WingTip_TacCorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,70.3703333333,64.4444000001,22.963,78.5184000001,63.7037333333,103.7036,40.8333333333,82.9629999999,72.5926000001,54.0740666667
179.16,79.3333333333,88.0,51.3333333334,117.333333333,78.6666666666,107.333333333,8.57133333334,88.6666666667,90.6666666667,93.3333333333
179.54,66.6666,66.1110000001,33.3333333333,75.5555333333,58.3332666667,76.6666999999,-79.9998666667,38.3334,69.9999333333,72.2220666667
179.93,49.3333333333,70.6666666667,12.0,71.3333333333,30.0,41.6666666667,37.3332,48.6666666667,36.0,42.0
180.31,58.983,65.4238,43.8418,79.7175333333,50.5084666667,72.6837666667,36.2199333333,60.3954666667,58.644,60.2823333333
180.69,57.9365333333,66.1904666667,43.7036666667,77.4602666667,47.8836,70.7407666667,39.6226666667,58.6773999999,57.7778,60.2645999999
181.07,58.2933333333,70.0266666666,45.3866666667,77.92,46.3466666667,71.04,35.9838666667,58.1866666667,57.8133333333,62.9333333333
181.45,60.3389333333,72.2033333333,48.3616666667,80.8475333333,49.0959333333,70.4802666667,36.508,59.6609333334,57.4011333333,64.9716
181.83,60.5509333334,74.1598666667,52.6721333333,82.5893999999,50.5233333333,72.8649,47.8548,64.3526,57.3004,64.6280666666
182.21,67.534,81.5176,62.6559333333,90.5149333333,58.1572,80.7588,50.1558666667,73.5502666667,65.3116,71.3279333334
182.59,68.2644,84.2974000001,62.6996666667,92.3967333335,61.2121333333,81.2121666666,56.0683333333,75.2616666666,66.4462666667,72.1763333333
182.97,72.1712,90.5809999999,70.4587333333,104.4648,68.1956666667,85.7187333333,53.9535333333,86.9725333333,74.6788,78.899
183.35,69.5873333333,82.9205333333,68.4446,101.079466667,64.4444,79.0158666667,52.4934,82.6665333333,68.5713333333,75.4921333334
183.73,74.7572,86.6666666668,74.6278000001,106.2782,70.4207333333,82.7509,54.3169333333,87.6375333334,73.9158000001,81.7475333333
184.11,80.6490666667,86.5487999999,76.4012,106.9026,74.3364,85.8112333333,57.3670666667,88.9676000001,80.0589333333,87.3748
184.49,79.7076000001,83.2163999999,71.2867333334,104.268933333,72.2222666667,78.3916666667,56.3277333333,82.5729999999,76.3156666666,84.6197333332
