wavelength,Back_ParCorf,Belly_ParCorf,Breast_ParCorf,Crissum_ParCorf,Crown_ParCorf,DorTail_ParCorf,Rump_ParCorf,Throat_ParCorf,WingTip_ParCorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,40.6060666667,51.5150666667,67.2726666666,39.3939333333,27.8788666667,73.9394,69.0908666666,22.4242666667,43.0304
179.16,20.0,126.666666667,96.6666666667,-186.666666667,-146.666666667,96.6666666666,53.3333333333,-10.0,-3.33333333328
179.54,120.0,-193.333333333,-143.333333333,206.666666667,140.0,-11.6666666666,106.666666667,56.6666666669,83.3333333333
179.93,20.0,6.66666666666,57.7777999999,-56.6666,-8.88879999998,33.3334,-17.7778666667,-43.3334,-26.6667333333
180.31,19.271,24.8959333333,45.4169333334,-34.2708,-21.0416,36.8752,16.6668,-19.2708,8.33340000001
180.69,20.404,28.1817333333,48.586,-37.4748,-20.8080666667,37.0706333333,16.0606,-23.2323333333,5.55553333333
181.07,15.7212666667,26.6666,45.9701999999,-39.9004666667,-21.592,30.6964666667,9.85073333334,-28.4577333333,-1.49253333331
181.45,1.14933333332,15.6322,37.2414666667,-54.0228666667,-33.908,22.069,-1.83913333332,-47.5861999999,-16.6666666667
181.83,9.99993333334,14.4761333333,39.1428,-31.9047333333,-20.4761333333,29.7618,9.71426666665,-30.9523999999,-0.476133333333
182.21,3.4922,15.5555333333,37.0371333334,-36.2962666667,-23.2802666667,28.4655333333,9.52380000001,-33.4391333334,0.4232
182.59,-49.2306,-3.8461333334,28.4615333332,-116.923066667,-82.0511333332,16.7948666667,-26.9231333333,-122.564066667,-45.6409333333
182.97,-171.111066667,-74.2222666665,-15.5554666667,-246.666666667,-164.444533333,-44.8888333334,-102.222266667,-239.555666667,-125.333266667
183.35,728.333333333,478.333333334,168.333333334,950.0,610.000000001,230.833333333,438.333333333,838.333333333,546.666666667
183.73,-306.666733333,-179.999866667,-22.9629333333,-379.259266667,-175.5556,-70.7407333333,-160.740733333,-334.074,-211.851866667
184.11,-146.274533333,-73.3331999998,-0.39206666666,-167.451,-61.5687999999,-31.9608666668,-77.6470000001,-154.509866667,-121.176533333
184.49,-243.333333333,-148.571466667,-100.000066667,-250.9524,-129.999933333,-88.3331666667,-152.381066667,-247.1428,-240.952333333
184.87,-909.333333333,-674.666666666,-497.333333333,-862.666666667,-577.333333334,-385.333333334,-579.999999999,-822.666666668,-878.666666666
185.25,588.148266665,468.148266667,369.629599999,563.703733333,368.148133333,318.148166667,406.6666,498.518466666,534.8148
185.63,-988.333333334,-788.333333334,-558.333333334,-988.333333333,-535.0,-473.333333334,-629.999999999,-901.666666667,-883.333333333
186.01,-4533.33333333,-3540.0,-3180.0,-4280.0,-2226.66666667,-2913.33333333,-3273.33333334,-4493.33333333,-4660.0
186.39,-5273.33333333,-4366.66666667,-4106.66666668,-4846.66666667,-2860.0,-3666.66666667,-4240.0,-5220.0,-5633.33333333
186.77,-150.512933333,-131.0256,-114.358933333,-137.435933333,-70.5128000001,-98.7178333334,-113.846066667,-158.717933333,-187.179466667
187.15,-36.8708000001,-32.6530666667,-22.9932666667,-33.7415333333,-6.12253333332,-15.7141666667,-25.034,-53.3332666667,-67.3468666667
187.53,-10.9744,-2.56420000001,-5.53846666668,-7.17946666666,9.74353333335,-0.25636666666,-6.46153333332,-26.2564,-35.3846666666
187.91,-7.58980000001,0.205333333334,-3.69226666666,-3.89746666666,9.12819999999,6.66666600008e-05,-6.87186666666,-24.9230666666,-33.9488666667
188.29,-28.5896666666,-13.3334,-20.2563333335,-7.4358666666,2.82033333333,-13.5256666667,-21.4102666667,-42.1796000001,-49.7436
188.67,-44.6969333334,-27.1211333333,-34.0907999999,-10.1515333333,-9.2424666666,-29.4696333333,-40.9092,-65.4545333333,-68.0302666667
189.05,-44.4444666667,-25.8332666667,-42.2221999999,-1.25006666666,-6.94440000008,-40.5557,-44.8611333333,-67.7778666666,-68.0556000001
189.43,-38.9090666668,-23.5151333333,-40.2424000001,7.51513333348,-5.33326666666,-36.3636666666,-47.2726,-59.7575333333,-59.5151333333
189.81,-60.1308000001,-49.8040000001,-62.7450666666,-6.53593333338,-21.3071333334,-62.5490666665,-72.6796666667,-78.3006000001,-79.7384666667
190.19,-47.1429333333,-40.4761999999,-49.1666666665,4.52380000006,-10.1189999999,-55.3571333333,-57.8572,-63.3334000001,-59.8808666667
190.57,-26.7709333333,-25.9376,-34.1668666667,20.3122666666,3.6456,-41.3543666667,-38.9585333333,-47.6042666666,-42.1878666667
190.95,-40.2299333333,-30.8046666667,-45.7471333334,16.5517999999,-2.75866666666,-50.4022333333,-54.1378666667,-63.2184666667,-45.2873333334
191.33,-169.0322,-134.623533333,-181.505466666,-58.4946666667,-84.9464,-177.3119,-193.548333333,-204.086,-167.7418
191.71,-427.8432,-339.607933333,-428.2352,-193.725533333,-263.529266667,-438.039233333,-448.627466667,-471.764733333,-409.019666667
192.09,-448.235266667,-313.7256,-445.098199999,-163.137266667,-239.6078,-438.039166667,-424.3138,-456.4706,-390.588266667
192.47,-401.052666667,-260.7016,-407.3684,-162.1052,-234.736933334,-411.2281,-392.9824,-412.9826,-342.8068
192.85,-779.333333333,-491.333333333,-799.333333333,-290.666666667,-430.0,-816.333333333,-768.666666665,-785.333333333,-627.333333333
193.23,-927.500000001,-573.333333333,-944.999999999,-305.833333334,-478.333333334,-972.083333334,-909.166666667,-920.833333332,-662.5
193.61,-1160.00013333,-789.5238,-1191.4286,-442.857133333,-666.6666,-1229.04763333,-1100.0,-1135.2382,-872.380933334
193.99,-1925.0,-1161.66666667,-1956.66666667,-451.666666666,-1011.66666667,-1923.33333333,-1791.66666667,-1816.66666667,-1366.66666667
194.37,1095.83333333,733.333333333,1127.5,380.833333333,671.666666666,1087.08333333,1043.33333333,1009.16666667,837.5
