wavelength,Back_CneRubf,Belly_CneRubf,Breast_CneRubf,Crissum_CneRubf,Crown_CneRubf,DorTail_CneRubf,Rump_CneRubf,Throat_CneRubf,WingTip_CneRubf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,17.8472222222,7.08333333333,27.7083333333,20.8333333333,30.0,14.1666666667,3.43137254903,15.8333333333,26.25
179.16,274.444444445,240.0,190.0,331.666666667,346.666666667,396.666666667,356.078431373,280.0,336.666666667
179.54,92.2222222221,253.333333333,216.666666667,260.0,420.0,533.333333333,347.450980392,366.666666667,346.666666667
179.93,-147.5,-110.0,-73.3333333333,-60.8333333333,-74.9999999999,-24.9999999999,-87.6470588235,-103.333333333,-113.333333333
180.31,59.1111111112,101.333333333,151.333333333,127.666666667,134.333333333,223.333333333,159.745098039,104.0,83.0000000001
180.69,52.3333333334,111.666666667,167.5,129.166666667,140.666666667,241.0,172.117647059,97.0000000001,86.6666666666
181.07,29.6010444444,48.0340666667,91.1111666667,72.0513333333,77.0940666666,124.444466667,80.2213372548,41.5384,45.8119333333
181.45,33.7447222222,51.7283333333,82.0987666667,66.4197666667,61.1112666667,101.2346,70.1524196079,44.074,45.9259333333
181.83,35.8666666667,54.5333333333,87.2666666665,66.0666666665,58.5333333333,107.733333333,71.968627451,39.4666666667,51.2
182.21,35.2923222222,58.0702666666,101.315766666,68.3334666666,61.7544,116.140333333,81.8678470587,35.614,47.3683999999
182.59,25.9047777778,44.7618666666,91.5239,72.1904666666,49.9047333333,106.666733333,73.5238352941,31.8095333334,39.0476
182.97,8.72426666667,31.6049999999,87.5308999999,59.0122000001,54.5677999999,108.642,65.7951215687,27.1604666667,28.3950666667
183.35,13.0341222223,37.1793999999,85.2562666667,54.9999999999,57.436,115.128133333,64.1025568627,8.20500000006,19.4871333333
183.73,14.5958777778,32.1212000001,73.6362333333,61.5150333334,57.2728666667,111.515066667,68.6808784313,-6.36366666675,1.81813333341
184.11,18.6167555556,18.7755333333,44.3536666667,43.9457,34.5578666667,46.8027333333,46.538517647,-0.40806666668,9.79593333331
184.49,23.0676777778,16.2318,49.0580333333,55.4348000001,33.3334,50.8695333333,48.959890196,-1.0146,11.7391333333
184.87,24.0136222222,11.5645333333,36.7348,53.6052666666,29.3878666667,36.8708,38.6874431373,5.57819999999,5.85026666672
185.25,-14.3055555555,-22.4999999999,3.95833333336,36.7708333333,-6.45833333335,3.75,18.5049019608,-36.6666666667,-34.3749999999
185.63,-204.629666666,-270.5554,-174.1668,-59.7221666666,-181.1112,-187.222066667,-141.699380392,-269.999933333,-289.4444
186.01,-115.925922222,-148.889,-106.111033333,-22.9166333333,-103.888866667,-114.166733333,-85.2778,-151.666533333,-180.5556
186.39,-83.9464444445,-120.689666667,-90.6898000001,-4.4827,-82.9884666667,-85.2873999999,-74.8478313725,-113.793066667,-145.287266667
186.77,-722.777688888,-879.999933334,-791.111033334,-303.888966667,-721.111200001,-762.2222,-693.529407843,-863.333399999,-1007.7776
187.15,-257.450933333,-303.921533333,-302.745133333,-109.215633333,-286.666666667,-290.588266667,-270.703619608,-339.2156,-377.647066667
187.53,-249.084933333,-270.5882,-321.7647,-128.235266667,-289.0198,-309.803933334,-278.431305882,-340.3922,-353.725466667
187.91,-161.880411111,-170.7692,-209.743666667,-100.128166667,-185.641,-204.871933333,-194.072490196,-219.743666667,-221.5386
188.29,-510.707122222,-493.3334,-628.181833333,-316.060533333,-566.0606,-563.6364,-588.805658824,-600.000066667,-643.030266667
