wavelength,Back_DacLinm,Belly_DacLinm,Breast_DacLinm,Crissum_DacLinm,Crown_DacLinm,DorTail_DacLinm,Rump_DacLinm,Throat_DacLinm,WingTip_DacLinm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,6.66660000002,32.2222,18.3333333333,0.55566666666,8.88886666667,32.2222,13.8887333333,3.33340000001,17.2222
179.16,60.6348666667,50.4762666667,69.2064,65.7143333333,48.5714666667,66.3493333333,64.4443333333,56.5079333333,51.4286666667
179.54,61.3334,60.4444,84.0000000001,51.1110666667,47.1110666667,71.5555999999,56.4444666667,36.4444666667,47.5554666667
179.93,51.1112,33.3332,59.6295333333,41.1111333333,41.8518,45.5556666666,48.8888666667,32.9628666667,45.5555333333
180.31,36.5866666667,37.76,47.5733333333,32.64,27.4133333333,40.2666666667,33.44,25.2266666666,25.7066666667
180.69,37.6525333333,40.5633333333,49.2488,35.6338666667,29.8592,42.1126,34.8356,28.3569333333,28.3098
181.07,44.8699333333,45.7682666667,56.0283333333,42.7894666667,35.2718666667,44.0663333333,39.0070666667,33.2388666667,31.4421333333
181.45,39.68,45.0133333333,53.28,37.76,29.7066666667,40.1066666667,32.0533333333,25.9733333333,24.9066666667
181.83,41.9948666667,47.874,53.9108666667,40.2624666667,31.3386666667,39.0551333333,33.2806666667,29.1863333333,26.2993333334
182.21,42.7246,50.029,54.8406,40.174,30.2608,38.3187333334,30.4348666667,28.3478666667,22.8986666667
182.59,49.5622666667,57.9796666667,65.6566,47.8114666666,36.2962666667,39.5959333333,35.8922,34.6800666667,22.6936666667
182.97,57.2152,63.8817333334,76.3711999999,55.8649333334,39.4935333333,38.5654666667,34.5147333333,38.1436,20.0001333333
183.35,68.1372666667,71.4705333333,86.9608,64.6077999999,46.9608000001,40.196,38.0391333333,45.7844000001,26.4705333334
183.73,77.5269333333,83.7634666667,102.043066667,69.7847999999,56.4516,48.2795333333,44.1934666667,55.1613333333,32.6880666667
184.11,75.4955333333,81.0810666667,100.991066667,67.2072000001,60.7206000001,52.7027333333,48.1079333333,58.9189333333,39.6397333333
184.49,73.9166666667,75.5833333333,98.1666666665,64.25,62.0833333333,48.75,48.5,57.0833333333,40.3333333333
184.87,86.7759333333,84.5902,110.710333333,71.8031999999,64.8087999999,43.2786666667,50.8196,63.8252000001,41.0929333333
185.25,91.1538,86.0256666665,115.384533333,71.282,67.3076000001,41.0255999999,48.8462,67.3077333334,41.4102666666
185.63,126.3636,110.151533333,149.394,93.4848000001,93.9394666665,52.4241333334,73.9393333333,100.909,72.2728
186.01,147.521466667,131.9658,180.341933333,112.307733333,117.265066667,69.0599333334,91.6237999999,126.837466667,94.1879333333
186.39,138.3334,130.303066667,171.969733333,112.121333333,115.4546,68.1818666667,92.1213333333,123.030333333,95.9091333332
186.77,115.819266667,111.412533333,131.525466667,91.6383333333,96.1582,58.6440666667,76.3841333333,103.954733333,88.3614666665
187.15,90.0794666667,87.8570666666,99.3651333335,70.9523999999,74.9206666666,48.8890666667,61.5873333333,79.4442666666,70.9523333334
187.53,78.6524666666,81.7020666666,88.7944000001,67.3050000001,70.1418666667,44.4680000001,57.9432,73.5460000001,65.3900666666
187.91,72.8572666667,75.5100666666,80.8842666668,65.9183333333,62.5850000001,34.3538,51.2926,66.9387999999,61.4286
188.29,75.1253999999,77.2042000001,79.1398,69.6057333334,61.4336000001,29.534,50.1792666666,65.5914666667,59.2832000001
188.67,74.7566,78.2022666667,78.0524666667,69.2884000001,61.2733999999,26.5916666667,51.0861333333,62.2472666667,55.8801999999
189.05,70.0740666667,74.3703333334,74.2962666667,64.8146666667,62.0741333333,23.7036666667,47.2592666667,59.0369999999,50.8888666667
189.43,67.8333333333,73.5833333333,72.7499999999,66.0833333333,60.0833333333,15.25,43.4166666666,57.9166666667,47.5833333333
189.81,56.4228666667,60.6504,59.6748,58.2112666667,53.0895333333,3.57720000001,33.7397999999,51.0569333334,38.0489333333
190.19,47.4073333333,46.1376,44.6561333333,49.3120666667,42.6455333333,-27.0898666667,17.4604000001,41.2698666667,20.0000666667
190.57,30.4546666667,28.0303333333,23.6364000001,41.8181333333,25.9091333333,-78.4848666667,-10.1516000001,26.6667333332,-3.18166666665
190.95,4.70586666665,-8.62739999999,1.3724666668,27.8432,-0.19593333332,-133.529466667,-51.7647333333,2.5489999998,-38.8236666667
191.33,-54.2857333333,-90.0,-62.3810666665,39.0477333333,-60.4762,-373.8096,-186.190333333,-31.4285333334,-130.9524
191.71,635.555733334,864.444333334,748.888866667,202.222266667,753.333266667,2155.5556,1240.00006667,435.5556,893.3332
192.09,136.507866667,183.174733333,154.920666667,75.8729999999,139.365066667,342.857266667,222.222133333,103.491933333,169.841333333
192.47,96.7478666665,117.398466667,104.877933333,61.7886,93.4958666667,194.7968,135.935,68.7805333332,96.7479333333
192.85,87.2109333333,105.4422,93.4693333334,52.245,88.0272666667,171.836733333,118.6396,57.0069333333,82.5851333335
193.23,84.4443333332,100.370533333,84.3209999999,51.605,84.5678666667,155.555466667,113.086333333,56.6666000001,76.1728000001
193.61,85.6,107.733333333,83.2,50.6666666667,83.6000000001,163.6,118.4,58.4,78.5333333333
193.99,79.5834666667,93.3334666667,75.5208666667,48.2292,80.6250666667,138.2292,106.9792,64.1666666667,78.0208
194.37,91.4284666666,104.1666,88.5715333333,54.0476666667,90.7142666666,158.690533333,121.904666667,75.0000666667,84.881
194.75,85.4022,96.4365999999,81.7241333333,55.6322,84.9425333333,153.3334,115.057466667,69.6550666665,81.4941333332
195.13,74.9088666666,73.4546,65.0909333333,38.5454,67.7575333333,139.757533333,100.4848,53.4544666667,63.6364
195.51,65.3570666666,66.9049333333,59.8810000001,32.857,58.0953333333,136.428666666,90.2380666666,54.0476666666,59.4047333333
195.89,36.9106,37.8862,22.7642666666,-4.87813333334,23.2520666667,139.187066667,75.9349333333,34.4716666665,41.9511999999
