wavelength,Back_DigBrum,Belly_DigBrum,Breast_DigBrum,Crissum_DigBrum,Crown_DigBrum,DorTail_DigBrum,Patch10_DigBrum,Patch11_DigBrum,Rump_DigBrum,Throat_DigBrum,WingTip_DigBrum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,117.333333333,74.6666666667,66.6666666667,-9.33333333333,142.666666667,62.6666666667,61.3333333333,78.6666666667,62.6666666667,54.6666666667,80.0
179.16,76.6666,116.6668,103.333266667,176.666733333,93.3333333333,152.222133333,135.5556,107.777866667,192.222333333,157.7778,133.3334
179.54,56.6666666666,-56.6666666668,39.9999999999,-176.666666667,-76.6666666668,-166.666666667,-59.9999999999,-86.6666666666,-213.333333333,-236.666666667,-76.6666666665
179.93,48.5714666666,6.66673333332,78.0952,41.9047333333,60.0,59.0476000001,44.7620000001,14.2857333333,7.61899999998,27.6188666666,81.9046666667
180.31,130.2224,44.8889333334,69.7777333333,-9.55553333335,73.7777999999,50.8889999999,31.3333333333,59.3331999999,-15.7777333333,11.5555333333,79.5556666665
180.69,122.291666667,34.5833333334,59.5833333333,-20.2083333334,72.2916666668,41.6666666667,25.8333333333,57.0833333333,-19.375,6.04166666667,68.5416666666
181.07,139.139733333,49.4622666666,74.1935333332,5.37633333334,76.3440666667,49.0321333334,50.5376000001,82.5806000001,-8.17213333334,27.9570666667,91.8279333333
181.45,128.444466667,68.1480666667,76.1482000001,39.5556666667,85.3334666665,66.3703333333,70.0740666667,88.8888666667,37.0371333333,56.7408666667,98.3703333333
181.83,140.8642,86.1729333333,97.1605333333,68.1481333332,107.037133333,84.1976,92.0988666665,107.160466667,65.6790000001,86.2962666667,114.1976
182.21,142.513466667,94.5355333332,103.6066,76.3933333335,116.611933333,85.9016000001,98.7978666667,116.502733333,75.5190666667,92.0217999999,111.475466667
182.59,138.095066667,94.8149333332,101.9048,71.6402,112.063666667,75.1321999999,93.9682000001,118.412733333,69.6295999999,88.6773333333,101.798933333
182.97,132.5226,92.1620666667,99.4594666667,75.0450666667,113.0632,74.0541333333,93.6936666667,116.126066667,75.0450666667,83.8738666667,96.3061999999
183.35,139.537,98.5185333334,111.574066667,83.2408,124.814866667,77.7777999999,103.2406,123.6112,81.5739333333,92.8703333333,103.0556
183.73,138.5916,100.751133333,112.9576,79.7184666667,125.1644,71.4555333333,107.605666667,116.525866667,83.0984666667,96.2440666668,106.479066667
184.11,116.740666667,88.2220666666,99.1110666667,71.9258666666,110.5184,67.6297333333,95.5554666667,96.2221333333,76.6666000001,86.8890666667,97.4814666667
184.49,125.851733333,91.8518666665,105.481466667,78.0739999999,118.518666667,70.5925333334,103.111133333,104.666733333,85.4814666668,91.5554666667,110.074066667
184.87,133.835133333,104.372733333,116.0574,88.3155333332,125.949866666,80.2867333333,110.394266667,112.974933333,92.4731999999,102.007266667,119.0682
185.25,125.3872,96.5656000001,108.350133333,82.3568666667,118.4512,76.9023333333,99.2592666666,103.636333333,87.4748000001,90.9090666666,107.2054
185.63,125.466666667,94.4666666668,109.933333333,82.8666666667,116.133333333,74.6,98.8666666666,104.133333334,83.2666666666,90.2666666665,106.4
186.01,110.892933333,86.3093999999,94.9405333334,75.7738,101.249933333,68.3332666667,90.9523333334,92.6189999999,76.6665333334,80.7738666666,94.8215333335
186.39,104.7536,83.9420666666,87.0145333334,70.6087333333,93.1593333333,63.7679333333,85.9710666667,86.6666666667,73.6232,76.4058,90.4929333333
186.77,102.820466667,85.0767999999,87.1282,72.4103333333,94.3077333332,68.1538,88.0513333333,88.2564666666,77.4358666666,79.2820666666,91.8973999999
187.15,90.5145333333,75.6599333334,79.5078666667,65.3242666667,84.34,61.8792666667,78.8366,80.1342,69.9329333333,73.7358,82.8187333334
187.53,82.9541333334,71.0978666667,73.4132,63.2335333333,78.1636,59.1615333333,74.8104,75.9680666666,66.1877333333,68.3433333333,78.4430666667
187.91,82.5945999999,70.1260666667,75.6036666667,66.3423333333,78.3423333333,61.0450666667,74.1980666667,75.1711999999,67.3513999999,69.2973333333,76.0722
188.29,82.3984666666,70.1235333333,75.238,68.2187333333,77.2486666667,60.1764666667,73.9683333333,76.5080000001,67.5132666667,67.619,75.4850666667
188.67,75.7454666666,65.3936666667,70.2512,63.5176666667,72.1608,55.2093333333,68.8776666667,71.1222666667,62.6466,63.9866,68.3082
189.05,69.1290666667,59.6096666667,63.3934,59.7298,66.3063333333,51.802,63.6634666667,64.3243333333,59.3994666667,58.3183333333,63.5134666667
189.43,65.7588666667,58.3545333333,60.8511333333,57.7304666667,64.2836666667,49.0497333333,61.9290666667,61.5888,57.1348,56.4823333333,61.6454666667
189.81,63.9733333333,58.0266666666,60.48,57.76,63.7066666667,49.0133333333,60.56,59.5733333333,57.36,55.5733333333,60.9333333333
190.19,60.8729333333,55.7936,58.4922,54.8942666667,62.4073333333,46.7194666667,56.9841333333,56.3491333333,54.4178666667,53.8360666667,58.7829333333
190.57,61.6534666667,55.8529333333,58.9501333333,56.1154666667,62.1784,46.0890666667,57.4804,55.8004666667,54.6981333333,53.5171333333,59.8686666667
190.95,58.6666,51.9184,56.0544666666,53.5511333333,60.8162666667,42.2585333333,54.7210666667,50.8842666667,52.1362,49.1428,56.1632
191.33,60.5579333333,54.0674666667,57.7972666667,54.3024666667,61.9090666667,42.9956,55.5948,50.1028,53.2452,49.9264,56.7108
191.71,63.0722666667,55.5146,60.0614666667,54.9616666667,62.7958,44.8848666667,56.3440666667,50.5069333333,55.2380666667,51.5821333333,58.1258
192.09,58.1818,51.7171333333,55.1850666667,51.1112,57.3400666667,39.2256,52.3233333333,47.3065333333,51.5488,46.8688,54.5119333333
192.47,55.6168666667,49.0608666667,53.3334,48.0663333333,53.8857333333,35.8380666667,49.6868666667,43.5358666667,48.3976666667,46.4456666667,51.6022666666
192.85,60.2161333333,54.054,57.7657333333,53.5494666667,57.9458666667,40.7567333333,54.6304666667,48.3603333333,53.2253333333,51.4954666667,56.4324
193.23,60.0779333333,53.0603333333,59.2203333333,52.2808,57.8557333333,37.8948,53.7622,46.4717333333,50.8382,50.6433333333,56.2962666667
193.61,60.9638666667,53.735,61.3654,52.8112666667,57.9518,39.277,55.1406,46.8674666667,51.0844666667,53.1726,58.2328666667
193.99,57.1656,51.5769333334,59.7604,49.6607333333,57.3652666667,39.2815333333,54.5308,45.8683333333,50.9380666667,52.6146666667,56.4071333333
194.37,57.4842666667,51.3206666667,60.5031333333,49.5598,58.0714,39.6226,54.4653333333,47.5052666667,50.9014,51.1949333333,56.8554666667
194.75,49.9133333333,44.1556,51.9048,39.8702,52.0347333333,34.3724666667,47.4458,42.0347333333,44.6754666667,47.1862,48.5714666667
195.13,46.4159333333,41.3534,48.0199333333,34.0852,44.3609333333,30.9773333333,44.2105333333,36.7418666667,42.4562666667,44.01,44.6616
195.51,45.6666,42.8334,46.6111333333,35.7777333333,46.3889333333,30.8888,45.5555333333,38.8333333333,45.1110666667,46.2222,49.0554666667
