wavelength,Back_ChrSalm,Belly_ChrSalm,Breast_ChrSalm,Crissum_ChrSalm,Crown_ChrSalm,DorTail_ChrSalm,Patch10_ChrSalm,Patch11_ChrSalm,Rump_ChrSalm,Throat_ChrSalm,WingTip_ChrSalm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-142.222222222,-155.555555555,-95.5555555557,-122.222222222,-115.555555556,-182.222222222,-100.0,-117.777777778,-111.111111111,-97.7777777778,-104.444444444
179.16,-411.111111111,-433.333333333,-466.666666667,-605.555555556,-527.777777778,-561.111111111,-361.111111111,-455.555555556,-479.166666667,-283.333333333,-472.222222222
179.54,839.682539682,655.555555554,672.222222222,888.888888888,1150.0,1077.77777778,700.0,433.333333333,586.11111111,255.555555555,688.888888889
179.93,-16.1373968254,9.25922222223,25.0,-24.074,-7.40744444443,-25.926,-35.1851111111,12.9628888889,-56.481388889,12.037111111,40.7406666667
180.31,511.243365079,268.518444445,276.851777778,532.407333333,523.611055556,535.185333333,401.851777778,350.925888889,439.352,156.481555556,381.481777778
180.69,652.909888889,248.148333333,288.888944445,672.839666667,643.827055556,667.901222222,432.098888889,419.753111111,515.123361111,87.6545,446.913666667
181.07,1057.46031746,297.777777779,345.555555555,1042.22222222,961.111111111,948.888888891,575.555555556,584.444444444,727.777777778,-158.888888889,540.0
181.45,385.317444444,34.2593333332,70.3703333333,348.148222222,333.333388889,323.148222222,193.518222222,166.666666666,227.083166667,-141.203777778,105.555333333
181.83,556.825396827,-357.777777778,-202.222222222,468.88888889,347.777777778,333.333333334,177.777777778,93.3333333332,283.333333333,-690.000000001,-124.444444444
182.21,537.3015873,-680.555555556,-369.444444444,422.222222223,305.555555556,275.0,-5.55555555567,33.3333333323,177.777777778,-1177.77777778,-141.666666667
182.59,372.380952382,-697.777777778,-312.222222222,251.111111111,185.555555556,73.3333333333,-24.4444444443,-28.8888888888,158.333333333,-1063.33333333,-164.444444444
182.97,170.899507938,-794.444222222,-364.814944444,109.259333333,-2.77772222233,-125.926111111,-170.370555556,-162.962888889,-82.8703333333,-1022.22233333,-250.0
183.35,57.142857143,422.916666667,198.958333333,70.138888889,109.375,148.611111111,207.638888889,165.277777778,135.416666667,514.583333333,201.388888889
183.73,66.6135555557,256.666444444,122.777666667,76.6666666664,90.1852222221,113.333333333,153.333333333,112.962888889,105.555527778,315.185222222,138.888666667
