wavelength,Back_SpoColm,Belly_SpoColm,Breast_SpoColm,Crissum_SpoColm,Crown_SpoColm,DorTail_SpoColm,Patch10_SpoColm,Patch11_SpoColm,Patch12_SpoColm,Rump_SpoColm,Throat_SpoColm,WingTip_SpoColm
218.21,4.3333333334,41.9999999999,-9.66666666667,80.3333333333,-71.3333333333,4.33333333334,67.0,-53.0000000001,-3.00000000008,-18.7037037037,124.333333333,-56.6666666666
218.59,31.5152,58.7878666667,27.4748666666,75.3535333333,-22.2222666667,22.8282666667,71.1112,-2.42426666673,25.4546,20.8979111112,100.404133333,-8.88886666668
218.97,48.0770666666,69.4872666668,49.1024666666,77.8204666667,10.2564,40.1282666667,74.6153333335,26.7948666667,46.4103999999,39.1736814815,86.6666666667,28.7179333333
219.34,22.924,44.7952666667,34.5029333333,58.7134,-0.701800000014,23.0408666667,53.0993333334,5.73106666668,27.3683333333,23.4436888889,59.8831333334,16.7252
219.72,21.7117333333,37.5674666667,30.1802,41.8018,0.720666666652,19.0991333333,41.1712666667,6.39646666667,23.7838,19.3092296296,47.1170666667,18.919
220.10,20.0,33.1482,25.6481333333,38.7962666667,-1.48153333334,15.185,36.7593333333,4.16666666667,18.7964,16.0906,40.6481333333,16.2964
220.47,17.6923333333,34.4871333333,24.4872666667,41.1539333333,-14.6154,12.8204666667,45.8973333333,-2.69240000001,17.6924666667,15.1994740741,47.5640666667,12.6923333333
220.85,-31.9192,-9.0908666666,-22.0201333333,5.25246666668,-89.4950666667,-33.3332666667,10.303,-63.6364666666,-25.2525333332,-24.6239185185,20.8082,-39.1918
221.23,-54.0000666667,-28.4444666667,-58.6666666668,-28.8888666667,-130.2222,-65.1111333333,-18.2222000001,-94.6667333333,-58.6667333333,-53.1851407407,-4.2222,-72.6666666666
221.61,-66.4198666667,-56.0495333333,-73.0864,-39.0124,-151.358066667,-84.9381999999,-36.0493333333,-105.432133333,-75.8024666668,-81.1795851852,-8.64206666668,-91.6050666666
221.98,-29.1428666667,-17.1428666666,-35.8096666667,-13.9047333333,-104.0,-40.1904,-5.33319999992,-54.0952,-28.3810000001,-31.9154,22.0954,-37.5238666667
222.36,-31.892,-14.0540000001,-44.3243333333,-25.7657333333,-102.342333333,-44.3242666667,-4.1441333334,-57.2973333333,-24.1441333334,-32.5124074074,12.973,-45.4053333333
222.74,-35.7575333333,-7.2728,-45.6565333333,-19.798,-100.404,-41.4141333333,10.5049333333,-57.7777333333,-11.9192666667,-32.4354222222,21.4140666667,-50.9090666666
223.11,-176.888866666,-122.2222,-203.5556,-130.222266667,-298.2222,-182.222266667,-78.2221333334,-224.888866667,-111.555666667,-164.88882963,-33.7777333333,-198.666666667
223.49,-683.333333333,-458.333333334,-806.666666665,-478.333333333,-1085.0,-750.000000001,-280.0,-776.666666666,-443.333333333,-702.037037037,-59.9999999999,-678.333333333
223.87,328.0,220.0,367.333333334,202.0,443.333333333,314.0,124.666666667,328.0,223.333333333,300.0,54.6666666666,309.333333333
224.24,191.746,135.555466667,210.1588,138.095,246.031733333,189.2062,78.0951999999,195.872933333,138.095266667,176.367029629,62.2220666666,182.539733333
224.62,357.5758,249.091,401.8182,269.090866667,485.454466667,372.7274,171.5152,385.4546,277.575733333,326.127881481,105.454666667,350.302866667
225.00,-630.0,-330.0,-684.999999999,-380.0,-981.666666665,-684.999999999,1.6666666668,-656.666666668,-445.0,-531.851851852,111.666666667,-611.666666666
225.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.75,-3.67623378674e+15,-2.19209300044e+15,-3.2326974598e+15,-2.05562028446e+15,-4.82772232783e+15,-3.74447014473e+15,-3.4118178994e+13,-3.67623378674e+15,-2.74651340912e+15,-3.32652245204e+15,5.37361319176e+14,-2.15797482145e+15
226.13,-614.666666667,-414.666666667,-510.666666666,-285.333333333,-686.666666667,-617.333333333,-12.0000000002,-629.333333333,-439.999999999,-619.407407408,24.0,-361.333333333
226.51,-166.315733333,-115.789466667,-115.789333333,-45.9649333334,-158.5964,-138.2456,1.05253333328,-163.157866666,-116.842066667,-160.935644445,14.7369333333,-73.6841333333
226.88,-248.518533333,-205.9258,-202.592666667,-129.999866667,-228.8888,-218.518533333,-80.3704666667,-242.963,-192.222333333,-260.699503703,-50.3703333333,-119.999866667
227.26,-130.909066667,-103.838333333,-103.636333333,-73.3333999999,-118.5858,-110.707133333,-37.9799333333,-122.828333333,-105.6566,-138.293925926,-16.5655333333,-62.0203333334
227.64,-45.2688,-33.7634,-38.3870666667,-19.5699333333,-46.0216666667,-34.9462666667,-1.07519999998,-43.3333333333,-35.5914666667,-48.6738592593,10.1077333333,-21.1828666667
228.01,-18.7546666667,-9.37739999999,-13.9194666667,-2.9304,-20.7325333333,-14.7253333333,6.73979999999,-18.6813333333,-13.9926,-21.8070962963,17.8024,-3.15026666665
228.39,-6.61113333333,1.2778,-2.00000000001,6.50000000001,-7.77780000001,-2.5556,8.72226666667,-4.11106666665,-3.27773333333,-10.6049333333,24.1110666667,2.61106666667
228.76,-2.79286666666,2.6126,-0.450400000014,8.46853333332,-2.0722,0.76593333334,8.3334,0.135133333334,0.135000000014,-8.80877037039,20.3153333333,4.27926666667
229.14,0.767466666668,4.64646666667,0.60606666666,11.7575333333,0.525133333334,3.43433333333,8.12113333334,3.19186666667,3.59593333333,-7.16477037037,17.8180666667,6.14140000001
229.52,2.1516,4.26806666667,-0.352933333334,10.1588,1.02306666667,5.0088,6.94893333334,3.13926666666,5.64380000001,-3.70373333333,16.1552,3.73893333333
229.89,1.88466666667,6.3526,-2.58293333333,10.1919333333,0.593466666662,5.34026666667,6.14313333333,3.35080000001,7.60913333334,-2.46286666665,16.7888,2.09426666667
230.27,0.957066666668,5.94059999999,-3.00333333333,8.31673333332,-0.495,3.76246666668,4.75259999999,3.30026666667,5.9736,-1.99497777777,15.2806,1.81526666667
230.65,1.63333333333,5.16666666668,-5.93333333334,6.33333333333,-2.96666666667,3.0,2.56666666667,3.46666666667,3.49999999999,-1.83703703704,13.2666666667,-0.0666666666654
231.02,4.7352,7.69466666668,-3.676,7.25846666665,-1.99373333333,5.51406666667,5.2336,4.95333333333,4.14319999999,2.90410370371,12.8971333333,1.43306666667
231.40,5.61246666666,8.43413333335,-2.57366666667,7.87593333333,-1.33333333334,6.66659999999,5.82933333333,4.18606666667,4.37200000001,4.9924,11.3488,2.26353333334
231.78,0.961933333336,5.14106666667,-5.70473333333,4.74286666666,-6.60013333335,3.8142,2.1226,-1.7246,-0.829200000006,-0.0515851851788,7.59533333333,0.199133333332
232.15,-3.35186666667,-0.409733333333,-11.1732666667,-0.48413333334,-13.7057333333,-0.07446666668,-0.744866666668,-8.97573333333,-5.06513333333,-6.58387407407,4.95340000001,-4.39473333335
232.53,0.1156,2.31213333333,-8.74753333334,2.69746666667,-12.3313333333,2.23513333334,2.89013333333,-6.58960000001,-1.19466666667,-1.82403703703,7.66859999999,0.501066666668
232.90,2.62733333333,7.72546666666,-4.39213333333,5.80400000002,-8.94106666667,6.86273333333,7.99999999999,-4.31373333334,3.05886666666,4.27456296295,12.6274,4.74513333335
233.28,-1.91666666667,6.70833333334,-8.83333333333,1.45833333333,-13.625,2.625,6.45833333334,-9.79166666667,0.041666666666,1.48611111112,10.125,2.50000000001
233.66,-2.1544,6.4228,-6.4228,1.78866666667,-12.7235333333,1.70739999999,4.71546666666,-9.22753333333,0.40646666666,1.76613333333,7.23579999999,4.83739999999
234.03,2.18633333333,10.0717333333,0.107533333332,5.59126666667,-6.09313333334,4.94633333333,9.92833333332,-4.12186666667,4.33686666667,4.22540000001,7.88533333335,10.1792
234.41,5.0406,12.5528666667,3.44726666667,7.31713333334,-2.53653333333,7.96746666667,12.6828,-1.1058,6.34140000001,5.06586666667,9.59346666667,12.5527333333
234.78,7.81826666667,16.1514666667,7.69706666667,10.0302666667,3.36366666667,10.7273333333,17.0302666667,2.09093333333,12.3636666667,8.38387407407,13.909,15.9396
235.16,9.65213333334,18.261,10.0000666667,13.1014666667,6.63760000001,13.4204,19.3332666667,6.20286666667,15.3623333333,9.97422962963,17.7681333333,18.3768
235.54,11.1854666667,19.6652666667,11.7713333333,15.2300666667,7.05706666666,15.4532,20.6693333333,8.17286666667,17.0154,10.351837037,20.0558,19.6093333333
235.91,13.0634,20.8907333333,13.8462,16.977,8.25906666667,16.68,22.5912,9.6626,19.2171333333,12.2027851852,20.8906666667,21.1065333333
236.29,11.2144,18.7338666667,12.584,16.7183333333,7.33833333335,15.6589333333,20.4909333333,9.45733333333,17.2352,10.7435259259,19.0181333333,20.0258
236.66,8.33986666668,16.0618666667,9.65253333334,14.5689333333,5.71413333334,14.4916,17.8120666667,6.17766666667,15.7014666667,7.60770370371,16.8598,17.1685333333
237.04,6.11786666667,11.9066666667,7.54453333333,11.4402666667,3.5116,11.2756666667,15.0891333333,3.5116,13.9368,3.52988888889,14.5953333333,14.7051333333
237.41,4.8924,10.8870666667,6.42473333333,9.81179999999,2.63453333333,11.0483333333,13.1721333333,3.49466666667,12.9300666667,2.01611111112,14.3548666667,13.3601333333
237.79,2.29399999999,8.87986666667,3.9946,8.17806666667,0.350866666666,9.12266666667,11.8488666667,1.80846666667,9.90546666667,-1.0107925926,12.5234666667,10.8772
238.17,4.03786666667,8.83473333333,4.22773333334,9.86459999999,0.4878,11.7346,13.496,4.01093333333,10.6236,1.68928888888,15.6368,11.7615333333
238.54,5.2344,7.63013333333,5.41666666667,10.4947333333,0.1042,11.9792,12.4739333333,3.56773333333,10.4947333333,2.74287407408,16.9530666667,11.2498666667
