wavelength,Back_SalMalm,Belly_SalMalm,Breast_SalMalm,Crissum_SalMalm,Crown_SalMalm,DorTail_SalMalm,Patch10_SalMalm,Patch11_SalMalm,Rump_SalMalm,Throat_SalMalm,WingTip_SalMalm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,81.4285714285,73.3333333333,105.555555555,143.333333333,156.666666667,33.3333333332,223.333333333,113.333333333,230.0,146.666666666,116.666666667
179.16,-196.904761905,-148.333333333,-182.916666667,-105.0,-141.666666667,-89.1666666666,-171.666666667,-83.3333333332,-138.333333334,-140.0,-89.9999999999
179.54,88.0952380953,223.333333333,-139.166666667,-76.6666666667,33.3333333333,-83.3333333334,116.666666667,23.3333333333,-63.3333333335,-16.6666666667,33.3333333334
179.93,58.3333333334,198.333333333,-4.86111111106,101.666666667,93.3333333333,33.3333333334,41.6666666666,113.333333333,79.9999999999,90.0000000001,88.3333333333
180.31,-3.50754285706,-30.244,11.39575,18.5367333333,-17.2357999999,59.5121999999,-5.5282666666,-8.61786666672,8.13013333334,1.4634,8.29273333334
180.69,5.26499047614,-18.9937333333,15.3564388889,25.0315333333,-4.77993333332,55.6603333333,0.75466666674,5.53453333332,16.1006,15.3458666666,12.8302333333
181.07,1.72392380953,-12.0674,13.8538666667,20.5906,1.01253333333,39.4092333333,5.3164,5.82266666666,14.8522666667,16.0338,11.0969666667
181.45,9.49016190475,-4.54906666667,21.1633333333,22.745,7.68633333335,44.6666333333,11.8430666667,10.5882,16.3136666667,25.4902666667,14.5097666667
181.83,13.8453714286,0.25160000002,13.7684666667,16.4150666667,8.42766666667,39.6541333333,11.8238,9.87426666666,12.7672666667,22.7044666666,13.6164333333
182.21,14.3359238095,0.935733333334,8.95697777777,16.2572,10.0585333333,38.7721333333,10.3509333333,10.2923333333,14.1520666667,22.8070666667,12.8654333333
182.59,12.7854095238,-2.83013333333,10.1573166667,9.93706666669,9.18246666667,40.5975,6.54093333334,8.3018,12.7673333333,22.1383333334,9.3396
182.97,8.06881904761,-7.65433333333,2.77258333331,0.55553333334,4.69126666666,34.9997666667,5.24693333335,3.02473333333,8.82706666668,14.321,6.41963333333
183.35,-5.95248571428,-27.4305333333,-16.4642611111,-19.7222,-6.38893333332,26.0071,-12.9166666667,-11.8056666667,-6.87506666667,1.18060000001,-8.85423333334
183.73,-8.47170476192,-40.1550666667,-18.8760611111,-24.9612666667,-8.60473333334,21.5118333333,-17.2092666667,-15.5813333333,-12.4030666667,-1.08533333332,-12.1706666667
184.11,-29.8365238095,-69.5836666667,-36.5539999999,-49.4794000001,-22.3962,12.8644666667,-36.5628000001,-39.0626666667,-30.5210666667,-16.3544,-27.6043666667
184.49,-30.401952381,-61.3851333333,-31.8758444444,-43.9826666667,-17.143,3.33340000002,-30.3029333333,-32.1211333334,-27.2728666667,-18.5280666667,-26.1038666667
184.87,-26.5079238095,-56.3248,-26.5170555556,-42.7351333333,-11.7948,7.56416666666,-22.0513333333,-31.6239333334,-21.3674,-11.7094666667,-19.4871333333
185.25,-21.7083047619,-61.9046666666,-25.961111111,-46.1375999999,-9.73546666666,17.4074666667,-21.0582666668,-29.6296666666,-12.5925333333,-8.67726666665,-16.9841
185.63,-45.1949047619,-109.545466667,-59.2423277779,-79.9998666666,-35.1515333333,2.57573333332,-47.1211333333,-60.6059999999,-27.1211333334,-33.3332666667,-45.0000333333
186.01,-97.1426761904,-195.952333333,-93.0952555556,-135.9524,-76.4286666666,-23.3333666667,-83.8093333334,-112.380866667,-37.8571333335,-59.7618666667,-92.5000000001
186.39,-85.9613333333,-177.283933333,-75.2675222222,-120.493933333,-68.8888000001,-13.3332666666,-68.1482666666,-90.6174000001,-24.6914000001,-47.1604666667,-79.7529666667
186.77,-75.6067904762,-153.763466667,-66.3798388889,-105.3762,-59.7849333333,-12.473,-52.9032666667,-70.7526666667,-24.0860666667,-44.086,-68.2797
187.15,-40.0816571429,-117.714333333,-33.2540000001,-58.0951333333,-23.4284666667,3.90486666666,-27.0476,-35.6190666666,-1.90486666674,-7.99999999999,-43.9048333332
187.53,-22.0476190476,-90.1666666668,-13.9861111112,-30.6666666666,-12.6666666666,13.0833333333,-0.99999999994,-20.3333333333,10.3333333334,9.16666666667,-26.4166666667
187.91,-18.4126952381,-77.0832666667,-9.42118333334,-34.3054666667,-10.5556,7.2916,-2.91653333341,-19.8611333333,9.58339999999,8.33353333333,-22.0139666667
188.29,-10.7619047619,-72.8,-8.94444444438,-35.2,-12.5333333333,5.66666666666,-7.86666666661,-9.86666666661,6.66666666669,6.66666666667,-24.8666666667
188.67,18.3982761905,-55.0001333333,23.9772222222,-8.18193333334,5.60613333334,43.6363,10.6060000001,18.788,27.4242,40.6060666667,1.21203333334
189.05,8.36733333334,-115.476133333,14.2062444445,-44.0476666666,-29.0476,49.6428,-11.9047999999,10.7144666666,16.9048,23.8095999999,-22.2619666667
189.43,0.535714285734,-120.625,13.9583333333,-40.625,-26.875,33.3333333333,-10.0,-6.04166666674,-8.54166666652,13.9583333335,-27.1875000001
189.81,14.5238095238,-113.541666667,38.5243055556,-23.75,-6.04166666668,40.8333333333,12.9166666667,2.0833333334,10.8333333333,18.9583333333,-3.85416666674
190.19,27.7007047619,-77.3334,46.6665833333,-5.33333333332,14.8570666666,48.5714,35.4285333333,22.0952666666,18.4760666666,22.4762666667,26.8572000001
190.57,25.1222,-67.3872666667,46.7868388889,-9.5496,20.0,44.6846333333,37.1172,22.3423333334,18.7388666668,24.3244,34.5044999999
190.95,57.6054095237,-49.5237333333,69.3332055555,27.9999333333,53.1428666666,64.6667666667,67.8095333333,53.5239333333,48.3810000001,54.4760666667,67.2380666667
191.33,73.8095428572,-68.9744000001,86.4530055554,31.7948666667,63.8461333333,95.513,90.7692666667,73.3332666667,67.9487333335,67.1795333333,77.6923333333
191.71,106.623352381,-73.3332666667,117.853466667,53.0304666667,91.5152666666,96.5150666667,114.242466667,88.7880666667,102.1212,84.5454666666,101.9696
192.09,260.0,-441.333333333,302.888888889,66.6666666666,210.666666667,220.0,339.999999999,246.666666667,252.0,218.666666667,288.666666667
192.47,314.285714288,-3613.33333333,483.333333334,-666.666666667,33.333333334,-156.666666666,1026.66666667,-46.666666666,353.333333335,160.0,433.333333335
192.85,0.3173714288,1322.2222,-50.7407611118,402.222266666,88.8889333334,201.111166667,-346.666733334,222.222199999,-84.4444666674,113.333399999,14.444333334
193.23,230.476190477,1210.0,70.5555555562,453.333333333,233.333333333,395.833333333,-100.0,433.333333334,228.333333333,298.333333333,248.333333333
193.61,73.9682285713,401.666733333,43.2869333333,172.2222,82.2222666666,142.499933333,-40.0000666665,125.0,36.1111333334,108.889,67.5000333334
193.99,84.2857142858,378.888933333,42.4999166666,191.6666,110.000133333,201.388866667,-41.1110666665,127.2222,55.5555333333,120.555533333,68.0554666667
194.37,49.4857142858,192.0,33.1333333333,111.733333333,73.0666666667,115.6,-2.66666666668,87.4666666667,54.9333333333,64.2666666667,53.7333333333
194.75,51.2214857143,129.420266667,41.219738889,83.0434,71.1593333333,91.9566000001,22.3189999999,77.8260666667,54.6376,63.0434666666,51.8115333334
195.13,67.9564000001,140.0,54.0856500001,104.3056,89.4444666666,103.0555,33.6112000001,94.4444000001,69.0277999999,75.5555333333,69.2362333334
195.51,76.153342857,135.294066667,60.4902055555,111.633933333,91.634,109.346466667,36.8627333333,91.3727333333,71.2418666667,78.0391999999,67.3203333333
195.89,95.5843238095,138.909066667,75.4545500001,122.6666,106.909,116.7273,55.2727333333,101.818133333,86.0605333333,91.5151999999,79.3331333334
