wavelength,Back_HapUnim,Belly_HapUnim,Breast_HapUnim,Crissum_HapUnim,Crown_HapUnim,DorTail_HapUnim,Patch10_HapUnim,Rump_HapUnim,Throat_HapUnim,WingTip_HapUnim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-19.6103710438,-50.4762,-26.6666,-5.71426666666,-73.3333333333,-75.2380666667,-47.6188666667,-55.3966944445,-58.3335416667,-74.7619999999
179.16,-30.1683521888,-68.889,22.2222000001,-35.5556,-141.111066667,-64.4443333333,-86.6666666668,-100.370311111,-55.5555833333,-181.111166667
179.54,-4.10774410776,-49.3333333333,-25.3333333333,-8.00000000001,-69.3333333333,-86.6666666667,-40.0,-84.388888889,-58.3333333332,-27.3333333333
179.93,-16.9006511785,-39.2980666667,-25.2630666667,-12.2807333333,-28.4210333333,-25.2632666667,-20.0001333333,-25.9357805556,-31.3596666667,-4.03493333333
180.31,-29.2118326599,-71.7856666666,-42.8571333333,-27.1428666666,-70.9522666667,-69.2856666667,-38.8095333333,-67.8620333333,-61.1604999998,-45.8927333333
180.69,-16.3810781145,-56.6183999999,-28.7922666667,-10.4347333333,-52.7535333333,-49.3721333333,-24.2512,-49.3961138889,-41.6667083332,-37.5844666667
181.07,-13.1351521886,-51.3044,-28.6957333333,-7.92266666667,-48.6956333334,-41.2562666667,-22.8985333333,-45.0402472222,-34.66175,-33.5748666667
181.45,-19.5344040404,-60.3125333333,-40.7292,-17.1874666667,-56.7188333333,-47.7084,-27.1876666667,-55.8898027778,-46.6798749999,-32.3958666667
181.83,-32.3267676768,-75.1414666667,-53.8983333333,-26.8927333333,-63.0507999999,-53.6724,-36.0451333333,-63.7899583333,-65.0424999998,-36.4971
182.21,-162.398989899,-275.0,-236.666666667,-164.333333333,-249.166666667,-231.666666667,-182.666666667,-262.166666667,-263.333333333,-174.0
182.59,-526.719547475,-872.380933334,-788.571399999,-577.142733334,-756.666733333,-739.999999999,-616.1906,-855.198516667,-838.690666665,-543.333266666
182.97,520.415161616,776.296200001,737.777666667,567.407466667,707.7776,668.888866667,595.555533333,808.950622221,776.851875,541.111
183.35,277.022879461,416.491333333,385.6138,288.771933333,370.5261,326.666466667,316.841933333,416.096358333,404.166791667,260.877233333
183.73,154.743553535,228.235333333,206.666733333,161.372533333,199.5098,176.274466667,189.6078,235.580055555,240.441125,134.215633333
184.11,139.804204714,191.929733333,174.912266667,144.912533333,166.578933333,153.157866667,164.3858,199.210505556,203.289416667,123.157866667
184.49,122.162255555,148.926533333,142.825066667,129.0396,133.220266667,128.9266,133.220333333,155.936933333,155.649666667,105.367266667
184.87,111.890091582,129.819733333,130.5404,119.009,119.504466667,117.477333333,121.981866667,140.611769444,139.583458333,90.3153666667
185.25,114.76953367,132.4074,131.944533333,120.370333333,116.1111,117.870333333,114.722333333,144.868783333,149.074083333,86.8518999999
185.63,125.600677104,151.720266667,147.0968,126.7742,125.9677,132.150666667,126.0214,158.808194444,162.836,94.0323666666
186.01,118.017490573,143.333,139.791466667,120.833133333,119.1664,124.791533333,120.8332,153.875708333,144.856708333,88.8019666668
186.39,133.36936229,174.108466667,164.341,135.038733333,139.534733333,136.434266667,145.7362,194.825613889,168.411,91.5503
186.77,128.7111,169.841333333,161.746066667,122.2222,137.3017,121.1112,143.1746,188.888877778,161.90475,89.4444333335
187.15,125.274042088,163.111066667,146.518466667,112.888866667,124.814666667,106.666666667,131.851733333,173.092475,148.0555,81.1850666668
187.53,141.285118855,178.861666667,159.187066667,126.341466667,136.097533333,114.146266667,152.3576,193.157194444,155.386166667,99.2681333334
187.91,164.582281145,211.458333333,187.708333333,140.0,160.520833333,127.083333333,159.791666667,222.777777778,175.651041667,112.1875
188.29,157.322382492,195.740933333,177.407466667,133.703666667,159.7222,122.592533333,149.2592,209.367308333,154.050916667,103.518466667
188.67,394.828282828,518.0,454.0,282.666666667,416.0,249.333333333,417.333333333,568.388888889,344.583333333,221.333333333
189.05,266.334175084,350.833333333,309.583333333,212.5,272.291666667,166.666666667,286.666666667,368.28125,231.510416667,158.125
189.43,136.177985859,172.683,156.422733333,120.000066667,144.634066666,108.292866667,159.6748,171.991788889,101.931,93.8209999999
189.81,127.675662626,135.5556,138.0,113.777933333,127.6667,106.444333333,143.3332,148.333286111,92.7082499999,93.6110666667
190.19,143.050505051,141.466666667,155.6,124.4,150.133333333,113.866666667,159.466666667,169.238888889,104.583333333,107.733333333
190.57,137.328776094,132.777733333,139.666666667,116.666533333,136.5,111.444466667,139.111066667,150.708363889,97.77775,108.944433333
190.95,138.88037138,132.542333333,135.3672,124.2936,133.3898,114.9154,134.0112,150.197783333,96.892625,105.480333333
191.33,274.529667003,240.317266667,279.365,233.016,257.619033333,207.6192,267.9366,316.600452778,160.119041667,191.746033333
191.71,455.246455219,358.787933333,425.454466667,350.909266667,362.727266667,345.4544,424.8484,498.914122222,214.39375,241.818233333
192.09,755.645371044,507.7778,686.6666,534.4444,543.333266667,522.222266667,664.444466667,821.157450001,262.5,333.3332
192.47,284.014013131,190.476066667,278.571533333,189.523666667,217.857066667,210.476133333,271.428333333,334.126988889,99.1071666666,110.9526
192.85,120.75233064,61.7947999999,134.358933333,83.5896666667,92.5640666667,100.2566,118.9744,150.534188889,38.1411666666,27.0511999999
193.23,136.661616162,20.6666666667,125.0,56.0,74.0,89.0000000001,101.0,159.625,12.2916666667,-12.8333333333
193.61,72.4371892256,-130.769066667,32.8204666666,-61.0256,-52.5640333332,-29.7437333333,2.05140000008,106.751944444,-78.5258333335,-170.256433333
193.99,-45.4112771044,-208.571466667,-81.9046666664,-169.999933333,-147.6189,-133.809466667,-109.523733333,-12.2221055556,-136.30925,-254.7616
194.37,-16.184524579,-92.619,-36.1905333333,-74.0476,-72.4999666666,-48.3332,-53.5712666667,-8.47219166653,-58.779875,-130.000033333
194.75,-89.255592929,-227.368466667,-119.649066666,-167.719266667,-180.175433333,-131.9298,-149.473866667,-89.3858944442,-149.780666667,-278.771766667
195.13,-95.164983165,-203.2,-108.8,-166.133333333,-166.533333333,-130.666666667,-137.066666667,-87.011111111,-144.5,-233.333333334
195.51,-31.6257686868,-81.7687333333,-44.7619333333,-68.0272,-69.9999333333,-50.7482,-60.5441333334,-41.4569194445,-66.496625,-102.9251
195.89,-58.561086532,-114.666666667,-65.3333333335,-87.9998000001,-94.3704,-79.8517333333,-95.1112666667,-72.3581583335,-94.8147499998,-128.1482
196.27,-30.2121531987,-77.1067999999,-42.0126,-54.8428,-61.8237999999,-49.5597333333,-58.4904666666,-43.930713889,-72.4057083334,-86.9181666667
196.65,-78.04806532,-160.6062,-108.0808,-117.373733333,-134.545466667,-123.838466667,-126.060666667,-108.560694445,-141.287916667,-156.161766667
197.03,-88.6304808082,-162.745333333,-129.4118,-121.764533333,-148.1372,-135.882266667,-142.353,-111.568583333,-146.446,-164.6078
197.40,-74.4859626262,-131.228066667,-109.473733333,-79.2982666666,-119.6491,-110.175333333,-112.631533333,-90.4166666667,-124.670916667,-133.508766667
197.78,-82.7062686868,-161.3792,-125.517133333,-86.8965333335,-133.333266667,-116.091866667,-135.8622,-106.130258333,-155.172375,-155.747033333
198.16,-106.982319865,-212.777666667,-170.5556,-90.0000666667,-185.000066667,-157.7778,-176.1112,-147.893569444,-211.979166667,-196.527833333
198.54,-262.734943097,-460.513066667,-387.6922,-218.461466667,-440.769133334,-355.8974,-386.1538,-365.641083333,-476.602333333,-411.025566667
198.92,-393.393103367,-674.815,-531.851866667,-313.333333333,-640.370266666,-521.4816,-565.925866667,-542.561741666,-699.074166667,-539.259233333
