wavelength,Back_TanMeym,Belly_TanMeym,Breast_TanMeym,Crissum_TanMeym,Crown_TanMeym,DorTail_TanMeym,Patch10_TanMeym,Patch11_TanMeym,Patch12_TanMeym,Rump_TanMeym,Throat_TanMeym,WingTip_TanMeym
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,81.25,64.5833333333,83.3333333333,97.9166666667,91.6666666667,102.083333334,64.5833333331,83.3333333331,79.1666666669,118.75,43.75,54.1666666667
179.16,100.0,190.0,66.6666666667,73.3333333333,43.3333333333,143.333333333,103.333333333,120.0,69.9999999998,-3.33333333335,163.333333333,90.0
179.54,205.555666667,155.5555,44.4443333334,66.6666666667,-5.55566666665,227.777833334,88.8890000001,166.666666667,44.4443333331,27.7776666666,255.5555,136.11125
179.93,100.0,160.0,140.0,63.3333333335,110.0,69.9999999999,210.0,113.333333333,126.666666667,126.666666667,16.6666666667,131.666666666
180.31,60.8333333332,51.6666666665,125.416666667,162.083333333,194.583333333,128.75,122.5,77.0833333332,120.416666667,184.166666667,66.2499999999,92.2916666667
180.69,67.094,52.1366666665,140.598333333,180.341833334,217.094166667,144.017,129.914666667,87.6068333335,123.077,205.555333333,83.3331666669,100.000083333
181.07,48.9583333332,31.2500000001,154.6875,196.354166667,255.208333333,146.875,140.104166667,71.875,117.1875,223.958333333,90.1041666667,106.25
181.45,80.6201666667,68.6048333332,150.775,196.124,234.1085,162.7905,154.2635,85.6588333335,128.682,207.364333333,111.628,122.868083333
181.83,77.9873333333,72.6416666665,135.5345,183.333333333,206.289333333,156.603833334,135.849166666,78.3020000002,115.094333334,183.333333333,111.006166667,113.836333333
182.21,66.0491666665,53.0864999998,122.530833333,186.419833334,197.222166667,142.592666667,110.493833333,69.7531666667,103.703666667,176.234666667,96.9135,95.37025
182.59,55.3333333335,45.6666666667,121.0,191.666666667,204.0,145.0,100.666666667,51.3333333333,87.0,175.0,83.6666666667,87.8333333333
182.97,56.7308333335,49.0384999999,126.6025,190.705,191.0255,147.436,99.359,38.7821666666,75.0,165.705166667,74.0385000002,81.2500833334
183.35,36.4285,35.238,87.8571666667,139.762,134.523833333,101.9045,76.9046666667,20.7143333334,53.0955,118.095333333,49.0476666667,52.2619166667
183.73,37.0368333333,33.745,84.3621666666,125.3085,119.959,94.0328333331,75.926,23.6625,55.3498333333,107.613166667,45.2673333334,50.926
184.11,40.9313333333,46.3236666667,98.7743333334,141.421333333,129.657,107.843166666,83.0881666666,28.9215,70.8335,127.696166667,45.8333333333,56.6178333333
184.49,41.8183333333,52.1211666666,126.363666667,174.8485,147.878666667,115.757666667,105.1515,29.697,84.8483333333,146.0605,49.091,64.6968333333
184.87,35.2658333334,55.314,110.628,153.623166666,125.604,98.0675000002,94.203,27.7778333333,82.6086666667,124.154666667,40.8211666667,63.1643333334
185.25,45.111,66.2221666665,107.777833333,153.111333333,118.444333333,102.889,98.2221666665,39.1108333334,88.0,120.888833334,39.9998333333,70.3335
185.63,28.7438333333,53.623,98.0676666665,140.338166667,104.589166667,89.6135000001,85.7488333335,21.7391666667,74.1545,110.386333333,23.6715,53.3818333334
186.01,37.6435,60.0575000002,122.988666667,161.494333333,120.977,106.321833333,115.517166667,33.3335,90.8046666667,132.471333333,26.7241666666,71.55175
186.39,57.1895,93.4638333332,163.725333333,189.5425,157.843166666,140.196,164.706,50.6536666667,116.993666666,166.666833333,49.3463333334,108.82375
186.77,74.2425,128.788,198.484833333,225.0,187.5,158.712333333,205.303166666,65.1516666669,143.181833333,195.833333334,71.9695,142.235
187.15,78.2608333333,146.0145,193.115833334,225.362166667,190.942,151.811666667,213.043333334,77.8985,151.087166666,203.623333333,74.9998333334,148.732166667
