wavelength,Back_CyaCysm,Belly_CyaCysm,Breast_CyaCysm,Crissum_CyaCysm,Crown_CyaCysm,DorTail_CyaCysm,Patch10_CyaCysm,Rump_CyaCysm,Throat_CyaCysm,WingTip_CyaCysm
214.44,-63.9216666667,-71.8955333333,-51.3724000001,-96.0783999999,-34.7712,-106.928133333,-65.6209333334,-32.2221333334,-63.2679333333,-54.9020000001
214.81,-75.4248666667,-88.1045333334,-67.5816666667,-105.098066667,-46.9280666667,-115.947666667,-75.2941333333,-43.5294333333,-70.8497333333,-64.9673333334
215.19,-55.8453333333,-64.541,-55.4589333333,-76.6182000001,-33.7198666667,-83.9614,-54.3960666666,-32.2220333334,-46.4734666667,-46.7634666667
215.57,-32.8627333333,-36.4706666667,-32.2353333333,-45.9606666667,-12.6274,-51.7646,-27.9216,-13.2940333333,-23.2940666667,-22.1176666667
215.95,-54.5539333333,-67.6056000001,-53.6149333333,-72.4881999999,-33.5210666666,-81.2207333333,-48.6384666667,-32.4415000001,-43.0046666667,-44.6008
216.32,-85.7471333334,-97.5862,-81.6092,-104.1378,-52.7585333333,-120.114933333,-71.1494,-51.7242000001,-64.9424666667,-73.4482666666
216.70,-45.5555333333,-59.3519333334,-45.7407333333,-62.6850666666,-21.3888666667,-79.5370666667,-36.0186,-20.0464333334,-32.9629333333,-42.3147333333
217.08,-73.8182666667,-91.7576666667,-67.0303333333,-87.9998666666,-37.0910000001,-105.454666667,-59.7575333334,-48.7273000001,-60.8485333333,-63.0301999999
217.46,-50.2564,-64.8206,-46.6666666667,-62.9743333333,-17.0256,-74.4616,-41.2308666667,-29.2307666667,-37.5385333333,-39.5897333333
217.83,-37.1794,-45.1282000001,-32.9914666667,-45.4700666667,-8.37606666667,-55.9828666666,-28.8034,-19.8716999999,-22.3076,-27.3504
218.21,-42.5439333333,-49.6491999999,-38.9474,-54.9122666667,-13.8596666667,-61.7544,-34.0352,-24.2543333333,-28.0702,-36.8420666667
