wavelength,Back_PooAltm,Belly_PooAltm,Breast_PooAltm,Crissum_PooAltm,Crown_PooAltm,DorTail_PooAltm,Patch10_PooAltm,Patch11_PooAltm,Patch12_PooAltm,Patch13_PooAltm,Rump_PooAltm,Throat_PooAltm,WingTip_PooAltm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,400.0,383.333333334,400.0,400.0,208.333333333,233.333333334,283.333333333,125.0,283.333333333,433.333333334,225.0,175.0,525.0
179.16,20.8333333333,54.1666666667,104.166666667,33.3333333333,45.8333333333,79.1666666667,125.0,141.666666667,112.5,-25.0,72.9166666668,58.3333333332,-12.5
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,221.795,74.3588333331,224.359,326.923,244.871833333,112.8205,57.6921666665,-70.5128333335,25.641,220.513,179.487,260.2565,352.564
180.69,245.833333333,54.166666667,275.0,460.416666667,268.75,87.5,-27.0833333335,-270.833333334,-47.9166666665,302.083333333,235.416666667,322.916666666,470.833333334
181.07,79.6296666665,-109.259333333,140.740666667,296.296333334,166.666833333,-37.0371666666,-175.925833333,-292.592333333,-138.889,175.925833333,139.814666666,229.6295,279.629666667
181.45,-16.6666666665,-200.0,81.4816666666,259.259166667,98.1479999998,-125.926,-257.407333333,-394.4445,-203.703666667,77.7776666665,61.110833333,190.740666667,183.333333334
181.83,44.791666667,-53.1249999999,78.125,220.833333333,104.166666667,-31.25,-81.25,-167.708333334,-53.125,91.6666666668,129.166666667,165.625,171.875
182.21,36.6666666665,-12.6666666666,65.3333333333,164.666666667,83.3333333332,-4.66666666666,-29.3333333335,-109.333333333,-11.3333333335,51.3333333332,107.333333333,125.333333333,114.666666667
182.59,21.4285,-9.52383333335,45.2381666667,124.286,65.7143333333,8.09533333335,-12.8571666667,-69.0475000001,9.0476666665,28.5713333333,77.3809166668,99.0475,76.6666666669
182.97,30.9893333333,18.75,36.1978333333,92.9688333333,55.9896666667,22.6563333333,12.4998333333,-16.1456666667,27.8645,37.7605,62.8905,74.4791666667,64.0625
183.35,17.4358333333,13.8461666666,25.3846666667,80.513,47.4361666667,13.077,1.79483333335,-24.6151666667,16.4103333333,28.2051666667,52.1795,66.4101666666,44.6153333333
183.73,8.92016666665,20.1878333333,22.77,73.2395,34.507,11.2673333333,0.2346666667,-25.8216666667,11.5025,29.8121666667,47.3003333333,65.2581666666,32.3943333333
184.11,-14.3273333334,2.63166666665,9.35683333334,64.62,8.4795,-18.7135,-23.9765,-53.8013333334,-6.72533333335,14.3275,39.4735833333,52.0466666666,3.8011666667
184.49,-4.16666666665,15.6863333333,18.8726666667,61.2745,18.8726666667,-2.9411666667,-9.3136666667,-31.1273333334,-0.49016666665,25.9801666666,44.1175833333,54.1666666667,2.451
184.87,3.6325,14.9571666667,22.4358333333,61.3248333333,23.2906666667,1.4956666667,-1.06833333335,-16.8801666666,4.2735,27.1368333334,44.124,55.7693333334,6.1965
185.25,-6.77966666665,7.9095,14.4068333333,75.4236666667,12.9941666667,-4.80216666665,-0.28266666665,-44.6326666666,-2.26,17.2316666667,49.1525833333,60.7345,-11.0171666667
185.63,5.09233333335,18.0556666666,16.6666666667,72.4536666667,15.5095,7.8706666667,14.1203333333,-22.4536666667,9.2595,22.9168333333,50.9259166667,58.3333333333,-4.1665
186.01,1.17366666665,16.9015,10.3286666667,67.1363333333,11.737,10.5633333333,12.6761666666,-26.0561666667,11.972,23.4741666666,45.0705,54.2255,-11.9718333334
186.39,-20.1148333331,-10.3448333333,-15.8045,55.4598333333,-19.5401666667,-6.32166666665,-3.7355,-47.7011666667,-8.3335,16.092,30.3160833333,33.3333333333,-39.0803333333
186.77,-37.7778333335,-39.6296666667,-39.6296666667,54.8148333333,-46.296,-16.6665,-28.1483333333,-79.6294999998,-23.7038333333,12.9631666667,26.66675,16.6666666667,-68.5185000001
187.15,-59.0478333333,-74.762,-62.8573333333,50.0,-89.0476666668,-40.0000000001,-45.238,-132.381,-46.1903333333,6.1905,22.1426666669,-5.71416666665,-106.666666667
187.53,-62.9029999998,-88.1718333335,-79.0321666666,58.0646666666,-94.6238333332,-39.785,-55.3765,-154.8385,-57.527,-4.301,22.31175,-30.6451666666,-128.494666667
187.91,-63.2185000002,-105.1725,-86.2070000002,62.6436666665,-108.620833333,-45.9768333335,-36.7816666666,-154.023,-50.5746666666,-17.2415,26.7242499999,-65.5173333333,-150.0
188.29,-30.128166667,-107.692333334,-101.282,91.6668333331,-103.205333333,-21.1536666665,-19.8718333335,-151.282,-44.2306666667,17.3078333333,43.2692499998,-52.5641666665,-151.922833333
188.67,-72.619166667,-264.285666667,-258.333166667,152.381,-253.5715,-127.380833334,-119.0475,-341.6665,-103.571333333,-21.4283333333,-4.1666666665,-161.904833333,-311.904833333
189.05,-31.666666667,-305.0,-323.333333333,323.333333333,-255.0,-65.0,-85.0,-388.333333333,-63.3333333333,23.3333333335,33.3333333335,-185.0,-393.333333333
189.43,41.3793333335,-52.8736666667,-62.069,168.9655,-34.483,17.2413333335,1.1496666665,-71.2644999998,28.161,52.2988333332,45.4024166669,-25.862,-97.1266666665
189.81,206.666666667,-410.0,-450.0,879.999999999,-310.0,-3.333333335,-126.666666666,-346.666666667,106.666666667,263.333333334,171.666666666,-293.333333333,-686.666666669
190.19,-80.9525,352.380666667,364.285666667,-561.904833333,311.904833333,69.0476666665,204.761833333,330.952333333,30.9523333335,-138.095333333,-76.190416667,323.8095,604.761833334
190.57,-36.4583333335,128.125,160.416666666,-275.0,131.25,30.2083333335,96.875,122.916666667,-26.0416666667,-40.625,-13.5416666665,144.791666667,263.541666667
190.95,13.0631666667,71.6215,118.018,-88.2883333335,98.6488333335,55.8558333333,68.0179999999,77.0270000001,23.874,12.162,29.0539166665,91.4413333331,145.946166667
191.33,28.9471666667,73.2456666666,127.631333333,-67.1051666666,101.315666667,53.0701666666,76.7543333332,73.6841666665,29.3858333333,26.7543333331,27.8509999999,101.754166666,145.614166667
191.71,21.5055,87.6345000001,147.312,-86.5590000002,115.591333333,54.8386666665,94.6236666668,64.5161666665,16.6668333333,24.7309999998,22.8494166668,119.354833333,165.5915
192.09,36.2745000001,93.6273333333,144.117333333,-61.765,105.392333333,64.7058333331,111.764666667,59.3136666668,35.2941666666,49.0194999998,34.3136666667,110.784166666,170.588166667
192.47,64.0350000002,106.140166667,126.754333333,-43.421,106.140333333,67.9826666667,105.263333333,50.0001666667,33.3333333333,78.5088333332,43.6404166669,113.157833333,171.929833333
192.85,66.6665,98.1983333333,109.91,-47.2971666666,95.0449999999,54.9548333331,84.6846666665,29.2795,20.2701666666,75.2249999998,24.5497499999,94.5944999999,175.225333333
193.23,82.716,133.333333334,132.098833334,-39.5061666667,121.605,75.3086666666,106.172833333,27.1605,17.9011666666,103.703666666,24.074166667,113.580333333,235.802666667
