wavelength,Back_UroStom,Belly_UroStom,Breast_UroStom,Crissum_UroStom,Crown_UroStom,DorTail_UroStom,Rump_UroStom,Throat_UroStom,WingTip_UroStom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,50.3268888889,60.3922222222,37.2547777778,29.4117777778,25.4901111111,31.3724444444,32.6796666667,59.4771111111,32.6796666667
179.16,4.62955555558,38.6109888889,-4.62966666666,14.8147777778,0.000111111133334,22.2224444445,14.8148888889,9.25933333334,20.8333888889
179.54,394.444444444,443.888888889,338.888888889,488.888888889,611.111111111,322.222222222,377.777777778,544.444444445,438.888888889
179.93,192.063555555,173.492144444,192.063555556,173.015666667,157.143,152.381,150.793777778,153.968111111,149.999944444
180.31,5144.44444445,4780.0,5344.44444444,7544.44444446,6777.77777778,6744.44444444,5888.88888888,4666.66666667,3527.77777778
180.69,496.581333333,423.162288889,447.863444445,662.393222223,593.162222222,617.094222222,538.461777778,417.094,330.341944444
181.07,298.290555556,276.709322222,255.982888889,374.786333333,318.376111111,344.871555555,295.299,254.700666667,189.957333333
181.45,237.345777778,231.049455556,200.308666667,301.852,233.950666667,274.074222222,236.728222222,199.691333333,152.469333333
181.83,206.172888889,197.283811111,179.259333333,263.209777778,185.432111111,229.876444444,204.197444444,164.197666667,120.493611111
182.21,221.447222222,210.982088889,195.865777778,287.855111111,202.067111111,242.894111111,216.279,180.103333333,127.906888889
182.59,191.898111111,179.1667,172.685,256.018666667,184.259333333,203.703666667,184.722222222,167.592666667,125.231388889
182.97,190.929777778,177.777811111,170.068,242.857111111,182.312888889,178.231111111,172.562333333,166.213,123.696055556
183.35,204.444333333,182.141488889,169.292888889,236.363888889,183.030333333,172.525111111,173.131333333,160.808111111,134.343666667
183.73,219.287111111,191.593255556,181.761,254.297777778,188.259888889,169.601555555,184.695777778,169.601666667,152.096333333
184.11,210.482222222,177.588988889,177.777777778,241.299888889,172.536666667,149.056555556,174.213777778,163.731666667,149.371111111
184.49,226.389,191.620322222,207.175888889,257.638888889,172.222222222,163.426,174.305555556,170.138888889,164.120277778
184.87,252.421444444,223.504177778,268.376111111,303.988777778,194.871888889,171.794888889,184.615444444,202.279222222,188.176722222
185.25,206.018555555,179.004711111,230.787,251.388777778,164.120222222,133.101777778,160.185222222,175.925888889,156.944666667
185.63,198.067666667,167.802033333,230.676333333,244.927777778,160.628,115.217444445,138.888888889,173.188444445,146.859833333
186.01,261.851888889,205.296533333,325.555666666,303.333444445,212.222222222,124.074,165.185333333,235.185111111,197.963
186.39,368.518555556,296.4198,462.345666666,418.518666667,284.567777778,156.790222222,214.197333334,341.358,276.851833333
186.77,-1494.44444445,-1184.16666667,-1950.0,-1552.77777778,-883.333333336,-644.444444443,-663.888888888,-1394.44444444,-991.666666666
187.15,-520.000000001,-472.333333333,-751.111111111,-626.666666667,-284.444444445,-266.666666667,-171.111111111,-544.444444444,-383.888888889
187.53,-210.526333333,-183.859644445,-365.497111111,-256.725222222,-67.2516666666,-94.7366666667,-21.0525555556,-251.461888889,-162.280666667
187.91,-120.833222222,-107.037211111,-257.870333333,-162.036888889,-3.24077777778,-35.1852222221,39.3516666669,-159.259222222,-72.4537777779
188.29,-77.7777777778,-54.4857555555,-200.411666667,-128.806444444,20.1646666667,-0.411666666767,61.3167777777,-111.934111111,-26.5432222221
188.67,-65.2776666668,-29.0276,-193.981555555,-115.740888889,21.7593333333,29.1666666666,59.7222222221,-132.870333333,-15.0463333333
189.05,-48.611111111,1.97916666677,-120.486111111,-61.4583333333,27.7777777778,33.3333333333,57.9861111111,-74.9999999999,9.89583333333
189.43,-54.4973333333,-6.19042222213,-91.2697777778,-45.5026666667,23.2806666667,7.40744444446,55.5555555556,-52.6454444445,-2.51316666678
189.81,-119.444555556,-41.8254111113,-162.698333333,-75.7936666667,1.58744444444,-25.7935555556,29.365111111,-83.3334444444,-38.8888333332
190.19,-94.4444444443,-36.0803333333,-115.432111111,-67.9012222222,-10.1851111111,-37.6541111111,31.1728888889,-63.5801111112,-34.4135555557
190.57,-215.0,-110.611111111,-261.666666667,-185.555555556,-84.4444444443,-136.666666667,3.888888889,-140.555555556,-96.3888888887
