wavelength,Back_SpoCinf,Belly_SpoCinf,Breast_SpoCinf,Crissum_SpoCinf,Crown_SpoCinf,DorTail_SpoCinf,Patch10_SpoCinf,Rump_SpoCinf,Throat_SpoCinf,WingTip_SpoCinf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,48.148,18.5183333333,-11.111,11.111,125.926,74.074,96.296,70.3706666667,51.8516666667,-5.5555
179.16,233.333333333,-16.6666666667,-100.0,25.0,216.666666667,0.0,183.333333333,66.6666666667,133.333333333,-12.5
179.54,25.0,-8.33333333333,-183.333333333,-166.666666667,58.3333333333,-58.3333333333,-108.333333333,-133.333333333,-50.0,-100.0
179.93,118.182,96.9696666667,75.7576666667,42.424,112.121333333,54.5456666667,93.9393333333,96.9696666667,106.060666667,31.8185
180.31,56.8966666667,36.207,-9.77,56.8963333333,125.287333333,20.6896666667,87.356,42.5286666667,67.8163333333,-6.897
180.69,52.688,41.9353333333,-19.3546666667,49.9996666667,123.655666667,22.5803333333,80.6453333333,45.161,80.1076666667,-12.097
181.07,55.747,55.7473333333,-30.4596666667,55.7473333333,123.563333333,10.9196666667,78.7353333333,47.1263333333,95.4023333333,-8.6205
181.45,40.5406666667,62.1623333333,-13.5136666667,50.4503333333,103.603333333,17.117,69.3693333333,40.09,95.9456666667,9.4595
181.83,18.75,62.5,-26.0416666667,52.0833333333,97.9163333333,7.81233333333,70.3126666667,30.729,101.041666667,-2.344
182.21,13.3333333333,57.9166666667,-14.5833333333,52.0833333333,93.3333333333,11.6666666667,55.0,30.8333333333,89.1666666667,6.875
182.59,12.45,67.4696666667,-7.22866666667,46.1846666667,92.3693333333,6.82733333333,52.6103333333,24.8993333333,91.968,10.241
182.97,27.3806666667,83.333,3.17466666667,65.4763333333,96.4286666667,18.6506666667,55.1586666667,26.5873333333,105.158666667,20.238
183.35,21.256,102.415333333,-16.908,70.0483333333,105.797333333,20.7726666667,52.657,21.739,130.918,9.42
183.73,0.741,143.703666667,-64.4443333333,58.5183333333,122.222,-0.00033333333333,44.4443333333,-3.704,182.963,-23.3335
184.11,1.18423789293e-15,167.441666667,-66.6666666667,51.938,118.604666667,37.2093333333,58.1396666667,16.279,226.356333333,0.0
184.49,14.4656666667,142.767333333,-38.365,61.006,108.805,41.5096666667,76.7293333333,29.56,198.113333333,28.302
