wavelength,Back_ThrAbbm,Belly_ThrAbbm,Breast_ThrAbbm,Crissum_ThrAbbm,Crown_ThrAbbm,DorTail_ThrAbbm,Patch10_ThrAbbm,Patch11_ThrAbbm,Patch12_ThrAbbm,Rump_ThrAbbm,Throat_ThrAbbm,WingTip_ThrAbbm
203.85,339.649066667,351.2282,408.4212,275.438533333,395.4386,359.298266667,243.859533333,367.719266667,541.929866667,350.877266667,452.1052,312.631666667
204.22,626.6666,626.666666667,720.606066667,501.818133333,743.030266667,633.333333333,464.8484,669.696999999,969.090899999,572.727266667,763.030366667,583.939433333
204.60,417.5438,395.4386,450.175466667,352.982466667,497.8948,422.105466667,327.017466667,431.929866667,588.070166667,376.491266667,466.140366667,387.017566667
204.98,362.133333333,322.666666667,362.4,293.333333333,421.866666667,364.0,282.4,377.066666667,469.6,327.2,383.466666667,318.533333333
205.36,524.3138,445.098133333,529.4118,400.392333333,611.764733333,526.2746,440.7844,550.588266667,662.549066667,479.607866667,563.333233333,453.725433333
205.74,470.0,413.333333333,487.666666667,386.666666667,548.666666667,481.333333333,424.666666667,504.333333333,602.333333333,466.666666667,500.666666667,406.5
206.12,479.090933334,422.424333333,496.363666667,383.636333333,528.484866667,486.969666667,429.999933333,523.9394,606.969566667,481.515066667,492.272733333,408.030366667
206.50,943.636333334,797.575666667,996.969733334,779.394,1053.9394,991.515200001,843.6364,1039.99986667,1195.7576,946.666733334,968.181833334,753.030166667
206.87,795.238199999,686.666666668,844.761933334,675.7144,865.714333334,833.333266667,734.7618,859.047533334,972.618966665,786.666666666,811.666566667,634.761766667
207.25,649.0196,568.235266667,676.8628,553.725533333,738.823466667,676.078399999,609.4116,715.294066667,788.039266667,641.960733334,678.823466667,530.392166667
207.63,756.444466667,662.222266667,792.444533334,664.888866667,884.888866667,798.666533334,703.999933333,831.555533334,907.333433333,752.888933333,793.777666667,641.777833333
208.01,11573.3333333,10626.6666667,12440.0,10406.6666667,14140.0,12546.6666667,11160.0,13006.6666667,14220.0,11920.0,12153.3333333,10243.3333333
208.39,2131.11113333,1907.77773333,2294.44453333,1882.22213334,2527.7778,2292.22206667,2024.4444,2356.6666,2539.4443,2241.11126667,2288.33343333,1886.6667
208.77,1168.88893333,1048.33326667,1240.0,989.444466667,1336.1112,1211.11106667,1098.3334,1254.44453333,1343.6111,1193.889,1250.8334,1009.16676667
209.14,967.555533333,875.110999999,1015.1112,815.555666667,1074.66666667,980.888866667,911.999866667,1001.33333333,1076.22203333,970.222199999,1026.8888,824.444366667
209.52,357.333333333,325.6296,361.481533334,313.333466666,387.111133333,359.851733334,341.481466667,369.777666667,393.111333334,360.148266667,369.703733333,309.703733333
209.90,256.255866667,232.1462,248.0364,220.730666667,269.223733333,251.6894,241.9176,256.529733333,265.936033333,251.598266667,257.169133333,223.698533333
210.28,232.166666666,210.833333333,221.083333333,204.333333333,243.083333334,228.583333333,219.083333333,229.0,233.791666667,226.583333333,231.541666667,204.416666667
210.66,226.511666667,208.2946,211.705466667,194.961333333,231.782866667,218.1396,211.085266667,218.062066667,221.899366667,219.845,224.9225,202.480666667
211.03,212.708466667,192.569266667,200.9722,182.291733333,217.083266667,204.791666667,199.2362,206.041666666,210.138933333,209.722266667,211.180533334,191.2153
211.41,192.5524,176.516466667,185.5856,170.3306,195.915933333,190.810866666,184.684666667,190.3904,192.972833333,193.032933333,192.5226,176.906866667
211.79,184.517866667,171.184533333,179.834666667,162.7548,185.454533333,181.2672,176.804466667,182.148933333,186.721633333,183.967,183.608833333,170.3305
212.17,185.413,172.934466667,179.145266667,159.886066667,183.247933333,178.7464,172.934533333,180.7978,182.9914,184.3304,184.273466667,169.914466667
212.55,189.2528,178.908,181.379266667,163.390733333,188.333266667,183.908066667,176.896533333,184.597733333,186.752933333,187.988466667,187.040166667,177.758766667
212.92,182.539533333,175.026466667,178.8362,162.010533333,183.862333333,181.746066667,174.285933333,180.7936,181.375733333,184.761933333,180.634766667,173.2276
213.30,169.516533333,164.529133333,168.498733333,154.249333333,174.0966,171.602933333,165.546933333,171.603,172.1627,173.944066667,169.084066667,163.765833333
213.68,183.475866667,181.709333333,186.666666667,166.609733333,186.8376,188.2622,180.3988,185.925866667,185.099633333,188.205066667,184.273533333,176.210733334
