wavelength,Back_RhoCrum,Belly_RhoCrum,Breast_RhoCrum,Crissum_RhoCrum,Crown_RhoCrum,DorTail_RhoCrum,Rump_RhoCrum,Throat_RhoCrum,WingTip_RhoCrum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,525.0,608.333333333,408.333333333,375.0,400.0,500.0,583.333333334,475.0,616.666666667
179.16,20.83325,-40.2779166667,27.7778333333,8.33316666667,56.9444166667,66.66675,-29.1666666667,-19.4443333333,33.3334166666
179.54,-41.6665833333,-78.5714999999,-52.3810833333,-105.952333333,-21.4286666667,-51.1903333333,-65.47625,-46.4285,-69.0475833334
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-69.8716666666,-130.44875,-15.0640833333,-104.16675,1.60258333333,-114.743666667,-142.628333333,-59.2950000001,-95.1924166667
180.69,-103.47225,-169.097333333,-27.4305,-141.666583333,-17.7083333333,-150.6945,-180.20825,-81.5972499999,-129.166666667
181.07,-76.6666666668,-134.666666667,-7.33333333332,-117.666666667,14.3333333333,-131.666666667,-153.333333333,-59.6666666666,-100.333333333
181.45,-392.708333333,-504.166666666,-104.166666667,-468.75,-111.458333333,-601.041666666,-606.249999999,-312.5,-476.041666667
181.83,3066.66666667,3750.0,516.666666666,3333.33333333,749.999999998,5050.0,5016.66666667,2691.66666666,3741.66666667
182.21,729.166666667,918.75,93.7500000002,739.583333332,247.916666667,1206.25,1172.91666667,714.583333332,877.083333335
182.59,327.5,390.0,69.1666666666,316.666666667,156.666666667,493.333333333,484.166666667,309.166666667,365.0
182.97,184.057916667,190.217416667,49.63775,146.376833334,84.0579166667,232.2465,220.65225,171.014583333,168.8405
183.35,211.36375,195.454583334,67.803,145.4545,94.3181666667,243.560583333,232.575833333,197.727166667,184.090916667
183.73,172.807,184.210666667,24.1226666667,101.315833333,71.0525833332,224.122833333,179.386083333,153.508833333,152.193083333
184.11,127.777666667,161.111166667,-16.6666666666,74.9999999999,31.1111666668,226.111083333,160.5555,130.5555,152.22225
184.49,130.208333333,147.916666667,-88.5416666667,30.2083333333,-66.6666666667,311.458333333,173.958333333,154.166666667,161.458333334
184.87,44.9999166667,61.6665833334,-38.8888333333,0.55558333325,-48.8888333333,159.444583333,84.4443333333,73.8889166666,90.5555000001
185.25,67.3913333333,67.7535000001,-3.98558333333,36.59425,20.28975,126.449166667,76.8116666667,76.8115000001,102.898416667
185.63,9.99999999993,30.0,-79.1666666666,14.1666666668,-86.6666666667,160.0,63.3333333333,40.8333333332,151.666666667
186.01,-14.0624999999,-12.4999999999,-66.1458333332,-13.5416666665,-79.1666666666,51.0416666667,-4.68750000007,-21.8750000002,73.9583333333
186.39,-66.0256666667,-85.2564166666,-125.640916667,-44.23075,-166.025583333,-15.3845833333,-71.7949166666,-110.897583333,41.6666666666
186.77,-38.4058333333,-42.39125,-46.3767500001,-10.5071666666,-80.0725833334,7.60866666666,-22.1013333334,-39.1304166667,49.9998333334
187.15,-81.1403333334,-82.8946666667,-62.7192499999,-10.08775,-114.47375,-10.52625,-45.6141666667,-58.3333333333,36.842
187.53,-68.7499999999,-48.7499999999,-34.5833333333,15.0,-64.5833333334,32.9166666667,-16.6666666668,-32.5000000001,54.1666666666
187.91,-47.9165833332,-33.0357500001,-17.857,25.5950833334,-40.4761666667,25.0,2.38099999999,-6.5474999999,55.0594166667
188.29,-24.80625,-16.66675,-17.2481666667,18.411,-25.5814166667,11.8218333333,3.68208333334,-4.45733333335,26.7441666667
188.67,-0.683,7.51374999997,2.18575,31.694,8.60658333332,23.224,20.0819166666,15.57375,33.6065833333
189.05,-11.20225,0.136666666675,-5.05458333332,20.9016666666,5.32783333335,12.8415,8.46983333333,9.83600000003,15.9836666667
189.43,-10.57225,7.71133333335,1.11941666666,20.0247500001,6.34324999997,14.179,11.9403333333,13.6816666667,7.58699999999
189.81,-3.96349999999,8.94316666667,4.77641666664,16.5649166667,8.53650000001,13.7194166667,9.04474999999,16.057,3.96341666665
190.19,-4.60524999999,13.0480833334,4.16666666666,22.5878333332,17.4340833333,20.614,8.33325,22.9166666667,1.53508333334
190.57,-9.74025,12.1211666667,0.324666666675,20.56275,17.74875,21.3203333334,7.684,25.3246666667,-3.89608333333
190.95,-32.2071666667,-6.08108333333,-22.6353333333,-1.68908333335,-0.900916666685,-0.67566666665,-16.4415833333,5.18024999997,-28.7163333334
191.33,-50.5709166667,-23.1735833333,-42.0090833333,-18.3790833333,-12.67125,-19.0638333333,-35.7306666667,-13.6986666667,-45.7761666667
191.71,-68.9054166666,-43.5323333333,-62.5623333333,-36.4427500001,-33.8309166667,-40.6716666667,-56.219,-34.9501666667,-69.6517500001
192.09,-64.97575,-41.7873333333,-58.8164166666,-35.0240833333,-29.1064166667,-36.7149166667,-52.8985000001,-31.8841666667,-67.5121666668
192.47,-71.4840833333,-52.3435833333,-61.0675,-39.9738333334,-31.5101666667,-42.9686666667,-64.4529166667,-39.4528333334,-74.479
192.85,-100.744083333,-79.9108333333,-89.8809166666,-66.3690833334,-61.7558333333,-65.9225833333,-96.8750000001,-68.1546666669,-100.148916667
193.23,-127.721083333,-110.204166667,-118.877583333,-93.5374166668,-86.9047500002,-89.9658333333,-125.340166666,-96.0884166668,-126.87075
193.61,-176.894,-154.166666667,-156.62875,-137.6895,-121.590916667,-130.492416667,-175.000166667,-142.803083333,-165.151583333
193.99,-196.230083334,-170.4365,-179.96025,-159.92075,-131.745916667,-150.793583334,-203.968166667,-164.881083333,-187.698416667
194.37,-235.317583333,-212.896833334,-212.103166667,-207.936416667,-172.619,-192.857166667,-237.301666667,-210.71425,-227.77775
