wavelength,Back_ComGarf,Belly_ComGarf,Breast_ComGarf,Crissum_ComGarf,Crown_ComGarf,DorTail_ComGarf,Patch10_ComGarf,Rump_ComGarf,Throat_ComGarf,WingTip_ComGarf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-9.69699999998,-10.9091333333,-13.3333,-6.00044458565e-12,-6.6666,3.63633333332,4.24233333333,-1.21216666668,-14.5454,-11.3635833333
179.16,205.0,236.666666667,235.0,165.0,158.333333333,216.666666667,165.0,185.833333333,233.333333333,237.5
179.54,52.1568666667,56.4706666667,56.4705666667,49.8038666667,56.4706666667,50.5883333333,47.0588666667,65.8823666667,65.0979333334,64.2155833333
179.93,37.7777333333,43.7036666667,72.2221999999,58.5184666667,23.7037333333,49.6296000001,36.2962,48.8889,56.2963333334,90.7406666667
180.31,32.7927333333,37.0720333333,40.9459333333,50.4505999999,39.9098666667,50.9007333333,55.5856,48.7838,41.3513333333,49.8873333332
180.69,27.5676,29.1891,39.2342333333,48.0180666667,36.6667333333,47.7478666667,49.0089333333,44.4595,35.7658666666,45.1574999999
181.07,22.1052666667,25.6140666667,36.6228333333,42.8947333333,29.8246666666,41.1404,45.263,35.9209666667,32.6314666666,41.7764166667
181.45,22.7716,29.7004,39.6628666667,41.9476,27.7903333333,39.7004,43.7455333333,37.0036666667,36.0299333334,44.3820833333
181.83,16.71,25.8874333333,29.3940333333,40.9524000001,23.0304,35.4977333333,41.8182666667,31.8181,28.3982666667,40.6927500001
182.21,22.6292,33.4741666667,29.8592333333,44.0375999999,29.8593333334,42.6289333333,52.3944666667,38.3099666667,34.2722000001,44.9530833332
182.59,1.22453333333,28.4354,14.9660333333,34.8300666667,19.0476666667,32.653,52.1088,34.0136,23.1291333333,36.9046666667
182.97,-19.6078666667,40.9802666666,16.5686000001,33.3333333333,11.7647333333,32.1568666667,65.0980666667,41.3725,22.3530000001,43.1373333334
183.35,-27.6768666667,40.7070000001,3.2323333334,24.2423333333,7.47473333334,35.3535333333,53.7372,33.3333333334,16.9696666666,50.7574166666
183.73,-204.848466667,43.9394666666,-122.424266667,-24.8484000001,-116.3636,-8.4848666666,45.4545333334,-11.8182666667,-32.7273333334,34.0908333333
184.11,501.1112,54.4445000001,367.222233333,139.999866667,328.8888,207.7778,-44.4444,147.777633333,156.6666,52.7778333325
184.49,1426.66666667,154.999999999,1218.33333333,616.666666667,1030.0,826.666666667,-336.666666667,471.666666667,476.666666665,54.1666666658
184.87,975.555533333,12.2222333339,936.666666667,397.777800001,775.555533333,577.777600001,-324.444599999,369.999966667,331.111133333,-30.5555833326
185.25,100.8,-10.7999999999,109.2,38.1333333334,79.4666666667,56.0000000001,-42.4000000001,31.6000000001,31.7333333335,-15.6666666667
185.63,52.2728666667,-6.0604666666,68.9394333333,28.9394,49.3939333333,22.7272666665,-31.9694666667,20.6819333333,15.1514666666,-6.62883333342
186.01,58.4720666667,7.15286666666,62.5694666667,37.6389333333,59.7224,22.9165999999,-27.5,31.9446,19.7222,4.68766666673
186.39,78.6393333333,26.5986,79.2516666667,51.9728,81.4965333334,44.8979333333,-7.21093333334,54.7618666666,40.5443333334,28.5714166668
186.77,81.0144666668,25.1448666667,73.9130666666,50.7246666667,84.7825333333,48.1158,-7.68133333334,61.9564333333,34.9276,29.1668333333
187.15,83.5772666667,35.3659,79.1871333334,51.5447999999,86.8293333333,49.7561333333,-5.8537333334,70.2439333333,31.7073333333,29.6748333332
187.53,76.1538666667,36.9871,63.1409333333,48.0770666666,72.5640666667,51.2819333333,-0.2564,67.2435999999,26.7948666667,31.7305833333
187.91,75.9999999999,49.5151,76.6060666667,53.9395333333,74.5454666667,58.0604666665,14.3029999999,82.9696,35.5151999999,36.2120833333
188.29,90.5,52.3333333333,100.25,58.9999999999,92.6666666667,66.6666666666,20.0000000001,102.75,41.4999999999,41.875
188.67,129.019666667,84.0196000001,133.627366667,73.9216666667,127.451,90.1961333332,58.4313999999,144.411733333,59.0196666665,71.3235833334
189.05,136.296133333,89.8765333334,154.4444,75.5556000002,133.5802,96.2962666666,60.9874666666,151.357933333,52.5926,75.6173333332
189.43,250.0,135.666666667,294.666666667,95.9999999997,256.0,158.0,45.3333333332,303.666666667,49.3333333333,99.1666666668
189.81,-546.666666666,-284.166666667,-548.333333334,-55.0000000006,-458.333333334,-325.0,-123.333333333,-671.666666667,-30.0000000001,-93.75
190.19,2680.0,1373.33333333,2603.33333333,726.666666665,2300.0,2273.33333333,1240.0,3150.0,413.333333335,700.0
190.57,275.333333333,136.666666667,263.666666667,70.6666666665,202.0,214.666666667,128.0,299.666666667,7.33333333334,85.8333333332
190.95,182.0,70.0,185.666666667,-14.0000000001,108.666666667,125.333333333,38.6666666665,214.0,-64.6666666666,11.6666666667
191.33,64.5333333333,25.0666666667,66.9333333334,-0.80000000006,34.6666666667,47.7333333333,13.0666666667,90.6666666666,-24.5333333333,8.66666666683
191.71,46.4814000001,24.5369666666,59.4445333333,8.70373333332,32.7778,46.2961333333,27.5924,76.5740333335,8.14813333332,21.9908333335
192.09,30.3703999999,8.51856666668,41.9750333333,-17.7778666667,19.2592666667,21.9754000001,1.72846666666,71.9753,-12.0987333334,1.54325000007
192.47,29.5238,13.9683666667,34.2062666667,5.71419999999,23.8094666667,25.238,4.28566666667,66.5078666667,6.34926666667,5.55566666657
192.85,27.9012,10.4937666667,31.2344,16.1728,25.9258,28.3952,2.83953333334,56.0493666667,17.9012666667,7.71616666668
193.23,21.9609333334,10.0979333333,24.9509333333,14.5099333333,25.3921333333,24.9019333333,3.23526666667,51.4215666667,13.7255333333,11.0294166667
193.61,30.2274,21.8939,28.8258333333,27.5000666667,28.5607333333,28.2576,13.2576,49.3182,19.4696666667,21.7804166666
193.99,30.8176,23.3648666667,33.7421,31.8239333333,29.8113333333,30.2514666667,18.2390666667,48.2704333333,23.5848,28.5375833333
