wavelength,Back_SpoArdf,Belly_SpoArdf,Breast_SpoArdf,Crissum_SpoArdf,Crown_SpoArdf,DorTail_SpoArdf,Rump_SpoArdf,Throat_SpoArdf,WingTip_SpoArdf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,56.1727777778,64.8147777778,53.7037777778,58.0247777778,55.5555555556,56.7901111111,76.5432222222,71.605,52.4691111111
179.16,79.2592222223,62.2221111111,69.6296666667,77.037,72.5925555555,81.4814444444,110.370444444,105.925777778,79.9999999999
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,45.0981111111,54.2484444444,46.4053333333,71.2417777778,51.634,43.1371111111,62.0913333333,59.477,69.2811111111
180.31,77.3334444443,61.9258888889,64.1481111111,77.6296666666,74.3704444445,66.222,115.703555556,111.259222222,84.4445555557
180.69,84.8484444443,71.5488888889,75.2525555556,93.6025555556,87.8786666667,77.946,132.323222222,132.828222222,102.188666667
181.07,88.2154444444,71.7171111111,76.0942222221,97.643,93.2660000001,81.6498888888,135.521888889,133.838444444,108.080777778
181.45,99.4578888889,70.4606666667,80.758888889,114.363222222,118.970333333,87.8047777778,174.525777778,164.498444444,130.352222222
181.83,104.700777778,73.077111111,76.4956666668,144.871777778,145.726555555,106.410333333,201.282,231.196444444,167.948777778
182.21,588.88888889,100.0,427.777777777,850.0,1088.88888889,427.777777778,1911.11111111,2283.33333333,1205.55555556
182.59,15.7407777778,46.2962222222,35.1854444443,-2.77777777767,-9.25922222223,37.5001111111,-104.166666667,-113.888888889,-29.1666666666
182.97,38.5802222223,68.5186666667,62.6543333334,26.851888889,29.6297777778,65.7407777778,-21.9134444443,-35.8025555557,35.4937777777
183.35,45.4544444443,73.7372222222,88.5523333331,42.0876666667,53.5353333333,84.1749999999,-6.39722222213,-26.5993333334,48.8215555557
183.73,70.9876666667,91.358,103.086222222,57.0988888889,76.2346666668,107.098777778,19.7532222224,6.17266666667,69.7530000002
184.11,90.0284444444,89.1737777777,105.698,68.6610000001,77.492888889,125.071222222,30.7692222223,33.6182222222,95.4414444446
184.49,88.4352222222,81.4057777778,95.6916666669,64.1724444443,77.0976666667,107.936555556,36.9615555555,42.177,90.2495555557
184.87,94.6502222223,90.9466666666,108.230333333,75.3086666665,93.4156666667,121.810666667,51.4403333331,62.3455555556,105.555555556
185.25,87.0586666667,80.6535555556,91.111,71.6338888889,83.3987777778,102.352888889,60.915,65.2287777778,92.0262222221
185.63,80.5256666667,69.2951111111,83.9904444443,60.8123333333,77.1805555555,90.5614444444,60.215,58.4228888889,85.0656666666
186.01,84.8241111111,75.2032222222,83.7397777778,66.6665555555,80.8944444445,98.5094444447,57.4524444444,65.9891111111,87.9404444444
186.39,79.4190000001,71.7171111111,80.0504444445,59.4696666667,79.5456666666,89.3938888889,57.702,63.2576666667,82.8284444443
186.77,75.8574444444,64.7461111111,68.5872222222,48.011,65.8436666667,83.2647777778,51.5774444444,52.9493333333,80.5214444444
187.15,60.3008888889,46.875,56.3657777778,35.7637777778,49.6527777778,65.8565555556,37.5001111111,38.889,56.1343333333
187.53,56.2756666667,45.5762222222,51.2344444444,29.6296666667,44.856,58.3332222222,32.3045555556,39.506,50.3086666667
187.91,55.1281111111,46.752,56.7522222222,37.6067777778,45.0427777778,60.0854444444,37.8634444444,44.8716666667,53.6752222222
188.29,51.1544444444,50.2164444445,55.8441111111,38.961,43.6506666667,60.6782222222,40.9812222222,44.3001111111,54.9061111111
188.67,56.1275555556,49.8365555556,59.477,40.6863333334,41.9117777778,68.5458888889,43.0553333333,45.3432222222,58.0064444445
189.05,54.8361111111,47.482,58.0335555556,43.7251111111,39.4883333333,67.706,40.9273333333,44.8441111111,57.1543333333
189.43,47.304,40.6863333333,52.8595555556,38.5621111111,32.353,65.8498888889,33.415,40.7678888889,52.0424444444
189.81,51.2512222222,43.4434444444,58.2584444444,41.5414444444,36.3362222222,75.6758888889,30.1301111111,45.4453333333,57.7575555554
190.19,46.2435555555,41.5873333333,61.2698888889,34.2856666667,39.1534444444,75.3438888889,25.1851111111,48.1481111111,58.3066666666
190.57,41.4633333333,32.3847777778,67.4795555556,24.3903333333,28.0487777778,75.2033333333,12.4661111111,44.4444444444,53.2519999999
190.95,44.4445555556,36.8743333333,76.1904444444,29.4261111111,38.7058888889,72.0391111111,24.298,53.6021111111,56.0438888888
191.33,60.8642222222,48.8888888889,86.0494444444,43.4568888889,52.5927777778,81.9752222221,39.5061111111,65.679,72.3456666667
191.71,63.0384444445,54.6485555555,85.0341111111,51.2472222222,56.1222222222,84.4672222222,49.9998888889,68.254,75.1700000001
192.09,64.0095555555,51.8114444444,77.8985555556,44.686,55.0724444444,82.8503333336,48.43,67.3912222223,71.9807777779
192.47,51.6794444444,37.7261111111,66.7958888889,32.9456666666,49.6123333333,66.9252222223,34.2377777778,55.6846666667,61.6278888889
192.85,55.9827777778,47.4358888889,69.5513333333,41.2393333333,57.372,65.0640000001,43.2691111111,60.2566666667,68.6966666666
193.23,55.4587777778,47.3432222222,65.2173333334,35.459,55.1692222222,59.5171111111,44.1545555556,56.9082222222,68.6957777778
193.61,62.0857777778,53.8987777778,72.2223333333,41.2281111111,60.7213333333,63.2554444444,54.9707777778,59.4542222222,76.9005555556
193.99,58.6521111111,50.3644444444,71.0381111111,40.5283333333,55.009,61.8395555556,54.6447777778,57.0126666667,71.4026666666
194.37,58.7893333333,51.4094444445,68.6566666667,43.1176666667,54.6434444445,61.4428888889,56.6334444444,51.0778888889,69.3202222222
194.75,55.5556666667,53.9173333333,64.3873333333,42.2365555556,51.7094444445,61.3958888889,55.7693333333,51.9942222222,66.8804444444
195.13,55.03,54.5794444444,62.4623333333,42.1923333333,50.3753333333,63.6637777778,54.1292222222,51.3513333333,65.7658888889
195.51,42.5925555555,43.881,51.2882222222,29.3075555556,37.7617777778,52.8985555555,46.0548888889,42.834,56.6022222222
195.89,38.6734444444,37.6397777778,46.2532222222,22.3083333333,30.5771111111,48.6647777778,39.1042222222,38.9318888889,50.5597777778
196.27,33.9457777778,32.721,42.8696666667,19.685,25.4591111111,43.1321111111,32.7207777778,33.0708888889,44.007
196.65,31.573,29.593,44.8844444445,13.5313333333,19.0318888889,43.7843333333,33.9933333334,31.023,41.3643333333
197.03,18.213,19.0148888889,35.6243333333,1.71822222222,6.64388888888,37.1134444444,23.0241111111,19.3584444444,26.0023333333
197.40,-13.117,-5.86422222223,18.8271111111,-26.3888888889,-25.6174444444,18.9814444444,2.00611111111,-4.01233333333,-6.48144444443
197.78,-35.3045555556,-21.8637777778,5.37633333333,-48.0286666667,-46.0572222222,2.86744444447,-24.1935555556,-20.7885555556,-26.5234444445
198.16,-39.394,-21.8181111111,-6.66666666667,-53.7373333333,-52.9293333333,5.65655555557,-26.8688888889,-31.111,-23.0302222221
198.54,-52.8985555555,-43.4781111111,-29.4686666667,-77.2946666667,-86.4735555555,-3.62299999999,-55.3141111111,-50.2416666667,-40.3381111112
198.92,-53.2763333333,-49.8574444444,-20.5127777778,-67.5214444444,-83.4758888889,4.55855555554,-46.4387777778,-50.4273333334,-20.228
199.30,-30.6122222222,-39.0023333333,-2.49422222223,-41.2697777778,-54.8752222222,20.4082222222,-28.118,-35.1474444445,-8.16322222223
199.68,-7.55555555557,-3.33333333333,31.5555555556,-9.33333333334,-30.6666666667,44.4444444444,-9.11111111112,-13.7777777778,11.1111111111
200.06,4.25544444443,2.83666666667,55.3191111111,1.41844444443,-21.2767777778,62.8841111111,0.236555555567,-2.1277777778,19.6217777778
200.44,0.33677777779,3.3668888889,63.6363333334,10.4377777778,-40.0673333334,82.1547777778,-8.75422222222,-8.7541111111,21.5487777778
200.82,40.9464444445,34.7736666667,72.428,42.5925555556,8.02477777777,87.0371111111,17.6956666666,30.0412222222,39.506
201.19,26.4705555555,19.9346666667,92.4836666665,39.8693333333,-16.9934444444,101.307222222,-8.17000000001,34.6406666667,30.0653333333
201.57,58.8381111111,58.8384444444,122.727333333,79.2927777777,39.899,116.666666666,27.7777777778,55.8081111111,77.0202222221
201.95,64.9237777778,59.6951111111,118.300666667,84.9674444444,55.3376666668,107.189444445,42.7015555556,62.0914444445,76.9063333332
202.33,59.8765555555,54.9382222222,114.814888889,77.1604444444,57.4073333333,100.617333333,39.5062222222,61.5226666668,67.9012222222
202.71,68.5713333333,60.6348888889,155.873,103.174555556,69.5240000001,120.952333333,64.1271111111,86.3492222223,86.666777778
203.09,77.7776666667,53.4391111111,121.164111111,98.6773333334,65.6083333334,104.497444444,66.1375555556,77.7778888888,65.6082222221
