wavelength,Back_ThlRuff,Belly_ThlRuff,Breast_ThlRuff,Crissum_ThlRuff,Crown_ThlRuff,DorTail_ThlRuff,Patch10_ThlRuff,Rump_ThlRuff,Throat_ThlRuff,WingTip_ThlRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,148.888933333,134.444333333,92.2221999999,153.333266667,161.111166667,98.4795052632,124.444533333,136.6666,97.7778666667,94.4443333333
179.54,-4.44446666667,24.4444,39.9999999999,-12.2222666667,13.3333333333,11.5204421053,40.5556333333,4.44453333332,48.8888666667,72.2222666667
179.93,26.6667333333,48.8889333333,17.7778666666,51.1110666666,21.1111333335,-13.6842350877,4.4444,28.8889333333,-64.4445333334,-77.7778666668
180.31,-57.3333333332,76.0,-36.0000000002,-78.6666666666,-35.3333333341,78.3859649123,38.6666666666,-160.0,165.333333333,358.666666667
180.69,-76.0000000001,19.3333333333,-65.3333333334,-81.9999999999,-80.6666666666,-17.2280701756,-23.0000000001,-115.333333334,26.6666666666,157.333333333
181.07,-177.333333333,-53.3333333334,-156.0,-221.333333333,-247.333333333,-118.736842105,-20.6666666653,-320.0,2.6666666668,181.333333333
181.45,-117.5,-44.1666666665,-137.5,-105.833333333,-138.333333333,-90.6140350876,5.0,-229.166666667,1.66666666674,84.1666666667
181.83,233.333333333,176.666666667,250.666666667,193.333333333,262.0,193.298245614,112.0,340.666666667,165.333333333,96.6666666666
182.21,212.5,158.333333333,206.666666667,163.75,215.625,195.109649123,94.5833333333,267.916666667,185.416666667,125.416666667
182.59,154.166666667,124.791666667,132.708333333,116.458333333,151.666666667,140.844298246,86.1458333334,175.0,142.708333333,100.833333333
182.97,161.621666667,120.9008,126.486533333,116.756733333,150.900866667,136.57642807,77.7476333335,162.162066667,144.504666667,106.1262
183.35,224.222266667,176.444533333,172.2222,165.777733333,216.2222,210.140350877,118.7778,216.222266667,200.666666667,141.3332
183.73,383.8596,305.614,291.9298,284.912266666,365.964933333,362.880964912,197.3685,358.2456,338.9474,225.613933333
184.11,519.0476,443.809533333,397.142866667,397.618933333,477.142866667,488.396070175,231.190366667,478.0952,454.285666667,330.4762
184.49,401.481533333,351.481533333,325.9258,315.1852,378.888833333,376.549631579,180.555533333,376.6666,351.111066667,268.888933333
184.87,405.416666667,354.583333333,313.75,289.583333333,369.166666667,361.469298246,147.083333333,366.666666667,331.666666667,254.166666667
185.25,896.1904,748.571399999,700.952533334,634.285666667,770.476066666,772.431042105,357.142833333,753.3334,667.619133333,580.952399999
185.63,410.833333334,321.666666667,324.583333333,312.916666667,373.333333333,356.578947369,185.833333333,343.75,308.75,262.5
186.01,2093.33326667,1599.99993333,1671.11113333,1546.66653334,1845.55556667,1847.60228421,987.777633333,1584.44453333,1500.0,1224.4444
186.39,-6113.33333333,-4826.66666667,-5040.0,-4560.0,-5553.33333333,-5393.33333333,-3636.66666667,-4766.66666667,-4253.33333333,-3726.66666667
186.77,-231.2122,-163.6362,-205.151533333,-156.363666667,-216.6665,-196.427508772,-114.090833333,-171.515066667,-153.636333333,-127.575866667
