wavelength,Back_ThlOrnm,Belly_ThlOrnm,Breast_ThlOrnm,Crissum_ThlOrnm,Crown_ThlOrnm,DorTail_ThlOrnm,Rump_ThlOrnm,Throat_ThlOrnm,WingTip_ThlOrnm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,241.666666667,300.0,195.833333333,275.0,245.833333333,-8.3333333334,95.8333333334,245.833333333,200.0
179.16,63.8889166666,101.389,13.88875,47.22225,56.9445833333,-23.6110833333,23.6111666667,30.5556666667,61.1111666667
179.54,71.4285833334,83.3333333334,62.5001666667,61.9048333333,66.6666666667,42.8573333333,53.5715,60.71425,74.4046666668
179.93,38.0953333333,44.0475833333,61.9047500001,7.14283333335,21.4285833333,24.9999166667,22.6189166667,52.3809166667,45.2381666667
180.31,79.0321666668,97.8494166665,62.6344166667,46.2365833333,63.1720833333,-22.5806666667,6.98933333333,47.8495,80.9140833333
180.69,63.1411666668,91.6666666667,42.9487500001,25.6411666667,58.9744166667,-56.7308333334,-10.5769166667,28.5256666667,77.2434999999
181.07,3.9682499999,42.0635833333,-10.3175000001,-38.0953333332,15.8730833331,-122.619,-65.8730000001,-19.8411666667,42.0634999997
181.45,770.833333333,387.499999998,862.5,1183.33333333,541.666666666,1783.33333333,1316.66666667,841.666666666,412.499999999
181.83,124.999916667,103.333416667,143.88875,171.111083333,83.3334166667,258.88875,198.333416667,125.0,96.1110833333
182.21,93.4027499999,82.98625,124.652833333,119.444416667,74.6528333334,192.013833333,145.486083334,103.8195,96.5278333332
182.59,84.8214999999,57.1429166666,110.416583333,94.9405833334,36.0120000001,161.607083333,98.5119166667,76.1904166667,92.2619166665
182.97,186.66675,64.4445,197.222166667,154.444416666,23.3333333333,287.777916667,137.22225,114.4445,172.222166667
183.35,173.88875,46.1110000002,157.77775,133.888833334,5.00008333342,253.333333333,108.888916667,88.33325,145.0
183.73,157.017666666,46.9297499999,119.298166667,115.789333333,6.57899999999,198.684083333,90.3509166665,65.3508333334,138.157916667
184.11,152.53625,46.7391666665,117.028916667,98.5506666668,22.4636666667,148.913166667,66.6666666667,61.9565833334,120.289916667
184.49,162.962833333,60.8025000002,138.27175,100.308666667,55.86425,175.925916667,70.3704166668,86.4198333332,134.259333333
184.87,186.666666666,80.6666666667,151.333333334,115.666666667,78.0,208.333333333,88.9999999999,95.3333333334,157.666666667
185.25,189.58325,92.7081666668,145.486166666,106.25,88.1945000001,204.861083333,78.1250000001,101.736083333,168.055666667
185.63,-179.487083333,-21.1539999998,-78.8460833333,12.8205833334,3.20516666665,-217.30775,21.7947500001,-13.4614166666,-133.333333333
186.01,-440.740833334,-161.111083333,-248.148166667,-110.18525,-174.999916667,-437.037,-97.2222500002,-147.222166667,-329.629583333
186.39,2154.16666667,916.666666667,1129.16666667,487.499999999,912.5,1850.0,629.166666666,745.833333334,1604.16666667
186.77,288.426083333,166.666666667,173.611166667,107.407416667,165.277583333,244.444583333,133.33325,132.407416667,214.351916666
187.15,156.66675,111.905,102.381,79.0476666666,99.7619166668,132.381083333,90.47625,80.2380000001,121.428666667
187.53,150.406583333,120.122,104.674833333,77.4389999999,99.1870833334,137.398333334,90.0406666666,80.8941666667,122.560833333
187.91,122.16325,109.929166667,93.2624166666,62.7658333334,93.4397500002,126.59575,82.2696666666,70.9219166666,100.8865
188.29,99.9999999999,100.446333333,85.5654999998,66.2204166666,91.6667500001,120.6845,77.8274166667,64.1369166667,91.9642499999
188.67,82.7546666666,91.7824166666,72.2221666667,63.5416666667,78.24075,97.9166666668,76.2731666666,58.912,82.9861666665
189.05,64.6079166668,73.6274166667,56.8626666668,48.4314166667,62.6469166667,74.0195833333,64.9999166666,45.78425,66.5685833333
189.43,55.7470833334,58.81225,50.2873333333,41.3793333333,51.4368333334,64.9424999999,58.7163333333,37.64375,55.9386666667
189.81,51.6276666667,51.1720833333,46.6798333333,43.2943333333,49.0885833333,56.1199166667,53.9063333333,39.5834166667,49.349
190.19,48.9155833333,47.2030833334,42.5798333333,42.97925,45.4909166667,51.7125,49.71475,41.2100833333,45.9476666667
190.57,49.4174166666,46.7948333333,41.49175,42.71575,43.2984166667,53.6713333333,46.2703333333,42.0745833333,41.95825
190.95,53.03025,50.4820833333,41.5289166666,43.1129166667,47.7273333333,57.1625833333,46.96975,45.3856666667,43.182
191.33,51.8440833333,49.112,39.6175,41.80325,47.6093333334,55.9425833334,43.9206666666,43.9891666667,44.2623333333
