wavelength,Back_OryAngm,Belly_OryAngm,Breast_OryAngm,Crissum_OryAngm,Crown_OryAngm,DorTail_OryAngm,Rump_OryAngm,Throat_OryAngm,WingTip_OryAngm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,560.0,510.0,733.333333334,426.666666667,366.666666667,573.333333333,486.666666667,540.0,353.333333333
179.16,59.9999333333,209.999933333,133.333333333,92.991451282,68.8888666667,117.7778,146.6664,111.111166667,31.1111333334
179.54,77.0370000001,124.074,105.9258,122.677979487,110.370333333,98.5183999999,127.407533333,112.962866667,117.777733333
179.93,108.8888,139.9999,144.444466667,218.974430769,220.000066667,153.3332,137.777733333,106.666733333,113.333333333
180.31,272.380933333,96.6667,184.762,-115.384605128,-18.0952666665,47.6190666666,-65.7143333333,113.809633333,327.619066667
180.69,-2113.33333333,-796.666666668,-1273.33333333,1142.56410256,186.666666668,-100.0,399.999999998,-606.666666667,-2140.0
181.07,427.7778,221.111,254.4444,-112.136774359,121.111066667,101.111,22.2222,157.777633333,458.888933333
181.45,193.333333333,152.963033333,150.3704,13.0483589744,93.7036666667,94.8148666667,65.1852666667,114.259133333,180.3704
181.83,122.2222,115.7574,99.7978666667,29.1376358974,72.1212,72.9292666668,68.0807999999,99.7978000001,113.333466667
182.21,108.666666667,115.166666667,92.3333333333,38.6282051282,78.3333333334,76.6666666665,64.1666666667,92.5833333333,105.666666667
182.59,98.1333333333,128.666666667,65.8666666665,-6.33846153848,54.1333333333,62.6666666665,22.6666666667,92.2666666666,103.733333333
182.97,93.3333333334,143.555633333,47.1112000001,-82.6325435897,31.5555333333,43.5556666668,-15.9999333334,116.4444,125.777866667
183.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.73,85.5556666668,-160.5555,158.888866667,582.393117949,195.555533334,172.222199999,320.0,-102.222233333,203.333333333
184.11,72.0,-262.0,110.666666667,683.179487179,162.666666667,170.666666667,342.666666667,-180.666666667,281.333333333
184.49,74.2856000001,-215.714333333,88.5715333334,447.032907692,107.619066667,113.333333333,272.380866667,-138.095133333,241.904666667
184.87,-140.0,355.833333334,-205.0,-701.41025641,-215.0,-165.000000001,-511.666666667,329.166666667,-426.666666667
