wavelength,Back_AcaBaim,Belly_AcaBaim,Breast_AcaBaim,Crissum_AcaBaim,Crown_AcaBaim,DorTail_AcaBaim,Rump_AcaBaim,Throat_AcaBaim,WingTip_AcaBaim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,151.2,262.24,175.2,13.6,196.0,207.2,198.4,114.4,212.0
179.16,64.6663333334,86.1996666666,92.6663333334,32.6663333333,82.6663333333,59.333,35.333,71.333,55.333
179.54,82.6670000001,102.027,94.4003333333,63.467,79.467,83.2003333335,72.2670000001,68.2669999999,77.867
179.93,212.0,8.0,332.0,260.0,332.0,220.0,456.0,140.0,92.0
180.31,71.5788000001,95.6967933335,80.1684666667,44.8844,76.7159333334,91.1157333333,60.7158,63.579,93.1367999999
180.69,74.4077333333,100.069926667,81.2425999999,51.1066666667,80.5436666668,94.5242666666,64.8544333333,66.7962,96.6213333333
181.07,72.5044666667,91.2432666667,75.6755999999,54.1981333333,72.1442,87.7839333335,60.6125666666,68.1802666667,93.1891999999
181.45,70.1308000001,86.9232733333,70.2804666667,56.4484666666,68.7103333335,89.1216,62.3177333333,68.7850666667,95.4765999999
181.83,68.0403999999,84.1697333334,66.0201333333,56.9698,64.1617333333,87.2726666667,60.9294333333,64.8080666666,93.9798666666
182.21,69.963,87.5778066667,67.3704000001,62.9259333333,65.8147333333,90.9259999999,62.5185333333,61.9630666666,95.5926666667
182.59,72.6728666667,93.0243600001,71.9999999999,68.6354,74.3178000001,95.1774000001,66.3176333333,63.6261333333,98.3178666667
182.97,73.2856666667,89.2142600002,68.3572000001,74.2142666667,74.4286666667,92.1429333334,63.6427666666,64.2142000001,96.3570666667
183.35,78.1074666667,89.8151066669,66.2365333333,79.656,70.9676,92.7310666667,61.2474333333,59.3548666667,101.935466667
183.73,74.1333333333,84.8426666667,55.4666666666,72.4266666667,64.32,92.9066666665,51.5733333334,46.72,102.4
184.11,76.0,87.7548200001,49.1612666666,70.8386666667,54.5806,92.2580666666,49.3549000001,36.3872,107.225733333
184.49,98.4286666667,115.500013333,66.4286666667,100.857066667,71.5714666666,101.142933333,65.9285000001,53.7143333333,121.714266667
184.87,96.0,111.264,59.84,100.48,65.28,88.32,58.08,42.72,120.96
185.25,102.000066667,124.000033333,55.6470666667,115.882333333,57.7646,87.4117333333,47.6470333333,16.1177333333,128.1176
185.63,128.387133333,172.05142,87.3548666665,143.612733333,81.6773333333,101.548266667,73.5484,18.1936666666,157.0322
186.01,170.222333333,213.481446667,118.074133333,181.481466667,125.185266667,151.851933333,108.592766667,52.2962666667,223.555733333
186.39,274.117733333,319.670653333,191.294066667,262.8236,235.529333333,235.529333333,179.5294,117.411666667,338.588266667
186.77,436.4,505.36,268.4,430.0,378.0,390.0,309.2,178.0,538.0
187.15,296.666333333,381.266333333,180.666333333,325.333,239.333,251.333,235.666333333,125.333,362.666333333
187.53,164.6,221.92,115.8,196.6,151.8,163.8,133.0,92.6,202.2
187.91,170.181733333,221.090873333,143.272666667,212.363733333,170.909133333,159.2728,142.181833333,125.091,196.363533333
188.29,225.6,265.68,186.4,249.6,220.8,219.2,160.4,145.6,231.6
188.67,1154.66633333,1191.19966667,943.999666667,1258.66633333,1018.66633333,1039.99966667,713.333000001,522.666333334,1154.66633333
189.05,-408.5,-392.6,-325.5,-377.5,-324.5,-386.5,-251.0,-183.5,-378.5
189.43,-648.666666667,-618.933333334,-514.0,-560.666666667,-623.333333334,-602.0,-459.333333333,-295.333333334,-656.666666667
189.81,-178.736866667,-113.305173333,-97.0526000001,-141.263066667,-134.5262,-144.6316,-79.5789333332,-53.2631333333,-141.263
190.19,-175.0908,-105.018133333,-88.5452666667,-127.090866667,-122.727266667,-116.181933333,-77.8181999999,-65.6363333334,-111.454466667
190.57,-163.652133333,-84.5913733333,-88.8695333332,-140.6958,-106.6086,-111.130533333,-81.7392,-57.2174666667,-106.956533333
