wavelength,Back_TacSurf,Belly_TacSurf,Breast_TacSurf,Crissum_TacSurf,Crown_TacSurf,DorTail_TacSurf,Patch10_TacSurf,Patch11_TacSurf,Rump_TacSurf,Throat_TacSurf,WingTip_TacSurf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,81.4814166667,73.4664791667,85.6482499999,81.0185833332,75.9259166666,46.75925,69.9074166667,72.6850833333,86.1110000001,56.0185,68.5185833333
179.16,92.8571666667,76.8601302084,72.6189166666,65.4760000001,71.4287499999,17.857,41.6665833334,83.3332499999,88.0953333334,53.5714166667,34.524
179.54,-29.1666666669,107.552083333,25.0,70.8333333333,158.333333333,208.333333333,175.0,62.5000000001,-54.1666666667,183.333333333,162.5
179.93,127.77775,63.368140625,127.77775,87.4999166667,80.5556666666,63.8888333333,41.6666666667,58.3334166666,101.388916667,40.2778333334,58.3333333333
180.31,121.717166667,57.7177291667,109.596,93.4344166668,50.2525,22.9798333333,25.5049166666,78.78775,136.61625,22.4747500001,53.788
180.69,131.081166667,70.1719270833,116.21625,97.0721666667,56.5314166668,32.8829166667,37.16225,84.6847500001,148.19825,37.61275,67.1172499999
181.07,143.678083334,58.1536562499,115.229916666,100.574666667,45.9770000001,31.0346666668,24.4251666667,76.7242499999,159.195416667,32.4713333332,63.5057500002
181.45,162.68125,54.2573020834,117.753583333,108.695666667,38.0434166668,35.5072499999,11.9564166666,64.1305,188.768083333,15.2175,64.1305000001
181.83,167.708333333,62.9123697917,118.055666667,113.888833333,48.2638333332,41.3194166666,11.1113333333,54.8611666667,170.486,23.2639166667,70.1387500001
182.21,135.632083333,57.7585781251,100.287416667,91.6665833334,41.3794166665,35.3449166666,9.19533333333,51.7240833334,141.666666667,22.1265,69.2529166666
182.59,179.583333334,70.9114583332,115.833333333,122.083333333,39.1666666667,31.6666666667,0.416666666675,57.0833333334,183.75,6.24999999975,85.0
182.97,283.888916667,116.319322916,183.333333333,167.222166667,74.4444999999,63.3332499999,21.1112500001,100.0,255.5555,30.5556666665,132.777833333
183.35,170.430083333,92.0866875,121.77425,111.559166667,68.0108333335,58.6020000001,33.0645833334,87.0967499999,145.96775,51.3441666668,85.484
183.73,133.660083333,87.2141458334,106.862833333,97.7124166667,76.4705,61.4379166666,40.1961666667,86.9281666667,123.856166667,67.9738333334,75.3269166666
184.11,154.065166667,98.0055885417,123.577333333,111.382,90.0405833334,68.2925833333,38.0079166667,98.5773333332,142.276416667,74.1868333334,79.6748333334
184.49,230.416666667,139.895833333,188.333333333,142.5,115.0,75.0,-2.50000000015,135.416666667,208.75,83.3333333332,76.6666666666
184.87,533.333416667,278.869005208,426.190666667,283.333333334,247.619083333,85.7141666668,-161.904833333,280.95225,430.952333333,146.428416667,100.0
185.25,-3241.66666666,-1821.875,-2841.66666667,-1433.33333333,-1466.66666667,-158.333333335,1833.33333333,-1775.0,-2516.66666667,-741.666666666,-366.666666668
185.63,-258.333333333,-154.114583333,-291.666666667,-86.6666666668,-117.5,34.1666666667,213.333333333,-150.0,-191.666666667,-65.8333333332,-18.3333333332
186.01,-83.3335000002,-47.420703125,-124.206333333,-7.53958333335,-42.8570833335,28.1744999999,110.317333333,-61.9048333333,-73.8095833333,-11.9049166667,7.14283333325
186.39,-25.8333333333,-0.8984375,-37.9166666666,19.3750000001,-3.75000000002,33.75,74.5833333333,-9.79166666668,-19.1666666666,7.08333333342,29.5833333333
