wavelength,Back_ThrEpif,Belly_ThrEpif,Breast_ThrEpif,Crissum_ThrEpif,Crown_ThrEpif,DorTail_ThrEpif,Patch10_ThrEpif,Patch11_ThrEpif,Rump_ThrEpif,Throat_ThrEpif,WingTip_ThrEpif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,90.2777777778,23.6111111111,51.3888888889,66.6666666666,22.2222222222,56.9444444444,58.3333333334,27.7777777778,55.5555555555,94.4444444444,105.555555555
179.16,33.8622222222,19.5766666667,41.2698888889,37.0372222222,22.7513333333,24.8678888889,29.1006666667,39.1533333333,41.799,42.328,44.9735555556
179.54,-1.2343333333,-39.5062222222,-32.0988888889,-11.1111111111,-67.9012222223,-70.3703333333,-65.4322222222,-20.9874444444,-8.64211111109,1.2346666667,16.0495555556
179.93,63.4919999999,31.7458888889,52.3808888889,98.4126666666,9.52388888888,49.2062777778,-9.5238888888,53.9682222222,58.7302222222,93.651,95.238111111
180.31,41.1392222222,20.9563333333,32.7005555556,45.3584444444,21.8003333333,26.2657777778,19.0575555555,29.2545555556,34.1068888889,52.1797777778,48.6638888889
180.69,34.7043333333,12.4098888889,27.4892222222,40.5483333333,16.6667777778,18.8309444444,12.9148888889,23.6651111111,29.5092222222,50.0718888889,44.9495555555
181.07,31.0671111111,10.5262222222,26.7544444444,38.2307777778,13.4502222222,16.4472222222,9.35666666667,22.7338888889,26.462,45.1023333333,41.8127777778
181.45,27.6973333333,6.52155555556,21.8196666667,35.8292222222,7.00477777777,12.9629444444,4.10622222223,21.1755555556,21.0144444445,42.9952222222,39.2913333333
181.83,30.2131111111,12.4048888889,25.1902222222,42.1614444445,12.4811111111,21.6512777778,11.2634444444,26.1795555556,25.1902222222,44.8251111111,39.3455555555
182.21,32.3893333333,14.7422222222,25.49,42.8467777778,16.0493333333,20.6972777778,15.6862222222,28.9034444444,25.8533333333,42.4837777778,37.4727777778
182.59,33.4017777778,16.5295555555,25.3084444445,38.2715555556,15.5006666667,20.0273888889,18.5872222222,31.6187777778,26.0631111111,42.1808888889,34.7051111111
182.97,30.7526666667,12.6163333333,22.724,34.6237777778,13.8352222222,16.8098888889,16.2005555556,30.1793333333,25.5915555556,38.1362222222,32.6164444444
183.35,21.459,4.58000000001,17.0484444445,27.8202222222,4.32555555557,12.2137222222,6.87044444443,28.0747777778,18.66,29.7711111111,29.347
183.73,15.7407777778,-3.05544444444,12.7777777778,23.7964444444,-3.33344444444,7.91666666667,2.12977777777,26.8516666667,14.4444444445,25.2777777778,24.815
184.11,11.7064444444,-3.76988888889,14.4841111111,22.2222222222,-8.43255555558,11.3592222222,1.885,26.3886666667,15.5753333333,25.1982222222,21.9245555556
184.49,-0.34722222221,-15.3934444444,-1.15755555554,14.9304444444,-25.8101111111,4.9768888889,-12.0371111111,15.7407777778,3.81955555557,10.4165555556,10.3008888889
184.87,15.3041111111,2.51566666667,8.49055555555,28.6163333333,-12.4737777778,21.0692222222,3.04,29.8744444444,18.5534444444,21.0692222222,23.0606666667
185.25,16.9697777778,5.35366666666,9.59611111111,31.6161111111,-6.46477777777,24.8990555556,7.77777777777,33.7372222222,24.3433333333,26.1615555556,25.7573333333
185.63,19.469,11.996,12.0944444444,39.5282222222,3.6381111111,30.3835,12.5858888889,36.8731111111,31.0717777778,30.2851111111,28.8101111111
186.01,9.54111111111,2.41544444443,3.2608888889,32.7296666667,-6.76344444446,27.959,2.53633333333,33.454,26.9323333333,25.6038888889,27.7776666666
186.39,1.74788888888,-0.00011111111,5.49322222222,30.8364444444,-9.98755555557,29.9627222222,-0.249666666667,35.5806666667,28.0898888889,29.0887777778,31.5854444444
186.77,8.96477777778,9.46955555557,18.6867777778,47.7272222222,3.53544444443,40.9724444444,10.2271111111,45.9596666667,38.2575555556,40.1515555556,46.7171111111
187.15,14.098,13.5005555555,27.2401111111,55.5555555556,10.2747777778,50.9556666667,18.1603333333,49.5817777778,41.2185555556,44.5637777778,51.7323333333
187.53,21.5813333334,16.7733333333,30.9831111111,56.7307777778,16.2392222222,53.8995555556,22.5426666666,49.2522222222,45.406,46.3677777778,51.2821111111
187.91,19.8582222222,16.6666666667,30.7327777778,63.2387777778,19.9763333333,53.5461666667,21.9857777778,54.61,49.6452222222,47.2815555556,51.7728888889
188.29,26.6666666667,28.8888888889,40.4166666667,86.1111111111,35.9722222222,72.0833333333,32.2222222222,73.6111111111,64.8611111111,57.0833333333,72.2222222222
188.67,23.7372222222,31.8181111111,41.2881111111,84.2172222222,37.879,71.149,35.3534444444,70.8332222222,62.2475555556,56.0605555556,68.0554444444
189.05,20.4134444444,33.4624444444,43.0232222222,81.3953333333,38.6304444445,74.8706111111,33.4626666667,70.8011111111,57.1058888889,50.7751111111,61.4986666667
189.43,23.913,34.5411111111,41.6666666667,82.3672222221,39.0096666667,80.9783333333,34.4204444444,66.3043333333,55.4347777778,45.6522222222,57.0047777778
189.81,22.4466666667,30.4152222222,43.4343333333,76.879888889,34.1188888889,79.7980555556,37.0368888889,60.8304444444,49.1583333333,40.6285555556,53.7597777778
190.19,27.963,34.4442222222,43.5184444445,71.0184444444,38.1481111111,72.3147222222,41.8518888889,56.2037777778,49.6295555556,40.5554444444,47.2222222222
190.57,26.4336666667,34.5876666667,36.2902222222,64.5158888889,36.3798888889,72.0878333333,39.5162222222,49.283,44.7132222222,34.7671111111,39.1576666667
190.95,19.3987777778,31.6937777778,27.7778888889,58.4697777778,33.9708888889,70.8106666667,37.2494444444,46.6303333333,42.8052222222,29.8725555556,30.6011111111
191.33,10.6483333333,30.5555555555,17.6851111111,51.574,28.6112222222,64.3054444444,30.463,43.7963333333,39.0741111111,24.9072222222,21.2963333333
191.71,12.7255555556,37.3218888889,18.1384444444,56.6951111111,33.5232222222,69.7056111111,33.7132222222,48.4331111111,42.0703333333,26.9705555556,22.6971111111
192.09,16.1531111111,39.0288888889,16.8066666667,55.0886666667,33.8001111111,76.9373888889,34.1736666667,48.086,40.8964444445,24.3695555555,23.9028888889
192.47,11.1112222222,37.2664444444,11.2094444444,48.8692222222,28.6135555556,71.1407777778,30.0884444444,47.4926666666,33.9233333333,18.7805555556,19.3705555556
192.85,8.00777777778,34.9348888889,10.4104444444,43.5434444444,24.3242222222,64.3645555556,26.7266666667,47.7477777778,29.5293333333,11.4114444444,16.6165555556
193.23,-2.54844444443,24.8725555556,-1.83488888889,30.8867777778,17.2273333333,53.8735555556,17.2273333334,38.1243333333,19.1642222222,1.73288888889,8.46088888888
193.61,-31.505,15.3306666667,-33.1926666666,11.6736666667,1.969,43.2488333333,-2.25044444444,26.0197777778,-0.140666666667,-20.1124444444,-19.972
193.99,-51.4336666667,11.6486666667,-66.3082222222,-9.3188888889,-7.88522222222,35.5733333333,-23.835,19.1755555555,-4.65944444447,-39.7848888889,-39.7848888889
194.37,-55.5556666667,11.5152222222,-78.788,-9.09100000003,-8.28277777779,34.3433888889,-32.5252222222,33.5353333333,-10.3031111111,-42.8282222222,-41.01
194.75,-112.418222222,-7.18933333333,-149.673333333,-32.3528888889,-32.6796666667,32.6797222223,-66.9935555556,46.7318888889,-31.0457777779,-85.2941111112,-73.8562222223
195.13,-106.397333333,1.3468888889,-148.484777778,-31.6496666667,-36.0268888889,33.1649444443,-67.3402222222,58.5858888889,-31.3131111112,-87.542,-60.2693333333
195.51,-123.076888889,9.40177777777,-177.777777778,-29.487,-31.6237777778,56.4102222223,-74.7863333334,79.059888889,-30.341888889,-112.820444444,-57.2647777777
195.89,-288.888888889,-23.9315555554,-368.376111111,-85.470222222,-69.2307777778,128.205111111,-151.282111111,110.256333333,-70.0855555554,-257.264888889,-112.820444445
196.27,-437.037,-55.5557777779,-533.333333333,-159.259222222,-83.9506666667,124.691444444,-227.160333333,135.802222222,-81.4814444443,-354.321,-185.185333333
196.65,-657.407444444,-238.888888889,-864.814777779,-285.185222222,-157.407333334,164.814833333,-348.148222222,111.111111111,-135.185444444,-518.518444444,-387.036888889
197.03,303.174666666,145.238111111,454.761888889,157.936444444,72.2221111112,-57.1426666667,180.158666667,-0.793444444533,85.7143333336,243.650666667,213.492111111
