wavelength,Back_TacRuvm,Belly_TacRuvm,Breast_TacRuvm,Crissum_TacRuvm,Crown_TacRuvm,DorTail_TacRuvm,Patch10_TacRuvm,Patch11_TacRuvm,Rump_TacRuvm,Throat_TacRuvm,WingTip_TacRuvm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,38.3333333333,58.7499999999,43.5416666667,52.9166666667,23.75,12.9166666667,57.9166666667,44.1666666667,50.4166666667,17.9166666667,43.3333333333
179.16,81.0256666667,93.3333333333,73.8460333333,97.9486666667,60.5128666666,60.513,84.1025999999,71.7948666667,72.8205333333,52.3076666667,82.0512666667
179.54,76.0,76.6666666667,55.0,92.6666666667,74.0,42.6666666667,84.6666666667,48.0,56.6666666667,36.6666666667,54.6666666666
179.93,71.2820666667,85.6409333333,64.3588999999,81.5384666667,44.1024666667,52.8205333333,63.5896666667,49.2307333333,52.3076666666,19.9999333333,56.9232
180.31,55.2,65.3333333333,43.3866666667,72.16,33.3866666667,32.4266666667,52.64,39.3066666667,49.4933333333,22.88,47.0933333333
180.69,53.5664,63.9160666667,42.5408333333,70.5361333333,35.0582666667,34.0792,52.6807333333,39.767,48.9976666667,23.8695333333,47.5058666667
181.07,54.0624666667,64.7395333333,42.4478666667,72.5520666667,34.6876,34.8436,50.2083333333,38.0727333334,47.0833333333,20.2602666667,45.9374666667
181.45,50.0,65.0000666666,34.7916333333,70.4761333333,28.9882666667,28.7498666667,44.7619333333,32.5595333334,40.238,11.6666666667,39.8810666667
181.83,47.7476666667,63.8439333332,32.8828,65.6456666667,23.6638,27.3272666667,39.1590666667,29.7298,39.2792666667,9.06899999999,37.8379333333
182.21,48.0912,62.2220666666,33.7037666667,63.8176666667,26.4956,28.262,39.3163333333,31.5100666667,40.9116666667,15.0998,39.2023333333
182.59,53.5554666667,67.8887999999,37.8888666667,66.8334,34.9999333333,35.4443333333,44.1110666666,37.9443333333,45.9444,22.4998666667,43.3333333333
182.97,43.8933333333,57.92,26.9333333333,56.48,29.1733333333,28.7466666667,34.9866666667,29.6,36.3733333333,16.0533333333,35.8933333333
183.35,45.7436666667,58.7694,29.7691666667,60.7692,34.6154,32.8204666667,37.7436,32.7692,38.9742,19.3846666667,38.5640666667
183.73,47.5881333333,61.897,33.9566,63.6857333333,40.6503333333,36.8564666666,39.8916666667,33.6585333333,42.8726666666,20.3252666667,39.8372
184.11,53.1111333333,70.8334,41.8889,68.2223333333,47.9444,43.1666666667,43.6667333333,38.8888,47.389,26.5556,45.2222666667
184.49,55.7460666667,73.3334000001,40.7620666667,69.2064666667,47.7460666667,41.6508,39.9999333333,31.8096,42.9206,20.3809333333,43.5556666667
184.87,57.9364666667,79.0476000001,37.8570666667,70.2382,47.3016,38.8888666666,33.5714,24.2856666667,40.1586666666,12.1428,37.7778000001
185.25,60.155,80.4651333333,34.8837666667,70.7750666667,52.0930666666,40.3099333333,35.1938,24.8062666667,43.2558000001,17.3643333333,38.1395333333
185.63,67.9710666666,79.3478,43.2247333333,73.1159333334,61.0145333333,47.1741333333,40.9420666667,31.8116666667,53.1883333333,26.9566,42.5362
186.01,69.7728,83.7877999999,47.3864333333,78.4090666667,71.9696666667,50.6818666667,47.9546,34.2424666667,54.9242666667,30.0759333333,41.894
186.39,73.4247333333,95.3423333333,45.2511333333,84.9316,83.8355333333,55.7991333333,52.0546666667,30.7763333333,59.7259999999,24.201,40.6392666666
186.77,75.8821333333,106.960933333,47.0588333333,92.0588666668,90.8824666667,59.1176000001,55.5882666667,31.8627333333,65.2940666667,26.2744666667,45.4901333334
187.15,82.1053333333,124.0936,52.1051666667,103.5088,102.807,71.4619333334,63.7428666667,38.7135333334,77.076,23.9766,50.4094
187.53,70.1586000001,108.994733333,43.4921,83.2805333333,88.9946666667,60.8464666667,54.1798,28.5714666667,67.4074666667,22.2222666667,38.5186000001
187.91,59.6709333333,96.6255333334,38.4774,71.9340666667,75.3087333334,53.4979333333,51.605,30.9464666667,61.3991333333,28.8888,36.9548000001
188.29,46.8216666667,79.9225333335,24.8837666667,57.2867333333,59.6899333333,35.4264666667,38.4494666667,16.8992,49.5348666667,17.5969333333,24.4960666667
188.67,39.6708,75.8024666667,18.7653333333,52.0987333333,57.9422,26.5021333333,31.5226666667,12.0987333333,47.4898,11.9342,18.4361333333
189.05,35.7364,70.0774666667,14.4961,48.372,51.7054,21.0076666667,31.473,10.7751333333,44.7286666667,12.7130666666,13.5658
189.43,31.3158,68.9474666667,10.3069666667,45.6141333333,47.2806666667,14.4738,25.1754,-1.57893333334,39.4737333333,7.63166666667,10.7894
189.81,20.6751333333,60.7595333334,5.69623333333,41.2656666668,39.8311333333,6.32926666666,16.2024666667,-10.5486666667,32.3206666666,2.10973333331,5.99146666667
190.19,13.5111333333,51.8221999999,-8.26656666666,31.0222,28.3556666667,-6.84453333333,-1.9556,-21.5998666667,21.2445333333,-4.71119999998,-4.44446666667
190.57,1.87793333333,40.3756666667,-21.4084333333,22.1596,14.9297333333,-23.6618666667,-17.7464,-36.6196666667,9.01406666667,-10.7042,-15.4930666667
190.95,-6.35386666667,28.7502000001,-36.1457,13.3336,6.25033333332,-39.5830666667,-30.5206,-53.1248,2.08359999999,-18.0205333333,-26.354
191.33,-7.83640000002,34.3859333333,-40.4092,10.0584666667,10.7602666667,-51.5789333334,-35.0876666666,-65.0292000001,1.40359999999,-13.8012,-28.0701333333
191.71,-20.915,29.4116666667,-61.4379333333,-6.40519999999,7.5818,-70.8497333334,-55.2941333333,-85.4901333331,-10.8495333333,-26.9281333333,-48.4967333333
192.09,-99.7618000001,-36.4285333333,-176.309566667,-102.619066667,-59.5238666667,-205.952333333,-183.809533333,-242.618933333,-101.9048,-126.1904,-162.8572
192.47,-622.222133333,-425.555533333,-1011.66666667,-716.666600001,-445.555466667,-1102.22226667,-1062.22226667,-1312.2222,-651.110933333,-705.555533334,-967.777666666
192.85,-655.555533333,-511.111133334,-1065.5554,-826.666733333,-510.0,-1140.0002,-1135.55553333,-1404.44446667,-738.888933334,-746.666666667,-1047.77766667
193.23,-681.111133333,-572.222200001,-1059.44433333,-887.777733333,-518.888933333,-1112.22233333,-1233.33313333,-1442.22226667,-763.333400001,-777.777933333,-1042.2224
193.61,-230.7406,-192.592533333,-361.296333333,-289.259266666,-177.037,-358.148266667,-408.888866667,-463.703733333,-240.370333333,-256.6666,-346.296333334
193.99,-5866.66666667,-4886.66666666,-8126.66666667,-7086.66666667,-4786.66666667,-8066.66666666,-8653.33333333,-9780.0,-5733.33333333,-6133.33333333,-7513.33333333
194.37,722.666666666,594.0,897.333333333,813.333333333,603.333333333,919.333333334,956.000000001,1096.66666667,654.0,732.666666666,809.333333333
194.75,664.242466666,586.0606,799.393966667,755.1514,567.8788,826.666733334,904.848533334,1007.27266667,596.363733333,683.636466667,741.818199999
195.13,343.456733333,324.444466667,398.765533333,384.1976,309.3826,417.037066667,449.382733333,490.8642,332.345666666,362.963,384.9382
195.51,258.947466667,271.4034,310.877233333,296.6666,241.052666667,323.333333333,345.7896,371.403533333,266.140333333,285.2632,302.807066667
195.89,216.326533333,239.047733333,253.265233333,246.9388,201.496666667,271.020333333,287.891133333,304.353733333,219.0476,233.741466667,247.6192
196.27,203.3334,221.153866667,235.705133333,226.923133333,179.743666667,248.8462,269.359,276.282,192.307733333,211.410333334,231.153733333
196.65,246.2014,250.8528,280.077533333,262.945733334,200.31,293.488466667,315.658866667,326.821733333,224.186066667,255.503866667,275.503866667
197.03,296.190466667,296.762,322.380966667,305.904666667,229.3334,346.285533333,376.000066667,385.5238,252.952466667,294.4762,322.857
197.40,381.234666667,368.395133333,401.358133333,393.3334,290.1234,448.148133333,484.444333333,495.308733333,315.3086,361.481533333,408.3952
197.78,403.466666667,382.933333333,407.466666667,436.533333333,288.8,475.733333333,516.266666667,523.2,324.266666667,370.666666667,437.866666667
198.16,416.666533333,423.055466666,428.611133333,471.388866667,313.610933333,503.888866667,571.666666667,570.833333333,359.722333333,387.7778,491.388866667
198.54,726.666733333,775.897466667,782.307800001,881.025666667,558.461533333,892.307733333,1041.02546667,1051.79486667,643.589666667,681.538533333,937.436
198.92,828.8888,892.777866667,906.1111,1035.55566667,660.555466667,1042.77786667,1178.33333333,1192.22226667,758.333333333,798.333333334,1101.6666
199.30,3033.33326667,3164.44433333,3152.2223,3873.33333333,2344.44446667,3702.22213333,4373.3332,4351.11113334,2651.111,2713.3334,3937.7778
199.68,3406.66666667,3422.2222,3420.0,4171.11113333,2777.7778,3948.8888,4731.11106667,4780.0,2940.0,2906.66673333,4240.00006667
200.06,1718.88886667,1672.22226667,1744.44446667,2156.66666667,1466.66673333,1967.7778,2381.111,2450.0,1532.2222,1503.33333333,2155.5556
200.44,640.784333333,627.450933333,646.862733334,804.705933333,565.4902,741.568799999,870.980333333,910.196133332,609.411666667,574.509933333,776.862799999
200.82,283.2478,294.700866667,289.829133333,361.1966,264.444466667,328.034133333,390.085466667,408.547,282.906,258.8034,340.512933334
201.19,189.192,200.302933333,202.070666667,241.211933333,181.8182,215.555466667,252.2222,264.848333333,193.939333333,178.282933333,223.737466667
201.57,136.3946,151.2926,152.4489,174.285733333,133.401266667,158.843533333,180.272066667,190.136066667,145.7822,136.326466667,162.721133333
