wavelength,Back_CamPalf,Belly_CamPalf,Breast_CamPalf,Crissum_CamPalf,Crown_CamPalf,DorTail_CamPalf,Rump_CamPalf,Throat_CamPalf,WingTip_CamPalf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,35.9998666667,24.4442666667,24.4444666667,22.8889666667,42.2221999999,31.1111333333,48.8889333333,-0.4444,9.33333333334
179.16,69.1666666667,48.3333333333,71.25,65.2083333333,86.6666666666,65.8333333333,69.5833333333,51.25,64.1666666667
179.54,-11.2818666667,-23.5897333333,6.1538,-14.1027,2.05126666667,-13.8461333333,3.58973333332,-11.7948,13.3334
179.93,-64.762,-72.3809333333,-94.2857333333,-74.7617,-55.2381333333,-68.5713333334,-57.1428666667,-126.666666667,-47.6189666667
180.31,-35.6322666667,-76.5515333333,-42.5287333333,-39.8275333334,-26.5518,-19.0803333333,-29.1953999999,-87.8161333333,-45.3447666666
180.69,-20.6481333333,-57.5002,-28.6110666667,-26.9444333333,-14.9074666667,-6.94440000002,-17.1297333333,-69.9074666667,-27.6388666667
181.07,-20.3755333333,-62.8168,-32.6759999999,-25.6338666667,-15.4930666667,-0.37566666658,-21.2206,-65.1643999999,-23.8967
181.45,-73.3333999999,-135.362266667,-104.058,-82.1014333335,-70.7245333334,-34.4926666667,-80.2899333333,-142.7536,-80.6522666666
181.83,-180.7018,-347.0174,-283.859733333,-211.228033333,-168.070133333,-59.6490666667,-209.4736,-355.4386,-210.175466667
182.21,-305.5556,-580.000066667,-422.2222,-340.8333,-274.444266667,-83.3332666669,-330.555533333,-567.777666666,-351.666733333
182.59,-152.727333333,-290.909,-229.697,-162.2727,-149.394066667,-48.1818,-175.151533333,-293.9394,-181.515166667
182.97,-265.333266666,-470.6668,-365.3334,-285.5555,-266.666666667,-76.4443999998,-294.222066667,-448.888866667,-293.7778
183.35,-314.444333333,-547.777733333,-438.333333333,-373.3334,-328.3332,-69.4444000002,-327.777733333,-553.8888,-360.555533333
183.73,-495.833333333,-853.333333334,-717.5,-625.833333333,-562.5,-145.0,-535.833333333,-820.833333333,-593.750000001
184.11,1880.0,3203.33333333,2796.66666667,2568.33333333,2246.66666667,633.333333333,2080.0,3363.33333333,2303.33333334
184.49,865.0,1530.0,1368.33333333,1266.66666667,1095.0,261.666666665,944.999999999,1476.66666667,1084.16666667
184.87,228.787933333,361.515133333,325.1514,310.909033333,273.9394,110.6062,235.757533333,341.212266667,271.818066667
185.25,136.811733333,196.087133333,182.028933333,172.971,159.565333333,83.3331999998,128.5508,184.927466667,161.1595
185.63,164.761933333,245.7144,214.666733333,214.0,202.0952,93.5238,139.047533333,211.237933333,198.666633333
